Year,GeoAreaName,Quantile,Value
2018,Czechia,B50,4.9
2019,Czechia,B50,4.7
2020,Czechia,B50,5.6
1987,Denmark,B50,6
1992,Denmark,B50,6.2
1995,Denmark,B50,4.2
2000,Denmark,B50,4.5
2003,Denmark,B50,5.7
2004,Denmark,B50,5.8
2005,Denmark,B50,5.9
2006,Denmark,B50,5.7
2007,Denmark,B50,5.4
2008,Denmark,B50,5.7
2009,Denmark,B50,6.9
2010,Denmark,B50,7
2011,Denmark,B50,6.5
2012,Denmark,B50,6.2
2013,Denmark,B50,6.7
2014,Denmark,B50,6.8
2015,Denmark,B50,5.9
2016,Denmark,B50,6.7
2017,Denmark,B50,6.9
2018,Denmark,B50,6.6
2019,Denmark,B50,5.9
2020,Denmark,B50,6.8
2003,Estonia,B50,13.5
2004,Estonia,B50,11.3
2005,Estonia,B50,10.7
2006,Estonia,B50,10.2
2007,Estonia,B50,9.3
2008,Estonia,B50,10
2009,Estonia,B50,10.7
2010,Estonia,B50,12.5
2011,Estonia,B50,11
2012,Estonia,B50,10.8
2013,Estonia,B50,11.9
2014,Estonia,B50,10.8
2015,Estonia,B50,10.6
2016,Estonia,B50,9.8
2017,Estonia,B50,9.6
2018,Estonia,B50,9.9
2019,Estonia,B50,9.3
2020,Estonia,B50,9.2
1987,Finland,B50,4
1991,Finland,B50,4
1995,Finland,B50,3.2
2000,Finland,B50,5.7
2003,Finland,B50,6.2
2004,Finland,B50,6
2005,Finland,B50,5.9
2006,Finland,B50,6.5
2007,Finland,B50,6.8
2008,Finland,B50,6.7
2009,Finland,B50,7.1
2010,Finland,B50,7.2
2011,Finland,B50,6.7
2012,Finland,B50,6.4
2013,Finland,B50,6.7
2014,Finland,B50,6.7
2015,Finland,B50,6.5
2016,Finland,B50,6.5
2017,Finland,B50,6.9
2018,Finland,B50,6.8
2019,Finland,B50,7.2
2020,Finland,B50,6.6
1970,France,B50,11.2
1975,France,B50,10.7
1979,France,B50,11.2
1984,France,B50,11.5
1990,France,B50,11
1996,France,B50,12.2
1997,France,B50,12.2
1998,France,B50,11.7
1999,France,B50,11.5
2000,France,B50,11.7
2001,France,B50,11.5
2002,France,B50,10.5
2003,France,B50,8.9
2004,France,B50,8.8
2005,France,B50,8.6
2006,France,B50,9.3
2007,France,B50,9.2
2008,France,B50,9.8
2009,France,B50,11.1
2010,France,B50,10.3
2011,France,B50,9.9
2012,France,B50,10.1
2013,France,B50,9.8
2014,France,B50,10.1
2015,France,B50,10.8
2016,France,B50,10.4
2017,France,B50,10.1
2018,France,B50,10
2019,France,B50,11.6
2020,France,B50,11.1
1996,Georgia,B50,16.8
1997,Georgia,B50,19
1998,Georgia,B50,17.7
1999,Georgia,B50,18
2000,Georgia,B50,17
2001,Georgia,B50,15.3
2002,Georgia,B50,14.7
2003,Georgia,B50,15.4
2004,Georgia,B50,15.7
2005,Georgia,B50,15.5
2006,Georgia,B50,14.8
2007,Georgia,B50,15.4
2008,Georgia,B50,15.9
2009,Georgia,B50,15.1
2010,Georgia,B50,17.2
2011,Georgia,B50,16.9
2012,Georgia,B50,16.8
2013,Georgia,B50,15.6
2014,Georgia,B50,15.1
2015,Georgia,B50,13.4
2016,Georgia,B50,14
2017,Georgia,B50,14.8
2018,Georgia,B50,14.6
2019,Georgia,B50,13.8
2020,Georgia,B50,14
2021,Georgia,B50,13.5
1991,Germany,B50,7.5
1992,Germany,B50,7.2
1993,Germany,B50,6.7
1994,Germany,B50,8.7
1995,Germany,B50,8.7
1996,Germany,B50,7.5
1997,Germany,B50,8.2
1998,Germany,B50,7.7
1999,Germany,B50,7.7
2000,Germany,B50,8
2001,Germany,B50,8
2002,Germany,B50,8
2003,Germany,B50,8.5
2004,Germany,B50,8.5
2005,Germany,B50,8.7
2006,Germany,B50,8.7
2007,Germany,B50,8.5
2008,Germany,B50,8.5
2009,Germany,B50,9.2
2010,Germany,B50,8.7
2011,Germany,B50,8.7
2012,Germany,B50,9.7
2013,Germany,B50,9.5
2014,Germany,B50,10.5
2015,Germany,B50,10.5
2016,Germany,B50,11
2017,Germany,B50,11.5
2018,Germany,B50,10.2
2019,Germany,B50,10.7
1995,Greece,B50,16.2
2000,Greece,B50,15.2
2003,Greece,B50,13.4
2004,Greece,B50,13.5
2005,Greece,B50,14.1
2006,Greece,B50,14.5
2007,Greece,B50,13.6
2008,Greece,B50,13
2009,Greece,B50,13.2
2010,Greece,B50,14.5
2011,Greece,B50,16.3
2012,Greece,B50,17.5
2013,Greece,B50,17.2
2014,Greece,B50,16.7
2015,Greece,B50,17.5
2016,Greece,B50,16.2
2017,Greece,B50,14.9
2018,Greece,B50,13.8
2019,Greece,B50,13.9
2020,Greece,B50,15
2004,Hungary,B50,10.2
2005,Hungary,B50,12.9
2006,Hungary,B50,9.6
2007,Hungary,B50,9.6
2008,Hungary,B50,9.9
2009,Hungary,B50,10.2
2010,Hungary,B50,11.4
2011,Hungary,B50,11.7
2012,Hungary,B50,12.7
2013,Hungary,B50,12.7
2014,Hungary,B50,12.7
2015,Hungary,B50,12.5
2016,Hungary,B50,10.2
2017,Hungary,B50,11.5
2018,Hungary,B50,10.9
2019,Hungary,B50,9.3
2020,Hungary,B50,10
2003,Iceland,B50,6.3
2004,Iceland,B50,5.7
2005,Iceland,B50,6.5
2006,Iceland,B50,6.6
2007,Iceland,B50,6.2
2008,Iceland,B50,6.9
2009,Iceland,B50,7
2010,Iceland,B50,6.7
2011,Iceland,B50,7.2
2012,Iceland,B50,6.7
2013,Iceland,B50,5.4
2014,Iceland,B50,6.3
2015,Iceland,B50,6.1
2016,Iceland,B50,6.5
2017,Iceland,B50,6.3
1987,Ireland,B50,13.7
1994,Ireland,B50,12.5
1995,Ireland,B50,11.7
1996,Ireland,B50,12.2
2000,Ireland,B50,11
2002,Ireland,B50,11.5
2003,Ireland,B50,11.3
2004,Ireland,B50,12.1
2005,Ireland,B50,9.9
2006,Ireland,B50,9.5
2007,Ireland,B50,8.5
2008,Ireland,B50,8.8
2009,Ireland,B50,10.3
2010,Ireland,B50,10.6
2011,Ireland,B50,11.5
2012,Ireland,B50,11
2013,Ireland,B50,11.4
2014,Ireland,B50,9.4
2015,Ireland,B50,9.8
2016,Ireland,B50,8.8
2017,Ireland,B50,8.4
2018,Ireland,B50,7.1
2019,Ireland,B50,7.7
2020,Ireland,B50,6.2
1986,Italy,B50,12
1987,Italy,B50,13.7
1989,Italy,B50,11.7
1991,Italy,B50,12
1993,Italy,B50,16.7
1995,Italy,B50,15.7
1998,Italy,B50,15.7
2000,Italy,B50,15.2
2003,Italy,B50,13.5
2004,Italy,B50,13.3
2005,Italy,B50,14.1
2006,Italy,B50,13.4
2007,Italy,B50,13.2
2008,Italy,B50,13.4
2009,Italy,B50,13.7
2010,Italy,B50,14.5
2011,Italy,B50,14.7
2012,Italy,B50,14.2
2013,Italy,B50,14.8
2014,Italy,B50,15.2
2015,Italy,B50,16.1
2016,Italy,B50,15.7
2017,Italy,B50,16
2018,Italy,B50,15.2
2019,Italy,B50,15
2020,Italy,B50,15.6
1996,Kazakhstan,B50,12.8
2001,Kazakhstan,B50,14.1
2002,Kazakhstan,B50,12
2003,Kazakhstan,B50,11.7
2004,Kazakhstan,B50,9.1
2005,Kazakhstan,B50,16.4
2006,Kazakhstan,B50,6.4
2007,Kazakhstan,B50,6.4
2008,Kazakhstan,B50,5.2
2009,Kazakhstan,B50,5.8
2006,Lithuania,B50,11.9
2007,Lithuania,B50,13.1
2008,Lithuania,B50,13.6
2009,Lithuania,B50,16.1
2010,Lithuania,B50,15.6
2011,Lithuania,B50,13.9
2012,Lithuania,B50,14.1
2013,Lithuania,B50,13
2014,Lithuania,B50,15
2015,Lithuania,B50,14.7
2016,Lithuania,B50,15
2017,Lithuania,B50,13.5
2018,Lithuania,B50,13.2
2019,Lithuania,B50,12.1
2020,Lithuania,B50,10.4
1985,Luxembourg,B50,6.4
1991,Luxembourg,B50,4.9
1994,Luxembourg,B50,7.2
1997,Luxembourg,B50,9.5
2000,Luxembourg,B50,10.2
2010,Kazakhstan,B50,5.1
2011,Kazakhstan,B50,4.9
2012,Kazakhstan,B50,5.1
2013,Kazakhstan,B50,4.3
2014,Kazakhstan,B50,4.3
2015,Kazakhstan,B50,3.7
2016,Kazakhstan,B50,4.6
2017,Kazakhstan,B50,4
2018,Kazakhstan,B50,3.8
2003,Luxembourg,B50,9.7
2004,Luxembourg,B50,10
2005,Luxembourg,B50,9.9
2006,Luxembourg,B50,10.4
2007,Luxembourg,B50,10.3
2008,Luxembourg,B50,10.8
2009,Luxembourg,B50,11
2010,Luxembourg,B50,9.8
2011,Luxembourg,B50,12.7
2012,Luxembourg,B50,12.1
2013,Luxembourg,B50,12.7
2014,Luxembourg,B50,11.1
2015,Luxembourg,B50,12.1
2016,Luxembourg,B50,11
2017,Luxembourg,B50,13.3
2018,Luxembourg,B50,14.3
2019,Luxembourg,B50,12.8
2020,Luxembourg,B50,14.3
2006,Malta,B50,9.6
2007,Malta,B50,10.3
2008,Malta,B50,10.1
2009,Malta,B50,10.3
2010,Malta,B50,10
2011,Malta,B50,9.8
2012,Malta,B50,10.5
2013,Malta,B50,9.7
2014,Malta,B50,9.5
2015,Malta,B50,8.9
2016,Malta,B50,10
2017,Malta,B50,9.4
2018,Malta,B50,9.7
2019,Malta,B50,9.6
2020,Malta,B50,9.9
1997,Republic of Moldova,B50,13.4
1998,Republic of Moldova,B50,15.3
1999,Republic of Moldova,B50,13.9
2000,Republic of Moldova,B50,13
2001,Republic of Moldova,B50,12.8
2002,Republic of Moldova,B50,13.5
2003,Republic of Moldova,B50,10.3
2004,Republic of Moldova,B50,11.9
2005,Republic of Moldova,B50,12.6
2006,Republic of Moldova,B50,12.9
2007,Republic of Moldova,B50,11.9
2008,Republic of Moldova,B50,12.1
2009,Republic of Moldova,B50,12
2010,Republic of Moldova,B50,9.8
2011,Republic of Moldova,B50,8.5
2012,Republic of Moldova,B50,7.5
2013,Republic of Moldova,B50,6.8
2014,Republic of Moldova,B50,4.7
2015,Republic of Moldova,B50,5.2
2016,Republic of Moldova,B50,4.2
2017,Republic of Moldova,B50,4.5
2018,Republic of Moldova,B50,3.8
2019,Republic of Moldova,B50,4.5
2021,Republic of Moldova,B50,4.3
2012,Montenegro,B50,22.7
2013,Montenegro,B50,19.9
2014,Montenegro,B50,21.3
2015,Montenegro,B50,20.5
2016,Montenegro,B50,18.9
2017,Montenegro,B50,18.9
2018,Montenegro,B50,19.9
1983,Netherlands,B50,6.2
1987,Netherlands,B50,5
1990,Netherlands,B50,7
1993,Netherlands,B50,8.7
1999,Netherlands,B50,6.2
2004,Netherlands,B50,8.6
2005,Netherlands,B50,7.8
2006,Netherlands,B50,7.8
2007,Netherlands,B50,7.8
2008,Netherlands,B50,8.4
2009,Netherlands,B50,8
2010,Netherlands,B50,8.5
2011,Netherlands,B50,7.4
2012,Netherlands,B50,7.9
2013,Netherlands,B50,8.2
2014,Netherlands,B50,7.9
2015,Netherlands,B50,7.9
2016,Netherlands,B50,8.5
2017,Netherlands,B50,7.8
2018,Netherlands,B50,8.1
2019,Netherlands,B50,8.7
2020,Netherlands,B50,8
1979,Norway,B50,5.7
1986,Norway,B50,4.5
1991,Norway,B50,4.7
1995,Norway,B50,5.5
2000,Norway,B50,5
2003,Norway,B50,5.8
2004,Norway,B50,5.9
2005,Norway,B50,6.3
2006,Norway,B50,8
2007,Norway,B50,6.8
2008,Norway,B50,7.2
2009,Norway,B50,7.1
2010,Norway,B50,7.1
2011,Norway,B50,6.9
2012,Norway,B50,7.1
2013,Norway,B50,7.1
2014,Norway,B50,7.6
2015,Norway,B50,8
2016,Norway,B50,9.2
2017,Norway,B50,8.2
2018,Norway,B50,8
2019,Norway,B50,8.3
2004,Poland,B50,17
2005,Poland,B50,15.4
2006,Poland,B50,14
2007,Poland,B50,12.9
2008,Poland,B50,12.4
2009,Poland,B50,12.9
2010,Poland,B50,12.4
2011,Poland,B50,13
2012,Poland,B50,13.3
2013,Poland,B50,13.4
2014,Poland,B50,13.3
2015,Poland,B50,12.9
2016,Poland,B50,9.9
2017,Poland,B50,9.4
2018,Poland,B50,9.5
2019,Poland,B50,8.8
2003,Portugal,B50,13.6
2004,Portugal,B50,12.8
2005,Portugal,B50,11.5
2006,Portugal,B50,11.5
2007,Portugal,B50,12.2
2008,Portugal,B50,11.9
2009,Portugal,B50,12.2
2010,Portugal,B50,11.9
2011,Portugal,B50,11.7
2012,Portugal,B50,13.6
2013,Portugal,B50,14.4
2014,Portugal,B50,14.2
2015,Portugal,B50,13.2
2016,Portugal,B50,12.5
2017,Portugal,B50,11
2018,Portugal,B50,11.5
2019,Portugal,B50,11.2
2020,Portugal,B50,12.3
2006,Romania,B50,20.1
2007,Romania,B50,18.4
2008,Romania,B50,17
2009,Romania,B50,16.8
2010,Romania,B50,17.9
2011,Romania,B50,18.2
2012,Romania,B50,18.9
2013,Romania,B50,20.9
2014,Romania,B50,21.3
2015,Romania,B50,20.5
2016,Romania,B50,18.8
2017,Romania,B50,19.2
2018,Romania,B50,18.1
2019,Romania,B50,18
2020,Romania,B50,18
2012,Serbia,B50,19.2
2013,Serbia,B50,19.9
2014,Serbia,B50,21.6
2015,Serbia,B50,20.4
2016,Serbia,B50,19.9
2017,Serbia,B50,18.2
2018,Serbia,B50,17
2019,Serbia,B50,15.2
2020,Serbia,B50,14.6
2004,Slovakia,B50,10.6
2005,Slovakia,B50,8.7
2006,Slovakia,B50,8.1
2007,Slovakia,B50,7.9
2008,Slovakia,B50,8.2
2009,Slovakia,B50,9.6
2010,Slovakia,B50,9.8
2011,Slovakia,B50,9.9
2012,Slovakia,B50,10.1
2013,Slovakia,B50,10.6
2014,Slovakia,B50,10.9
2015,Slovakia,B50,10.6
2016,Slovakia,B50,9.2
2017,Slovakia,B50,8.6
2018,Slovakia,B50,9.3
2019,Slovakia,B50,8.8
2004,Slovenia,B50,6.5
2005,Slovenia,B50,6.1
2006,Slovenia,B50,6
2007,Slovenia,B50,6.1
2008,Slovenia,B50,5.7
2009,Slovenia,B50,6.6
2010,Slovenia,B50,7.6
2011,Slovenia,B50,7.1
2012,Slovenia,B50,8.2
2013,Slovenia,B50,8.5
2014,Slovenia,B50,7.6
2015,Slovenia,B50,7.5
2016,Slovenia,B50,7
2017,Slovenia,B50,6.4
2018,Slovenia,B50,5.3
2019,Slovenia,B50,5.6
2020,Slovenia,B50,5.4
1980,Spain,B50,13.2
1985,Spain,B50,11.9
1990,Spain,B50,11.2
1995,Spain,B50,14.2
2000,Spain,B50,12
2003,Spain,B50,13.2
2004,Spain,B50,13.1
2005,Spain,B50,13
2006,Spain,B50,14
2007,Spain,B50,13.9
2008,Spain,B50,14.8
2009,Spain,B50,15
2010,Spain,B50,14.7
2011,Spain,B50,15.8
2012,Spain,B50,15.9
2013,Spain,B50,17.8
2014,Spain,B50,17.3
2015,Spain,B50,17.4
2016,Spain,B50,16.9
2017,Spain,B50,16.1
2018,Spain,B50,15.7
2019,Spain,B50,15.9
2020,Spain,B50,16.5
1975,Sweden,B50,5.2
1981,Sweden,B50,6.5
1987,Sweden,B50,5.2
1992,Sweden,B50,6.2
1995,Sweden,B50,7
2000,Sweden,B50,6.7
2003,Sweden,B50,7.2
2004,Sweden,B50,6.8
2005,Sweden,B50,8.5
2006,Sweden,B50,7.3
2007,Sweden,B50,8.2
2008,Sweden,B50,8.9
2009,Sweden,B50,9.2
2010,Sweden,B50,8.9
2011,Sweden,B50,9.4
2012,Sweden,B50,9.6
2013,Sweden,B50,10.1
2014,Sweden,B50,9.3
2015,Sweden,B50,9.6
2016,Sweden,B50,10.4
2017,Sweden,B50,10.1
2018,Sweden,B50,10.8
2019,Sweden,B50,10.2
2020,Sweden,B50,10.1
1982,Switzerland,B50,9.2
1992,Switzerland,B50,10
2000,Switzerland,B50,9.2
2002,Switzerland,B50,9.5
2006,Switzerland,B50,11.2
2007,Switzerland,B50,11.3
2008,Switzerland,B50,11.3
2009,Switzerland,B50,10
2010,Switzerland,B50,11
2011,Switzerland,B50,10.4
2012,Switzerland,B50,9.5
2013,Switzerland,B50,10
2014,Switzerland,B50,10.4
2015,Switzerland,B50,10.9
2016,Switzerland,B50,11.1
2017,Switzerland,B50,10.9
2018,Switzerland,B50,11.2
1999,Tajikistan,B50,9.5
2003,Tajikistan,B50,10
2004,Tajikistan,B50,10.7
2007,Tajikistan,B50,11
2009,Tajikistan,B50,9.2
2015,Tajikistan,B50,11.7
1987,Türkiye,B50,14.5
1994,Türkiye,B50,16.8
2002,Türkiye,B50,17.1
2003,Türkiye,B50,16.9
2004,Türkiye,B50,19.4
2005,Türkiye,B50,18.5
2006,Türkiye,B50,17.8
2007,Türkiye,B50,17.5
2008,Türkiye,B50,17.6
2009,Türkiye,B50,16.9
2010,Türkiye,B50,16.5
2011,Türkiye,B50,16
2012,Türkiye,B50,16
2013,Türkiye,B50,16.3
2014,Türkiye,B50,15.7
2015,Türkiye,B50,15.6
2016,Türkiye,B50,16
2017,Türkiye,B50,15.6
2018,Türkiye,B50,15.6
2019,Türkiye,B50,17.3
1998,Turkmenistan,B50,14.2
1992,Ukraine,B50,11.6
1993,Ukraine,B50,7.7
1995,Ukraine,B50,15.3
1996,Ukraine,B50,12.3
2002,Ukraine,B50,7.7
2003,Ukraine,B50,6.8
2004,Ukraine,B50,8.5
2005,Ukraine,B50,8
2006,Ukraine,B50,7.8
2007,Ukraine,B50,6.3
2008,Ukraine,B50,6
2009,Ukraine,B50,5.1
2010,Ukraine,B50,4.4
2011,Ukraine,B50,4.6
2012,Ukraine,B50,4.2
2013,Ukraine,B50,4.6
2014,Ukraine,B50,4.2
2015,Ukraine,B50,5
2016,Ukraine,B50,5.2
2017,Ukraine,B50,5.9
2018,Ukraine,B50,5
2019,Ukraine,B50,6.1
2020,Ukraine,B50,5.1
2009,North Macedonia,B50,21.7
2010,North Macedonia,B50,22.3
2011,North Macedonia,B50,20.6
2012,North Macedonia,B50,20
2013,North Macedonia,B50,18.2
2014,North Macedonia,B50,17.2
2015,North Macedonia,B50,17.1
2016,North Macedonia,B50,18.8
2017,North Macedonia,B50,17.7
2018,North Macedonia,B50,17.5
2019,North Macedonia,B50,18.4
1998,Uzbekistan,B50,21
2000,Uzbekistan,B50,11.4
2002,Uzbekistan,B50,8.1
2003,Uzbekistan,B50,10.4
2003,Uzbekistan,B50,10.4
