Year,GeoAreaName,Type of skill,Value
2010,Spain,EMAIL,0.91218
2011,Spain,COPA,0.92484
2011,Spain,CMFL,0.91687
2011,Spain,EMAIL,0.92966
2011,Spain,EPRS,0.86513
2011,Spain,TRAF,0.86134
2011,Spain,INST,0.80055
2011,Spain,PCPR,0.65157
2011,Spain,ARSP,0.88685
2021,Belarus,EPRS,1.05605
2021,Belarus,PCPR,0.33214
2021,Belarus,SOFT,0.67338
2021,Belarus,ARSP,1.12688
2010,Croatia,EMAIL,0.72795
2011,Croatia,EMAIL,0.78957
2011,Croatia,TRAF,0.67293
2011,Croatia,PCPR,0.66069
2011,Croatia,INST,0.57495
2011,Croatia,EPRS,0.68958
2011,Croatia,ARSP,0.72894
2012,Spain,EPRS,0.83258
2012,Spain,INST,0.75774
2012,Spain,PCPR,0.62041
2012,Spain,COPA,0.91035
2012,Spain,CMFL,0.91204
2012,Spain,TRAF,0.84926
2012,Spain,ARSP,0.83821
2013,Spain,EMAIL,0.91674
2014,Spain,COPA,0.94607
2014,Spain,CMFL,0.92999
2014,Spain,EPRS,0.91871
2014,Spain,ARSP,0.88324
2011,Croatia,COPA,0.75789
2011,Croatia,CMFL,0.7824
2012,Croatia,COPA,0.73553
2012,Croatia,CMFL,0.72708
2012,Croatia,ARSP,0.67036
2012,Croatia,EPRS,0.65341
2012,Croatia,TRAF,0.65129
2012,Croatia,PCPR,0.57539
2012,Croatia,INST,0.47943
2013,Croatia,EMAIL,0.79498
2014,Croatia,CMFL,0.92967
2014,Croatia,ARSP,0.87205
2014,Spain,TRAF,0.87746
2014,Spain,INST,0.81199
2014,Spain,PCPR,0.6149
2015,Spain,EPRS,0.90941
2015,Spain,PCPR,0.40189
2015,Spain,SOFT,0.78495
2015,Spain,COPA,0.90235
2015,Spain,ARSP,0.80709
2015,Spain,CMFL,0.88881
2015,Spain,TRAF,0.89512
2016,Spain,EPRS,0.88592
2016,Spain,SOFT,0.81892
2016,Spain,CMFL,0.88029
2016,Spain,PCPR,0.4432
2016,Spain,TRAF,0.86459
2019,Spain,EPRS,0.97044
2019,Spain,TRAF,0.91705
2019,Spain,CMFL,0.91439
2019,Spain,SOFT,0.89677
2019,Spain,PCPR,0.50718
2019,Spain,ARSP,0.87031
2020,Spain,PRVCY,0.98752
2020,Spain,ARSP,0.86394
2014,Croatia,EPRS,0.85288
2014,Croatia,COPA,0.83148
2014,Croatia,INST,0.71545
2014,Croatia,PCPR,0.48611
2014,Croatia,TRAF,0.8849
2015,Croatia,ARSP,0.84339
2015,Croatia,EPRS,0.83983
2015,Croatia,COPA,0.83577
2015,Croatia,CMFL,0.79659
2015,Croatia,TRAF,0.76308
2015,Croatia,SOFT,0.70091
2015,Croatia,PCPR,0.32424
2016,Croatia,EPRS,0.85301
2016,Croatia,COPA,0.84163
2016,Croatia,CMFL,0.82128
2016,Croatia,TRAF,0.81857
2016,Croatia,ARSP,0.80211
2016,Croatia,SOFT,0.77923
2016,Croatia,PCPR,0.33344
2017,Croatia,COPA,0.72695
2017,Croatia,CMFL,0.70586
2017,Croatia,TRAF,0.68818
2017,Croatia,EPRS,0.65403
2020,Spain,PCPR,0.47923
2020,Spain,TRAF,0.9464
2020,Spain,SCRTY,0.91989
2020,Spain,EPRS,0.91502
2020,Spain,COPA,0.90805
2020,Spain,SOFT,0.90672
2021,Spain,PCPR,0.42564
2021,Spain,PRVCY,0.99549
2021,Spain,COPA,0.94776
2021,Spain,EPRS,0.92628
2021,Spain,SOFT,0.91831
2017,Croatia,SOFT,0.65403
2017,Croatia,ARSP,0.63432
2017,Croatia,PCPR,0.21108
2019,Croatia,EPRS,0.91165
2019,Croatia,COPA,0.85079
2019,Croatia,TRAF,0.81661
2019,Croatia,ARSP,0.80781
2019,Croatia,SOFT,0.80679
2019,Croatia,PCPR,0.67873
2021,Croatia,EPRS,1.29122
2021,Croatia,VRFY,1.03527
2021,Croatia,COPA,0.89279
2021,Croatia,ARSP,0.88198
2021,Croatia,SOFT,0.77559
2021,Croatia,PRVCY,0.68207
2021,Croatia,PCPR,0.57039
2010,Cyprus,EMAIL,0.94171
2011,Cyprus,COPA,0.97601
2011,Cyprus,CMFL,0.95991
2011,Cyprus,ARSP,0.9585
2011,Cyprus,EPRS,0.92476
2011,Cyprus,EMAIL,0.90416
2011,Cyprus,TRAF,0.83112
2011,Cyprus,INST,0.78344
2011,Cyprus,PCPR,0.43944
2012,Cyprus,ARSP,0.96724
2012,Cyprus,COPA,0.92727
2012,Cyprus,CMFL,0.92672
2012,Cyprus,EPRS,0.91403
2012,Cyprus,TRAF,0.85666
2012,Cyprus,INST,0.66751
2012,Cyprus,PCPR,0.45091
2013,Cyprus,EMAIL,1.01596
2014,Cyprus,EPRS,1.02902
2021,Spain,ARSP,0.86286
2021,Spain,VRFY,0.84487
2010,Sweden,EMAIL,0.98803
2011,Sweden,PCPR,0.43979
2011,Sweden,EMAIL,0.98675
2011,Sweden,COPA,0.99239
2011,Sweden,EPRS,0.88702
2011,Sweden,CMFL,0.94117
2011,Sweden,TRAF,0.85996
2011,Sweden,ARSP,0.83298
2011,Sweden,INST,0.5996
2014,Cyprus,ARSP,0.99329
2014,Cyprus,COPA,0.96096
2014,Cyprus,CMFL,0.94523
2014,Cyprus,PCPR,0.44912
2014,Cyprus,INST,0.7228
2014,Cyprus,TRAF,0.87902
2015,Cyprus,EPRS,1.02454
2015,Cyprus,ARSP,0.97495
2015,Cyprus,CMFL,0.9176
2015,Cyprus,TRAF,0.84776
2015,Cyprus,SOFT,0.74624
2015,Cyprus,PCPR,0.5418
2012,Sweden,PCPR,0.41511
2012,Sweden,EPRS,0.999
2012,Sweden,COPA,0.96464
2012,Sweden,ARSP,0.85348
2012,Sweden,TRAF,0.89859
2012,Sweden,CMFL,0.93324
2012,Sweden,INST,0.6485
2013,Sweden,EMAIL,0.94317
2014,Sweden,CMFL,0.87594
2014,Sweden,PCPR,0.42513
2014,Sweden,INST,0.647
2014,Sweden,COPA,1.01748
2015,Cyprus,COPA,1.03407
2016,Cyprus,ARSP,1.20377
2016,Cyprus,EPRS,1.16288
2016,Cyprus,CMFL,0.9955
2016,Cyprus,TRAF,0.95755
2016,Cyprus,SOFT,0.87752
2016,Cyprus,PCPR,0.38625
2019,Cyprus,EPRS,1.09988
2019,Cyprus,ARSP,1.04996
2019,Cyprus,COPA,1.03693
2019,Cyprus,TRAF,0.9479
2014,Sweden,EPRS,0.91589
2014,Sweden,ARSP,0.79393
2014,Sweden,TRAF,0.90314
2015,Sweden,SOFT,0.92088
2015,Sweden,PCPR,0.31986
2015,Sweden,ARSP,0.80924
2015,Sweden,TRAF,0.88189
2015,Sweden,CMFL,0.84986
2015,Sweden,EPRS,0.99159
2015,Sweden,COPA,0.98725
2017,Sweden,ARSP,0.74894
2017,Sweden,PCPR,0.27423
2019,Cyprus,SOFT,0.92212
2019,Cyprus,PCPR,0.39224
2010,Czechia,EMAIL,0.91896
2011,Czechia,ARSP,0.96396
2011,Czechia,COPA,0.95229
2011,Czechia,EMAIL,0.94485
2011,Czechia,CMFL,0.9415
2011,Czechia,EPRS,0.74037
2011,Czechia,TRAF,0.69163
2011,Czechia,PCPR,0.30471
2011,Czechia,INST,0.55768
2012,Czechia,ARSP,0.9681
2012,Czechia,COPA,0.93666
2012,Czechia,TRAF,0.76883
2012,Czechia,EPRS,0.75524
2012,Czechia,INST,0.51434
2012,Czechia,PCPR,0.18965
2012,Czechia,CMFL,0.95275
2013,Czechia,EMAIL,0.99115
2014,Czechia,COPA,0.90922
2014,Czechia,CMFL,0.9081
2014,Czechia,ARSP,0.90416
2014,Czechia,TRAF,0.78518
2014,Czechia,EPRS,0.70513
2017,Sweden,INST,0.92313
2017,Sweden,EPRS,0.85434
2017,Sweden,CMFL,0.81302
2017,Sweden,TRAF,0.76971
2021,Sweden,SOFT,0.82644
2021,Sweden,COPA,0.87214
2021,Sweden,ARSP,0.76977
2021,Sweden,PCPR,0.25819
2014,Switzerland,EMAIL,0.90514
2017,Switzerland,EPRS,0.93295
2017,Switzerland,SOFT,0.86433
2017,Switzerland,PCPR,0.34636
2017,Switzerland,TRAF,0.86225
2017,Switzerland,ARSP,0.82095
2017,Switzerland,CMFL,0.89514
2019,Switzerland,EPRS,0.88211
2019,Switzerland,TRAF,0.86611
2019,Switzerland,SOFT,0.84247
2019,Switzerland,ARSP,0.83295
2019,Switzerland,PCPR,0.37341
2021,Switzerland,EMAIL,0.97291
2021,Switzerland,TRAF,0.96973
2021,Switzerland,EPRS,0.8457
2021,Switzerland,SOFT,0.80389
2021,Switzerland,ARSP,0.72706
2021,Switzerland,VRFY,0.6458
2021,Switzerland,PCPR,0.21903
2010,Türkiye,EMAIL,0.56447
2012,Türkiye,PCPR,0.45426
2012,Türkiye,TRAF,0.53402
2012,Türkiye,CMFL,0.59103
2012,Türkiye,COPA,0.58311
2012,Türkiye,EPRS,0.59264
2013,Türkiye,EMAIL,0.58852
2016,Türkiye,EPRS,0.66734
2016,Türkiye,CMFL,0.64499
2016,Türkiye,TRAF,0.61197
2016,Türkiye,PCPR,0.40406
2017,Türkiye,TRAF,0.64627
2017,Türkiye,EPRS,0.67066
2017,Türkiye,CMFL,0.66937
2017,Türkiye,PCPR,0.40931
2019,Türkiye,EPRS,0.72176
2019,Türkiye,CMFL,0.68841
2014,Czechia,INST,0.52792
2014,Czechia,PCPR,0.18258
2015,Czechia,COPA,0.96374
2015,Czechia,ARSP,0.92432
2015,Czechia,CMFL,0.91132
2015,Czechia,TRAF,0.85386
2015,Czechia,EPRS,0.85114
2015,Czechia,SOFT,0.51853
2015,Czechia,PCPR,0.10559
2017,Czechia,ARSP,0.86743
2017,Czechia,CMFL,0.85731
2017,Czechia,TRAF,0.82185
2019,Türkiye,PCPR,0.39883
2019,Türkiye,TRAF,0.67256
2021,Türkiye,PCPR,0.37287
2021,Türkiye,TRAF,0.7304
2021,Türkiye,SOFT,0.70069
2021,Türkiye,EPRS,0.75373
2020,Ukraine,COPA,0.93533
2020,Ukraine,TRAF,0.81131
2020,Ukraine,PCPR,0.39906
2020,Ukraine,PRVCY,0.38858
2020,Ukraine,EPRS,0.94224
2017,Czechia,EPRS,0.76453
2017,Czechia,PCPR,0.13387
2019,Czechia,ARSP,0.91414
2019,Czechia,COPA,0.83486
2019,Czechia,EPRS,0.74991
2019,Czechia,PCPR,0.30826
2019,Czechia,TRAF,0.86921
2021,Czechia,TRAF,0.91438
2021,Czechia,ARSP,0.89954
2021,Czechia,COPA,0.89621
2021,Czechia,VRFY,0.86154
2020,Ukraine,ARSP,0.97628
2020,Ukraine,EMAIL,0.96581
2020,Ukraine,INST,0.58235
2020,Ukraine,SOFT,0.50224
2021,Ukraine,EPRS,0.99757
2021,Ukraine,EMAIL,0.96266
2021,Ukraine,COPA,0.9235
2021,Ukraine,SOFT,0.54755
2021,Ukraine,INST,0.64977
2021,Ukraine,PCPR,0.38877
2021,Ukraine,TRAF,0.85274
2021,Czechia,SOFT,0.84176
2021,Czechia,EPRS,0.81497
2021,Czechia,PCPR,0.2651
2010,Denmark,EMAIL,0.98754
2011,Denmark,COPA,0.99791
2011,Denmark,EMAIL,0.98076
2011,Denmark,CMFL,0.97069
2011,Denmark,EPRS,0.9073
2011,Denmark,TRAF,0.89495
2011,Denmark,ARSP,0.88096
2011,Denmark,INST,0.76639
2021,Ukraine,ARSP,0.90498
2021,Ukraine,PRVCY,0.31304
2010,North Macedonia,EMAIL,0.93106
2012,North Macedonia,PCPR,0.5626
2012,North Macedonia,EPRS,0.89027
2012,North Macedonia,TRAF,0.81669
2012,North Macedonia,COPA,0.84205
2012,North Macedonia,CMFL,0.8376
2012,North Macedonia,ARSP,0.82204
2012,North Macedonia,INST,0.59411
2013,North Macedonia,EMAIL,0.9143
2011,Denmark,PCPR,0.35833
2012,Denmark,COPA,0.97037
2012,Denmark,CMFL,0.96157
2012,Denmark,EPRS,0.90939
2012,Denmark,TRAF,0.89041
2012,Denmark,ARSP,0.85196
2012,Denmark,INST,0.75944
2012,Denmark,PCPR,0.38545
2013,Denmark,EMAIL,0.98577
2014,Denmark,CMFL,0.95966
2014,Denmark,COPA,0.984
2014,Denmark,TRAF,0.90665
2014,North Macedonia,COPA,0.87009
2014,North Macedonia,EPRS,0.97588
2014,North Macedonia,ARSP,0.85619
2014,North Macedonia,CMFL,0.85837
2014,North Macedonia,PCPR,0.78092
2014,North Macedonia,INST,0.57918
2014,North Macedonia,TRAF,0.74789
2015,North Macedonia,EPRS,1.06145
2015,North Macedonia,ARSP,1.00578
2015,North Macedonia,CMFL,0.84663
2015,North Macedonia,SOFT,0.79438
2014,Denmark,ARSP,0.84913
2014,Denmark,INST,0.7498
2014,Denmark,PCPR,0.36451
2014,Denmark,EPRS,0.90862
2015,Denmark,COPA,0.93043
2015,Denmark,CMFL,0.92724
2015,Denmark,EPRS,0.91428
2015,Denmark,TRAF,0.91087
2015,Denmark,SOFT,0.90814
2015,Denmark,ARSP,0.85264
2015,Denmark,PCPR,0.44975
2016,Denmark,EPRS,0.94772
2016,Denmark,CMFL,0.93542
2016,Denmark,SOFT,0.89527
2016,Denmark,TRAF,0.88203
2016,Denmark,ARSP,0.8639
2016,Denmark,PCPR,0.45805
2016,Denmark,COPA,0.94537
2017,Denmark,CMFL,0.90836
2017,Denmark,EPRS,0.89541
2017,Denmark,SOFT,0.85917
2017,Denmark,ARSP,0.7974
2017,Denmark,PCPR,0.40237
2020,Denmark,PRVCY,1.03858
2021,Denmark,PRVCY,0.99354
2021,Denmark,EPRS,0.87455
2021,Denmark,SOFT,0.81971
2021,Denmark,TRAF,0.86923
2021,Denmark,VRFY,0.75502
2021,Denmark,ARSP,0.73308
2021,Denmark,PCPR,0.47895
2010,Estonia,EMAIL,1.03465
2011,Estonia,COPA,1.00334
2011,Estonia,EMAIL,1.00068
2015,North Macedonia,COPA,1.03271
2015,North Macedonia,TRAF,0.83787
2015,North Macedonia,PCPR,0.59526
2016,North Macedonia,PCPR,0.84582
2016,North Macedonia,SOFT,0.80826
2016,North Macedonia,TRAF,0.97324
2016,North Macedonia,ARSP,0.98813
2016,North Macedonia,COPA,1.03138
