Year,GeoAreaName,Sex,Type of occupation,Value
2007,Bosnia and Herzegovina,FEMALE,PHYS,89.20
2008,Bosnia and Herzegovina,FEMALE,PHYS,89.50
2008,Bosnia and Herzegovina,MALE,PHYS,10.50
2009,Bosnia and Herzegovina,MALE,PHYS,11.70
2009,Bosnia and Herzegovina,FEMALE,PHYS,88.30
2010,Bosnia and Herzegovina,FEMALE,PHYS,88.80
2010,Bosnia and Herzegovina,MALE,PHYS,11.20
2011,Bosnia and Herzegovina,FEMALE,PHYS,88.20
2011,Romania,FEMALE,NURS,91.40
2012,Romania,MALE,PHYS,31.30
2012,Romania,FEMALE,PHYS,68.70
2013,Romania,MALE,PHYS,31.20
2013,Romania,FEMALE,PHYS,68.80
2016,Romania,MALE,PHYS,33.10
2016,Romania,MALE,NURS,10.60
2016,Romania,FEMALE,NURS,89.40
2016,Romania,FEMALE,PHYS,66.90
2011,Bosnia and Herzegovina,MALE,PHYS,11.80
2012,Bosnia and Herzegovina,FEMALE,PHYS,87.90
2012,Bosnia and Herzegovina,MALE,PHYS,12.10
2013,Bosnia and Herzegovina,FEMALE,PHYS,87.70
2013,Bosnia and Herzegovina,MALE,PHYS,12.30
2013,Bosnia and Herzegovina,MALE,NURS,20.50
2013,Bosnia and Herzegovina,FEMALE,NURS,79.50
2014,Bosnia and Herzegovina,MALE,NURS,21.80
2014,Bosnia and Herzegovina,FEMALE,NURS,78.20
2015,Bosnia and Herzegovina,MALE,NURS,21.40
2015,Bosnia and Herzegovina,FEMALE,NURS,78.60
2015,Bosnia and Herzegovina,MALE,PHYS,12.30
2015,Bosnia and Herzegovina,FEMALE,PHYS,87.70
2016,Bosnia and Herzegovina,MALE,NURS,21.80
2016,Bosnia and Herzegovina,FEMALE,NURS,78.20
2017,Bosnia and Herzegovina,MALE,NURS,22.30
2003,Serbia,FEMALE,PHYS,61.90
2003,Serbia,MALE,PHYS,38.10
2004,Serbia,MALE,PHYS,37.00
2004,Serbia,FEMALE,PHYS,63.00
2005,Serbia,MALE,PHYS,36.50
2005,Serbia,FEMALE,PHYS,63.50
2006,Serbia,MALE,PHYS,36.30
2006,Serbia,FEMALE,PHYS,63.70
2007,Serbia,FEMALE,PHYS,63.80
2007,Serbia,MALE,PHYS,36.20
2008,Serbia,MALE,PHYS,36.00
2008,Serbia,FEMALE,PHYS,64.00
2009,Serbia,MALE,PHYS,35.90
2009,Serbia,FEMALE,PHYS,64.10
2010,Serbia,MALE,PHYS,35.80
2010,Serbia,FEMALE,PHYS,64.20
2011,Serbia,FEMALE,PHYS,64.50
2011,Serbia,MALE,PHYS,35.50
2017,Bosnia and Herzegovina,FEMALE,NURS,77.70
2018,Bosnia and Herzegovina,FEMALE,NURS,77.50
2018,Bosnia and Herzegovina,MALE,NURS,22.50
2014,Bulgaria,MALE,PHYS,44.40
2014,Bulgaria,FEMALE,PHYS,55.60
2015,Bulgaria,MALE,PHYS,44.90
2015,Bulgaria,MALE,NURS,0.40
2015,Bulgaria,FEMALE,NURS,99.60
2015,Bulgaria,FEMALE,PHYS,55.10
2012,Serbia,MALE,PHYS,35.40
2012,Serbia,FEMALE,PHYS,64.60
2013,Serbia,FEMALE,PHYS,64.80
2013,Serbia,MALE,PHYS,35.20
2014,Serbia,FEMALE,PHYS,64.90
2014,Serbia,MALE,PHYS,35.10
2015,Serbia,MALE,PHYS,34.80
2015,Serbia,FEMALE,PHYS,65.20
2016,Serbia,FEMALE,PHYS,65.80
2016,Bulgaria,FEMALE,NURS,99.60
2016,Bulgaria,MALE,NURS,0.40
2017,Bulgaria,MALE,NURS,0.60
2017,Bulgaria,FEMALE,NURS,99.40
2018,Bulgaria,FEMALE,NURS,99.40
2018,Bulgaria,MALE,NURS,0.60
2009,Belarus,FEMALE,NURS,99.40
2009,Belarus,MALE,NURS,0.60
2011,Belarus,FEMALE,PHYS,70.20
2011,Belarus,MALE,PHYS,29.80
2012,Belarus,FEMALE,PHYS,70.70
2012,Belarus,MALE,PHYS,29.30
2013,Belarus,MALE,PHYS,28.90
2013,Belarus,FEMALE,PHYS,71.10
2014,Belarus,FEMALE,PHYS,71.60
2014,Belarus,MALE,PHYS,28.40
2015,Belarus,MALE,PHYS,27.50
2015,Belarus,FEMALE,PHYS,72.50
2016,Serbia,MALE,PHYS,34.20
2016,Slovakia,MALE,NURS,14.70
2016,Slovakia,FEMALE,NURS,85.30
2018,Slovenia,MALE,NURS,14.60
2018,Slovenia,FEMALE,NURS,85.40
2016,Spain,FEMALE,NURS,83.60
2016,Spain,MALE,NURS,16.40
2016,Sweden,MALE,NURS,11.50
2016,Sweden,FEMALE,NURS,88.50
2017,Sweden,MALE,NURS,11.60
2017,Sweden,FEMALE,NURS,88.40
2016,Switzerland,MALE,NURS,1.40
2016,Switzerland,FEMALE,NURS,98.60
2014,Tajikistan,MALE,PHYS,60.80
2014,Tajikistan,FEMALE,PHYS,39.20
2018,Tajikistan,FEMALE,NURS,84.00
2018,Tajikistan,MALE,NURS,16.00
2017,Türkiye,MALE,NURS,15.60
2017,Türkiye,FEMALE,NURS,84.40
2018,Türkiye,FEMALE,NURS,85.20
2018,Türkiye,MALE,NURS,14.80
2018,Türkiye,MALE,PHYS,64.20
2018,Türkiye,FEMALE,PHYS,35.80
2019,Türkiye,MALE,PHYS,61.70
2019,Türkiye,MALE,NURS,15.70
2019,Türkiye,FEMALE,NURS,84.30
2019,Türkiye,FEMALE,PHYS,38.30
2008,Turkmenistan,FEMALE,PHYS,56.20
2008,Turkmenistan,MALE,PHYS,43.80
2009,Turkmenistan,MALE,PHYS,43.60
2009,Turkmenistan,FEMALE,PHYS,56.40
2010,Turkmenistan,MALE,PHYS,43.80
2010,Turkmenistan,FEMALE,PHYS,56.20
2011,Turkmenistan,MALE,PHYS,43.50
2011,Turkmenistan,FEMALE,PHYS,56.50
2012,Turkmenistan,MALE,PHYS,43.70
2000,Croatia,FEMALE,PHYS,55.50
2000,Croatia,MALE,PHYS,44.50
2001,Croatia,MALE,PHYS,44.00
2001,Croatia,FEMALE,PHYS,56.00
2002,Croatia,FEMALE,PHYS,56.40
2002,Croatia,MALE,PHYS,43.60
2003,Croatia,MALE,PHYS,43.10
2003,Croatia,FEMALE,PHYS,56.90
2004,Croatia,FEMALE,PHYS,57.50
2012,Turkmenistan,FEMALE,PHYS,56.30
2013,Turkmenistan,FEMALE,PHYS,57.70
2013,Turkmenistan,MALE,PHYS,42.30
2014,Turkmenistan,FEMALE,PHYS,57.30
2014,Turkmenistan,MALE,PHYS,42.70
2000,Ukraine,FEMALE,PHYS,61.00
2000,Ukraine,MALE,PHYS,39.00
2001,Ukraine,FEMALE,PHYS,60.80
2001,Ukraine,MALE,PHYS,39.20
2004,Croatia,MALE,PHYS,42.50
2005,Croatia,MALE,PHYS,42.40
2005,Croatia,FEMALE,PHYS,57.60
2006,Croatia,FEMALE,PHYS,58.20
2006,Croatia,MALE,PHYS,41.80
2007,Croatia,MALE,PHYS,41.30
2007,Croatia,FEMALE,PHYS,58.70
2008,Croatia,FEMALE,PHYS,59.10
2008,Croatia,MALE,PHYS,40.90
2002,Ukraine,FEMALE,PHYS,60.80
2002,Ukraine,MALE,PHYS,39.20
2003,Ukraine,MALE,PHYS,38.90
2003,Ukraine,FEMALE,PHYS,61.10
2004,Ukraine,FEMALE,PHYS,60.90
2004,Ukraine,MALE,PHYS,39.10
2005,Ukraine,MALE,PHYS,39.00
2005,Ukraine,FEMALE,PHYS,61.00
2006,Ukraine,FEMALE,PHYS,61.10
2006,Ukraine,MALE,PHYS,38.90
2007,Ukraine,MALE,PHYS,38.90
2007,Ukraine,FEMALE,PHYS,61.10
2008,Ukraine,FEMALE,PHYS,60.60
2008,Ukraine,MALE,PHYS,39.40
2009,Ukraine,FEMALE,PHYS,60.40
2009,Ukraine,MALE,PHYS,39.60
2010,Ukraine,FEMALE,PHYS,60.60
2010,Ukraine,MALE,PHYS,39.40
2011,Ukraine,MALE,PHYS,39.20
2011,Ukraine,FEMALE,PHYS,60.80
2012,Ukraine,FEMALE,PHYS,60.90
2012,Ukraine,MALE,PHYS,39.10
2013,Ukraine,MALE,PHYS,38.70
2013,Ukraine,FEMALE,PHYS,61.30
2014,Ukraine,FEMALE,PHYS,61.10
2014,Ukraine,MALE,PHYS,38.90
2000,North Macedonia,FEMALE,PHYS,56.10
2009,Croatia,MALE,PHYS,40.40
2009,Croatia,FEMALE,PHYS,59.60
2010,Croatia,FEMALE,PHYS,60.20
2010,Croatia,MALE,PHYS,39.80
2011,Croatia,MALE,PHYS,39.20
2011,Croatia,FEMALE,PHYS,60.80
2012,Croatia,MALE,PHYS,38.90
2012,Croatia,FEMALE,PHYS,61.10
2013,Croatia,FEMALE,PHYS,61.60
2000,North Macedonia,MALE,PHYS,43.90
2001,North Macedonia,MALE,PHYS,42.50
2001,North Macedonia,FEMALE,PHYS,57.50
2002,North Macedonia,MALE,PHYS,41.70
2002,North Macedonia,FEMALE,PHYS,58.30
2003,North Macedonia,FEMALE,PHYS,58.60
2003,North Macedonia,MALE,PHYS,41.40
2004,North Macedonia,FEMALE,PHYS,58.40
2004,North Macedonia,MALE,PHYS,41.60
2013,Croatia,MALE,PHYS,38.40
2014,Croatia,MALE,PHYS,38.00
2014,Croatia,FEMALE,PHYS,62.00
2015,Croatia,FEMALE,PHYS,62.40
2015,Croatia,MALE,PHYS,37.60
2016,Croatia,MALE,PHYS,32.50
2016,Croatia,FEMALE,PHYS,67.50
2016,Croatia,FEMALE,NURS,92.80
2016,Croatia,MALE,NURS,7.20
2005,North Macedonia,FEMALE,PHYS,58.40
2005,North Macedonia,MALE,PHYS,41.60
2006,North Macedonia,MALE,PHYS,52.00
2006,North Macedonia,FEMALE,PHYS,48.00
2007,North Macedonia,FEMALE,PHYS,59.50
2007,North Macedonia,MALE,PHYS,40.50
2008,North Macedonia,MALE,PHYS,40.20
2008,North Macedonia,FEMALE,PHYS,59.80
2009,North Macedonia,MALE,PHYS,40.60
2000,Cyprus,MALE,PHYS,67.20
2000,Cyprus,FEMALE,PHYS,32.80
2014,Cyprus,MALE,PHYS,62.80
2014,Cyprus,FEMALE,PHYS,37.20
2015,Cyprus,FEMALE,PHYS,37.60
2015,Cyprus,MALE,PHYS,62.40
2016,Cyprus,MALE,PHYS,55.30
2016,Cyprus,FEMALE,NURS,80.30
2016,Cyprus,MALE,NURS,19.70
2009,North Macedonia,FEMALE,PHYS,59.40
2010,North Macedonia,MALE,PHYS,40.70
2010,North Macedonia,FEMALE,PHYS,59.30
2011,North Macedonia,MALE,PHYS,41.00
2011,North Macedonia,FEMALE,PHYS,59.00
2012,North Macedonia,MALE,PHYS,40.20
2012,North Macedonia,FEMALE,PHYS,59.80
2013,North Macedonia,FEMALE,PHYS,60.30
2013,North Macedonia,MALE,PHYS,39.70
2016,Cyprus,FEMALE,PHYS,44.70
2016,Czechia,MALE,NURS,1.50
2016,Czechia,MALE,PHYS,46.40
2016,Czechia,FEMALE,PHYS,53.60
2016,Czechia,FEMALE,NURS,98.50
2017,Czechia,FEMALE,NURS,98.00
2017,Czechia,MALE,NURS,2.00
2019,Czechia,FEMALE,NURS,97.90
2019,Czechia,FEMALE,PHYS,56.30
2019,Czechia,MALE,PHYS,43.70
2019,Czechia,MALE,NURS,2.10
2020,Czechia,MALE,PHYS,43.00
2020,Czechia,FEMALE,NURS,98.00
2020,Czechia,FEMALE,PHYS,57.00
2020,Czechia,MALE,NURS,2.00
2016,Denmark,FEMALE,NURS,94.70
2016,Denmark,MALE,NURS,5.30
2017,Denmark,MALE,NURS,4.30
2017,Denmark,FEMALE,NURS,95.70
2016,Estonia,MALE,NURS,1.70
2016,Estonia,FEMALE,NURS,98.30
2018,Estonia,MALE,NURS,2.80
2018,Estonia,FEMALE,NURS,97.20
2020,Estonia,FEMALE,NURS,96.20
2020,Estonia,MALE,NURS,3.80
2020,Estonia,MALE,PHYS,27.50
2020,Estonia,FEMALE,PHYS,72.50
2013,Finland,MALE,NURS,6.90
2013,Finland,FEMALE,NURS,93.10
2014,Finland,FEMALE,PHYS,64.70
2014,Finland,MALE,NURS,7.20
2014,Finland,FEMALE,NURS,92.80
2014,Finland,MALE,PHYS,35.30
2015,Finland,MALE,NURS,7.40
2015,Finland,FEMALE,NURS,92.60
2016,Finland,FEMALE,NURS,92.40
2008,Uzbekistan,MALE,PHYS,45.80
2008,Uzbekistan,FEMALE,PHYS,54.20
2009,Uzbekistan,MALE,PHYS,45.90
2009,Uzbekistan,FEMALE,PHYS,54.10
2010,Uzbekistan,FEMALE,PHYS,54.10
2010,Uzbekistan,MALE,PHYS,45.90
2011,Uzbekistan,MALE,PHYS,46.30
2011,Uzbekistan,FEMALE,PHYS,53.70
2012,Uzbekistan,MALE,PHYS,47.00
2016,Finland,MALE,NURS,7.60
2016,Finland,MALE,PHYS,43.40
2016,Finland,FEMALE,PHYS,56.60
2017,Finland,FEMALE,NURS,92.30
2017,Finland,MALE,NURS,7.70
2006,France,FEMALE,NURS,86.10
2006,France,FEMALE,PHYS,48.30
2006,France,MALE,NURS,13.90
2006,France,MALE,PHYS,51.70
2011,France,MALE,NURS,12.90
2011,France,FEMALE,NURS,87.10
2011,France,FEMALE,PHYS,40.70
2011,France,MALE,PHYS,59.30
2014,France,FEMALE,PHYS,47.00
2014,France,MALE,PHYS,53.00
2014,France,MALE,NURS,13.40
2014,France,FEMALE,NURS,86.60
2016,France,MALE,NURS,12.40
2016,France,FEMALE,NURS,87.60
2021,Georgia,FEMALE,PHYS,73.90
2021,Georgia,MALE,PHYS,26.10
2021,Georgia,MALE,NURS,0.00
2021,Georgia,FEMALE,NURS,100.00
2014,Germany,MALE,NURS,14.20
2014,Germany,FEMALE,NURS,85.80
2015,Germany,MALE,NURS,14.50
2015,Germany,FEMALE,NURS,85.50
2016,Germany,FEMALE,NURS,85.50
2016,Germany,MALE,NURS,14.50
2017,Germany,MALE,NURS,15.00
2017,Germany,FEMALE,NURS,85.00
2018,Germany,MALE,NURS,15.50
2018,Germany,FEMALE,NURS,84.50
2019,Germany,FEMALE,NURS,84.10
2019,Germany,MALE,NURS,15.90
2020,Germany,MALE,NURS,65.80
2020,Germany,FEMALE,NURS,34.20
2020,Germany,FEMALE,PHYS,48.10
2020,Germany,MALE,PHYS,51.90
2011,Greece,FEMALE,PHYS,38.80
2011,Greece,FEMALE,NURS,86.50
2011,Greece,MALE,PHYS,61.20
2011,Greece,MALE,NURS,13.50
2016,Greece,FEMALE,NURS,82.30
2016,Greece,MALE,NURS,17.70
2016,Hungary,FEMALE,NURS,97.60
2016,Hungary,MALE,NURS,2.40
2019,Hungary,FEMALE,NURS,91.00
2019,Hungary,MALE,NURS,9.00
2016,Iceland,FEMALE,NURS,98.20
2016,Iceland,MALE,NURS,1.80
2018,Iceland,MALE,NURS,2.50
2018,Iceland,FEMALE,NURS,97.50
2019,Iceland,FEMALE,NURS,97.10
2019,Iceland,MALE,NURS,2.90
2006,Ireland,FEMALE,NURS,88.50
2006,Ireland,MALE,NURS,11.50
2011,Ireland,FEMALE,NURS,92.40
2011,Ireland,MALE,NURS,7.60
2016,Ireland,FEMALE,NURS,91.00
2016,Ireland,MALE,NURS,9.00
2018,Ireland,FEMALE,NURS,90.60
2018,Ireland,MALE,NURS,9.40
2000,Kyrgyzstan,FEMALE,PHYS,62.80
2000,Kyrgyzstan,MALE,PHYS,37.20
2001,Kyrgyzstan,MALE,PHYS,36.70
2001,Kyrgyzstan,FEMALE,PHYS,63.30
2002,Kyrgyzstan,FEMALE,PHYS,63.90
2002,Kyrgyzstan,MALE,PHYS,36.10
2003,Kyrgyzstan,MALE,PHYS,35.60
2003,Kyrgyzstan,FEMALE,PHYS,64.40
2004,Kyrgyzstan,FEMALE,PHYS,64.00
2004,Kyrgyzstan,MALE,PHYS,36.00
2005,Kyrgyzstan,MALE,PHYS,35.70
2005,Kyrgyzstan,FEMALE,PHYS,64.30
2006,Kyrgyzstan,MALE,PHYS,35.70
2006,Kyrgyzstan,FEMALE,PHYS,64.30
2007,Kyrgyzstan,MALE,PHYS,35.90
2007,Kyrgyzstan,FEMALE,PHYS,64.10
2008,Kyrgyzstan,MALE,PHYS,35.90
2008,Kyrgyzstan,FEMALE,PHYS,64.10
2009,Kyrgyzstan,MALE,PHYS,35.70
2009,Kyrgyzstan,FEMALE,PHYS,64.30
2010,Kyrgyzstan,FEMALE,PHYS,64.20
2010,Kyrgyzstan,MALE,PHYS,35.80
2011,Kyrgyzstan,FEMALE,PHYS,65.30
2011,Kyrgyzstan,MALE,PHYS,34.70
2012,Kyrgyzstan,MALE,PHYS,34.90
2012,Kyrgyzstan,FEMALE,PHYS,65.10
2013,Kyrgyzstan,MALE,PHYS,35.50
2013,Kyrgyzstan,FEMALE,PHYS,64.50
2016,Latvia,MALE,NURS,0.00
2016,Latvia,FEMALE,NURS,100.00
2018,Latvia,MALE,NURS,0.40
2018,Latvia,FEMALE,NURS,99.60
2016,Lithuania,MALE,NURS,0.20
2016,Lithuania,FEMALE,NURS,99.80
2016,Luxembourg,MALE,NURS,28.50
2016,Luxembourg,FEMALE,NURS,71.50
2002,Malta,FEMALE,PHYS,21.70
2002,Malta,MALE,PHYS,78.30
2003,Malta,MALE,PHYS,78.40
2003,Malta,FEMALE,PHYS,21.60
2008,Malta,MALE,PHYS,71.70
2008,Malta,FEMALE,PHYS,28.30
2009,Malta,FEMALE,PHYS,32.50
2009,Malta,MALE,PHYS,67.50
2010,Malta,MALE,PHYS,64.60
2010,Malta,FEMALE,PHYS,35.40
2011,Malta,MALE,PHYS,63.40
2011,Malta,FEMALE,PHYS,36.60
2012,Malta,MALE,PHYS,63.50
2012,Malta,FEMALE,PHYS,36.50
2013,Malta,MALE,PHYS,62.50
2013,Malta,FEMALE,PHYS,37.50
2014,Malta,FEMALE,PHYS,38.60
2014,Malta,MALE,PHYS,61.40
2015,Malta,MALE,PHYS,60.00
2015,Malta,FEMALE,PHYS,40.00
2000,Montenegro,FEMALE,PHYS,56.40
2000,Montenegro,MALE,PHYS,43.60
2001,Montenegro,MALE,PHYS,43.40
2001,Montenegro,FEMALE,PHYS,56.60
2002,Montenegro,FEMALE,PHYS,57.60
2002,Montenegro,MALE,PHYS,42.40
2003,Montenegro,MALE,PHYS,41.30
2003,Montenegro,FEMALE,PHYS,58.70
2004,Montenegro,MALE,PHYS,41.40
2004,Montenegro,FEMALE,PHYS,58.60
2005,Montenegro,MALE,PHYS,42.10
2005,Montenegro,FEMALE,PHYS,57.90
2006,Montenegro,FEMALE,PHYS,58.40
2006,Montenegro,MALE,PHYS,41.60
2007,Montenegro,FEMALE,PHYS,59.40
2007,Montenegro,MALE,PHYS,40.60
2008,Montenegro,MALE,PHYS,40.20
2008,Montenegro,FEMALE,PHYS,59.80
2009,Montenegro,MALE,PHYS,39.30
2009,Montenegro,FEMALE,PHYS,60.70
2010,Montenegro,FEMALE,PHYS,61.60
2010,Montenegro,MALE,PHYS,38.40
2011,Montenegro,MALE,PHYS,38.10
2011,Montenegro,FEMALE,PHYS,61.90
2012,Montenegro,FEMALE,PHYS,61.80
2012,Montenegro,MALE,PHYS,38.20
2013,Montenegro,MALE,PHYS,38.10
2013,Montenegro,FEMALE,PHYS,61.90
2014,Montenegro,MALE,PHYS,38.00
2014,Montenegro,FEMALE,PHYS,62.00
2015,Montenegro,MALE,PHYS,36.70
2015,Montenegro,FEMALE,PHYS,63.30
2018,Montenegro,MALE,NURS,15.00
2018,Montenegro,FEMALE,PHYS,64.20
2018,Montenegro,MALE,PHYS,35.80
2018,Montenegro,FEMALE,NURS,85.00
2019,Montenegro,FEMALE,NURS,84.30
2019,Montenegro,MALE,NURS,15.70
2019,Montenegro,FEMALE,PHYS,64.10
2019,Montenegro,MALE,PHYS,35.90
2020,Montenegro,FEMALE,NURS,83.70
2020,Montenegro,MALE,NURS,16.30
2020,Montenegro,MALE,PHYS,36.40
2020,Montenegro,FEMALE,PHYS,63.60
2021,Montenegro,MALE,NURS,16.80
2021,Montenegro,FEMALE,PHYS,61.60
2021,Montenegro,FEMALE,NURS,83.20
2021,Montenegro,MALE,PHYS,38.40
2016,Netherlands,FEMALE,NURS,84.60
2016,Netherlands,MALE,NURS,15.40
2012,Uzbekistan,FEMALE,PHYS,53.00
2013,Uzbekistan,MALE,PHYS,46.90
2013,Uzbekistan,FEMALE,PHYS,53.10
2014,Uzbekistan,FEMALE,PHYS,52.70
2014,Uzbekistan,MALE,PHYS,47.30
2014,Uzbekistan,MALE,PHYS,47.30
