Year,GeoAreaName,Deviation Level,Value
2017,Lithuania,LOW,81.09685
2017,Lithuania,HIGH,3.58322
2018,Lithuania,LOW,77.15358
2018,Lithuania,MEDIUM,17.17249
2018,Lithuania,HIGH,4.07407
2018,Lithuania,EXTREME,1.59986
2019,Lithuania,HIGH,2.26299
2020,Albania,MEDIUM,6.75361
2020,Albania,HIGH,0.4307
2020,Albania,EXTREME,0.01383
2020,Albania,LOW,92.80185
2021,Albania,HIGH,2.46875
2021,Albania,LOW,90.75018
2021,Albania,EXTREME,0.0345
2021,Albania,MEDIUM,6.74656
2017,Azerbaijan,EXTREME,0.16181
2017,Azerbaijan,LOW,98.1328
2017,Azerbaijan,HIGH,0.22121
2017,Azerbaijan,MEDIUM,1.48417
2018,Azerbaijan,HIGH,0.24082
2018,Azerbaijan,MEDIUM,1.91806
2018,Azerbaijan,LOW,97.6812
2018,Azerbaijan,EXTREME,0.15992
2019,Azerbaijan,HIGH,0.23096
2019,Azerbaijan,LOW,95.27718
2019,Azerbaijan,MEDIUM,4.29338
2019,Azerbaijan,EXTREME,0.19848
2020,Azerbaijan,HIGH,0.27943
2020,Azerbaijan,LOW,96.42469
2020,Azerbaijan,EXTREME,0.23828
2020,Azerbaijan,MEDIUM,3.0576
2019,Lithuania,LOW,86.76412
2019,Lithuania,MEDIUM,10.41362
2019,Lithuania,EXTREME,0.55927
2020,Lithuania,HIGH,2.75913
2020,Lithuania,LOW,84.75428
2020,Lithuania,MEDIUM,11.64598
2020,Lithuania,EXTREME,0.84061
2021,Lithuania,LOW,85.48618
2021,Lithuania,EXTREME,0.48944
2021,Lithuania,HIGH,2.92575
2021,Lithuania,MEDIUM,11.09863
2017,Republic of Moldova,HIGH,0.27981
2017,Republic of Moldova,LOW,92.93767
2017,Republic of Moldova,MEDIUM,6.75486
2017,Republic of Moldova,EXTREME,0.02766
2018,Republic of Moldova,HIGH,0.28406
2018,Republic of Moldova,LOW,98.47461
2018,Republic of Moldova,MEDIUM,1.21196
2018,Republic of Moldova,EXTREME,0.02937
2019,Republic of Moldova,EXTREME,0.0262
2019,Republic of Moldova,HIGH,0.11319
2019,Republic of Moldova,LOW,97.48963
2019,Republic of Moldova,MEDIUM,2.37098
2021,Azerbaijan,MEDIUM,1.21402
2021,Azerbaijan,EXTREME,0.22388
2021,Azerbaijan,HIGH,0.15693
2021,Azerbaijan,LOW,98.40517
2017,Austria,EXTREME,0.47904
2017,Austria,HIGH,3.33234
2017,Austria,LOW,88.33336
2017,Austria,MEDIUM,7.85526
2018,Austria,EXTREME,0.07157
2018,Austria,MEDIUM,7.2695
2018,Austria,LOW,91.12106
2018,Austria,HIGH,1.53787
2020,Republic of Moldova,MEDIUM,1.11714
2020,Republic of Moldova,LOW,98.41049
2020,Republic of Moldova,HIGH,0.41469
2020,Republic of Moldova,EXTREME,0.05768
2021,Republic of Moldova,LOW,98.89202
2021,Republic of Moldova,EXTREME,0.03722
2021,Republic of Moldova,HIGH,0.16971
2021,Republic of Moldova,MEDIUM,0.90105
2017,Montenegro,HIGH,0.22542
2017,Montenegro,EXTREME,0.06065
2017,Montenegro,LOW,96.85722
2019,Austria,MEDIUM,3.39702
2019,Austria,LOW,95.92004
2019,Austria,HIGH,0.58678
2019,Austria,EXTREME,0.09615
2020,Austria,MEDIUM,4.91024
2020,Austria,LOW,93.64499
2020,Austria,EXTREME,0.07546
2020,Austria,HIGH,1.36931
2021,Austria,LOW,95.01134
2021,Austria,HIGH,1.00934
2021,Austria,EXTREME,0.17681
2021,Austria,MEDIUM,3.80251
2017,Montenegro,MEDIUM,2.85671
2018,Montenegro,MEDIUM,1.45282
2018,Montenegro,HIGH,0.12576
2018,Montenegro,EXTREME,0.04639
2018,Montenegro,LOW,98.37504
2019,Montenegro,LOW,99.48076
2019,Montenegro,EXTREME,0.03337
2019,Montenegro,HIGH,0.12551
2019,Montenegro,MEDIUM,0.36036
2020,Montenegro,LOW,97.58222
2020,Montenegro,MEDIUM,2.07744
2020,Montenegro,EXTREME,0.04267
2020,Montenegro,HIGH,0.29767
2021,Montenegro,HIGH,0.30248
2021,Montenegro,EXTREME,0.10019
2021,Montenegro,MEDIUM,3.7832
2021,Montenegro,LOW,95.81413
2017,Norway,EXTREME,6.98089
2017,Norway,MEDIUM,20.8987
2017,Norway,HIGH,22.23571
2017,Norway,LOW,41.55136
2018,Norway,LOW,40.49844
2018,Norway,HIGH,24.49689
2018,Norway,MEDIUM,18.67181
2018,Norway,EXTREME,7.99952
2019,Norway,MEDIUM,16.4381
2019,Norway,LOW,62.17602
2019,Norway,EXTREME,2.70624
2019,Norway,HIGH,10.3463
2020,Norway,MEDIUM,20.48677
2020,Norway,HIGH,12.04813
2020,Norway,LOW,57.16112
2020,Norway,EXTREME,1.97066
2021,Norway,HIGH,12.13607
2021,Norway,LOW,56.84647
2021,Norway,EXTREME,2.72201
2021,Norway,MEDIUM,19.96212
2017,Poland,MEDIUM,7.056
2017,Poland,LOW,91.0067
2017,Poland,EXTREME,0.24386
2017,Poland,HIGH,1.69344
2018,Poland,EXTREME,0.39528
2018,Poland,MEDIUM,7.38921
2018,Poland,LOW,90.80333
2018,Poland,HIGH,1.41218
2019,Poland,LOW,94.73565
2019,Poland,HIGH,0.93971
2019,Poland,MEDIUM,4.04529
2019,Poland,EXTREME,0.27936
2020,Poland,LOW,95.40589
2020,Poland,HIGH,1.07542
2020,Poland,EXTREME,0.34699
2020,Poland,MEDIUM,3.1717
2021,Poland,MEDIUM,3.93294
2021,Poland,LOW,94.72355
2021,Poland,EXTREME,0.2754
2021,Poland,HIGH,1.06811
2017,Portugal,EXTREME,0
2017,Portugal,HIGH,5.29865
2017,Portugal,LOW,61.60886
2017,Portugal,MEDIUM,33.09249
2018,Portugal,LOW,66.52216
2018,Portugal,HIGH,4.09441
2018,Portugal,MEDIUM,29.33526
2018,Portugal,EXTREME,0.04817
2019,Portugal,HIGH,1.93518
2019,Portugal,LOW,79.41031
2019,Portugal,EXTREME,0.04817
2019,Portugal,MEDIUM,10.273
2020,Portugal,EXTREME,0.13772
2020,Portugal,HIGH,1.0871
2020,Portugal,MEDIUM,10.04254
2020,Portugal,LOW,88.73264
2021,Portugal,HIGH,0.94354
2021,Portugal,MEDIUM,9.76703
2021,Portugal,LOW,89.26625
2021,Portugal,EXTREME,0.02318
2017,Romania,EXTREME,0.35526
2017,Romania,LOW,97.64545
2017,Romania,HIGH,0.39984
2017,Romania,MEDIUM,1.59945
2018,Romania,HIGH,0.4111
2018,Romania,LOW,98.01214
2018,Romania,MEDIUM,1.20541
2018,Romania,EXTREME,0.37135
2019,Romania,MEDIUM,1.27181
2019,Romania,HIGH,0.40229
2019,Romania,LOW,97.98053
2019,Romania,EXTREME,0.34536
2020,Romania,MEDIUM,6.86433
2020,Romania,HIGH,0.5417
2020,Romania,EXTREME,0.27159
2020,Romania,LOW,92.32238
2021,Romania,EXTREME,0.29094
2021,Romania,LOW,98.01067
2021,Romania,MEDIUM,1.1731
2021,Romania,HIGH,0.52529
2017,Slovakia,LOW,81.33197
2017,Slovakia,EXTREME,0.81874
2017,Slovakia,MEDIUM,8.66544
2017,Slovakia,HIGH,0.85052
2018,Slovakia,MEDIUM,4.33779
2018,Slovakia,LOW,86.6898
2018,Slovakia,HIGH,0.60331
2018,Slovakia,EXTREME,0.03577
2019,Slovakia,HIGH,2.22371
2019,Slovakia,EXTREME,0.11468
2019,Slovakia,LOW,94.87674
2019,Slovakia,MEDIUM,2.78487
2020,Slovakia,MEDIUM,2.35251
2020,Slovakia,EXTREME,0.19931
2020,Slovakia,LOW,96.62234
2020,Slovakia,HIGH,0.82584
2021,Slovakia,LOW,94.38811
2021,Slovakia,MEDIUM,4.65881
2021,Slovakia,HIGH,0.74162
2021,Slovakia,EXTREME,0.21147
2017,Spain,MEDIUM,7.81152
2017,Spain,HIGH,1.11183
2017,Spain,EXTREME,0.06904
2017,Spain,LOW,91.0076
2018,Spain,HIGH,1.02188
2018,Spain,MEDIUM,6.10793
2018,Spain,LOW,92.75668
2018,Spain,EXTREME,0.1135
2019,Spain,MEDIUM,3.83665
2019,Spain,LOW,95.69696
2019,Spain,HIGH,0.42948
2019,Spain,EXTREME,0.03691
2020,Spain,HIGH,0.56791
2020,Spain,MEDIUM,3.17086
2020,Spain,LOW,96.20539
2020,Spain,EXTREME,0.05584
2021,Spain,MEDIUM,3.69174
2021,Spain,EXTREME,0.07078
2021,Spain,LOW,95.59687
2021,Spain,HIGH,0.64061
2017,Sweden,HIGH,6.41011
2017,Sweden,EXTREME,2.57886
2017,Sweden,MEDIUM,10.81877
2017,Sweden,LOW,80.19226
2018,Sweden,MEDIUM,11.18771
2018,Sweden,LOW,80.551
2018,Sweden,HIGH,6.02574
2018,Sweden,EXTREME,2.23556
2019,Sweden,HIGH,2.88628
2019,Sweden,MEDIUM,7.89949
2019,Sweden,LOW,87.37889
2019,Sweden,EXTREME,1.83534
2020,Sweden,MEDIUM,7.56678
2020,Sweden,LOW,86.45512
2020,Sweden,EXTREME,2.36438
2020,Sweden,HIGH,3.61372
2021,Sweden,LOW,86.04279
2021,Sweden,HIGH,3.83165
2021,Sweden,MEDIUM,7.97881
2021,Sweden,EXTREME,2.14675
2017,Switzerland,HIGH,4.77028
2017,Switzerland,LOW,81.74916
2017,Switzerland,MEDIUM,13.20467
2017,Switzerland,EXTREME,0.27589
2018,Switzerland,EXTREME,0.08085
2018,Switzerland,LOW,87.82723
2018,Switzerland,HIGH,1.41755
2018,Switzerland,MEDIUM,10.67437
2019,Switzerland,HIGH,1.75534
2019,Switzerland,LOW,92.91023
2019,Switzerland,EXTREME,0.1316
2019,Switzerland,MEDIUM,5.20283
2020,Switzerland,LOW,90.72373
2020,Switzerland,EXTREME,0.18112
2020,Switzerland,MEDIUM,6.36114
2020,Switzerland,HIGH,2.734
2021,Switzerland,MEDIUM,9.77307
2021,Switzerland,LOW,87.65185
2021,Switzerland,HIGH,2.37369
2021,Switzerland,EXTREME,0.20139
2017,Tajikistan,EXTREME,2.52151
2017,Tajikistan,LOW,89.30617
2017,Tajikistan,MEDIUM,4.54381
2017,Tajikistan,HIGH,3.62851
2018,Tajikistan,HIGH,2.29612
2018,Tajikistan,MEDIUM,3.79359
2018,Tajikistan,EXTREME,1.64235
2018,Tajikistan,LOW,92.26793
2019,Tajikistan,EXTREME,1.97253
2019,Tajikistan,HIGH,2.39568
2019,Tajikistan,LOW,92.1148
2019,Tajikistan,MEDIUM,3.51699
2020,Tajikistan,HIGH,1.35032
2020,Tajikistan,LOW,94.77176
2020,Tajikistan,MEDIUM,2.39113
2020,Tajikistan,EXTREME,1.48679
2021,Tajikistan,LOW,93.85102
2021,Tajikistan,HIGH,1.46149
2021,Tajikistan,EXTREME,1.43514
2021,Tajikistan,MEDIUM,3.25235
2017,Türkiye,LOW,81.21459
2017,Türkiye,EXTREME,3.55089
2017,Türkiye,MEDIUM,10.366
2017,Türkiye,HIGH,4.86852
2018,Türkiye,HIGH,4.31463
2018,Türkiye,LOW,80.56496
2018,Türkiye,MEDIUM,10.87435
2018,Türkiye,EXTREME,4.24607
2019,Türkiye,EXTREME,0.34514
2019,Türkiye,LOW,79.92795
2019,Türkiye,HIGH,5.85817
2019,Türkiye,MEDIUM,13.86874
2020,Türkiye,HIGH,2.04594
2020,Türkiye,LOW,91.00801
2020,Türkiye,MEDIUM,6.74455
2020,Türkiye,EXTREME,0.2015
2021,Türkiye,LOW,84.17856
2021,Türkiye,MEDIUM,10.04972
2021,Türkiye,EXTREME,1.52794
2021,Türkiye,HIGH,4.24379
2017,Turkmenistan,EXTREME,0.14812
2017,Turkmenistan,MEDIUM,1.52484
2017,Turkmenistan,LOW,97.46618
2017,Turkmenistan,HIGH,0.86086
2018,Turkmenistan,MEDIUM,2.58948
2018,Turkmenistan,HIGH,0.98082
2018,Turkmenistan,LOW,96.27337
2018,Turkmenistan,EXTREME,0.15633
2019,Turkmenistan,MEDIUM,2.76572
2019,Turkmenistan,EXTREME,0.13346
2019,Turkmenistan,LOW,96.14504
2019,Turkmenistan,HIGH,0.95578
2020,Turkmenistan,EXTREME,0.17319
2020,Turkmenistan,LOW,96.39424
2020,Turkmenistan,HIGH,1.27123
2020,Turkmenistan,MEDIUM,2.16134
2021,Turkmenistan,LOW,95.36168
2021,Turkmenistan,HIGH,1.62477
2021,Turkmenistan,EXTREME,0.19125
2021,Turkmenistan,MEDIUM,2.8223
2017,Ukraine,HIGH,2.38572
2017,Ukraine,MEDIUM,10.00285
2017,Ukraine,EXTREME,0.35261
2017,Ukraine,LOW,87.25882
2018,Ukraine,MEDIUM,8.93433
2018,Ukraine,EXTREME,0.11456
2018,Ukraine,LOW,89.84738
2018,Ukraine,HIGH,1.10373
2019,Ukraine,MEDIUM,10.73551
2019,Ukraine,EXTREME,0.26804
2019,Ukraine,LOW,87.06809
2019,Ukraine,HIGH,1.92836
2020,Ukraine,MEDIUM,11.60821
2020,Ukraine,HIGH,2.66228
2020,Ukraine,LOW,85.37161
2020,Ukraine,EXTREME,0.3579
2021,Ukraine,MEDIUM,9.29596
2021,Ukraine,EXTREME,0.30018
2021,Ukraine,LOW,88.6536
2021,Ukraine,HIGH,1.75026
2017,North Macedonia,EXTREME,0.55993
2017,North Macedonia,LOW,86.82204
2017,North Macedonia,HIGH,3.7699
2017,North Macedonia,MEDIUM,8.84812
2018,North Macedonia,EXTREME,0.33461
2018,North Macedonia,HIGH,5.94609
2018,North Macedonia,LOW,83.01537
2018,North Macedonia,MEDIUM,10.70393
2019,North Macedonia,LOW,88.6779
2019,North Macedonia,MEDIUM,8.92571
2019,North Macedonia,EXTREME,0.11066
2019,North Macedonia,HIGH,2.28572
2020,North Macedonia,MEDIUM,8.77169
2020,North Macedonia,EXTREME,0.01455
2020,North Macedonia,HIGH,0.85057
2020,North Macedonia,LOW,90.36319
2021,North Macedonia,LOW,91.15614
2021,North Macedonia,EXTREME,0.21085
2021,North Macedonia,HIGH,4.5446
2021,North Macedonia,MEDIUM,4.08841
2017,Uzbekistan,LOW,95.13326
2017,Uzbekistan,EXTREME,0.30246
2017,Uzbekistan,MEDIUM,3.84774
2017,Uzbekistan,HIGH,0.71654
2018,Uzbekistan,LOW,93.78599
2018,Uzbekistan,MEDIUM,4.91541
2018,Uzbekistan,HIGH,0.97227
2018,Uzbekistan,EXTREME,0.32633
2019,Uzbekistan,HIGH,0.5048
2019,Uzbekistan,EXTREME,0.24839
2019,Uzbekistan,MEDIUM,1.62443
2017,Armenia,LOW,91.93007
2017,Armenia,HIGH,0.06303
2017,Armenia,EXTREME,0.00121
2017,Armenia,MEDIUM,8.00569
2018,Armenia,MEDIUM,5.20782
2018,Armenia,HIGH,0.06705
2018,Armenia,EXTREME,0.001
2018,Armenia,LOW,94.72413
2019,Armenia,EXTREME,0.00218
2019,Armenia,MEDIUM,0.94662
2019,Armenia,HIGH,0.00946
2019,Armenia,LOW,99.04174
2020,Armenia,LOW,99.0004
2020,Armenia,MEDIUM,0.95188
2020,Armenia,EXTREME,0.0027
2020,Armenia,HIGH,0.04502
2021,Armenia,EXTREME,0.00218
2021,Armenia,LOW,98.38284
2021,Armenia,HIGH,0.03737
2021,Armenia,MEDIUM,1.57761
2017,Bosnia and Herzegovina,MEDIUM,12.2467
2017,Bosnia and Herzegovina,EXTREME,0
2017,Bosnia and Herzegovina,LOW,87.37425
2017,Bosnia and Herzegovina,HIGH,0.37904
2018,Bosnia and Herzegovina,MEDIUM,2.93272
2018,Bosnia and Herzegovina,LOW,96.89602
2018,Bosnia and Herzegovina,HIGH,0.17126
2018,Bosnia and Herzegovina,EXTREME,0
2019,Bosnia and Herzegovina,LOW,96.47535
2019,Bosnia and Herzegovina,HIGH,0.24253
2019,Bosnia and Herzegovina,MEDIUM,3.27477
2019,Bosnia and Herzegovina,EXTREME,0.00735
2020,Bosnia and Herzegovina,LOW,91.59399
2020,Bosnia and Herzegovina,MEDIUM,7.84461
2020,Bosnia and Herzegovina,EXTREME,0.03795
2020,Bosnia and Herzegovina,HIGH,0.52345
2021,Bosnia and Herzegovina,EXTREME,0.00568
2021,Bosnia and Herzegovina,LOW,93.77133
2021,Bosnia and Herzegovina,HIGH,0.57728
2021,Bosnia and Herzegovina,MEDIUM,5.64572
2017,Bulgaria,EXTREME,1.14069
2017,Bulgaria,HIGH,9.55083
2017,Bulgaria,LOW,65.25551
2017,Bulgaria,MEDIUM,24.05297
2018,Bulgaria,HIGH,8.16096
2018,Bulgaria,MEDIUM,22.42725
2018,Bulgaria,EXTREME,0.54213
2018,Bulgaria,LOW,68.86966
2019,Bulgaria,LOW,82.92612
2019,Bulgaria,EXTREME,0.2903
2019,Bulgaria,HIGH,3.70537
2019,Bulgaria,MEDIUM,13.07821
2020,Bulgaria,HIGH,5.05154
2020,Bulgaria,LOW,79.64959
2020,Bulgaria,MEDIUM,14.90283
2020,Bulgaria,EXTREME,0.39604
2021,Bulgaria,HIGH,2.80547
2021,Bulgaria,LOW,88.49782
2021,Bulgaria,EXTREME,0.11553
2021,Bulgaria,MEDIUM,8.58117
2017,Croatia,HIGH,0.04923
2017,Croatia,LOW,96.54385
2017,Croatia,MEDIUM,3.40692
2017,Croatia,EXTREME,0
2018,Croatia,HIGH,0.65703
2018,Croatia,LOW,95.35203
2018,Croatia,MEDIUM,3.99094
2018,Croatia,EXTREME,0
2019,Croatia,MEDIUM,0.89619
2019,Croatia,LOW,99.05484
2019,Croatia,HIGH,0.04897
2019,Croatia,EXTREME,0
2020,Croatia,HIGH,0.20463
2020,Croatia,MEDIUM,1.63505
2020,Croatia,LOW,98.13989
2020,Croatia,EXTREME,0.02043
2021,Croatia,HIGH,0.31211
2021,Croatia,MEDIUM,0.85069
2021,Croatia,EXTREME,0
2021,Croatia,LOW,98.8372
2017,Czechia,EXTREME,2.42179
2017,Czechia,LOW,65.73582
2017,Czechia,HIGH,9.85751
2017,Czechia,MEDIUM,21.98488
2018,Czechia,LOW,66.23291
2018,Czechia,HIGH,10.51347
2018,Czechia,EXTREME,1.5653
2018,Czechia,MEDIUM,21.68832
2019,Czechia,HIGH,6.54101
2019,Czechia,LOW,78.37523
2019,Czechia,EXTREME,1.42023
2019,Czechia,MEDIUM,13.66353
2020,Czechia,MEDIUM,13.22456
2020,Czechia,HIGH,5.59593
2020,Czechia,LOW,79.80368
2020,Czechia,EXTREME,1.37583
2021,Czechia,EXTREME,1.03074
2021,Czechia,MEDIUM,11.88972
2021,Czechia,LOW,82.67311
2021,Czechia,HIGH,4.40643
2017,Denmark,LOW,84.76083
2017,Denmark,MEDIUM,12.15851
2017,Denmark,EXTREME,0.50081
2017,Denmark,HIGH,2.57985
2018,Denmark,LOW,85.60143
2018,Denmark,EXTREME,0.28004
2018,Denmark,MEDIUM,12.4945
2018,Denmark,HIGH,1.62403
2019,Denmark,MEDIUM,8.7694
2019,Denmark,HIGH,1.50434
2019,Denmark,LOW,89.38386
2019,Denmark,EXTREME,0.3424
2020,Denmark,EXTREME,0.41114
2020,Denmark,MEDIUM,6.72236
2020,Denmark,HIGH,1.46975
2020,Denmark,LOW,91.39674
2021,Denmark,LOW,93.28131
2021,Denmark,MEDIUM,4.94373
2021,Denmark,HIGH,1.37402
2021,Denmark,EXTREME,0.40094
2017,Estonia,HIGH,0.93415
2017,Estonia,EXTREME,0.00742
2017,Estonia,LOW,85.88477
2017,Estonia,MEDIUM,4.84033
2018,Estonia,LOW,73.93835
2018,Estonia,EXTREME,0.00649
2018,Estonia,HIGH,0.0295
2018,Estonia,MEDIUM,1.02566
2019,Estonia,MEDIUM,2.19429
2019,Estonia,HIGH,0.03664
2019,Estonia,LOW,89.43177
2019,Estonia,EXTREME,0.00397
2020,Estonia,EXTREME,0.14433
2020,Estonia,HIGH,0.35246
2020,Estonia,LOW,88.26239
2020,Estonia,MEDIUM,2.90749
2021,Estonia,EXTREME,0.01207
2021,Estonia,LOW,91.11439
2021,Estonia,HIGH,0.07702
2021,Estonia,MEDIUM,0.4632
2017,Finland,MEDIUM,15.92155
2017,Finland,EXTREME,2.39584
2017,Finland,LOW,53.73901
2017,Finland,HIGH,11.27694
2018,Finland,LOW,56.03452
2018,Finland,MEDIUM,16.46186
2018,Finland,EXTREME,1.59158
2018,Finland,HIGH,9.24537
2019,Finland,EXTREME,0.67913
2019,Finland,MEDIUM,9.00698
2019,Finland,HIGH,3.58859
2019,Finland,LOW,61.72529
2020,Finland,LOW,66.07196
2020,Finland,MEDIUM,11.0081
2020,Finland,EXTREME,1.35052
2020,Finland,HIGH,4.90276
2021,Finland,LOW,65.2634
2021,Finland,EXTREME,1.09327
2021,Finland,MEDIUM,12.41972
2021,Finland,HIGH,4.55695
2017,France,HIGH,1.60711
2017,France,LOW,91.78737
2017,France,EXTREME,0.01488
2017,France,MEDIUM,6.59064
2018,France,MEDIUM,10.31384
2018,France,LOW,88.8925
2018,France,EXTREME,0.04714
2018,France,HIGH,0.74652
2019,France,EXTREME,0.07753
2019,France,HIGH,0.73671
2019,France,MEDIUM,2.97294
2019,France,LOW,96.21281
2020,France,MEDIUM,2.60045
2020,France,EXTREME,0.03572
2020,France,HIGH,0.64405
2020,France,LOW,96.71978
2021,France,HIGH,2.85386
2021,France,EXTREME,0.24271
2021,France,LOW,89.06531
2021,France,MEDIUM,7.83812
2017,Germany,HIGH,2.65144
2017,Germany,EXTREME,0.05838
2017,Germany,MEDIUM,10.95766
2017,Germany,LOW,86.33252
2018,Germany,MEDIUM,9.62477
2018,Germany,HIGH,1.66256
2018,Germany,LOW,88.63872
2018,Germany,EXTREME,0.07395
2019,Germany,EXTREME,0.02241
2019,Germany,MEDIUM,5.20134
2019,Germany,LOW,94.16334
2019,Germany,HIGH,0.61291
2020,Germany,LOW,95.22443
2020,Germany,EXTREME,0.05835
2020,Germany,HIGH,0.52338
2020,Germany,MEDIUM,4.19383
2021,Germany,MEDIUM,4.37472
2021,Germany,EXTREME,0.03748
2021,Germany,LOW,95.009
2021,Germany,HIGH,0.5788
2017,Greece,HIGH,0.19006
2017,Greece,MEDIUM,4.90952
2017,Greece,LOW,94.89454
2017,Greece,EXTREME,0.00589
2018,Greece,HIGH,1.77207
2018,Greece,EXTREME,0.00261
2018,Greece,LOW,82.06068
2018,Greece,MEDIUM,16.16464
2019,Greece,HIGH,3.02415
2019,Greece,MEDIUM,6.96003
2019,Greece,LOW,90.01581
2019,Greece,EXTREME,0
2020,Greece,HIGH,0.15341
2020,Greece,MEDIUM,1.08344
2020,Greece,LOW,98.72559
2020,Greece,EXTREME,0.03757
2021,Greece,LOW,97.93807
2021,Greece,MEDIUM,1.87694
2021,Greece,EXTREME,0.03199
2021,Greece,HIGH,0.153
2017,Hungary,EXTREME,0.01177
2017,Hungary,HIGH,0.08173
2017,Hungary,MEDIUM,0.58544
2017,Hungary,LOW,99.32106
2018,Hungary,HIGH,0.07065
2018,Hungary,MEDIUM,0.28062
2018,Hungary,EXTREME,0.01239
2018,Hungary,LOW,99.63633
2019,Hungary,EXTREME,0.00223
2019,Hungary,HIGH,0.04142
2019,Hungary,MEDIUM,0.34666
2019,Hungary,LOW,99.6097
2020,Hungary,EXTREME,0.00648
2020,Hungary,LOW,99.67085
2020,Hungary,HIGH,0.08132
2020,Hungary,MEDIUM,0.24136
2021,Hungary,MEDIUM,0.28597
