Year,GeoAreaName,Type of occupation,Value
2013,Albania,NURSMID,43.14
2013,Albania,PHAR,8.46
2013,Albania,PHYS,12.85
2016,Albania,NURSMID,36.56
2016,Albania,PHYS,12.19
2018,Albania,DENT,10.33
2018,Albania,PHYS,21.63
2006,Italy,NURSMID,53.82
2007,Italy,DENT,5.71
2007,Italy,PHAR,9.37
2007,Italy,NURSMID,55.06
2007,Italy,PHYS,37.73
2008,Italy,PHYS,37.61
2008,Italy,NURSMID,55.01
2008,Italy,PHAR,10.06
2008,Italy,DENT,4.82
2009,Italy,PHAR,8.92
2009,Italy,NURSMID,54.97
2009,Italy,PHYS,37.61
2009,Italy,DENT,5.22
2010,Italy,PHYS,37.84
2010,Italy,NURSMID,54.70
2010,Italy,PHAR,8.66
2010,Italy,DENT,5.69
2011,Italy,DENT,5.86
2018,Albania,PHAR,10.86
2019,Albania,NURSMID,51.00
2019,Albania,PHYS,16.51
2020,Albania,NURSMID,58.31
2020,Albania,PHYS,18.83
2000,Azerbaijan,PHAR,2.90
2000,Azerbaijan,DENT,2.73
2000,Azerbaijan,NURSMID,85.90
2000,Azerbaijan,PHYS,35.45
2000,Norway,DENT,8.03
2000,Norway,PHYS,33.80
2001,Norway,PHYS,35.40
2001,Norway,DENT,8.04
2002,Norway,NURSMID,142.23
2002,Norway,DENT,8.09
2002,Norway,PHYS,32.18
2002,Norway,PHAR,4.82
2003,Norway,NURSMID,146.74
2011,Italy,PHAR,9.59
2011,Italy,NURSMID,54.43
2011,Italy,PHYS,38.56
2012,Italy,PHYS,38.32
2012,Italy,NURSMID,53.55
2012,Italy,PHAR,9.58
2012,Italy,DENT,6.56
2013,Italy,DENT,7.80
2013,Italy,PHAR,11.35
2001,Azerbaijan,PHYS,35.12
2001,Azerbaijan,DENT,2.72
2001,Azerbaijan,NURSMID,84.63
2001,Azerbaijan,PHAR,2.59
2002,Azerbaijan,PHYS,35.21
2002,Azerbaijan,PHAR,2.72
2002,Azerbaijan,DENT,2.78
2002,Azerbaijan,NURSMID,82.58
2003,Azerbaijan,PHYS,35.08
2003,Norway,PHAR,5.06
2003,Norway,PHYS,32.30
2003,Norway,DENT,8.13
2004,Norway,DENT,8.04
2004,Norway,PHYS,34.00
2004,Norway,PHAR,5.11
2004,Norway,NURSMID,150.84
2005,Norway,PHAR,5.25
2005,Norway,DENT,8.43
2013,Italy,NURSMID,53.23
2013,Italy,PHYS,38.95
2014,Italy,DENT,7.89
2014,Italy,PHYS,39.10
2014,Italy,NURSMID,55.76
2014,Italy,PHAR,11.65
2015,Italy,DENT,7.90
2015,Italy,PHAR,11.61
2015,Italy,NURSMID,57.48
2003,Azerbaijan,NURSMID,81.93
2003,Azerbaijan,DENT,2.69
2003,Azerbaijan,PHAR,2.18
2004,Azerbaijan,NURSMID,80.89
2004,Azerbaijan,PHAR,2.03
2004,Azerbaijan,DENT,2.71
2004,Azerbaijan,PHYS,35.12
2005,Azerbaijan,NURSMID,81.30
2005,Azerbaijan,PHAR,2.01
2015,Italy,PHYS,38.70
2016,Italy,PHYS,39.86
2016,Italy,NURSMID,58.89
2016,Italy,PHAR,11.66
2016,Italy,DENT,8.08
2017,Italy,NURSMID,61.28
2017,Italy,PHYS,40.25
2017,Italy,DENT,8.26
2017,Italy,PHAR,11.82
2018,Italy,PHYS,40.13
2018,Italy,NURSMID,60.75
2018,Italy,PHAR,12.02
2018,Italy,DENT,8.40
2019,Italy,DENT,8.70
2019,Italy,PHAR,12.56
2019,Italy,NURSMID,64.45
2019,Italy,PHYS,40.51
2020,Italy,PHAR,12.41
2005,Norway,PHYS,35.63
2005,Norway,NURSMID,155.10
2006,Norway,DENT,8.81
2006,Norway,PHAR,5.52
2006,Norway,NURSMID,158.35
2006,Norway,PHYS,37.31
2007,Norway,NURSMID,159.79
2007,Norway,PHYS,38.44
2007,Norway,PHAR,5.70
2007,Norway,DENT,8.72
2008,Norway,PHAR,6.06
2008,Norway,PHYS,39.55
2008,Norway,NURSMID,160.95
2008,Norway,DENT,8.79
2009,Norway,NURSMID,164.45
2009,Norway,PHYS,40.48
2009,Norway,PHAR,6.25
2009,Norway,DENT,8.68
2005,Azerbaijan,PHYS,35.33
2005,Azerbaijan,DENT,2.76
2006,Azerbaijan,DENT,2.77
2006,Azerbaijan,PHAR,1.91
2006,Azerbaijan,NURSMID,81.32
2006,Azerbaijan,PHYS,35.11
2007,Azerbaijan,PHYS,36.48
2007,Azerbaijan,NURSMID,80.91
2007,Azerbaijan,PHAR,1.81
2010,Norway,DENT,8.78
2010,Norway,PHAR,6.38
2010,Norway,PHYS,41.14
2010,Norway,NURSMID,166.53
2011,Norway,NURSMID,169.35
2011,Norway,PHYS,41.88
2011,Norway,PHAR,6.45
2011,Norway,DENT,8.84
2012,Norway,DENT,8.65
2020,Italy,DENT,8.69
2020,Italy,PHYS,39.97
2020,Italy,NURSMID,65.60
2021,Italy,PHYS,41.26
2021,Italy,NURSMID,65.53
2021,Italy,DENT,8.61
2021,Italy,PHAR,12.42
2000,Kazakhstan,DENT,2.59
2000,Kazakhstan,PHAR,2.99
2007,Azerbaijan,DENT,2.84
2008,Azerbaijan,PHAR,1.67
2008,Azerbaijan,NURSMID,80.00
2008,Azerbaijan,PHYS,36.12
2008,Azerbaijan,DENT,2.76
2009,Azerbaijan,PHYS,35.96
2009,Azerbaijan,NURSMID,79.34
2009,Azerbaijan,PHAR,1.81
2009,Azerbaijan,DENT,2.69
2012,Norway,PHAR,6.71
2012,Norway,PHYS,42.31
2012,Norway,NURSMID,170.67
2013,Norway,DENT,8.73
2013,Norway,NURSMID,172.08
2013,Norway,PHYS,43.05
2013,Norway,PHAR,6.90
2014,Norway,DENT,8.66
2014,Norway,PHAR,7.22
2000,Kazakhstan,NURSMID,60.47
2000,Kazakhstan,PHYS,32.13
2001,Kazakhstan,NURSMID,62.98
2001,Kazakhstan,PHAR,3.08
2001,Kazakhstan,DENT,2.84
2001,Kazakhstan,PHYS,33.56
2002,Kazakhstan,DENT,3.26
2002,Kazakhstan,PHAR,4.22
2002,Kazakhstan,NURSMID,64.89
2002,Kazakhstan,PHYS,34.98
2003,Kazakhstan,PHYS,35.43
2003,Kazakhstan,NURSMID,65.38
2003,Kazakhstan,DENT,3.38
2003,Kazakhstan,PHAR,6.74
2004,Kazakhstan,PHAR,7.47
2004,Kazakhstan,DENT,3.49
2004,Kazakhstan,NURSMID,66.61
2004,Kazakhstan,PHYS,35.28
2010,Azerbaijan,DENT,2.67
2010,Azerbaijan,PHAR,1.98
2010,Azerbaijan,NURSMID,71.88
2010,Azerbaijan,PHYS,35.82
2011,Azerbaijan,PHYS,33.59
2011,Azerbaijan,NURSMID,68.01
2011,Azerbaijan,DENT,2.57
2011,Azerbaijan,PHAR,1.77
2012,Azerbaijan,PHAR,1.76
2014,Norway,PHYS,44.29
2014,Norway,NURSMID,174.40
2015,Norway,PHYS,44.51
2015,Norway,NURSMID,178.68
2015,Norway,PHAR,7.45
2015,Norway,DENT,8.82
2016,Norway,NURSMID,180.33
2016,Norway,PHYS,45.81
2016,Norway,DENT,8.92
2012,Azerbaijan,DENT,2.59
2012,Azerbaijan,NURSMID,66.42
2012,Azerbaijan,PHYS,34.09
2013,Azerbaijan,PHAR,2.03
2013,Azerbaijan,PHYS,33.73
2013,Azerbaijan,NURSMID,64.84
2013,Azerbaijan,DENT,2.55
2014,Azerbaijan,PHAR,1.95
2014,Azerbaijan,DENT,2.67
2016,Norway,PHAR,7.85
2017,Norway,PHYS,47.35
2017,Norway,PHAR,8.06
2017,Norway,DENT,8.98
2017,Norway,NURSMID,182.18
2018,Norway,NURSMID,182.96
2018,Norway,DENT,8.74
2018,Norway,PHAR,8.32
2018,Norway,PHYS,48.57
2019,Norway,PHAR,8.58
2019,Norway,NURSMID,184.33
2019,Norway,DENT,9.06
2019,Norway,PHYS,49.68
2020,Norway,DENT,9.11
2020,Norway,NURSMID,185.64
2020,Norway,PHAR,8.83
2020,Norway,PHYS,50.86
2021,Norway,PHYS,51.68
2005,Kazakhstan,NURSMID,67.70
2005,Kazakhstan,PHYS,35.46
2005,Kazakhstan,DENT,3.34
2005,Kazakhstan,PHAR,9.98
2006,Kazakhstan,NURSMID,71.48
2006,Kazakhstan,PHAR,8.88
2006,Kazakhstan,DENT,3.55
2006,Kazakhstan,PHYS,36.35
2007,Kazakhstan,NURSMID,72.44
2007,Kazakhstan,PHYS,35.85
2007,Kazakhstan,DENT,3.57
2007,Kazakhstan,PHAR,7.90
2008,Kazakhstan,PHAR,7.95
2008,Kazakhstan,DENT,3.48
2008,Kazakhstan,PHYS,36.39
2008,Kazakhstan,NURSMID,69.54
2009,Kazakhstan,DENT,3.47
2009,Kazakhstan,PHAR,7.46
2009,Kazakhstan,PHYS,36.98
2009,Kazakhstan,NURSMID,74.66
2010,Kazakhstan,PHAR,6.78
2010,Kazakhstan,DENT,4.00
2010,Kazakhstan,NURSMID,75.47
2010,Kazakhstan,PHYS,38.39
2011,Kazakhstan,PHYS,38.61
2011,Kazakhstan,NURSMID,77.45
2011,Kazakhstan,DENT,3.87
2014,Azerbaijan,NURSMID,62.78
2014,Azerbaijan,PHYS,33.62
2015,Azerbaijan,PHYS,32.91
2016,Azerbaijan,PHYS,32.27
2017,Azerbaijan,PHYS,31.64
2018,Azerbaijan,PHYS,32.00
2019,Azerbaijan,PHYS,31.11
2000,Austria,DENT,4.65
2000,Austria,PHYS,38.78
2011,Kazakhstan,PHAR,7.83
2012,Kazakhstan,DENT,4.05
2012,Kazakhstan,NURSMID,78.99
2012,Kazakhstan,PHYS,38.31
2012,Kazakhstan,PHAR,7.92
2013,Kazakhstan,PHYS,38.78
2013,Kazakhstan,NURSMID,78.78
2013,Kazakhstan,DENT,3.69
2013,Kazakhstan,PHAR,7.97
2004,Croatia,NURSMID,51.31
2004,Croatia,DENT,7.19
2005,Croatia,NURSMID,51.86
2005,Croatia,PHYS,25.06
2005,Croatia,DENT,7.27
2005,Croatia,PHAR,5.60
2006,Croatia,PHAR,5.77
2006,Croatia,DENT,7.31
2006,Croatia,PHYS,25.47
2021,Norway,PHAR,9.14
2021,Norway,DENT,9.29
2021,Norway,NURSMID,188.93
2000,Poland,NURSMID,54.96
2000,Poland,PHYS,22.08
2000,Poland,PHAR,5.76
2000,Poland,DENT,3.05
2001,Poland,PHAR,6.15
2001,Poland,NURSMID,53.89
2000,Austria,NURSMID,57.36
2000,Austria,PHAR,5.66
2001,Austria,PHAR,5.70
2001,Austria,NURSMID,57.83
2001,Austria,PHYS,39.90
2001,Austria,DENT,4.83
2002,Austria,DENT,4.90
2002,Austria,PHYS,40.61
2002,Austria,NURSMID,58.83
2002,Austria,PHAR,5.82
2003,Austria,PHAR,6.00
2003,Austria,NURSMID,58.89
2003,Austria,PHYS,41.46
2003,Austria,DENT,4.97
2004,Austria,PHAR,6.12
2004,Austria,DENT,5.03
2004,Austria,PHYS,42.33
2004,Austria,NURSMID,61.30
2014,Kazakhstan,PHAR,8.05
2014,Kazakhstan,DENT,3.66
2014,Kazakhstan,NURSMID,70.82
2014,Kazakhstan,PHYS,39.14
2015,Kazakhstan,PHYS,39.09
2015,Kazakhstan,NURSMID,71.86
2015,Kazakhstan,DENT,2.85
2015,Kazakhstan,PHAR,8.02
2016,Kazakhstan,PHYS,41.27
2017,Kazakhstan,PHYS,39.39
2018,Kazakhstan,PHYS,39.31
2019,Kazakhstan,PHYS,39.48
2020,Kazakhstan,PHYS,40.28
2000,Kyrgyzstan,PHYS,27.96
2000,Kyrgyzstan,NURSMID,79.30
2000,Kyrgyzstan,PHAR,0.28
2000,Kyrgyzstan,DENT,2.27
2001,Kyrgyzstan,DENT,2.16
2001,Poland,PHYS,22.43
2001,Poland,DENT,2.62
2002,Poland,PHYS,22.79
2002,Poland,NURSMID,53.73
2002,Poland,DENT,2.79
2002,Poland,PHAR,6.32
2003,Poland,DENT,2.87
2003,Poland,PHAR,6.58
2003,Poland,NURSMID,52.41
2005,Austria,PHAR,6.17
2005,Austria,NURSMID,61.99
2005,Austria,PHYS,43.50
2005,Austria,DENT,5.14
2006,Austria,PHYS,44.78
2006,Austria,NURSMID,63.55
2006,Austria,DENT,5.40
2006,Austria,PHAR,6.28
2007,Austria,NURSMID,64.27
2001,Kyrgyzstan,PHAR,0.30
2001,Kyrgyzstan,PHYS,26.86
2001,Kyrgyzstan,NURSMID,73.95
2002,Kyrgyzstan,NURSMID,69.61
2002,Kyrgyzstan,PHYS,25.68
2002,Kyrgyzstan,PHAR,0.28
2002,Kyrgyzstan,DENT,2.10
2003,Kyrgyzstan,DENT,1.95
2003,Kyrgyzstan,NURSMID,67.39
2003,Poland,PHYS,24.08
2004,Poland,PHYS,22.66
2004,Poland,NURSMID,54.48
2004,Poland,PHAR,5.79
2004,Poland,DENT,3.66
2005,Poland,DENT,3.18
2005,Poland,PHAR,5.73
2005,Poland,NURSMID,55.79
2005,Poland,PHYS,21.15
2006,Poland,DENT,3.26
2006,Poland,PHYS,21.56
2006,Poland,NURSMID,55.85
2006,Poland,PHAR,5.85
2007,Poland,DENT,3.47
2007,Poland,PHAR,6.00
2007,Poland,NURSMID,56.93
2007,Poland,PHYS,21.68
2008,Poland,PHYS,21.39
2007,Austria,PHYS,45.63
2007,Austria,PHAR,6.35
2007,Austria,DENT,5.41
2008,Austria,PHYS,46.28
2008,Austria,NURSMID,65.79
2008,Austria,DENT,5.46
2008,Austria,PHAR,6.40
2009,Austria,PHAR,6.54
2009,Austria,DENT,5.54
2003,Kyrgyzstan,PHAR,0.27
2003,Kyrgyzstan,PHYS,25.41
2004,Kyrgyzstan,DENT,2.06
2004,Kyrgyzstan,PHYS,25.12
2004,Kyrgyzstan,PHAR,0.26
2004,Kyrgyzstan,NURSMID,64.72
2005,Kyrgyzstan,DENT,2.01
2005,Kyrgyzstan,NURSMID,61.94
2005,Kyrgyzstan,PHAR,0.23
2008,Poland,NURSMID,57.15
2008,Poland,PHAR,6.12
2008,Poland,DENT,3.38
2009,Poland,NURSMID,57.75
2009,Poland,PHYS,21.48
2009,Poland,DENT,3.16
2009,Poland,PHAR,6.29
2010,Poland,PHYS,21.56
2010,Poland,NURSMID,57.88
2010,Poland,PHAR,6.53
2010,Poland,DENT,3.25
2011,Poland,DENT,3.38
2011,Poland,PHAR,6.81
2011,Poland,NURSMID,57.89
2011,Poland,PHYS,21.81
2012,Poland,PHYS,22.01
2012,Poland,PHAR,6.95
2012,Poland,DENT,3.23
2009,Austria,NURSMID,66.97
2009,Austria,PHYS,47.23
2010,Austria,NURSMID,67.59
2010,Austria,DENT,5.60
2010,Austria,PHAR,6.67
2010,Austria,PHYS,48.29
2011,Austria,PHAR,6.79
2011,Austria,DENT,5.65
2011,Austria,NURSMID,68.57
2005,Kyrgyzstan,PHYS,24.60
2006,Kyrgyzstan,PHYS,23.92
2006,Kyrgyzstan,PHAR,0.25
2006,Kyrgyzstan,NURSMID,58.75
2006,Kyrgyzstan,DENT,1.94
2007,Kyrgyzstan,PHAR,0.16
2007,Kyrgyzstan,PHYS,23.09
2007,Kyrgyzstan,DENT,1.93
2007,Kyrgyzstan,NURSMID,57.59
2008,Kyrgyzstan,PHYS,23.13
2008,Kyrgyzstan,DENT,1.87
2008,Kyrgyzstan,NURSMID,56.09
2008,Kyrgyzstan,PHAR,0.24
2009,Kyrgyzstan,DENT,1.92
2009,Kyrgyzstan,NURSMID,55.97
2009,Kyrgyzstan,PHAR,0.29
2009,Kyrgyzstan,PHYS,23.07
2010,Kyrgyzstan,NURSMID,55.83
2012,Poland,NURSMID,82.97
2013,Poland,PHAR,7.11
2013,Poland,DENT,3.19
2013,Poland,PHYS,22.08
2013,Poland,NURSMID,57.87
2014,Poland,NURSMID,57.43
2014,Poland,PHYS,22.73
2014,Poland,DENT,3.39
2014,Poland,PHAR,7.19
2015,Poland,PHAR,7.29
2015,Poland,DENT,3.27
2015,Poland,PHYS,22.94
2015,Poland,NURSMID,57.02
2016,Poland,NURSMID,56.76
2016,Poland,PHYS,23.81
2016,Poland,DENT,3.45
2016,Poland,PHAR,7.60
2017,Poland,NURSMID,56.17
2011,Austria,PHYS,48.76
2012,Austria,PHYS,49.28
2012,Austria,NURSMID,68.88
2012,Austria,DENT,5.69
2012,Austria,PHAR,6.91
2013,Austria,PHAR,6.98
2013,Austria,PHYS,50.19
2013,Austria,NURSMID,69.36
2013,Austria,DENT,5.72
2010,Kyrgyzstan,DENT,1.86
2010,Kyrgyzstan,PHAR,0.31
2010,Kyrgyzstan,PHYS,23.13
2011,Kyrgyzstan,PHAR,0.32
2011,Kyrgyzstan,NURSMID,58.03
2011,Kyrgyzstan,DENT,1.72
2011,Kyrgyzstan,PHYS,22.72
2012,Kyrgyzstan,PHYS,22.58
2012,Kyrgyzstan,DENT,1.73
2017,Poland,PHAR,7.61
2017,Poland,DENT,3.46
2017,Poland,PHYS,23.43
2018,Poland,NURSMID,84.07
2020,Poland,PHYS,37.14
2020,Poland,NURSMID,67.62
2020,Poland,DENT,10.12
2020,Poland,PHAR,9.51
2000,Portugal,PHYS,32.02
2014,Austria,PHYS,50.77
2014,Austria,NURSMID,70.37
2014,Austria,DENT,5.73
2014,Austria,PHAR,7.02
2015,Austria,PHYS,51.25
2015,Austria,PHAR,7.06
2015,Austria,DENT,5.68
2015,Austria,NURSMID,70.43
2016,Austria,PHYS,51.30
2016,Austria,DENT,5.67
2016,Austria,NURSMID,70.27
2016,Austria,PHAR,7.09
2017,Austria,PHAR,7.10
2017,Austria,NURSMID,71.08
2017,Austria,DENT,5.69
2017,Austria,PHYS,51.83
2018,Austria,DENT,5.69
2018,Austria,PHAR,7.18
2012,Kyrgyzstan,NURSMID,59.23
2012,Kyrgyzstan,PHAR,0.50
2013,Kyrgyzstan,PHAR,0.55
2013,Kyrgyzstan,DENT,1.72
2013,Kyrgyzstan,NURSMID,59.86
2013,Kyrgyzstan,PHYS,22.66
2014,Kyrgyzstan,PHYS,22.25
2014,Kyrgyzstan,DENT,1.66
2014,Kyrgyzstan,NURSMID,59.75
2014,Kyrgyzstan,PHAR,0.42
2018,Kyrgyzstan,DENT,1.87
2019,Kyrgyzstan,NURSMID,56.84
2019,Kyrgyzstan,PHYS,21.68
2000,Latvia,PHAR,5.99
2000,Latvia,PHYS,28.50
2000,Latvia,NURSMID,47.33
2000,Latvia,DENT,5.17
2001,Latvia,NURSMID,46.72
2000,Portugal,DENT,4.32
2000,Portugal,PHAR,4.13
2001,Portugal,PHYS,32.52
2001,Portugal,PHAR,4.29
2001,Portugal,DENT,4.68
2002,Portugal,PHYS,32.85
2002,Portugal,DENT,5.02
2002,Portugal,NURSMID,40.07
2002,Portugal,PHAR,4.48
2003,Portugal,PHAR,4.89
2003,Portugal,NURSMID,41.87
2003,Portugal,DENT,5.34
2003,Portugal,PHYS,33.36
2004,Portugal,NURSMID,43.60
2004,Portugal,PHAR,5.20
2004,Portugal,PHYS,34.11
2004,Portugal,DENT,5.60
2005,Portugal,PHAR,5.45
2018,Austria,PHYS,52.41
2018,Austria,NURSMID,71.30
2019,Austria,PHAR,7.30
2019,Austria,DENT,5.79
2019,Austria,NURSMID,106.49
2019,Austria,PHYS,53.18
2020,Austria,NURSMID,107.74
2020,Austria,PHYS,53.52
2020,Austria,DENT,5.84
2001,Latvia,PHAR,6.16
2001,Latvia,PHYS,26.62
2001,Latvia,DENT,5.26
2002,Latvia,PHYS,27.70
2002,Latvia,PHAR,6.35
2002,Latvia,NURSMID,47.35
2002,Latvia,DENT,5.42
2003,Latvia,DENT,5.55
2003,Latvia,NURSMID,49.05
2003,Latvia,PHYS,28.24
2003,Latvia,PHAR,5.55
2004,Latvia,PHAR,5.48
2004,Latvia,PHYS,29.17
2004,Latvia,DENT,6.04
2004,Latvia,NURSMID,50.84
2005,Latvia,NURSMID,52.19
2005,Latvia,DENT,6.36
2005,Latvia,PHYS,29.68
2005,Portugal,NURSMID,45.76
2005,Portugal,DENT,5.92
2005,Portugal,PHYS,34.95
2006,Portugal,PHYS,35.65
2006,Portugal,DENT,6.48
2006,Portugal,NURSMID,48.33
2006,Portugal,PHAR,5.65
2007,Portugal,DENT,6.43
2007,Portugal,NURSMID,51.18
2007,Portugal,PHYS,36.51
2007,Portugal,PHAR,5.95
2008,Portugal,PHYS,37.46
2008,Portugal,DENT,6.79
2008,Portugal,NURSMID,53.60
2008,Portugal,PHAR,6.55
2009,Portugal,PHAR,7.05
2009,Portugal,DENT,7.31
2009,Portugal,NURSMID,56.27
2009,Portugal,PHYS,38.53
2010,Portugal,PHYS,39.79
2010,Portugal,NURSMID,58.96
2010,Portugal,DENT,7.66
2010,Portugal,PHAR,7.25
2011,Portugal,PHAR,7.51
2011,Portugal,DENT,7.68
2011,Portugal,NURSMID,61.03
2011,Portugal,PHYS,41.20
2020,Austria,PHAR,7.32
2021,Austria,PHYS,54.59
2000,Armenia,PHAR,0.34
2000,Armenia,PHYS,26.16
2000,Armenia,DENT,2.34
2000,Armenia,NURSMID,57.25
2001,Armenia,NURSMID,53.09
2001,Armenia,DENT,1.65
2001,Armenia,PHYS,25.50
2005,Latvia,PHAR,5.73
2006,Latvia,NURSMID,58.71
2006,Latvia,PHAR,6.09
2006,Latvia,PHYS,30.49
2006,Latvia,DENT,6.54
2007,Latvia,NURSMID,58.15
2007,Latvia,DENT,6.72
2007,Latvia,PHYS,31.78
2007,Latvia,PHAR,5.79
2012,Portugal,PHAR,7.36
2012,Portugal,PHYS,42.38
2012,Portugal,NURSMID,62.16
2012,Portugal,DENT,8.05
2013,Portugal,PHAR,7.71
2013,Portugal,DENT,8.47
2013,Portugal,NURSMID,62.89
2013,Portugal,PHYS,43.97
2014,Portugal,NURSMID,63.74
2008,Latvia,PHAR,6.23
2008,Latvia,PHYS,32.74
2008,Latvia,DENT,7.05
2008,Latvia,NURSMID,58.42
2009,Latvia,PHYS,31.76
2009,Latvia,PHAR,6.41
2009,Latvia,NURSMID,51.40
2009,Latvia,DENT,7.10
2010,Latvia,PHAR,6.82
2001,Armenia,PHAR,0.31
2002,Armenia,PHYS,25.05
2002,Armenia,DENT,1.89
2002,Armenia,NURSMID,50.12
2002,Armenia,PHAR,0.35
2003,Armenia,NURSMID,48.32
2003,Armenia,DENT,2.04
2003,Armenia,PHYS,24.04
2003,Armenia,PHAR,0.31
2004,Armenia,PHAR,0.28
2004,Armenia,DENT,2.30
2004,Armenia,PHYS,24.08
2004,Armenia,NURSMID,47.58
2005,Armenia,NURSMID,48.81
2005,Armenia,PHYS,25.09
2005,Armenia,PHAR,0.31
2005,Armenia,DENT,3.15
2006,Armenia,DENT,3.12
2014,Portugal,PHYS,45.61
2014,Portugal,DENT,8.77
2014,Portugal,PHAR,8.05
2015,Portugal,NURSMID,65.34
2015,Portugal,PHYS,47.50
2015,Portugal,PHAR,8.40
2015,Portugal,DENT,9.13
2016,Portugal,PHYS,49.36
2016,Portugal,DENT,9.56
2016,Portugal,NURSMID,67.25
2016,Portugal,PHAR,8.51
2017,Portugal,PHAR,9.06
2017,Portugal,NURSMID,69.44
2017,Portugal,DENT,10.10
2017,Portugal,PHYS,51.15
2018,Portugal,DENT,10.59
2018,Portugal,NURSMID,71.58
2018,Portugal,PHAR,9.09
2010,Latvia,PHYS,31.01
2010,Latvia,DENT,7.08
2010,Latvia,NURSMID,51.97
2011,Latvia,NURSMID,51.09
2011,Latvia,DENT,7.01
2011,Latvia,PHYS,31.08
2011,Latvia,PHAR,6.54
2012,Latvia,PHYS,31.15
2012,Latvia,DENT,7.04
2006,Armenia,PHAR,0.34
2006,Armenia,PHYS,25.31
2006,Armenia,NURSMID,49.97
2007,Armenia,DENT,3.36
2007,Armenia,NURSMID,50.19
2007,Armenia,PHYS,26.09
2007,Armenia,PHAR,0.36
2008,Armenia,DENT,4.01
2008,Armenia,PHAR,0.36
2018,Portugal,PHYS,52.94
2019,Portugal,PHAR,9.32
2019,Portugal,NURSMID,73.44
2019,Portugal,DENT,10.91
2019,Portugal,PHYS,54.50
2020,Portugal,PHYS,56.15
2020,Portugal,NURSMID,75.60
2020,Portugal,PHAR,9.53
2020,Portugal,DENT,11.33
2008,Armenia,PHYS,26.74
2008,Armenia,NURSMID,50.66
2009,Armenia,NURSMID,50.47
2009,Armenia,PHYS,26.97
2009,Armenia,PHAR,0.37
2009,Armenia,DENT,4.20
2010,Armenia,PHYS,27.75
2010,Armenia,NURSMID,51.17
2010,Armenia,DENT,4.27
2012,Latvia,NURSMID,50.07
2012,Latvia,PHAR,6.83
2013,Latvia,NURSMID,50.34
2013,Latvia,DENT,7.18
2013,Latvia,PHYS,31.62
2013,Latvia,PHAR,7.94
2014,Latvia,PHAR,7.70
2014,Latvia,DENT,6.96
2014,Latvia,PHYS,31.89
2010,Armenia,PHAR,0.42
2011,Armenia,NURSMID,52.04
2011,Armenia,PHYS,28.16
2011,Armenia,PHAR,0.41
2011,Armenia,DENT,4.43
2012,Armenia,DENT,4.43
2012,Armenia,PHAR,0.43
2012,Armenia,PHYS,28.67
2012,Armenia,NURSMID,52.34
