Year,GeoAreaName,Activity,Sex,Value
2008,Finland,ISIC4_C,,16.49
2009,Finland,ISIC4_C,,15.43
2010,Finland,ISIC4_C,,14.79
2000,Albania,ISIC4_C,,3.18
2001,Albania,ISIC4_C,,3.01
2002,Albania,ISIC4_C,,5.11
2003,Albania,ISIC4_C,,4.97
2004,Albania,ISIC4_C,,6.02
2005,Albania,ISIC4_C,,6.01
2006,Albania,ISIC4_C,,6.2
2007,Albania,ISIC4_C,,10.6
2008,Albania,ISIC4_C,,7.07
2009,Albania,ISIC4_C,,8.05
2010,Albania,ISIC4_C,,8.23
2011,Albania,ISIC4_C,,7.66
2012,Albania,ISIC4_C,,7.16
2013,Albania,ISIC4_C,,7.49
2014,Albania,ISIC4_C,,8.67
2015,Albania,ISIC4_C,,9.23
2016,Albania,ISIC4_C,,10.19
2017,Albania,ISIC4_C,,10.14
2018,Albania,ISIC4_C,,10.59
2019,Albania,ISIC4_C,,10.95
2000,Azerbaijan,ISIC4_C,,4.57
2001,Azerbaijan,ISIC4_C,,4.41
2002,Azerbaijan,ISIC4_C,,4.55
2003,Azerbaijan,ISIC4_C,,4.86
2004,Azerbaijan,ISIC4_C,,4.76
2005,Azerbaijan,ISIC4_C,,4.9
2006,Azerbaijan,ISIC4_C,,3.7
2007,Azerbaijan,ISIC4_C,,4.83
2008,Azerbaijan,ISIC4_C,,4.82
2009,Azerbaijan,ISIC4_C,,5.01
2010,Azerbaijan,ISIC4_C,,4.83
2011,Azerbaijan,ISIC4_C,,4.81
2012,Azerbaijan,ISIC4_C,,4.85
2013,Azerbaijan,ISIC4_C,,4.96
2014,Azerbaijan,ISIC4_C,,4.93
2015,Azerbaijan,ISIC4_C,,4.92
2016,Azerbaijan,ISIC4_C,,5.09
2017,Azerbaijan,ISIC4_C,,5.17
2018,Azerbaijan,ISIC4_C,,5.22
2019,Azerbaijan,ISIC4_C,,5.32
2020,Azerbaijan,ISIC4_C,,5.3
2021,Azerbaijan,ISIC4_C,,5.39
2000,Austria,ISIC4_C,,20.57
2001,Austria,ISIC4_C,,19.93
2002,Austria,ISIC4_C,,19.51
2003,Austria,ISIC4_C,,19.41
2004,Austria,ISIC4_C,,18.58
2005,Austria,ISIC4_C,,18.33
2006,Austria,ISIC4_C,,18.89
2007,Austria,ISIC4_C,,18.18
2008,Austria,ISIC4_C,,17.01
2009,Austria,ISIC4_C,,16.14
2010,Austria,ISIC4_C,,16.4
2011,Austria,ISIC4_C,,15.83
2012,Austria,ISIC4_C,,15.78
2013,Austria,ISIC4_C,,15.65
2014,Austria,ISIC4_C,,15.63
2015,Austria,ISIC4_C,,15.97
2016,Austria,ISIC4_C,,15.94
2017,Austria,ISIC4_C,,15.62
2018,Austria,ISIC4_C,,16.17
2019,Austria,ISIC4_C,,15.91
2020,Austria,ISIC4_C,,15.6
2021,Austria,ISIC4_C,,16.63
2002,Armenia,ISIC4_C,,10.73
2007,Armenia,ISIC4_C,,6.86
2008,Armenia,ISIC4_C,,10.13
2009,Armenia,ISIC4_C,,6.08
2010,Armenia,ISIC4_C,,5.73
2011,Armenia,ISIC4_C,,6.75
2012,Armenia,ISIC4_C,,7.98
2013,Armenia,ISIC4_C,,8.3
2014,Armenia,ISIC4_C,,8.34
2015,Armenia,ISIC4_C,,7.85
2016,Armenia,ISIC4_C,,8.27
2017,Armenia,ISIC4_C,,9.13
2018,Armenia,ISIC4_C,,6.66
2019,Armenia,ISIC4_C,,6.89
2020,Armenia,ISIC4_C,,6.23
2000,Belgium,ISIC4_C,,18.75
2001,Belgium,ISIC4_C,,18.32
2002,Belgium,ISIC4_C,,18.3
2003,Belgium,ISIC4_C,,17.76
2004,Belgium,ISIC4_C,,17.45
2005,Belgium,ISIC4_C,,17.17
2006,Belgium,ISIC4_C,,16.77
2007,Belgium,ISIC4_C,,16.54
2008,Belgium,ISIC4_C,,15.98
2009,Belgium,ISIC4_C,,14.84
2010,Belgium,ISIC4_C,,14.55
2011,Belgium,ISIC4_C,,14.22
2012,Belgium,ISIC4_C,,13.15
2013,Belgium,ISIC4_C,,13
2014,Belgium,ISIC4_C,,12.8
2015,Belgium,ISIC4_C,,12.95
2016,Belgium,ISIC4_C,,12.45
2017,Belgium,ISIC4_C,,12.38
2018,Belgium,ISIC4_C,,12.83
2019,Belgium,ISIC4_C,,12.3
2020,Belgium,ISIC4_C,,12.31
2021,Belgium,ISIC4_C,,11.46
2001,Bosnia and Herzegovina,ISIC4_C,,19.65
2006,Bosnia and Herzegovina,ISIC4_C,,17.03
2007,Bosnia and Herzegovina,ISIC4_C,,17.94
2008,Bosnia and Herzegovina,ISIC4_C,,16.57
2009,Bosnia and Herzegovina,ISIC4_C,,16.4
2010,Bosnia and Herzegovina,ISIC4_C,,16.83
2011,Bosnia and Herzegovina,ISIC4_C,,16
2012,Bosnia and Herzegovina,ISIC4_C,,15.5
2013,Bosnia and Herzegovina,ISIC4_C,,15.98
2014,Bosnia and Herzegovina,ISIC4_C,,16.05
2015,Bosnia and Herzegovina,ISIC4_C,,16.06
2016,Bosnia and Herzegovina,ISIC4_C,,17.29
2017,Bosnia and Herzegovina,ISIC4_C,,16.52
2018,Bosnia and Herzegovina,ISIC4_C,,17.69
2019,Bosnia and Herzegovina,ISIC4_C,,18.64
2020,Bosnia and Herzegovina,ISIC4_C,,18.92
2021,Bosnia and Herzegovina,ISIC4_C,,17.31
2000,Bulgaria,ISIC4_C,,23.41
2001,Bulgaria,ISIC4_C,,24.06
2002,Bulgaria,ISIC4_C,,23.81
2003,Bulgaria,ISIC4_C,,23.34
2004,Bulgaria,ISIC4_C,,23.87
2005,Bulgaria,ISIC4_C,,24.45
2006,Bulgaria,ISIC4_C,,23.96
2007,Bulgaria,ISIC4_C,,23.56
2008,Bulgaria,ISIC4_C,,22.9
2009,Bulgaria,ISIC4_C,,21.94
2010,Bulgaria,ISIC4_C,,20.53
2011,Bulgaria,ISIC4_C,,20
2012,Bulgaria,ISIC4_C,,20.57
2013,Bulgaria,ISIC4_C,,19.64
2014,Bulgaria,ISIC4_C,,19.61
2015,Bulgaria,ISIC4_C,,19.71
2016,Bulgaria,ISIC4_C,,19.52
2017,Bulgaria,ISIC4_C,,19.1
2018,Bulgaria,ISIC4_C,,19.04
2019,Bulgaria,ISIC4_C,,18.78
2020,Bulgaria,ISIC4_C,,18.51
2021,Bulgaria,ISIC4_C,,18.63
2015,Belarus,ISIC4_C,,20.48
2016,Belarus,ISIC4_C,,18.07
2017,Belarus,ISIC4_C,,18.35
2018,Belarus,ISIC4_C,,17.6
2019,Belarus,ISIC4_C,,17.43
2020,Belarus,ISIC4_C,,17.76
2021,Belarus,ISIC4_C,,17.57
2001,Croatia,ISIC4_C,,18.47
2002,Croatia,ISIC4_C,,20.45
2003,Croatia,ISIC4_C,,19.72
2004,Croatia,ISIC4_C,,19.21
2005,Croatia,ISIC4_C,,18.06
2006,Croatia,ISIC4_C,,19.04
2007,Croatia,ISIC4_C,,19.15
2008,Croatia,ISIC4_C,,18.62
2009,Croatia,ISIC4_C,,17.38
2010,Croatia,ISIC4_C,,16.62
2011,Croatia,ISIC4_C,,17.25
2012,Croatia,ISIC4_C,,17.49
2013,Croatia,ISIC4_C,,17.15
2014,Croatia,ISIC4_C,,17.15
2015,Croatia,ISIC4_C,,16.63
2016,Croatia,ISIC4_C,,17.03
2017,Croatia,ISIC4_C,,17
2018,Croatia,ISIC4_C,,17.28
2019,Croatia,ISIC4_C,,17.81
2020,Croatia,ISIC4_C,,17.7
2021,Croatia,ISIC4_C,,17.72
2000,Cyprus,ISIC4_C,,12.79
2001,Cyprus,ISIC4_C,,12.75
2002,Cyprus,ISIC4_C,,12.22
2003,Cyprus,ISIC4_C,,10.97
2004,Cyprus,ISIC4_C,,11.11
2005,Cyprus,ISIC4_C,,11.5
2006,Cyprus,ISIC4_C,,10.43
2007,Cyprus,ISIC4_C,,9.84
2008,Cyprus,ISIC4_C,,9.67
2009,Cyprus,ISIC4_C,,9.06
2010,Cyprus,ISIC4_C,,8.32
2011,Cyprus,ISIC4_C,,7.79
2012,Cyprus,ISIC4_C,,7.48
2013,Cyprus,ISIC4_C,,7.51
2014,Cyprus,ISIC4_C,,8.17
2015,Cyprus,ISIC4_C,,7.79
2016,Cyprus,ISIC4_C,,7.17
2017,Cyprus,ISIC4_C,,7.16
2018,Cyprus,ISIC4_C,,6.88
2019,Cyprus,ISIC4_C,,7.27
2020,Cyprus,ISIC4_C,,7.6
2021,Cyprus,ISIC4_C,,7.17
2011,Finland,ISIC4_C,,14.54
2012,Finland,ISIC4_C,,14.37
2013,Finland,ISIC4_C,,14.26
2014,Finland,ISIC4_C,,13.54
2015,Finland,ISIC4_C,,13.47
2016,Finland,ISIC4_C,,13.37
2017,Finland,ISIC4_C,,13.18
2018,Finland,ISIC4_C,,13.27
2019,Finland,ISIC4_C,,12.81
2020,Finland,ISIC4_C,,13.03
2021,Finland,ISIC4_C,,12.56
2000,France,ISIC4_C,,18.75
2001,France,ISIC4_C,,18.53
2002,France,ISIC4_C,,17.82
2003,France,ISIC4_C,,16.43
2004,France,ISIC4_C,,16.41
2005,France,ISIC4_C,,15.82
2006,France,ISIC4_C,,15.66
2007,France,ISIC4_C,,15.32
2008,France,ISIC4_C,,14.38
2009,France,ISIC4_C,,13.69
2010,France,ISIC4_C,,13.12
2011,France,ISIC4_C,,13.18
2012,France,ISIC4_C,,12.82
2013,France,ISIC4_C,,12.47
2014,France,ISIC4_C,,12.14
2015,France,ISIC4_C,,12.21
2016,France,ISIC4_C,,12.15
2017,France,ISIC4_C,,12.2
2018,France,ISIC4_C,,11.68
2019,France,ISIC4_C,,11.77
2020,France,ISIC4_C,,11.48
2021,France,ISIC4_C,,10.99
2000,Georgia,ISIC4_C,,5.94
2001,Georgia,ISIC4_C,,5.45
2002,Georgia,ISIC4_C,,4.64
2003,Georgia,ISIC4_C,,4.89
2004,Georgia,ISIC4_C,,5.09
2005,Georgia,ISIC4_C,,5.15
2006,Georgia,ISIC4_C,,4.66
2007,Georgia,ISIC4_C,,4.85
2009,Georgia,ISIC4_C,,4.92
2010,Georgia,ISIC4_C,,5.27
2011,Georgia,ISIC4_C,,5.17
2012,Georgia,ISIC4_C,,5.19
2013,Georgia,ISIC4_C,,5.26
2014,Georgia,ISIC4_C,,5.24
2015,Georgia,ISIC4_C,,5.03
2016,Georgia,ISIC4_C,,5.36
2017,Georgia,ISIC4_C,,5.91
2018,Georgia,ISIC4_C,,6.21
2019,Georgia,ISIC4_C,,5.8
2020,Georgia,ISIC4_C,,5.94
2000,Germany,ISIC4_C,,23.76
2001,Germany,ISIC4_C,,23.6
2002,Germany,ISIC4_C,,23.54
2003,Germany,ISIC4_C,,22.98
2004,Germany,ISIC4_C,,23.12
2005,Germany,ISIC4_C,,22.05
2006,Germany,ISIC4_C,,21.91
2007,Germany,ISIC4_C,,22.09
2008,Germany,ISIC4_C,,21.03
2009,Germany,ISIC4_C,,20.4
2010,Germany,ISIC4_C,,19.95
2011,Germany,ISIC4_C,,19.84
2012,Germany,ISIC4_C,,19.72
2013,Germany,ISIC4_C,,19.35
2014,Germany,ISIC4_C,,19.58
2015,Germany,ISIC4_C,,19.3
2016,Germany,ISIC4_C,,19.15
2017,Germany,ISIC4_C,,19.04
2018,Germany,ISIC4_C,,19.07
2019,Germany,ISIC4_C,,18.9
2008,Czechia,ISIC4_C,,27.56
2009,Czechia,ISIC4_C,,25.18
2010,Czechia,ISIC4_C,,25.3
2011,Czechia,ISIC4_C,,26.43
2012,Czechia,ISIC4_C,,26.57
2013,Czechia,ISIC4_C,,26.03
2014,Czechia,ISIC4_C,,26.73
2015,Czechia,ISIC4_C,,27.31
2020,Germany,ISIC4_C,,19.92
2021,Germany,ISIC4_C,,19.93
2000,Greece,ISIC4_C,,14.08
2001,Greece,ISIC4_C,,14.27
2002,Greece,ISIC4_C,,14.02
2003,Greece,ISIC4_C,,13.46
2004,Greece,ISIC4_C,,13.21
2005,Greece,ISIC4_C,,12.98
2006,Greece,ISIC4_C,,12.71
2007,Greece,ISIC4_C,,12.54
2008,Greece,ISIC4_C,,11.92
2009,Greece,ISIC4_C,,11.49
2010,Greece,ISIC4_C,,10.76
2011,Greece,ISIC4_C,,10.19
2012,Greece,ISIC4_C,,9.59
2013,Greece,ISIC4_C,,9.31
2014,Greece,ISIC4_C,,9.01
2015,Greece,ISIC4_C,,9.33
2016,Greece,ISIC4_C,,9.54
2017,Greece,ISIC4_C,,9.61
2018,Greece,ISIC4_C,,9.4
2019,Greece,ISIC4_C,,9.62
2020,Greece,ISIC4_C,,9.64
2021,Greece,ISIC4_C,,9.93
2000,Hungary,ISIC4_C,,24.22
2001,Hungary,ISIC4_C,,24.82
2002,Hungary,ISIC4_C,,24.91
2003,Hungary,ISIC4_C,,23.59
2004,Hungary,ISIC4_C,,22.99
2005,Hungary,ISIC4_C,,22.37
2006,Hungary,ISIC4_C,,22.03
2007,Hungary,ISIC4_C,,22.17
2008,Hungary,ISIC4_C,,21.92
2009,Hungary,ISIC4_C,,20.93
2010,Hungary,ISIC4_C,,20.8
2011,Hungary,ISIC4_C,,21.25
2012,Hungary,ISIC4_C,,20.65
2013,Hungary,ISIC4_C,,20.97
2014,Hungary,ISIC4_C,,21.6
2015,Hungary,ISIC4_C,,21.41
2016,Hungary,ISIC4_C,,21.68
2017,Hungary,ISIC4_C,,22.41
2018,Hungary,ISIC4_C,,22.5
2019,Hungary,ISIC4_C,,22.12
2020,Hungary,ISIC4_C,,21.6
2021,Hungary,ISIC4_C,,21.21
2000,Iceland,ISIC4_C,,15.02
2001,Iceland,ISIC4_C,,14.8
2002,Iceland,ISIC4_C,,14.09
2003,Iceland,ISIC4_C,,13.7
2004,Iceland,ISIC4_C,,13.84
2005,Iceland,ISIC4_C,,13
2006,Iceland,ISIC4_C,,11.87
2007,Iceland,ISIC4_C,,10.86
2008,Iceland,ISIC4_C,,10.54
2009,Iceland,ISIC4_C,,11.03
2010,Iceland,ISIC4_C,,10.68
2011,Iceland,ISIC4_C,,11.23
2012,Iceland,ISIC4_C,,11.53
2013,Iceland,ISIC4_C,,11.38
2014,Iceland,ISIC4_C,,11.08
2015,Iceland,ISIC4_C,,10.24
2016,Iceland,ISIC4_C,,10.06
2017,Iceland,ISIC4_C,,9.67
2018,Iceland,ISIC4_C,,9.08
2019,Iceland,ISIC4_C,,9.34
2020,Iceland,ISIC4_C,,9.63
2021,Iceland,ISIC4_C,,9.51
2000,Ireland,ISIC4_C,,17.45
2001,Ireland,ISIC4_C,,17.35
2002,Ireland,ISIC4_C,,16.16
2003,Ireland,ISIC4_C,,15.99
2004,Ireland,ISIC4_C,,15.25
2005,Ireland,ISIC4_C,,13.89
2006,Ireland,ISIC4_C,,13.21
2007,Ireland,ISIC4_C,,13.06
2008,Ireland,ISIC4_C,,12.06
2009,Ireland,ISIC4_C,,11.59
2010,Ireland,ISIC4_C,,11.23
2011,Ireland,ISIC4_C,,11.29
2012,Ireland,ISIC4_C,,11.2
2013,Ireland,ISIC4_C,,11.34
2014,Ireland,ISIC4_C,,11.16
2015,Ireland,ISIC4_C,,11.39
2016,Ireland,ISIC4_C,,11.65
2017,Ireland,ISIC4_C,,11.48
2018,Ireland,ISIC4_C,,11.04
2019,Ireland,ISIC4_C,,10.95
2020,Ireland,ISIC4_C,,11.45
2021,Ireland,ISIC4_C,,11.63
2000,Italy,ISIC4_C,,23.05
2001,Italy,ISIC4_C,,22.77
2002,Italy,ISIC4_C,,22.68
2003,Italy,ISIC4_C,,22.43
2004,Italy,ISIC4_C,,21.83
2005,Italy,ISIC4_C,,21.35
2006,Italy,ISIC4_C,,20.98
2007,Italy,ISIC4_C,,21
2008,Italy,ISIC4_C,,19.91
2009,Italy,ISIC4_C,,19.29
2010,Italy,ISIC4_C,,18.63
2011,Italy,ISIC4_C,,18.7
2012,Italy,ISIC4_C,,18.31
2013,Italy,ISIC4_C,,18.31
2014,Italy,ISIC4_C,,18.56
2015,Italy,ISIC4_C,,18.35
2016,Italy,ISIC4_C,,18.23
2017,Italy,ISIC4_C,,18.19
2018,Italy,ISIC4_C,,18.39
2019,Italy,ISIC4_C,,18.5
2020,Italy,ISIC4_C,,18.73
2021,Italy,ISIC4_C,,18.55
2001,Kazakhstan,ISIC4_C,,7.67
2002,Kazakhstan,ISIC4_C,,7.51
2003,Kazakhstan,ISIC4_C,,7.25
2004,Kazakhstan,ISIC4_C,,7.24
2005,Kazakhstan,ISIC4_C,,7.44
2006,Kazakhstan,ISIC4_C,,7.49
2007,Kazakhstan,ISIC4_C,,7.47
2008,Kazakhstan,ISIC4_C,,7.29
2009,Kazakhstan,ISIC4_C,,6.87
2010,Kazakhstan,ISIC4_C,,6.97
2011,Kazakhstan,ISIC4_C,,6.53
2012,Kazakhstan,ISIC4_C,,6.39
2013,Kazakhstan,ISIC4_C,,6.39
2015,Kazakhstan,ISIC4_C,,6.41
2017,Kazakhstan,ISIC4_C,,6.77
2020,Kazakhstan,ISIC4_C,,6.66
2000,Kyrgyzstan,ISIC4_C,,6.39
2001,Kyrgyzstan,ISIC4_C,,6.24
2002,Kyrgyzstan,ISIC4_C,,6.74
2003,Kyrgyzstan,ISIC4_C,,7.26
2004,Kyrgyzstan,ISIC4_C,,7.7
2005,Kyrgyzstan,ISIC4_C,,7.89
2006,Kyrgyzstan,ISIC4_C,,8.49
2007,Kyrgyzstan,ISIC4_C,,8.35
2008,Kyrgyzstan,ISIC4_C,,8.15
2010,Kyrgyzstan,ISIC4_C,,6.92
2011,Kyrgyzstan,ISIC4_C,,6.9
2012,Kyrgyzstan,ISIC4_C,,6.9
2013,Kyrgyzstan,ISIC4_C,,6.31
2014,Kyrgyzstan,ISIC4_C,,6.41
2015,Kyrgyzstan,ISIC4_C,,6.77
2016,Kyrgyzstan,ISIC4_C,,6.95
2017,Kyrgyzstan,ISIC4_C,,11.48
2018,Kyrgyzstan,ISIC4_C,,10.74
2019,Kyrgyzstan,ISIC4_C,,10.96
2020,Kyrgyzstan,ISIC4_C,,10.47
2021,Kyrgyzstan,ISIC4_C,,10.69
2000,Latvia,ISIC4_C,,18.5
2001,Latvia,ISIC4_C,,17.12
2002,Latvia,ISIC4_C,,16.44
2003,Latvia,ISIC4_C,,16.62
2004,Latvia,ISIC4_C,,16.18
2005,Latvia,ISIC4_C,,15.21
2006,Latvia,ISIC4_C,,15.06
2007,Latvia,ISIC4_C,,14.35
2008,Latvia,ISIC4_C,,14.82
2009,Latvia,ISIC4_C,,13.2
2010,Latvia,ISIC4_C,,13.18
2011,Latvia,ISIC4_C,,13.28
2012,Latvia,ISIC4_C,,13.99
2013,Latvia,ISIC4_C,,14.06
2014,Latvia,ISIC4_C,,13.43
2015,Latvia,ISIC4_C,,12.98
2016,Latvia,ISIC4_C,,13.83
2017,Latvia,ISIC4_C,,13.51
2018,Latvia,ISIC4_C,,12.86
2019,Latvia,ISIC4_C,,12.65
2020,Latvia,ISIC4_C,,12.82
2021,Latvia,ISIC4_C,,12.57
2000,Lithuania,ISIC4_C,,18.21
2001,Lithuania,ISIC4_C,,18.08
2002,Lithuania,ISIC4_C,,17.8
2003,Lithuania,ISIC4_C,,18.05
2004,Lithuania,ISIC4_C,,17.87
2005,Lithuania,ISIC4_C,,17.99
2006,Lithuania,ISIC4_C,,17.67
2007,Lithuania,ISIC4_C,,17.46
2008,Lithuania,ISIC4_C,,17.07
2009,Lithuania,ISIC4_C,,15.84
2010,Lithuania,ISIC4_C,,15.37
2011,Lithuania,ISIC4_C,,15.55
2012,Lithuania,ISIC4_C,,15.7
2013,Lithuania,ISIC4_C,,15.43
2014,Lithuania,ISIC4_C,,15.06
2015,Lithuania,ISIC4_C,,15.19
2016,Lithuania,ISIC4_C,,15.44
2017,Lithuania,ISIC4_C,,15.41
2018,Lithuania,ISIC4_C,,15.98
2019,Lithuania,ISIC4_C,,15.88
2020,Lithuania,ISIC4_C,,15.81
2021,Lithuania,ISIC4_C,,16.55
2000,Luxembourg,ISIC4_C,,11.54
2001,Luxembourg,ISIC4_C,,11.18
2002,Luxembourg,ISIC4_C,,10.25
2003,Luxembourg,ISIC4_C,,9.84
2004,Luxembourg,ISIC4_C,,9.51
2005,Luxembourg,ISIC4_C,,8.73
2006,Luxembourg,ISIC4_C,,8.14
2007,Luxembourg,ISIC4_C,,7.85
2008,Luxembourg,ISIC4_C,,6.32
2009,Luxembourg,ISIC4_C,,6.19
2010,Luxembourg,ISIC4_C,,5.63
2011,Luxembourg,ISIC4_C,,5.81
2012,Luxembourg,ISIC4_C,,5.32
2013,Luxembourg,ISIC4_C,,4.87
2014,Luxembourg,ISIC4_C,,5.38
2015,Luxembourg,ISIC4_C,,4.6
2016,Luxembourg,ISIC4_C,,4.24
2017,Luxembourg,ISIC4_C,,3.39
2018,Luxembourg,ISIC4_C,,4.21
2019,Luxembourg,ISIC4_C,,3.75
2020,Luxembourg,ISIC4_C,,3.77
2021,Luxembourg,ISIC4_C,,3.18
2000,Malta,ISIC4_C,,22.77
2001,Malta,ISIC4_C,,21.35
2002,Malta,ISIC4_C,,21.4
2003,Malta,ISIC4_C,,19.33
2004,Malta,ISIC4_C,,20.16
2005,Malta,ISIC4_C,,19.18
2006,Malta,ISIC4_C,,17.38
2007,Malta,ISIC4_C,,16.51
2008,Malta,ISIC4_C,,14.96
2009,Malta,ISIC4_C,,14.76
2010,Malta,ISIC4_C,,15.13
2011,Malta,ISIC4_C,,15.21
2012,Malta,ISIC4_C,,13.39
2013,Malta,ISIC4_C,,12.85
2014,Malta,ISIC4_C,,12.78
2015,Malta,ISIC4_C,,12.38
2016,Malta,ISIC4_C,,11.96
2017,Malta,ISIC4_C,,11.82
2018,Malta,ISIC4_C,,11.33
2019,Malta,ISIC4_C,,11.06
2020,Malta,ISIC4_C,,11.07
2021,Malta,ISIC4_C,,10.48
2006,Republic of Moldova,ISIC4_C,,8.24
2007,Republic of Moldova,ISIC4_C,,7.66
2008,Republic of Moldova,ISIC4_C,,7.94
2009,Republic of Moldova,ISIC4_C,,7.39
2010,Republic of Moldova,ISIC4_C,,6.62
2011,Republic of Moldova,ISIC4_C,,6.84
2012,Republic of Moldova,ISIC4_C,,6.42
2013,Republic of Moldova,ISIC4_C,,5.98
2014,Republic of Moldova,ISIC4_C,,5.92
2015,Republic of Moldova,ISIC4_C,,5.88
2016,Republic of Moldova,ISIC4_C,,5.92
2017,Republic of Moldova,ISIC4_C,,5.64
2018,Republic of Moldova,ISIC4_C,,6.06
2019,Republic of Moldova,ISIC4_C,,7.1
2020,Republic of Moldova,ISIC4_C,,6.58
2021,Republic of Moldova,ISIC4_C,,6.61
2003,Montenegro,ISIC4_C,,13.71
2005,Montenegro,ISIC4_C,,12.24
2007,Montenegro,ISIC4_C,,10.95
2011,Montenegro,ISIC4_C,,7.99
2012,Montenegro,ISIC4_C,,7.39
2013,Montenegro,ISIC4_C,,7.22
2014,Montenegro,ISIC4_C,,6.61
2015,Montenegro,ISIC4_C,,6.68
2016,Montenegro,ISIC4_C,,5.62
2017,Montenegro,ISIC4_C,,5.52
2018,Montenegro,ISIC4_C,,6.08
2019,Montenegro,ISIC4_C,,5.97
2020,Montenegro,ISIC4_C,,6.1
2000,Netherlands,ISIC4_C,,13.93
2001,Netherlands,ISIC4_C,,13.61
2002,Netherlands,ISIC4_C,,12.61
2003,Netherlands,ISIC4_C,,12.99
2004,Netherlands,ISIC4_C,,12.92
2005,Netherlands,ISIC4_C,,13.23
2006,Netherlands,ISIC4_C,,12.97
2007,Netherlands,ISIC4_C,,12.34
2008,Netherlands,ISIC4_C,,10.98
2009,Netherlands,ISIC4_C,,10.23
2010,Netherlands,ISIC4_C,,9.6
2011,Netherlands,ISIC4_C,,9.18
2012,Netherlands,ISIC4_C,,9.2
2013,Netherlands,ISIC4_C,,9.23
2014,Netherlands,ISIC4_C,,9.28
2015,Netherlands,ISIC4_C,,9.45
2016,Netherlands,ISIC4_C,,9.52
2017,Netherlands,ISIC4_C,,9.3
2018,Netherlands,ISIC4_C,,9.24
2019,Netherlands,ISIC4_C,,9.04
2020,Netherlands,ISIC4_C,,8.97
2021,Netherlands,ISIC4_C,,8.34
2000,Norway,ISIC4_C,,13.01
2001,Norway,ISIC4_C,,12.64
2002,Norway,ISIC4_C,,12.68
2003,Norway,ISIC4_C,,12.47
2004,Norway,ISIC4_C,,11.55
2005,Norway,ISIC4_C,,11.64
2006,Norway,ISIC4_C,,11.54
2007,Norway,ISIC4_C,,11.45
2008,Norway,ISIC4_C,,10.37
2009,Norway,ISIC4_C,,9.94
2010,Norway,ISIC4_C,,9.46
2011,Norway,ISIC4_C,,9.4
2012,Norway,ISIC4_C,,9.25
2013,Norway,ISIC4_C,,8.79
2014,Norway,ISIC4_C,,8.7
2015,Norway,ISIC4_C,,8.61
2016,Norway,ISIC4_C,,8.26
2017,Norway,ISIC4_C,,8.05
2018,Norway,ISIC4_C,,7.73
2019,Norway,ISIC4_C,,7.71
2020,Norway,ISIC4_C,,7.68
2021,Norway,ISIC4_C,,7.21
2000,Poland,ISIC4_C,,19.77
2001,Poland,ISIC4_C,,19.92
2002,Poland,ISIC4_C,,18.68
2003,Poland,ISIC4_C,,19.04
2004,Poland,ISIC4_C,,19.86
2005,Poland,ISIC4_C,,20.06
2006,Poland,ISIC4_C,,20.48
