Year,GeoAreaName,Disability status,Grounds of discrimination,Location,Sex,Value
2016,Denmark,_T,RELIGION,ALLAREA,FEMALE,2.8
2016,Denmark,_T,AGE,ALLAREA,FEMALE,11
2016,Denmark,_T,ETH,ALLAREA,MALE,6.5
2016,Denmark,PWD,SEX,ALLAREA,BOTHSEX,8.65
2019,Belarus,_T,MIG,RURAL,BOTHSEX,0.15
2019,Belarus,_T,RELIGION,RURAL,FEMALE,0.5
2019,Belarus,_T,RELIGION,RURAL,BOTHSEX,0.6
2019,Belarus,_T,SEX,ALLAREA,MALE,0.6
2019,Belarus,_T,SEX,ALLAREA,FEMALE,1.2
2016,Denmark,PD,AGE,ALLAREA,BOTHSEX,10.88
2016,Denmark,PD,ETH,ALLAREA,BOTHSEX,5.5
2016,Denmark,_T,SEXO,ALLAREA,MALE,1.3
2016,Denmark,_T,SEXO,ALLAREA,FEMALE,1.2
2016,Denmark,_T,SEX,ALLAREA,MALE,4.1
2019,Belarus,_T,SEX,ALLAREA,BOTHSEX,0.9
2019,Belarus,_T,AGE,RURAL,MALE,1.3
2019,Belarus,_T,AGE,RURAL,FEMALE,0.8
2019,Belarus,_T,AGE,RURAL,BOTHSEX,1.05
2019,Belarus,_T,SEXO,ALLAREA,MALE,0.1
2020,Kosovo,_T,ALL,ALLAREA,BOTHSEX,11.4
2020,Kosovo,_T,AGE,ALLAREA,MALE,2
2020,Kosovo,_T,AGE,ALLAREA,FEMALE,3.3
2020,Kosovo,_T,AGE,URBAN,FEMALE,3.6
2020,Kosovo,_T,RELIGION,RURAL,BOTHSEX,2.2
2016,Denmark,_T,SEX,ALLAREA,FEMALE,12.8
2016,Denmark,PD,SEXO,ALLAREA,BOTHSEX,1.56
2016,Denmark,PD,SEX,ALLAREA,BOTHSEX,7.9
2016,Denmark,PD,RELIGION,ALLAREA,BOTHSEX,2.93
2016,Denmark,_T,RELIGION,ALLAREA,MALE,3
2019,Belarus,_T,SEXO,ALLAREA,FEMALE,0.1
2019,Belarus,_T,AGE,URBAN,FEMALE,2.1
2019,Belarus,_T,AGE,URBAN,BOTHSEX,1.85
2019,Belarus,_T,SEXO,RURAL,MALE,0
2019,Belarus,_T,AGE,URBAN,MALE,1.6
2016,Denmark,_T,AGE,ALLAREA,MALE,8.6
2016,Denmark,PWD,SEXO,ALLAREA,BOTHSEX,1.09
2016,Denmark,PD,DISHEA,ALLAREA,BOTHSEX,13.95
2014,Estonia,_T,ALL,ALLAREA,BOTHSEX,10.6
2014,Estonia,_T,ALL,ALLAREA,MALE,13.1
2019,Belarus,_T,ALL,URBAN,FEMALE,5.4
2019,Belarus,_T,SEX,URBAN,MALE,0.6
2019,Belarus,_T,SEXO,URBAN,BOTHSEX,0.1
2019,Belarus,PWD,OTHER,ALLAREA,FEMALE,1.2
2019,Belarus,PD,ALL,ALLAREA,FEMALE,16.5
2020,Kosovo,_T,RELIGION,RURAL,FEMALE,2.2
2020,Kosovo,_T,OTHER,RURAL,MALE,3.2
2020,Kosovo,_T,OTHER,RURAL,FEMALE,2.8
2020,Kosovo,PWD,ETHI,ALLAREA,FEMALE,2
2020,Kosovo,PWD,ETHI,ALLAREA,MALE,3.3
2020,Kosovo,PWD,OTHER,ALLAREA,BOTHSEX,3.05
2020,Kosovo,_T,RELIGION,URBAN,BOTHSEX,2.7
2020,Kosovo,PWD,DIS,ALLAREA,BOTHSEX,0.65
2020,Kosovo,PWD,SEX,ALLAREA,MALE,0.4
2020,Kosovo,PWD,ALL,ALLAREA,MALE,10.1
2014,Estonia,_T,ALL,ALLAREA,FEMALE,8.9
2016,Estonia,_T,ALL,ALLAREA,MALE,8.9
2016,Estonia,_T,ALL,ALLAREA,FEMALE,7.8
2016,Estonia,_T,ALL,ALLAREA,BOTHSEX,8.3
2018,Estonia,_T,ALL,ALLAREA,BOTHSEX,7.8
2018,Estonia,_T,ALL,ALLAREA,MALE,7.4
2019,Belarus,PD,SEX,ALLAREA,FEMALE,3.5
2019,Belarus,PWD,AGE,ALLAREA,FEMALE,1.7
2019,Belarus,PWD,DIS,ALLAREA,FEMALE,0.5
2019,Belarus,_T,OTHER,URBAN,MALE,0.4
2019,Belarus,_T,OTHER,URBAN,FEMALE,1.3
2020,Kosovo,_T,RELIGION,URBAN,MALE,3.1
2020,Kosovo,_T,SEXO,URBAN,FEMALE,0.5
2020,Kosovo,_T,SEXO,URBAN,MALE,0.4
2020,Kosovo,PD,SEX,ALLAREA,FEMALE,9.9
2020,Kosovo,PD,SEXO,ALLAREA,FEMALE,0.3
2020,Kosovo,PWD,AGE,ALLAREA,BOTHSEX,2.35
2020,Kosovo,_T,SEX,URBAN,BOTHSEX,3.5
2020,Kosovo,PWD,AGE,ALLAREA,FEMALE,2.8
2020,Kosovo,_T,DIS,URBAN,BOTHSEX,0.85
2020,Kosovo,_T,ALL,URBAN,MALE,11
2018,Estonia,_T,ALL,ALLAREA,FEMALE,8.1
2018,France,_T,ALL,ALLAREA,BOTHSEX,27
2018,France,_T,SEX,ALLAREA,BOTHSEX,22
2018,France,_T,RELIGION,ALLAREA,BOTHSEX,9
2019,Belarus,_T,OTHER,URBAN,BOTHSEX,0.85
2019,Belarus,_T,OTHER,ALLAREA,BOTHSEX,0.8
2019,Belarus,_T,MIG,ALLAREA,MALE,0.1
2019,Belarus,_T,MIG,ALLAREA,FEMALE,0.3
2019,Belarus,_T,MIG,ALLAREA,BOTHSEX,0.2
2020,Kosovo,PWD,SEXO,ALLAREA,MALE,0.2
2020,Kosovo,_T,OTHER,URBAN,BOTHSEX,3.45
2020,Kosovo,_T,ETHI,URBAN,MALE,3.7
2020,Kosovo,_T,RELIGION,ALLAREA,MALE,2.6
2020,Kosovo,_T,OTHER,ALLAREA,BOTHSEX,3.2
2018,France,_T,ALL,ALLAREA,FEMALE,20.2
2018,France,_T,SEX,ALLAREA,FEMALE,31
2018,France,_T,AGE,ALLAREA,BOTHSEX,16
2018,France,_T,ALL,RURAL,BOTHSEX,22
2020,Kosovo,_T,DIS,ALLAREA,FEMALE,0.7
2020,Kosovo,_T,DIS,ALLAREA,BOTHSEX,0.8
2020,Kosovo,_T,ALL,ALLAREA,MALE,10.2
2020,Kosovo,_T,DIS,RURAL,BOTHSEX,0.75
2020,Kosovo,_T,ALL,RURAL,MALE,9.6
2018,France,_T,COLR,ALLAREA,BOTHSEX,16
2018,France,_T,ALL,ALLAREA,MALE,28
2018,France,_T,AGE,ALLAREA,FEMALE,18
2018,France,_T,SEX,URBAN,BOTHSEX,22
2020,Kosovo,_T,OTHER,RURAL,BOTHSEX,3
2020,Kosovo,_T,ETHI,RURAL,MALE,3.3
2020,Kosovo,_T,ETHI,RURAL,FEMALE,1.7
2020,Kosovo,_T,AGE,RURAL,FEMALE,3.1
2020,Kosovo,_T,SEXO,URBAN,BOTHSEX,0.45
2018,France,_T,AGE,URBAN,BOTHSEX,14
2018,France,_T,RELIGION,URBAN,BOTHSEX,10
2018,France,_T,OTHER,URBAN,BOTHSEX,21
2018,France,_T,COLR,URBAN,BOTHSEX,18
2020,Kosovo,_T,AGE,ALLAREA,BOTHSEX,2.65
2020,Kosovo,_T,AGE,URBAN,BOTHSEX,2.7
2020,Kosovo,_T,SEXO,RURAL,MALE,0.1
2020,Kosovo,_T,SEXO,RURAL,FEMALE,0.4
2020,Kosovo,_T,SEXO,RURAL,BOTHSEX,0.25
2018,France,_T,ALL,URBAN,BOTHSEX,28
2018,France,_T,OTHER,ALLAREA,FEMALE,22
2018,France,_T,OTHER,ALLAREA,BOTHSEX,21
2019,France,_T,ALL,URBAN,BOTHSEX,24
2020,Kosovo,_T,ALL,URBAN,FEMALE,14.4
2020,Kosovo,_T,ALL,URBAN,BOTHSEX,12.7
2020,Kosovo,_T,AGE,URBAN,MALE,1.8
2020,Kosovo,_T,SEX,RURAL,MALE,0.6
2020,Kosovo,_T,SEX,RURAL,FEMALE,5.1
2019,Belarus,_T,DIS,ALLAREA,MALE,1.3
2019,Belarus,_T,DIS,ALLAREA,FEMALE,0.6
2019,Belarus,_T,DIS,ALLAREA,BOTHSEX,0.95
2019,Belarus,_T,OTHER,ALLAREA,FEMALE,1.2
2019,Belarus,_T,DIS,RURAL,MALE,1.8
2019,France,_T,ALL,RURAL,BOTHSEX,18
2019,France,_T,COLR,ALLAREA,BOTHSEX,23.5
2019,France,_T,ALL,ALLAREA,MALE,29.7
2019,France,_T,ALL,ALLAREA,FEMALE,20.2
2019,France,_T,SEX,ALLAREA,FEMALE,26.2
2019,France,_T,SEX,ALLAREA,BOTHSEX,17.8
2019,France,_T,ALL,ALLAREA,BOTHSEX,23.5
2018,Georgia,_T,RELIGION,ALLAREA,MALE,1.7
2020,Kosovo,_T,SEX,RURAL,BOTHSEX,2.85
2020,Kosovo,_T,RELIGION,RURAL,MALE,2.2
2020,Kosovo,PWD,DIS,ALLAREA,FEMALE,0.5
2020,Kosovo,PWD,DIS,ALLAREA,MALE,0.8
2020,Kosovo,_T,RELIGION,URBAN,FEMALE,2.3
2018,Georgia,_T,OTHER,URBAN,FEMALE,1.4
2018,Georgia,_T,OTHER,URBAN,MALE,0.5
2018,Georgia,_T,ETHI,URBAN,MALE,0.8
2018,Georgia,_T,OTHER,URBAN,BOTHSEX,0.95
2018,Georgia,_T,ALL,URBAN,MALE,5.4
2020,Kosovo,PWD,ETHI,ALLAREA,BOTHSEX,2.65
2020,Kosovo,PWD,OTHER,ALLAREA,FEMALE,2.9
2020,Kosovo,PWD,OTHER,ALLAREA,MALE,3.2
2020,Kosovo,PWD,RELIGION,ALLAREA,BOTHSEX,2.5
2020,Kosovo,PWD,RELIGION,ALLAREA,FEMALE,2.2
2020,Kosovo,_T,OTHER,URBAN,MALE,2.9
2020,Kosovo,PWD,RELIGION,ALLAREA,MALE,2.8
2020,Kosovo,PWD,SEX,ALLAREA,BOTHSEX,2.8
2020,Kosovo,PWD,SEX,ALLAREA,FEMALE,5.2
2020,Kosovo,PD,AGE,ALLAREA,FEMALE,6.7
2018,Georgia,_T,ALL,URBAN,FEMALE,7.8
2018,Georgia,_T,ALL,URBAN,BOTHSEX,6.6
2018,Georgia,_T,DIS,URBAN,BOTHSEX,0.4
2018,Georgia,_T,ETHI,URBAN,BOTHSEX,1.3
2018,Georgia,_T,DIS,URBAN,FEMALE,0.5
2020,Kosovo,_T,SEX,URBAN,MALE,0.3
2020,Kosovo,PD,ALL,ALLAREA,FEMALE,22.4
2020,Kosovo,PD,DIS,ALLAREA,FEMALE,2.9
2020,Kosovo,PD,ETHI,ALLAREA,FEMALE,5
2020,Kosovo,PD,OTHER,ALLAREA,FEMALE,5.9
2018,Georgia,_T,DIS,URBAN,MALE,0.3
2018,Georgia,_T,AGE,URBAN,MALE,1.7
2018,Georgia,PD,ETHI,ALLAREA,FEMALE,3.5
2018,Georgia,PD,DIS,ALLAREA,FEMALE,1
2018,Georgia,PD,DIS,ALLAREA,MALE,0
2020,Kosovo,_T,SEX,URBAN,FEMALE,6.7
2020,Kosovo,PD,RELIGION,ALLAREA,FEMALE,3.7
2020,Kosovo,PWD,AGE,ALLAREA,MALE,1.9
2020,Kosovo,PWD,ALL,ALLAREA,BOTHSEX,10.75
2020,Kosovo,PWD,ALL,ALLAREA,FEMALE,11.4
2018,Georgia,_T,SEXO,URBAN,BOTHSEX,0.35
2018,Georgia,_T,SEXO,URBAN,FEMALE,0.4
2018,Georgia,_T,SEX,URBAN,FEMALE,2.2
2018,Georgia,_T,SEX,URBAN,MALE,0.4
2018,Georgia,PD,AGE,ALLAREA,FEMALE,2.4
2018,Georgia,_T,AGE,RURAL,MALE,0.5
2018,Georgia,_T,ALL,RURAL,BOTHSEX,3.4
2018,Georgia,_T,DIS,RURAL,MALE,0.6
2018,Georgia,_T,ETHI,RURAL,BOTHSEX,0.8
2018,Georgia,_T,DIS,RURAL,BOTHSEX,0.35
2020,Kosovo,_T,OTHER,URBAN,FEMALE,4
2020,Kosovo,PWD,SEXO,ALLAREA,BOTHSEX,0.3
2020,Kosovo,PWD,SEXO,ALLAREA,FEMALE,0.4
2020,Kosovo,_T,DIS,URBAN,MALE,0.9
2020,Kosovo,_T,DIS,URBAN,FEMALE,0.8
2018,Georgia,_T,DIS,RURAL,FEMALE,0.1
2018,Georgia,_T,DIS,ALLAREA,MALE,0.4
2018,Georgia,_T,DIS,ALLAREA,FEMALE,0.4
2018,Georgia,_T,AGE,ALLAREA,MALE,1.2
2018,Georgia,_T,ALL,ALLAREA,MALE,4.4
2020,Kosovo,_T,ETHI,URBAN,FEMALE,2.9
2020,Kosovo,_T,ETHI,URBAN,BOTHSEX,3.3
2020,Kosovo,_T,RELIGION,ALLAREA,BOTHSEX,2.4
2020,Kosovo,_T,OTHER,ALLAREA,MALE,3.1
2020,Kosovo,_T,OTHER,ALLAREA,FEMALE,3.3
2018,Georgia,_T,ETHI,ALLAREA,BOTHSEX,1.15
2018,Georgia,_T,RELIGION,ALLAREA,FEMALE,2.1
2018,Georgia,_T,RELIGION,ALLAREA,BOTHSEX,1.9
2018,Georgia,_T,SEX,ALLAREA,BOTHSEX,1.1
2018,Georgia,_T,OTHER,ALLAREA,MALE,0.5
2018,Georgia,_T,OTHER,ALLAREA,FEMALE,1
2018,Georgia,_T,AGE,RURAL,BOTHSEX,0.65
2018,Georgia,_T,AGE,RURAL,FEMALE,0.8
2018,Georgia,_T,AGE,ALLAREA,BOTHSEX,1.5
2018,Georgia,_T,SEXO,ALLAREA,FEMALE,0.3
2020,Kosovo,_T,RELIGION,ALLAREA,FEMALE,2.2
2020,Kosovo,_T,SEX,ALLAREA,FEMALE,5.8
2020,Kosovo,_T,SEX,ALLAREA,BOTHSEX,3.15
2020,Kosovo,_T,ALL,ALLAREA,FEMALE,12.6
2020,Kosovo,_T,DIS,ALLAREA,MALE,0.9
2020,Kosovo,_T,ETHI,ALLAREA,MALE,3.4
2020,Kosovo,_T,ETHI,ALLAREA,FEMALE,2.2
2020,Kosovo,_T,ETHI,ALLAREA,BOTHSEX,2.8
2020,Kosovo,_T,SEX,ALLAREA,MALE,0.5
2020,Kosovo,_T,DIS,RURAL,MALE,0.9
2020,Kosovo,_T,DIS,RURAL,FEMALE,0.6
2020,Kosovo,_T,ETHI,RURAL,BOTHSEX,2.5
2020,Kosovo,_T,SEXO,ALLAREA,MALE,0.2
2020,Kosovo,_T,SEXO,ALLAREA,FEMALE,0.5
2020,Kosovo,_T,SEXO,ALLAREA,BOTHSEX,0.35
2020,Kosovo,_T,AGE,RURAL,BOTHSEX,2.65
2020,Kosovo,_T,ALL,RURAL,FEMALE,11.2
2020,Kosovo,_T,ALL,RURAL,BOTHSEX,10.4
2020,Kosovo,_T,AGE,RURAL,MALE,2.2
2018,Kyrgyzstan,PWD,RELIGION,ALLAREA,FEMALE,2.2
2018,Kyrgyzstan,PWD,SEX,ALLAREA,FEMALE,1.2
2018,Kyrgyzstan,PWD,SEXO,ALLAREA,FEMALE,0.4
2018,Kyrgyzstan,PWD,AGE,ALLAREA,FEMALE,2.5
2018,Kyrgyzstan,PWD,ALL,ALLAREA,FEMALE,7.6
2018,Kyrgyzstan,_T,DIS,RURAL,FEMALE,0.5
2018,Kyrgyzstan,_T,ETHI,RURAL,FEMALE,3.6
2018,Georgia,_T,SEXO,ALLAREA,MALE,0.3
2018,Georgia,_T,SEX,RURAL,MALE,0.3
2018,Georgia,_T,SEXO,RURAL,BOTHSEX,0.2
2018,Georgia,_T,SEX,RURAL,BOTHSEX,0.7
2018,Georgia,_T,OTHER,RURAL,BOTHSEX,0.45
2018,Kyrgyzstan,_T,OTHER,RURAL,FEMALE,0.7
2018,Kyrgyzstan,_T,ALL,RURAL,FEMALE,7.6
2018,Kyrgyzstan,_T,AGE,ALLAREA,FEMALE,2.7
2018,Kyrgyzstan,_T,ALL,ALLAREA,FEMALE,7.7
2018,Kyrgyzstan,PD,AGE,ALLAREA,FEMALE,5.4
2018,Kyrgyzstan,PD,ALL,ALLAREA,FEMALE,20.7
2018,Kyrgyzstan,_T,ETHI,URBAN,FEMALE,3
2018,Kyrgyzstan,PWD,DIS,ALLAREA,FEMALE,0.4
2018,Kyrgyzstan,PWD,ETHI,ALLAREA,FEMALE,3.4
2018,Kyrgyzstan,PWD,OTHER,ALLAREA,FEMALE,0.6
2018,Kyrgyzstan,_T,ETHI,ALLAREA,FEMALE,3.4
2018,Kyrgyzstan,_T,OTHER,ALLAREA,FEMALE,0.6
2018,Kyrgyzstan,_T,RELIGION,ALLAREA,FEMALE,2.1
2018,Kyrgyzstan,_T,SEX,ALLAREA,FEMALE,1.2
2018,Kyrgyzstan,_T,SEXO,ALLAREA,FEMALE,0.4
2018,Kyrgyzstan,_T,AGE,RURAL,FEMALE,2.6
2018,Kyrgyzstan,_T,RELIGION,RURAL,FEMALE,2
2018,Kyrgyzstan,PD,DIS,ALLAREA,FEMALE,7.9
2018,Kyrgyzstan,PD,ETHI,ALLAREA,FEMALE,5.8
2018,Kyrgyzstan,PD,OTHER,ALLAREA,FEMALE,1.4
2018,Kyrgyzstan,_T,SEX,URBAN,FEMALE,1.2
2018,Kyrgyzstan,_T,SEXO,URBAN,FEMALE,0.4
2018,Kyrgyzstan,_T,DIS,URBAN,FEMALE,0.5
2018,Kyrgyzstan,PD,SEX,ALLAREA,FEMALE,1
2018,Georgia,_T,OTHER,RURAL,FEMALE,0.4
2018,Georgia,_T,ETHI,RURAL,FEMALE,0.8
2018,Georgia,_T,ETHI,RURAL,MALE,0.8
2018,Georgia,_T,RELIGION,RURAL,FEMALE,1.3
2018,Georgia,_T,RELIGION,RURAL,MALE,0.8
2018,Kyrgyzstan,PD,SEXO,ALLAREA,FEMALE,0
2018,Kyrgyzstan,_T,DIS,ALLAREA,FEMALE,0.5
2018,Kyrgyzstan,PD,RELIGION,ALLAREA,FEMALE,4.5
2018,Kyrgyzstan,_T,SEXO,RURAL,FEMALE,0.3
2018,Kyrgyzstan,_T,SEX,RURAL,FEMALE,1.2
2018,Kyrgyzstan,_T,OTHER,URBAN,FEMALE,0.5
2018,Poland,_T,ALL,ALLAREA,BOTHSEX,6.5
2018,Poland,_T,ALL,ALLAREA,MALE,6.9
2018,Poland,_T,ALL,RURAL,BOTHSEX,4.7
2018,Poland,_T,ALL,URBAN,BOTHSEX,7.6
2019,Serbia,_T,SEX,RURAL,FEMALE,2
2019,Serbia,_T,AGE,ALLAREA,FEMALE,1.8
2019,Serbia,_T,ALL,ALLAREA,FEMALE,6.9
2019,Serbia,_T,DIS,URBAN,FEMALE,0.5
2019,Serbia,_T,ETHI,URBAN,FEMALE,1.8
2019,Serbia,_T,OTHER,URBAN,FEMALE,2.4
2019,Belarus,_T,DIS,RURAL,FEMALE,0.5
2019,Belarus,_T,OTHER,RURAL,MALE,0.5
2019,Belarus,_T,SEXO,RURAL,BOTHSEX,0
2019,Belarus,_T,SEX,RURAL,MALE,0.3
2019,Belarus,_T,SEX,RURAL,FEMALE,0.5
2019,Serbia,_T,SEX,URBAN,FEMALE,4.3
2019,Serbia,_T,SEXO,URBAN,FEMALE,0.5
2019,Serbia,_T,RELIGION,URBAN,FEMALE,0.9
2019,Serbia,_T,RELIGION,RURAL,FEMALE,0.4
2018,Georgia,_T,OTHER,RURAL,MALE,0.5
2018,Georgia,_T,RELIGION,RURAL,BOTHSEX,1.05
2018,Georgia,PD,SEXO,ALLAREA,FEMALE,0.6
2018,Georgia,PD,SEX,ALLAREA,FEMALE,2.3
2018,Georgia,PD,SEX,ALLAREA,MALE,0.4
2019,Belarus,_T,SEX,RURAL,BOTHSEX,0.4
2019,Belarus,_T,RELIGION,RURAL,MALE,0.7
2019,Belarus,_T,RELIGION,ALLAREA,MALE,0.4
2019,Belarus,_T,RELIGION,ALLAREA,FEMALE,0.6
2019,Belarus,_T,RELIGION,ALLAREA,BOTHSEX,0.5
2018,Kyrgyzstan,_T,RELIGION,URBAN,FEMALE,2.4
2018,Kyrgyzstan,_T,AGE,URBAN,FEMALE,2.7
2018,Kyrgyzstan,_T,ALL,URBAN,FEMALE,7.9
2018,Republic of Moldova,_T,ALL,ALLAREA,BOTHSEX,26.3
2018,Republic of Moldova,_T,ALL,RURAL,BOTHSEX,24.2
2018,Republic of Moldova,_T,ALL,ALLAREA,FEMALE,26
2018,Georgia,PWD,AGE,ALLAREA,FEMALE,1.6
2018,Georgia,PWD,AGE,ALLAREA,MALE,1.3
2018,Georgia,PD,SEXO,ALLAREA,MALE,0
2018,Georgia,PWD,AGE,ALLAREA,BOTHSEX,1.5
2018,Georgia,PD,OTHER,ALLAREA,FEMALE,2.1
2018,Republic of Moldova,_T,SEX,ALLAREA,BOTHSEX,17
2018,Republic of Moldova,_T,SOCIOECON,ALLAREA,BOTHSEX,23
2018,Republic of Moldova,_T,ALL,URBAN,BOTHSEX,28.6
2018,Republic of Moldova,_T,AGE,ALLAREA,BOTHSEX,18
2018,Republic of Moldova,_T,DIS,ALLAREA,BOTHSEX,8
2018,Republic of Moldova,_T,ALL,ALLAREA,MALE,26.6
2018,Republic of Moldova,_T,ETH,ALLAREA,BOTHSEX,13
2018,Georgia,PD,RELIGION,ALLAREA,BOTHSEX,2.8
2018,Georgia,PD,RELIGION,ALLAREA,FEMALE,3
2018,Georgia,PWD,ALL,ALLAREA,BOTHSEX,5.25
2018,Georgia,PWD,OTHER,ALLAREA,MALE,0.5
2018,Georgia,PWD,RELIGION,ALLAREA,BOTHSEX,1.9
2018,Republic of Moldova,_T,OTHER,ALLAREA,BOTHSEX,26
2018,Republic of Moldova,_T,RELIGION,ALLAREA,BOTHSEX,3
2018,Montenegro,_T,AGE,RURAL,FEMALE,0.7
2018,Montenegro,_T,ETHI,RURAL,FEMALE,0.8
2018,Montenegro,_T,ETHI,RURAL,MALE,1.2
2018,Montenegro,_T,DIS,RURAL,FEMALE,0
2019,Belarus,_T,OTHER,ALLAREA,MALE,0.4
2019,Belarus,_T,SEXO,ALLAREA,BOTHSEX,0.1
2019,Belarus,_T,ALL,RURAL,MALE,4.7
2019,Belarus,_T,ALL,RURAL,FEMALE,2.4
2019,Belarus,_T,ALL,RURAL,BOTHSEX,3.55
2018,Georgia,PWD,OTHER,ALLAREA,BOTHSEX,0.77
2018,Georgia,PWD,OTHER,ALLAREA,FEMALE,0.9
2018,Georgia,PWD,SEX,ALLAREA,BOTHSEX,1.27
2018,Georgia,PWD,ALL,ALLAREA,MALE,4.6
2018,Georgia,PWD,ALL,ALLAREA,FEMALE,5.9
2019,Belarus,_T,SEXO,RURAL,FEMALE,0
2019,Belarus,_T,DIS,RURAL,BOTHSEX,1.15
2019,Belarus,_T,DIS,URBAN,BOTHSEX,0.95
