Year,GeoAreaName,Quantile,Value
2008,Lithuania,_T,45.03508
2008,Lithuania,Q1,52.56267
2010,Republic of Moldova,_T,40.90168
2010,Republic of Moldova,Q1,41.76811
2012,Republic of Moldova,_T,43.21226
2012,Republic of Moldova,Q1,47.27366
2013,Republic of Moldova,_T,43.89808
2013,Republic of Moldova,Q1,43.69588
2018,Republic of Moldova,_T,47.82854
2018,Republic of Moldova,Q1,49.52814
2011,Montenegro,Q1,41.20343
2011,Montenegro,_T,52.94489
2012,Montenegro,Q1,43.56685
2012,Montenegro,_T,46.60048
2013,Montenegro,_T,45.53042
2013,Montenegro,Q1,38.93858
2014,Montenegro,_T,47.93255
2014,Montenegro,Q1,51.86142
2005,Poland,_T,48.39835
2005,Poland,Q1,39.25168
2006,Poland,Q1,39.79638
2006,Poland,_T,47.92795
2007,Poland,Q1,42.15918
2007,Poland,_T,46.97133
2008,Poland,Q1,43.20438
2008,Poland,_T,46.43935
2009,Poland,_T,45.79225
2009,Poland,Q1,43.284
2010,Poland,Q1,42.37389
2010,Poland,_T,45.36842
2011,Poland,_T,44.9534
2011,Poland,Q1,42.30273
2012,Poland,_T,43.78843
2012,Poland,Q1,40.12679
2015,Poland,_T,43.9165
2015,Poland,Q1,41.54022
2008,Romania,_T,48.72031
2008,Romania,Q1,39.42234
2011,Romania,_T,47.22108
2011,Romania,Q1,33.14628
2012,Romania,_T,46.85994
2012,Romania,Q1,35.36956
2016,Romania,_T,43.43829
2016,Romania,Q1,32.62705
2007,Serbia,_T,55.15486
2007,Serbia,Q1,51.91541
2010,Serbia,_T,58.62822
2010,Serbia,Q1,52.82341
2013,Serbia,_T,56.39749
2013,Serbia,Q1,54.21211
2015,Serbia,_T,52.09603
2015,Serbia,Q1,54.33775
2009,Slovakia,_T,49.71548
2009,Slovakia,Q1,37.03136
2011,Tajikistan,_T,34.14921
2011,Tajikistan,Q1,39.02356
2004,Türkiye,_T,29.41039
2004,Türkiye,Q1,10.20627
2005,Türkiye,_T,31.01974
2005,Türkiye,Q1,12.52796
2006,Türkiye,_T,30.75011
2006,Türkiye,Q1,14.56179
2007,Türkiye,_T,32.37928
2007,Türkiye,Q1,13.71986
2008,Türkiye,_T,34.62112
2008,Türkiye,Q1,18.61754
2009,Türkiye,_T,33.12108
2009,Türkiye,Q1,19.41439
2010,Türkiye,_T,33.48719
2010,Türkiye,Q1,20.75345
2011,Türkiye,_T,34.19545
2011,Türkiye,Q1,17.47794
2012,Türkiye,_T,35.42014
2012,Türkiye,Q1,24.8178
2013,Türkiye,_T,36.52974
2013,Türkiye,Q1,27.42889
2014,Türkiye,_T,37.10573
2014,Türkiye,Q1,29.86824
2015,Türkiye,_T,36.53475
2015,Türkiye,Q1,25.12815
2016,Türkiye,_T,36.06028
2016,Türkiye,Q1,24.93845
2018,Türkiye,_T,37.82278
2018,Türkiye,Q1,29.41236
2019,Türkiye,Q1,26.32725
2019,Türkiye,_T,37.17265
2006,Ukraine,_T,50.74009
2006,Ukraine,Q1,49.61937
2011,Ukraine,_T,51.86992
2011,Ukraine,Q1,53.96686
2012,Ukraine,_T,51.08607
2012,Ukraine,Q1,51.6594
2013,Ukraine,_T,51.05892
2013,Ukraine,Q1,50.24238
2015,Ukraine,Q1,51.18166
2015,Ukraine,_T,51.42217
2016,Ukraine,_T,50.31639
2016,Ukraine,Q1,50.34688
2018,Ukraine,_T,49.76429
2018,Ukraine,Q1,52.28722
2018,Uzbekistan,_T,20.11999
2018,Uzbekistan,Q1,18.2763
2018,Uzbekistan,Q1,18.2763
