Year,GeoAreaName,Fiscal intervention stage,Value
2015,Finland,POSTFIS_DIS_INC,26.228000
2016,Finland,PREFIS_INC,43.562000
2016,Finland,POSTFIS_DIS_INC,26.719000
2017,Finland,PREFIS_INC,43.336000
2017,Finland,POSTFIS_DIS_INC,26.540000
2018,Finland,POSTFIS_DIS_INC,27.521000
2018,Finland,PREFIS_INC,43.554000
2019,Finland,PREFIS_INC,42.857000
2019,Finland,POSTFIS_DIS_INC,27.540000
2015,France,PREFIS_INC,45.400000
2015,France,POSTFIS_DIS_INC,29.900000
2016,France,PREFIS_INC,45.200000
2016,France,POSTFIS_DIS_INC,29.600000
2017,France,PREFIS_INC,45.100000
2017,France,POSTFIS_DIS_INC,29.600000
2018,France,POSTFIS_DIS_INC,30.700000
2018,France,PREFIS_INC,45.800000
2019,France,PREFIS_INC,44.500000
2019,France,POSTFIS_DIS_INC,29.700000
2013,Georgia,PREFIS_INC,50.744780
2013,Georgia,POSTFIS_DIS_INC,39.486930
2013,Georgia,POSTFIS_CON_INC,41.130300
2015,Germany,PREFIS_INC,41.030000
2015,Germany,POSTFIS_DIS_INC,29.430000
2016,Germany,PREFIS_INC,41.917000
2016,Germany,POSTFIS_DIS_INC,30.050000
2017,Germany,PREFIS_INC,41.546000
2017,Germany,POSTFIS_DIS_INC,30.060000
2018,Germany,PREFIS_INC,40.962000
2018,Germany,POSTFIS_DIS_INC,29.551000
2019,Germany,PREFIS_INC,40.530000
2019,Germany,POSTFIS_DIS_INC,29.413000
2015,Greece,PREFIS_INC,50.411384
2015,Greece,POSTFIS_DIS_INC,34.955279
2016,Greece,PREFIS_INC,49.183109
2016,Greece,POSTFIS_DIS_INC,35.430129
2017,Greece,PREFIS_INC,47.540503
2017,Greece,POSTFIS_DIS_INC,34.448215
2018,Greece,PREFIS_INC,46.744698
2018,Greece,POSTFIS_DIS_INC,33.134895
2019,Greece,PREFIS_INC,45.473481
2019,Greece,POSTFIS_DIS_INC,31.601518
2020,Greece,PREFIS_INC,45.295949
2020,Greece,POSTFIS_DIS_INC,31.743328
2015,Hungary,PREFIS_INC,42.465365
2015,Hungary,POSTFIS_DIS_INC,28.816211
2016,Hungary,PREFIS_INC,42.305553
2016,Hungary,POSTFIS_DIS_INC,29.101265
2017,Hungary,PREFIS_INC,40.896112
2017,Hungary,POSTFIS_DIS_INC,28.640606
2018,Hungary,PREFIS_INC,40.465225
2018,Hungary,POSTFIS_DIS_INC,29.379279
2019,Hungary,PREFIS_INC,39.115711
2019,Hungary,POSTFIS_DIS_INC,28.700918
2020,Hungary,PREFIS_INC,38.602367
2020,Hungary,POSTFIS_DIS_INC,28.066106
2015,Iceland,PREFIS_INC,33.050348
2015,Iceland,POSTFIS_DIS_INC,24.345049
2016,Iceland,PREFIS_INC,33.086683
2016,Iceland,POSTFIS_DIS_INC,25.631502
2017,Iceland,PREFIS_INC,32.589317
2017,Iceland,POSTFIS_DIS_INC,26.203221
2018,Iceland,PREFIS_INC,31.727957
2018,Iceland,POSTFIS_DIS_INC,24.884384
2015,Ireland,PREFIS_INC,50.655401
2015,Ireland,POSTFIS_DIS_INC,30.033270
2016,Ireland,PREFIS_INC,49.769354
2016,Ireland,POSTFIS_DIS_INC,30.010895
2017,Ireland,PREFIS_INC,49.424531
2017,Ireland,POSTFIS_DIS_INC,31.129261
2018,Ireland,PREFIS_INC,47.932418
2018,Ireland,POSTFIS_DIS_INC,29.275797
2019,Ireland,PREFIS_INC,46.596949
2019,Ireland,POSTFIS_DIS_INC,29.372975
2015,Italy,PREFIS_INC,43.867821
2015,Italy,POSTFIS_DIS_INC,33.014365
2016,Italy,PREFIS_INC,45.218349
2016,Italy,POSTFIS_DIS_INC,33.861922
2017,Italy,PREFIS_INC,44.061294
2017,Italy,POSTFIS_DIS_INC,33.099839
2018,Italy,PREFIS_INC,44.110589
2018,Italy,POSTFIS_DIS_INC,34.032354
2019,Italy,PREFIS_INC,43.332003
2019,Italy,POSTFIS_DIS_INC,33.301538
2016,Kyrgyzstan,PREFIS_INC,23.415730
2016,Kyrgyzstan,POSTFIS_DIS_INC,21.434870
2016,Kyrgyzstan,POSTFIS_CON_INC,21.881600
2015,Latvia,PREFIS_INC,41.950135
2015,Latvia,POSTFIS_DIS_INC,33.902096
2016,Latvia,PREFIS_INC,41.370295
2016,Latvia,POSTFIS_DIS_INC,33.769250
2017,Latvia,POSTFIS_DIS_INC,33.291843
2017,Latvia,PREFIS_INC,40.590970
2018,Latvia,PREFIS_INC,41.582211
2018,Latvia,POSTFIS_DIS_INC,34.218942
2019,Latvia,PREFIS_INC,41.287472
2019,Latvia,POSTFIS_DIS_INC,33.732485
2020,Latvia,PREFIS_INC,40.868593
2020,Latvia,POSTFIS_DIS_INC,33.372111
2015,Lithuania,PREFIS_INC,45.679082
2015,Lithuania,POSTFIS_DIS_INC,37.379789
2016,Lithuania,PREFIS_INC,44.117992
2016,Lithuania,POSTFIS_DIS_INC,36.702737
2017,Lithuania,PREFIS_INC,44.516246
2017,Lithuania,POSTFIS_DIS_INC,37.230030
2018,Lithuania,PREFIS_INC,43.571263
2018,Lithuania,POSTFIS_DIS_INC,36.244780
2019,Lithuania,PREFIS_INC,42.551115
2019,Lithuania,POSTFIS_DIS_INC,35.177718
2020,Lithuania,PREFIS_INC,41.871457
2020,Lithuania,POSTFIS_DIS_INC,34.683915
2015,Luxembourg,PREFIS_INC,43.446474
2015,Luxembourg,POSTFIS_DIS_INC,28.649463
2016,Luxembourg,PREFIS_INC,42.678308
2016,Luxembourg,POSTFIS_DIS_INC,30.805540
2017,Luxembourg,PREFIS_INC,44.127737
2017,Luxembourg,POSTFIS_DIS_INC,30.824053
2018,Luxembourg,PREFIS_INC,45.254017
2018,Luxembourg,POSTFIS_DIS_INC,32.958658
2019,Luxembourg,PREFIS_INC,44.454323
2019,Luxembourg,POSTFIS_DIS_INC,32.095261
2020,Luxembourg,PREFIS_INC,44.838406
2020,Luxembourg,POSTFIS_DIS_INC,30.845058
2017,Republic of Moldova,PREFIS_INC,34.100000
2017,Republic of Moldova,POSTFIS_DIS_INC,30.493000
2017,Republic of Moldova,POSTFIS_CON_INC,31.950000
2015,Montenegro,PREFIS_INC,29.199760
2015,Montenegro,POSTFIS_DIS_INC,25.275360
2015,Montenegro,POSTFIS_CON_INC,24.982680
2015,Netherlands,PREFIS_INC,42.400000
2015,Netherlands,POSTFIS_DIS_INC,30.700000
2016,Netherlands,PREFIS_INC,41.000000
2016,Netherlands,POSTFIS_DIS_INC,29.400000
2017,Netherlands,PREFIS_INC,41.300000
2017,Netherlands,POSTFIS_DIS_INC,29.900000
2018,Netherlands,PREFIS_INC,40.300000
2018,Netherlands,POSTFIS_DIS_INC,29.600000
2019,Netherlands,PREFIS_INC,40.100000
2019,Netherlands,POSTFIS_DIS_INC,29.600000
2015,Norway,POSTFIS_DIS_INC,28.258000
2015,Norway,PREFIS_INC,39.549000
2016,Norway,POSTFIS_DIS_INC,27.208000
2016,Norway,PREFIS_INC,38.810000
2017,Norway,PREFIS_INC,38.869000
2017,Norway,POSTFIS_DIS_INC,27.254000
2018,Norway,PREFIS_INC,38.700000
2018,Norway,POSTFIS_DIS_INC,27.300000
2019,Norway,POSTFIS_DIS_INC,27.300000
2019,Norway,PREFIS_INC,38.500000
2015,Poland,POSTFIS_DIS_INC,30.117888
2015,Poland,PREFIS_INC,41.842816
2016,Poland,POSTFIS_DIS_INC,29.468600
2016,Poland,PREFIS_INC,40.462221
2017,Poland,POSTFIS_DIS_INC,29.095158
2017,Poland,PREFIS_INC,40.869034
2018,Poland,PREFIS_INC,39.422587
2018,Poland,POSTFIS_DIS_INC,28.119384
2019,Poland,POSTFIS_DIS_INC,28.469019
2019,Poland,PREFIS_INC,39.741538
2015,Portugal,POSTFIS_DIS_INC,33.995877
2015,Portugal,PREFIS_INC,48.332607
2016,Portugal,PREFIS_INC,47.236374
2016,Portugal,POSTFIS_DIS_INC,33.393286
2017,Portugal,POSTFIS_DIS_INC,32.826442
2017,Portugal,PREFIS_INC,46.538426
2018,Portugal,PREFIS_INC,44.348024
2018,Portugal,POSTFIS_DIS_INC,31.361868
2019,Portugal,PREFIS_INC,43.307604
2019,Portugal,POSTFIS_DIS_INC,31.018490
2020,Portugal,PREFIS_INC,42.984025
2020,Portugal,POSTFIS_DIS_INC,30.384902
2016,Romania,PREFIS_INC,37.809160
2016,Romania,POSTFIS_DIS_INC,33.412760
2016,Romania,POSTFIS_CON_INC,33.636440
2015,Slovakia,PREFIS_INC,34.010291
2015,Slovakia,POSTFIS_DIS_INC,24.392678
2016,Slovakia,PREFIS_INC,34.799744
2016,Slovakia,POSTFIS_DIS_INC,25.036227
2017,Slovakia,PREFIS_INC,34.118518
2017,Slovakia,POSTFIS_DIS_INC,23.714747
2018,Slovakia,PREFIS_INC,31.842389
2018,Slovakia,POSTFIS_DIS_INC,21.472667
2019,Slovakia,POSTFIS_DIS_INC,23.183945
2019,Slovakia,PREFIS_INC,32.259128
2020,Slovakia,PREFIS_INC,31.576311
2020,Slovakia,POSTFIS_DIS_INC,21.738061
2015,Slovenia,PREFIS_INC,40.547489
2015,Slovenia,POSTFIS_DIS_INC,25.083501
2016,Slovenia,PREFIS_INC,40.010303
2016,Slovenia,POSTFIS_DIS_INC,24.833359
2017,Slovenia,POSTFIS_DIS_INC,24.316916
2017,Slovenia,PREFIS_INC,39.002448
2018,Slovenia,PREFIS_INC,37.873212
2018,Slovenia,POSTFIS_DIS_INC,24.075876
2019,Slovenia,PREFIS_INC,37.657837
2019,Slovenia,POSTFIS_DIS_INC,24.637664
2020,Slovenia,POSTFIS_DIS_INC,24.487304
2020,Slovenia,PREFIS_INC,37.810875
2015,Spain,PREFIS_INC,47.619748
2015,Spain,POSTFIS_DIS_INC,34.901388
2016,Spain,PREFIS_INC,47.295211
2016,Spain,POSTFIS_DIS_INC,34.955799
2017,Spain,POSTFIS_DIS_INC,34.271744
2017,Spain,PREFIS_INC,46.104511
2018,Spain,PREFIS_INC,45.129882
2018,Spain,POSTFIS_DIS_INC,33.583365
2019,Spain,PREFIS_INC,44.583225
2019,Spain,POSTFIS_DIS_INC,33.181149
2020,Spain,POSTFIS_DIS_INC,31.880823
2020,Spain,PREFIS_INC,42.961127
2015,Sweden,POSTFIS_DIS_INC,26.854000
2015,Sweden,PREFIS_INC,36.396000
2016,Sweden,PREFIS_INC,36.631000
2016,Sweden,POSTFIS_DIS_INC,27.289000
2017,Sweden,PREFIS_INC,36.480000
2017,Sweden,POSTFIS_DIS_INC,27.264000
2018,Sweden,POSTFIS_DIS_INC,26.615000
2018,Sweden,PREFIS_INC,35.899000
2019,Sweden,PREFIS_INC,36.152300
2019,Sweden,POSTFIS_DIS_INC,27.091100
2015,Switzerland,POSTFIS_DIS_INC,28.666564
2015,Switzerland,PREFIS_INC,33.573833
2016,Switzerland,PREFIS_INC,34.225117
2016,Switzerland,POSTFIS_DIS_INC,28.682524
2017,Switzerland,POSTFIS_DIS_INC,29.241377
2017,Switzerland,PREFIS_INC,34.494378
2018,Switzerland,POSTFIS_DIS_INC,28.974659
2018,Switzerland,PREFIS_INC,33.991082
2019,Switzerland,PREFIS_INC,34.420673
2019,Switzerland,POSTFIS_DIS_INC,29.918243
2015,Tajikistan,POSTFIS_CON_INC,33.898790
2015,Tajikistan,PREFIS_INC,34.207490
2015,Tajikistan,POSTFIS_DIS_INC,33.932550
2015,Türkiye,POSTFIS_DIS_INC,38.900000
2015,Türkiye,PREFIS_INC,40.900000
2016,Türkiye,POSTFIS_DIS_INC,39.800000
2016,Türkiye,PREFIS_INC,41.800000
2018,Türkiye,PREFIS_INC,48.721100
2018,Türkiye,POSTFIS_DIS_INC,39.960000
2019,Türkiye,POSTFIS_DIS_INC,38.865900
2019,Türkiye,PREFIS_INC,47.729600
2016,Ukraine,PREFIS_INC,31.110000
2016,Ukraine,POSTFIS_DIS_INC,24.100000
2016,Ukraine,POSTFIS_CON_INC,24.700000
2016,Ukraine,POSTFIS_CON_INC,24.700000
