Year,GeoAreaName,Bioclimatic belt,Value
2018,Albania,TOTAL,20267.45
2018,Albania,MONTANE,20033.47
2018,Albania,REMAIN_MOUNT,221.1
2000,Croatia,NIVAL,NaN
2000,Croatia,ALPINE,NaN
2000,Croatia,REMAIN_MOUNT,147.33
2000,Croatia,TOTAL,17625.53
2000,Croatia,MONTANE,17478.2
2005,Croatia,MONTANE,17478.2
2005,Croatia,REMAIN_MOUNT,147.33
2005,Croatia,TOTAL,17625.53
2005,Croatia,NIVAL,NaN
2005,Croatia,ALPINE,NaN
2010,Croatia,MONTANE,17478.2
2010,Croatia,TOTAL,17625.53
2000,Montenegro,ALPINE,17.93
2000,Montenegro,MONTANE,12006.88
2000,Montenegro,REMAIN_MOUNT,63.96
2000,Montenegro,TOTAL,12088.77
2000,Montenegro,NIVAL,NaN
2005,Montenegro,NIVAL,NaN
2005,Montenegro,ALPINE,17.93
2005,Montenegro,TOTAL,12088.77
2005,Montenegro,REMAIN_MOUNT,63.96
2005,Montenegro,MONTANE,12006.88
2010,Montenegro,ALPINE,17.93
2010,Montenegro,TOTAL,12088.77
2010,Croatia,REMAIN_MOUNT,147.33
2010,Croatia,ALPINE,NaN
2010,Croatia,NIVAL,NaN
2015,Croatia,NIVAL,NaN
2015,Croatia,REMAIN_MOUNT,147.33
2015,Croatia,TOTAL,17625.53
2015,Croatia,MONTANE,17478.2
2015,Croatia,ALPINE,NaN
2018,Croatia,TOTAL,17625.53
2018,Croatia,REMAIN_MOUNT,147.33
2018,Croatia,MONTANE,17478.2
2018,Croatia,NIVAL,NaN
2018,Croatia,ALPINE,NaN
2000,Cyprus,NIVAL,NaN
2000,Cyprus,TOTAL,3366.42
2000,Cyprus,REMAIN_MOUNT,2944.17
2000,Cyprus,MONTANE,422.26
2000,Cyprus,ALPINE,NaN
2005,Cyprus,ALPINE,NaN
2005,Cyprus,TOTAL,3366.42
2005,Cyprus,MONTANE,422.26
2005,Cyprus,REMAIN_MOUNT,2944.17
2005,Cyprus,NIVAL,NaN
2010,Cyprus,NIVAL,NaN
2010,Cyprus,ALPINE,NaN
2010,Cyprus,TOTAL,3366.42
2010,Cyprus,REMAIN_MOUNT,2944.17
2010,Cyprus,MONTANE,422.26
2015,Cyprus,TOTAL,3366.42
2015,Cyprus,REMAIN_MOUNT,2944.17
2015,Cyprus,MONTANE,422.26
2015,Cyprus,ALPINE,NaN
2015,Cyprus,NIVAL,NaN
2018,Cyprus,ALPINE,NaN
2018,Cyprus,NIVAL,NaN
2018,Cyprus,REMAIN_MOUNT,2944.17
2018,Cyprus,MONTANE,422.26
2018,Cyprus,TOTAL,3366.42
2018,Albania,NIVAL,NaN
2000,Azerbaijan,MONTANE,39553.28
2000,Azerbaijan,TOTAL,41676.92
2000,Azerbaijan,ALPINE,278.74
2000,Azerbaijan,REMAIN_MOUNT,1834.33
2000,Azerbaijan,NIVAL,10.57
2005,Azerbaijan,NIVAL,10.57
2005,Azerbaijan,ALPINE,278.74
2005,Azerbaijan,MONTANE,39553.28
2005,Azerbaijan,REMAIN_MOUNT,1834.33
2005,Azerbaijan,TOTAL,41676.92
2010,Azerbaijan,NIVAL,10.57
2000,Czechia,REMAIN_MOUNT,NaN
2000,Czechia,NIVAL,NaN
2000,Czechia,ALPINE,NaN
2000,Czechia,MONTANE,NaN
2000,Czechia,TOTAL,NaN
2005,Czechia,TOTAL,NaN
2005,Czechia,MONTANE,NaN
2005,Czechia,NIVAL,NaN
2005,Czechia,REMAIN_MOUNT,NaN
2005,Czechia,ALPINE,NaN
2010,Czechia,NIVAL,NaN
2010,Czechia,REMAIN_MOUNT,NaN
2010,Czechia,TOTAL,NaN
2010,Azerbaijan,ALPINE,278.74
2010,Azerbaijan,TOTAL,41676.92
2010,Azerbaijan,REMAIN_MOUNT,1834.33
2010,Azerbaijan,MONTANE,39553.28
2015,Azerbaijan,ALPINE,278.74
2015,Azerbaijan,REMAIN_MOUNT,1834.33
2015,Azerbaijan,MONTANE,39553.28
2015,Azerbaijan,TOTAL,41676.92
2015,Azerbaijan,NIVAL,10.57
2018,Azerbaijan,TOTAL,41676.92
2018,Azerbaijan,REMAIN_MOUNT,1834.33
2018,Azerbaijan,MONTANE,39553.28
2018,Azerbaijan,NIVAL,10.57
2018,Azerbaijan,ALPINE,278.74
2000,Austria,ALPINE,5035.4
2000,Austria,MONTANE,51411.39
2000,Austria,TOTAL,59952.12
2000,Austria,NIVAL,3505.33
2000,Austria,REMAIN_MOUNT,NaN
2005,Austria,NIVAL,3505.33
2005,Austria,ALPINE,5035.4
2005,Austria,TOTAL,59952.12
2005,Austria,MONTANE,51411.39
2005,Austria,REMAIN_MOUNT,NaN
2010,Czechia,MONTANE,NaN
2010,Czechia,ALPINE,NaN
2015,Czechia,ALPINE,NaN
2015,Czechia,MONTANE,NaN
2015,Czechia,TOTAL,NaN
2015,Czechia,NIVAL,NaN
2015,Czechia,REMAIN_MOUNT,NaN
2018,Czechia,MONTANE,NaN
2018,Czechia,TOTAL,NaN
2018,Czechia,REMAIN_MOUNT,NaN
2018,Czechia,ALPINE,NaN
2018,Czechia,NIVAL,NaN
2000,Denmark,ALPINE,NaN
2010,Austria,REMAIN_MOUNT,NaN
2010,Austria,MONTANE,51411.39
2010,Austria,NIVAL,3505.33
2010,Austria,TOTAL,59952.12
2010,Austria,ALPINE,5035.4
2015,Austria,MONTANE,51411.39
2015,Austria,NIVAL,3505.33
2015,Austria,TOTAL,59952.12
2015,Austria,ALPINE,5035.4
2015,Austria,REMAIN_MOUNT,NaN
2018,Austria,REMAIN_MOUNT,NaN
2018,Austria,NIVAL,3505.33
2018,Austria,ALPINE,5035.4
2018,Austria,MONTANE,51411.39
2018,Austria,TOTAL,59952.12
2000,Armenia,REMAIN_MOUNT,NaN
2000,Armenia,MONTANE,NaN
2000,Armenia,TOTAL,NaN
2000,Armenia,ALPINE,NaN
2000,Armenia,NIVAL,NaN
2005,Armenia,TOTAL,NaN
2005,Armenia,ALPINE,NaN
2005,Armenia,REMAIN_MOUNT,NaN
2005,Armenia,MONTANE,NaN
2000,Denmark,REMAIN_MOUNT,NaN
2000,Denmark,TOTAL,NaN
2000,Denmark,MONTANE,NaN
2000,Denmark,NIVAL,NaN
2005,Denmark,MONTANE,NaN
2005,Denmark,NIVAL,NaN
2005,Denmark,TOTAL,NaN
2005,Denmark,ALPINE,NaN
2005,Denmark,REMAIN_MOUNT,NaN
2010,Denmark,MONTANE,NaN
2010,Denmark,TOTAL,NaN
2010,Denmark,REMAIN_MOUNT,NaN
2010,Denmark,ALPINE,NaN
2010,Denmark,NIVAL,NaN
2005,Armenia,NIVAL,NaN
2010,Armenia,MONTANE,NaN
2010,Armenia,ALPINE,NaN
2010,Armenia,REMAIN_MOUNT,NaN
2010,Armenia,TOTAL,NaN
2010,Armenia,NIVAL,NaN
2015,Armenia,ALPINE,NaN
2015,Armenia,MONTANE,NaN
2015,Armenia,REMAIN_MOUNT,NaN
2015,Armenia,TOTAL,NaN
2015,Armenia,NIVAL,NaN
2018,Armenia,REMAIN_MOUNT,NaN
2010,Montenegro,MONTANE,12006.88
2010,Montenegro,REMAIN_MOUNT,63.96
2010,Montenegro,NIVAL,NaN
2015,Montenegro,NIVAL,NaN
2015,Montenegro,TOTAL,12088.77
2015,Montenegro,MONTANE,12006.88
2015,Montenegro,REMAIN_MOUNT,63.96
2015,Montenegro,ALPINE,17.93
2018,Montenegro,MONTANE,12006.88
2018,Montenegro,REMAIN_MOUNT,63.96
2018,Montenegro,TOTAL,12088.77
2018,Montenegro,ALPINE,17.93
2018,Armenia,ALPINE,NaN
2018,Armenia,MONTANE,NaN
2018,Armenia,TOTAL,NaN
2018,Armenia,NIVAL,NaN
2000,Belgium,NIVAL,NaN
2000,Belgium,ALPINE,NaN
2000,Belgium,TOTAL,839.21
2000,Belgium,MONTANE,839.21
2000,Belgium,REMAIN_MOUNT,NaN
2005,Belgium,MONTANE,839.21
2005,Belgium,TOTAL,839.21
2005,Belgium,ALPINE,NaN
2005,Belgium,REMAIN_MOUNT,NaN
2015,Denmark,NIVAL,NaN
2015,Denmark,TOTAL,NaN
2015,Denmark,ALPINE,NaN
2015,Denmark,MONTANE,NaN
2015,Denmark,REMAIN_MOUNT,NaN
2018,Denmark,TOTAL,NaN
2018,Denmark,MONTANE,NaN
2018,Denmark,NIVAL,NaN
2018,Denmark,ALPINE,NaN
2018,Denmark,REMAIN_MOUNT,NaN
2000,Estonia,TOTAL,NaN
2000,Estonia,MONTANE,NaN
2000,Estonia,ALPINE,NaN
2000,Estonia,NIVAL,NaN
2018,Montenegro,NIVAL,NaN
2000,Netherlands,MONTANE,NaN
2000,Netherlands,TOTAL,NaN
2000,Netherlands,NIVAL,NaN
2000,Netherlands,ALPINE,NaN
2000,Netherlands,REMAIN_MOUNT,NaN
2005,Netherlands,NIVAL,NaN
2005,Netherlands,MONTANE,NaN
2005,Netherlands,TOTAL,NaN
2005,Netherlands,REMAIN_MOUNT,NaN
2005,Netherlands,ALPINE,NaN
2010,Netherlands,MONTANE,NaN
2010,Netherlands,TOTAL,NaN
2010,Netherlands,ALPINE,NaN
2005,Belgium,NIVAL,NaN
2010,Belgium,ALPINE,NaN
2010,Belgium,MONTANE,839.21
2010,Belgium,TOTAL,839.21
2010,Belgium,REMAIN_MOUNT,NaN
2010,Belgium,NIVAL,NaN
2015,Belgium,REMAIN_MOUNT,NaN
2015,Belgium,ALPINE,NaN
2015,Belgium,TOTAL,839.21
2015,Belgium,MONTANE,839.21
2015,Belgium,NIVAL,NaN
2018,Belgium,NIVAL,NaN
2018,Belgium,ALPINE,NaN
2000,Estonia,REMAIN_MOUNT,NaN
2005,Estonia,NIVAL,NaN
2005,Estonia,TOTAL,NaN
2005,Estonia,REMAIN_MOUNT,NaN
2005,Estonia,ALPINE,NaN
2005,Estonia,MONTANE,NaN
2010,Estonia,ALPINE,NaN
2010,Estonia,TOTAL,NaN
2010,Estonia,REMAIN_MOUNT,NaN
2010,Estonia,NIVAL,NaN
2010,Estonia,MONTANE,NaN
2015,Estonia,ALPINE,NaN
2015,Estonia,MONTANE,NaN
2015,Estonia,NIVAL,NaN
2015,Estonia,TOTAL,NaN
2015,Estonia,REMAIN_MOUNT,NaN
2018,Estonia,MONTANE,NaN
2018,Estonia,REMAIN_MOUNT,NaN
2018,Estonia,TOTAL,NaN
2018,Estonia,NIVAL,NaN
2018,Estonia,ALPINE,NaN
2000,Finland,ALPINE,1049.16
2000,Finland,NIVAL,6.01
2000,Finland,TOTAL,2858.72
2000,Finland,MONTANE,1803.55
2000,Finland,REMAIN_MOUNT,NaN
2005,Finland,REMAIN_MOUNT,NaN
2018,Belgium,REMAIN_MOUNT,NaN
2018,Belgium,MONTANE,839.21
2018,Belgium,TOTAL,839.21
2000,Bosnia and Herzegovina,TOTAL,38054.12
2000,Bosnia and Herzegovina,REMAIN_MOUNT,24.61
2000,Bosnia and Herzegovina,MONTANE,38029.51
2000,Bosnia and Herzegovina,ALPINE,NaN
2000,Bosnia and Herzegovina,NIVAL,NaN
2005,Bosnia and Herzegovina,NIVAL,NaN
2005,Bosnia and Herzegovina,ALPINE,NaN
2005,Bosnia and Herzegovina,TOTAL,38054.12
2005,Bosnia and Herzegovina,REMAIN_MOUNT,24.61
2010,Netherlands,NIVAL,NaN
2010,Netherlands,REMAIN_MOUNT,NaN
2015,Netherlands,TOTAL,NaN
2015,Netherlands,MONTANE,NaN
2015,Netherlands,REMAIN_MOUNT,NaN
2015,Netherlands,ALPINE,NaN
2015,Netherlands,NIVAL,NaN
2018,Netherlands,MONTANE,NaN
2018,Netherlands,TOTAL,NaN
2018,Netherlands,NIVAL,NaN
2018,Netherlands,REMAIN_MOUNT,NaN
2018,Netherlands,ALPINE,NaN
2000,Norway,TOTAL,NaN
2000,Norway,NIVAL,NaN
2005,Finland,NIVAL,6.01
2005,Finland,MONTANE,1803.55
2005,Finland,TOTAL,2858.72
2005,Finland,ALPINE,1049.16
2010,Finland,TOTAL,2858.72
2010,Finland,NIVAL,6.01
2010,Finland,MONTANE,1803.55
2010,Finland,ALPINE,1049.16
2010,Finland,REMAIN_MOUNT,NaN
2015,Finland,ALPINE,1049.16
2015,Finland,NIVAL,6.01
2015,Finland,TOTAL,2858.72
2005,Bosnia and Herzegovina,MONTANE,38029.51
2010,Bosnia and Herzegovina,REMAIN_MOUNT,24.61
2010,Bosnia and Herzegovina,TOTAL,38054.12
2010,Bosnia and Herzegovina,MONTANE,38029.51
2010,Bosnia and Herzegovina,NIVAL,NaN
2010,Bosnia and Herzegovina,ALPINE,NaN
2015,Bosnia and Herzegovina,ALPINE,NaN
2015,Bosnia and Herzegovina,REMAIN_MOUNT,24.61
2015,Bosnia and Herzegovina,MONTANE,38029.51
2015,Bosnia and Herzegovina,TOTAL,38054.12
2015,Bosnia and Herzegovina,NIVAL,NaN
2018,Bosnia and Herzegovina,TOTAL,38054.12
2015,Finland,MONTANE,1803.55
2015,Finland,REMAIN_MOUNT,NaN
2018,Finland,NIVAL,6.01
2018,Finland,MONTANE,1803.55
2018,Finland,TOTAL,2858.72
2018,Finland,ALPINE,1049.16
2018,Finland,REMAIN_MOUNT,NaN
2000,France,TOTAL,NaN
2000,France,MONTANE,NaN
2000,France,NIVAL,NaN
2000,France,REMAIN_MOUNT,NaN
2000,France,ALPINE,NaN
2005,France,NIVAL,NaN
2005,France,MONTANE,NaN
2005,France,REMAIN_MOUNT,NaN
2005,France,ALPINE,NaN
2005,France,TOTAL,NaN
2010,France,ALPINE,NaN
2010,France,NIVAL,NaN
2010,France,MONTANE,NaN
2010,France,TOTAL,NaN
2010,France,REMAIN_MOUNT,NaN
2015,France,ALPINE,NaN
2000,Norway,MONTANE,NaN
2000,Norway,ALPINE,NaN
2000,Norway,REMAIN_MOUNT,NaN
2005,Norway,REMAIN_MOUNT,NaN
2005,Norway,TOTAL,NaN
2005,Norway,NIVAL,NaN
2005,Norway,ALPINE,NaN
2005,Norway,MONTANE,NaN
2010,Norway,NIVAL,NaN
2010,Norway,TOTAL,NaN
2010,Norway,MONTANE,NaN
2010,Norway,ALPINE,NaN
2018,Bosnia and Herzegovina,MONTANE,38029.51
2018,Bosnia and Herzegovina,REMAIN_MOUNT,24.61
2018,Bosnia and Herzegovina,NIVAL,NaN
2018,Bosnia and Herzegovina,ALPINE,NaN
2000,Bulgaria,NIVAL,NaN
2000,Bulgaria,TOTAL,48460.49
2000,Bulgaria,MONTANE,48013.43
2000,Bulgaria,ALPINE,447.06
2000,Bulgaria,REMAIN_MOUNT,NaN
2005,Bulgaria,NIVAL,NaN
2005,Bulgaria,ALPINE,447.06
2005,Bulgaria,TOTAL,48460.49
2005,Bulgaria,MONTANE,48013.43
2005,Bulgaria,REMAIN_MOUNT,NaN
2010,Bulgaria,REMAIN_MOUNT,NaN
2010,Bulgaria,TOTAL,48460.49
2010,Bulgaria,MONTANE,48013.43
2010,Bulgaria,ALPINE,447.06
2010,Bulgaria,NIVAL,NaN
2015,Bulgaria,NIVAL,NaN
2015,Bulgaria,REMAIN_MOUNT,NaN
2015,Bulgaria,MONTANE,48013.43
2015,Bulgaria,ALPINE,447.06
2015,Bulgaria,TOTAL,48460.49
2018,Bulgaria,TOTAL,48460.49
2015,France,TOTAL,NaN
2015,France,REMAIN_MOUNT,NaN
2015,France,MONTANE,NaN
2015,France,NIVAL,NaN
2018,France,TOTAL,NaN
2018,France,REMAIN_MOUNT,NaN
2018,France,NIVAL,NaN
2018,France,MONTANE,NaN
2018,France,ALPINE,NaN
2000,Georgia,REMAIN_MOUNT,NaN
2000,Georgia,TOTAL,NaN
2010,Norway,REMAIN_MOUNT,NaN
2015,Norway,REMAIN_MOUNT,NaN
2015,Norway,TOTAL,NaN
2015,Norway,ALPINE,NaN
2015,Norway,MONTANE,NaN
2015,Norway,NIVAL,NaN
2018,Norway,MONTANE,NaN
2018,Norway,TOTAL,NaN
2018,Norway,NIVAL,NaN
2018,Norway,ALPINE,NaN
2018,Norway,REMAIN_MOUNT,NaN
2000,Poland,REMAIN_MOUNT,NaN
2000,Georgia,NIVAL,NaN
2000,Georgia,MONTANE,NaN
2000,Georgia,ALPINE,NaN
2005,Georgia,ALPINE,NaN
2005,Georgia,NIVAL,NaN
2005,Georgia,TOTAL,NaN
2005,Georgia,MONTANE,NaN
2005,Georgia,REMAIN_MOUNT,NaN
2010,Georgia,MONTANE,NaN
2010,Georgia,ALPINE,NaN
2010,Georgia,TOTAL,NaN
2010,Georgia,NIVAL,NaN
2010,Georgia,REMAIN_MOUNT,NaN
2015,Georgia,ALPINE,NaN
2015,Georgia,REMAIN_MOUNT,NaN
2015,Georgia,MONTANE,NaN
2015,Georgia,TOTAL,NaN
2015,Georgia,NIVAL,NaN
2018,Georgia,NIVAL,NaN
2018,Georgia,MONTANE,NaN
2018,Georgia,ALPINE,NaN
2018,Georgia,REMAIN_MOUNT,NaN
2018,Georgia,TOTAL,NaN
2000,Germany,ALPINE,NaN
2000,Germany,NIVAL,NaN
2000,Germany,MONTANE,NaN
2000,Germany,REMAIN_MOUNT,NaN
2000,Germany,TOTAL,NaN
2005,Germany,REMAIN_MOUNT,NaN
2005,Germany,MONTANE,NaN
2005,Germany,TOTAL,NaN
2005,Germany,NIVAL,NaN
2005,Germany,ALPINE,NaN
2010,Germany,ALPINE,NaN
2000,Poland,TOTAL,14616.69
2000,Poland,ALPINE,68.45
2000,Poland,NIVAL,0.11
2000,Poland,MONTANE,14548.13
2005,Poland,NIVAL,0.11
2005,Poland,ALPINE,68.45
2005,Poland,MONTANE,14548.13
2005,Poland,TOTAL,14616.69
2005,Poland,REMAIN_MOUNT,NaN
2010,Poland,REMAIN_MOUNT,NaN
2010,Poland,ALPINE,68.45
2010,Poland,NIVAL,0.11
2018,Bulgaria,MONTANE,48013.43
2018,Bulgaria,ALPINE,447.06
2018,Bulgaria,NIVAL,NaN
2018,Bulgaria,REMAIN_MOUNT,NaN
2000,Belarus,TOTAL,NaN
2000,Belarus,NIVAL,NaN
2000,Belarus,ALPINE,NaN
2000,Belarus,REMAIN_MOUNT,NaN
2000,Belarus,MONTANE,NaN
2005,Belarus,ALPINE,NaN
2005,Belarus,MONTANE,NaN
2005,Belarus,TOTAL,NaN
2005,Belarus,NIVAL,NaN
2005,Belarus,REMAIN_MOUNT,NaN
2010,Germany,MONTANE,NaN
2010,Germany,TOTAL,NaN
2010,Germany,NIVAL,NaN
2010,Germany,REMAIN_MOUNT,NaN
2015,Germany,REMAIN_MOUNT,NaN
2015,Germany,NIVAL,NaN
2015,Germany,ALPINE,NaN
2015,Germany,MONTANE,NaN
2015,Germany,TOTAL,NaN
2018,Germany,MONTANE,NaN
2018,Germany,TOTAL,NaN
2018,Germany,ALPINE,NaN
2010,Belarus,NIVAL,NaN
2010,Belarus,TOTAL,NaN
2010,Belarus,ALPINE,NaN
2010,Belarus,REMAIN_MOUNT,NaN
2010,Belarus,MONTANE,NaN
2015,Belarus,REMAIN_MOUNT,NaN
2015,Belarus,NIVAL,NaN
2015,Belarus,ALPINE,NaN
2015,Belarus,MONTANE,NaN
2015,Belarus,TOTAL,NaN
2018,Belarus,MONTANE,NaN
2018,Belarus,TOTAL,NaN
2018,Belarus,NIVAL,NaN
2018,Belarus,ALPINE,NaN
2018,Germany,NIVAL,NaN
2018,Germany,REMAIN_MOUNT,NaN
2000,Greece,TOTAL,72836.51
2000,Greece,MONTANE,57510.16
2000,Greece,REMAIN_MOUNT,15326.35
2000,Greece,NIVAL,NaN
2000,Greece,ALPINE,NaN
2005,Greece,NIVAL,NaN
2005,Greece,REMAIN_MOUNT,15326.35
2005,Greece,TOTAL,72836.51
2005,Greece,MONTANE,57510.16
2005,Greece,ALPINE,NaN
2010,Greece,ALPINE,NaN
2010,Greece,NIVAL,NaN
2010,Greece,REMAIN_MOUNT,15326.35
2010,Greece,MONTANE,57510.16
2010,Greece,TOTAL,72836.51
2015,Greece,TOTAL,72836.51
2015,Greece,MONTANE,57510.16
2015,Greece,REMAIN_MOUNT,15326.35
2015,Greece,ALPINE,NaN
2015,Greece,NIVAL,NaN
2018,Greece,NIVAL,NaN
2018,Greece,TOTAL,72836.51
2018,Greece,MONTANE,57510.16
2010,Poland,MONTANE,14548.13
2010,Poland,TOTAL,14616.69
2015,Poland,MONTANE,14548.13
2015,Poland,ALPINE,68.45
2015,Poland,NIVAL,0.11
2015,Poland,TOTAL,14616.69
2015,Poland,REMAIN_MOUNT,NaN
2018,Poland,REMAIN_MOUNT,NaN
2018,Poland,ALPINE,68.45
2018,Poland,TOTAL,14616.69
2018,Poland,MONTANE,14548.13
2018,Poland,NIVAL,0.11
2000,Portugal,TOTAL,30176.72
2000,Portugal,REMAIN_MOUNT,4563.82
2000,Portugal,MONTANE,25612.9
2000,Portugal,NIVAL,NaN
2000,Portugal,ALPINE,NaN
2005,Portugal,ALPINE,NaN
2005,Portugal,NIVAL,NaN
2005,Portugal,TOTAL,30176.72
2005,Portugal,MONTANE,25612.9
2005,Portugal,REMAIN_MOUNT,4563.82
2010,Portugal,TOTAL,30176.72
2010,Portugal,MONTANE,25612.9
2018,Greece,REMAIN_MOUNT,15326.35
2018,Greece,ALPINE,NaN
2000,Hungary,MONTANE,3227.11
2000,Hungary,NIVAL,NaN
2000,Hungary,TOTAL,3227.11
2000,Hungary,REMAIN_MOUNT,NaN
2000,Hungary,ALPINE,NaN
2005,Hungary,REMAIN_MOUNT,NaN
2005,Hungary,TOTAL,3227.11
2005,Hungary,NIVAL,NaN
2005,Hungary,ALPINE,NaN
2005,Hungary,MONTANE,3227.11
2010,Hungary,MONTANE,3227.11
2010,Portugal,REMAIN_MOUNT,4563.82
2010,Portugal,ALPINE,NaN
2010,Portugal,NIVAL,NaN
2015,Portugal,ALPINE,NaN
2015,Portugal,NIVAL,NaN
2015,Portugal,REMAIN_MOUNT,4563.82
2015,Portugal,TOTAL,30176.72
2015,Portugal,MONTANE,25612.9
2018,Portugal,TOTAL,30176.72
2018,Portugal,MONTANE,25612.9
2018,Portugal,REMAIN_MOUNT,4563.82
2018,Portugal,ALPINE,NaN
2018,Portugal,NIVAL,NaN
2010,Hungary,TOTAL,3227.11
2010,Hungary,REMAIN_MOUNT,NaN
2010,Hungary,NIVAL,NaN
2010,Hungary,ALPINE,NaN
2015,Hungary,ALPINE,NaN
2015,Hungary,NIVAL,NaN
2015,Hungary,TOTAL,3227.11
2015,Hungary,MONTANE,3227.11
2015,Hungary,REMAIN_MOUNT,NaN
2018,Hungary,ALPINE,NaN
2018,Hungary,MONTANE,3227.11
2018,Hungary,TOTAL,3227.11
2018,Hungary,REMAIN_MOUNT,NaN
2018,Hungary,NIVAL,NaN
2000,Iceland,ALPINE,19889.11
2000,Iceland,NIVAL,23873.09
2000,Iceland,MONTANE,1026.92
2000,Iceland,TOTAL,44789.12
2000,Iceland,REMAIN_MOUNT,NaN
2005,Iceland,TOTAL,44789.12
2005,Iceland,NIVAL,23873.09
2005,Iceland,MONTANE,1026.92
2005,Iceland,ALPINE,19889.11
2005,Iceland,REMAIN_MOUNT,NaN
2010,Iceland,REMAIN_MOUNT,NaN
2010,Iceland,MONTANE,1026.92
2010,Iceland,ALPINE,19889.11
2010,Iceland,TOTAL,44789.12
2010,Iceland,NIVAL,23873.09
2015,Iceland,MONTANE,1026.92
2015,Iceland,REMAIN_MOUNT,NaN
2015,Iceland,ALPINE,19889.11
2015,Iceland,NIVAL,23873.09
2015,Iceland,TOTAL,44789.12
2018,Iceland,ALPINE,19889.11
2018,Iceland,NIVAL,23873.09
2018,Iceland,MONTANE,1026.92
2000,Romania,REMAIN_MOUNT,NaN
2000,Romania,ALPINE,165.74
2000,Romania,MONTANE,81641.45
2000,Romania,TOTAL,81807.19
2000,Romania,NIVAL,NaN
2005,Romania,TOTAL,81807.19
2005,Romania,MONTANE,81641.45
2005,Romania,ALPINE,165.74
2005,Romania,NIVAL,NaN
2005,Romania,REMAIN_MOUNT,NaN
2010,Romania,REMAIN_MOUNT,NaN
2010,Romania,NIVAL,NaN
2010,Romania,TOTAL,81807.19
2018,Iceland,REMAIN_MOUNT,NaN
2018,Iceland,TOTAL,44789.12
2000,Ireland,REMAIN_MOUNT,NaN
2000,Ireland,NIVAL,NaN
2000,Ireland,ALPINE,50.77
2000,Ireland,TOTAL,2994.45
2000,Ireland,MONTANE,2943.68
2005,Ireland,TOTAL,2994.45
2005,Ireland,MONTANE,2943.68
2005,Ireland,ALPINE,50.77
2005,Ireland,REMAIN_MOUNT,NaN
2005,Ireland,NIVAL,NaN
2010,Ireland,REMAIN_MOUNT,NaN
2010,Romania,ALPINE,165.74
2010,Romania,MONTANE,81641.45
2015,Romania,TOTAL,81807.19
2015,Romania,ALPINE,165.74
2015,Romania,MONTANE,81641.45
2015,Romania,REMAIN_MOUNT,NaN
2015,Romania,NIVAL,NaN
2018,Romania,NIVAL,NaN
2018,Romania,REMAIN_MOUNT,NaN
2018,Romania,TOTAL,81807.19
2018,Romania,MONTANE,81641.45
2018,Romania,ALPINE,165.74
2010,Ireland,NIVAL,NaN
2010,Ireland,TOTAL,2994.45
2010,Ireland,MONTANE,2943.68
2010,Ireland,ALPINE,50.77
2015,Ireland,ALPINE,50.77
2015,Ireland,REMAIN_MOUNT,NaN
2015,Ireland,NIVAL,NaN
2015,Ireland,MONTANE,2943.68
2015,Ireland,TOTAL,2994.45
2018,Ireland,NIVAL,NaN
2018,Ireland,TOTAL,2994.45
2018,Ireland,ALPINE,50.77
2018,Ireland,MONTANE,2943.68
2018,Ireland,REMAIN_MOUNT,NaN
2000,Italy,TOTAL,151284.18
2000,Italy,REMAIN_MOUNT,13059.09
2000,Italy,MONTANE,129844.62
2000,Italy,NIVAL,4023.9
2000,Italy,ALPINE,4356.57
