Year,GeoAreaName,Education level,Location,Quantile,Sex,Value
2013,Montenegro,UPPSEC,RURAL,_T,MALE,0.63673
2013,Montenegro,LOWSEC,ALLAREA,_T,MALE,0.93698
2013,Montenegro,LOWSEC,ALLAREA,_T,BOTHSEX,0.95533
2013,Montenegro,UPPSEC,ALLAREA,_T,MALE,0.60148
2013,Montenegro,PRIMAR,RURAL,_T,BOTHSEX,1
2013,Montenegro,PRIMAR,URBAN,_T,FEMALE,0
2013,Montenegro,UPPSEC,ALLAREA,_T,FEMALE,0.75721
2013,Montenegro,LOWSEC,RURAL,_T,FEMALE,1
2013,Montenegro,PRIMAR,ALLAREA,_T,MALE,1
2013,Montenegro,UPPSEC,URBAN,_T,BOTHSEX,0.58691
2013,Montenegro,LOWSEC,URBAN,_T,MALE,0
2013,Montenegro,LOWSEC,URBAN,_T,BOTHSEX,0.85815
2013,Montenegro,UPPSEC,ALLAREA,_T,BOTHSEX,0.66475
2013,Montenegro,PRIMAR,RURAL,_T,MALE,1
2013,Montenegro,UPPSEC,RURAL,_T,BOTHSEX,0.72595
2013,Montenegro,PRIMAR,ALLAREA,_T,BOTHSEX,0.99484
2013,Montenegro,PRIMAR,RURAL,_T,FEMALE,0
2018,Montenegro,PRIMAR,ALLAREA,_T,BOTHSEX,0.89023
2018,Montenegro,PRIMAR,RURAL,_T,FEMALE,0
2018,Montenegro,LOWSEC,ALLAREA,_T,MALE,0.70601
2018,Montenegro,PRIMAR,RURAL,_T,MALE,0
2018,Montenegro,UPPSEC,RURAL,_T,MALE,0
2018,Montenegro,UPPSEC,URBAN,_T,FEMALE,0
2018,Montenegro,LOWSEC,URBAN,_T,MALE,0
2018,Montenegro,UPPSEC,URBAN,_T,BOTHSEX,0
2018,Montenegro,PRIMAR,ALLAREA,_T,MALE,0.83768
2017,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,0.95259
2017,Albania,LOWSEC,ALLAREA,_T,MALE,0.89501
2017,Albania,PRIMAR,RURAL,_T,FEMALE,0
2017,Albania,UPPSEC,URBAN,_T,BOTHSEX,0.45506
2017,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,0.61956
2000,Azerbaijan,LOWSEC,ALLAREA,_T,BOTHSEX,0.80909
2000,Azerbaijan,PRIMAR,ALLAREA,_T,BOTHSEX,0.95295
2000,Azerbaijan,UPPSEC,ALLAREA,_T,BOTHSEX,0.57581
2018,Montenegro,PRIMAR,URBAN,_T,MALE,0
2018,Montenegro,LOWSEC,RURAL,_T,MALE,0
2018,Montenegro,LOWSEC,RURAL,_T,BOTHSEX,0
2018,Montenegro,UPPSEC,RURAL,_T,BOTHSEX,0
2018,Montenegro,UPPSEC,URBAN,_T,MALE,0
2018,Montenegro,LOWSEC,ALLAREA,_T,FEMALE,0.85714
2018,Montenegro,UPPSEC,ALLAREA,_T,BOTHSEX,0.54452
2018,Montenegro,PRIMAR,ALLAREA,_T,FEMALE,0.9396
2018,Montenegro,LOWSEC,URBAN,_T,BOTHSEX,0.69575
2018,Montenegro,PRIMAR,URBAN,_T,BOTHSEX,0.86787
2018,Montenegro,LOWSEC,URBAN,_T,FEMALE,0.84685
2018,Montenegro,UPPSEC,RURAL,_T,FEMALE,0
2018,Montenegro,LOWSEC,RURAL,_T,FEMALE,0
2018,Montenegro,UPPSEC,ALLAREA,_T,FEMALE,0.57965
2018,Montenegro,PRIMAR,URBAN,_T,FEMALE,0.9052
2006,Kazakhstan,LOWSEC,RURAL,_T,MALE,0
2006,Kazakhstan,PRIMAR,ALLAREA,_T,BOTHSEX,1.00123
2006,Kazakhstan,UPPSEC,URBAN,_T,FEMALE,0.84628
2006,Kazakhstan,UPPSEC,RURAL,_T,MALE,0
2006,Kazakhstan,PRIMAR,RURAL,_T,FEMALE,0
2006,Kazakhstan,UPPSEC,URBAN,_T,MALE,0.80462
2006,Kazakhstan,PRIMAR,ALLAREA,_T,MALE,1.00332
2006,Kazakhstan,PRIMAR,URBAN,_T,MALE,1.00988
2006,Azerbaijan,PRIMAR,ALLAREA,_T,MALE,0.99364
2006,Azerbaijan,UPPSEC,RURAL,_T,BOTHSEX,0
2006,Azerbaijan,PRIMAR,RURAL,_T,BOTHSEX,0
2006,Azerbaijan,UPPSEC,URBAN,_T,BOTHSEX,0.63825
2006,Azerbaijan,PRIMAR,RURAL,_T,FEMALE,0
2006,Azerbaijan,LOWSEC,ALLAREA,_T,FEMALE,0.86484
2006,Azerbaijan,LOWSEC,URBAN,_T,FEMALE,0
2006,Azerbaijan,LOWSEC,RURAL,_T,BOTHSEX,0
2006,Azerbaijan,LOWSEC,URBAN,_T,BOTHSEX,0.6579
2006,Azerbaijan,UPPSEC,ALLAREA,_T,MALE,0.78836
2006,Azerbaijan,PRIMAR,URBAN,_T,FEMALE,0.71878
2006,Azerbaijan,UPPSEC,ALLAREA,_T,FEMALE,0.40268
2006,Azerbaijan,UPPSEC,URBAN,_T,MALE,0
2006,Azerbaijan,UPPSEC,URBAN,_T,FEMALE,0
2006,Azerbaijan,PRIMAR,RURAL,_T,MALE,0
2006,Azerbaijan,UPPSEC,RURAL,_T,MALE,0
2006,Azerbaijan,LOWSEC,RURAL,_T,FEMALE,0
2006,Azerbaijan,UPPSEC,ALLAREA,_T,BOTHSEX,0.60163
2006,Azerbaijan,PRIMAR,ALLAREA,_T,FEMALE,0.90614
2006,Azerbaijan,PRIMAR,URBAN,_T,BOTHSEX,0.83789
2006,Azerbaijan,LOWSEC,ALLAREA,_T,MALE,0.87266
2006,Azerbaijan,LOWSEC,URBAN,_T,MALE,0
2006,Azerbaijan,PRIMAR,ALLAREA,_T,BOTHSEX,0.95182
2006,Azerbaijan,UPPSEC,RURAL,_T,FEMALE,0
2006,Azerbaijan,LOWSEC,ALLAREA,_T,BOTHSEX,0.86856
2006,Azerbaijan,PRIMAR,URBAN,_T,MALE,0
2006,Azerbaijan,LOWSEC,RURAL,_T,MALE,0
2005,Armenia,UPPSEC,ALLAREA,_T,BOTHSEX,0.11049
2005,Armenia,PRIMAR,ALLAREA,_T,BOTHSEX,0.98486
2005,Armenia,LOWSEC,ALLAREA,_T,BOTHSEX,0.70822
2010,Armenia,LOWSEC,ALLAREA,_T,BOTHSEX,0.943
2010,Armenia,PRIMAR,ALLAREA,_T,BOTHSEX,0.9926
2010,Armenia,UPPSEC,ALLAREA,_T,BOTHSEX,0.36919
2011,Armenia,PRIMAR,RURAL,_T,BOTHSEX,0
2011,Armenia,UPPSEC,URBAN,_T,BOTHSEX,0.92952
2011,Armenia,LOWSEC,ALLAREA,_T,FEMALE,0.99621
2011,Armenia,PRIMAR,RURAL,_T,FEMALE,0
2011,Armenia,PRIMAR,ALLAREA,_T,FEMALE,1
2011,Armenia,LOWSEC,URBAN,_T,BOTHSEX,0
2011,Armenia,UPPSEC,RURAL,_T,FEMALE,0
2011,Armenia,LOWSEC,RURAL,_T,BOTHSEX,0
2011,Armenia,PRIMAR,URBAN,_T,BOTHSEX,1
2011,Armenia,LOWSEC,URBAN,_T,MALE,0
2011,Armenia,LOWSEC,URBAN,_T,FEMALE,0
2011,Armenia,LOWSEC,ALLAREA,_T,BOTHSEX,0.98324
2011,Armenia,UPPSEC,RURAL,_T,MALE,0
2011,Armenia,LOWSEC,RURAL,_T,FEMALE,0
2011,Armenia,UPPSEC,ALLAREA,_T,BOTHSEX,0.88673
2011,Armenia,PRIMAR,ALLAREA,_T,MALE,0.9906
2011,Armenia,UPPSEC,RURAL,_T,BOTHSEX,0
2011,Armenia,LOWSEC,ALLAREA,_T,MALE,0.95902
2011,Armenia,PRIMAR,ALLAREA,_T,BOTHSEX,0.99483
2011,Armenia,UPPSEC,ALLAREA,_T,MALE,0.82009
2011,Armenia,PRIMAR,URBAN,_T,FEMALE,0
2011,Armenia,UPPSEC,ALLAREA,_T,FEMALE,0.93827
2011,Armenia,PRIMAR,URBAN,_T,MALE,0
2011,Armenia,LOWSEC,RURAL,_T,MALE,0
2011,Armenia,UPPSEC,URBAN,_T,MALE,0
2011,Armenia,PRIMAR,RURAL,_T,MALE,0
2011,Armenia,UPPSEC,URBAN,_T,FEMALE,0
2016,Armenia,LOWSEC,RURAL,_T,FEMALE,0
2016,Armenia,UPPSEC,RURAL,_T,MALE,0
2016,Armenia,UPPSEC,URBAN,_T,FEMALE,0
2016,Armenia,PRIMAR,RURAL,_T,MALE,0
2016,Armenia,LOWSEC,URBAN,_T,MALE,0
2016,Armenia,LOWSEC,RURAL,_T,BOTHSEX,0
2016,Armenia,PRIMAR,URBAN,_T,BOTHSEX,0.94277
2016,Armenia,UPPSEC,RURAL,_T,FEMALE,0
2016,Armenia,UPPSEC,ALLAREA,_T,FEMALE,0.62697
2016,Armenia,PRIMAR,URBAN,_T,FEMALE,0
2016,Armenia,PRIMAR,RURAL,_T,FEMALE,0
2016,Armenia,LOWSEC,ALLAREA,_T,FEMALE,0.99222
2016,Armenia,UPPSEC,URBAN,_T,BOTHSEX,0.66533
2016,Armenia,PRIMAR,RURAL,_T,BOTHSEX,0
2016,Armenia,UPPSEC,RURAL,_T,BOTHSEX,0.96299
2016,Armenia,PRIMAR,ALLAREA,_T,MALE,0.98713
2016,Armenia,UPPSEC,URBAN,_T,MALE,0
2016,Armenia,LOWSEC,RURAL,_T,MALE,0
2016,Armenia,PRIMAR,URBAN,_T,MALE,0
2016,Armenia,LOWSEC,ALLAREA,_T,BOTHSEX,0.93218
2016,Armenia,LOWSEC,URBAN,_T,FEMALE,0
2016,Armenia,UPPSEC,ALLAREA,_T,MALE,0.68144
2016,Armenia,PRIMAR,ALLAREA,_T,BOTHSEX,0.98667
2018,Montenegro,PRIMAR,RURAL,_T,BOTHSEX,0
2018,Montenegro,UPPSEC,ALLAREA,_T,MALE,0.52166
2018,Montenegro,LOWSEC,ALLAREA,_T,BOTHSEX,0.77611
2005,Serbia,UPPSEC,ALLAREA,_T,BOTHSEX,0.30799
2005,Serbia,PRIMAR,ALLAREA,_T,BOTHSEX,0.9626
2005,Serbia,LOWSEC,ALLAREA,_T,BOTHSEX,0.90271
2010,Serbia,LOWSEC,ALLAREA,_T,BOTHSEX,0.9121
2010,Serbia,PRIMAR,ALLAREA,_T,BOTHSEX,0.9972
2010,Serbia,UPPSEC,ALLAREA,_T,BOTHSEX,0.23976
2016,Armenia,LOWSEC,ALLAREA,_T,MALE,0.86027
2016,Armenia,LOWSEC,URBAN,_T,BOTHSEX,0.98264
2016,Armenia,PRIMAR,ALLAREA,_T,FEMALE,0.98617
2016,Armenia,UPPSEC,ALLAREA,_T,BOTHSEX,0.63933
2018,Armenia,UPPSEC,ALLAREA,_T,BOTHSEX,0.90898
2018,Armenia,PRIMAR,ALLAREA,_T,BOTHSEX,0.9863
2018,Armenia,LOWSEC,ALLAREA,_T,BOTHSEX,0.97828
2006,Bosnia and Herzegovina,LOWSEC,ALLAREA,_T,BOTHSEX,0.95734
2006,Bosnia and Herzegovina,PRIMAR,ALLAREA,_T,BOTHSEX,0.9952
2011,Serbia,UPPSEC,ALLAREA,_T,MALE,0.21195
2011,Serbia,LOWSEC,RURAL,_T,FEMALE,0
2011,Serbia,PRIMAR,URBAN,_T,MALE,0
2011,Serbia,LOWSEC,RURAL,_T,BOTHSEX,0
2011,Serbia,PRIMAR,URBAN,_T,BOTHSEX,0.98791
2011,Serbia,LOWSEC,URBAN,_T,FEMALE,0
2011,Serbia,PRIMAR,RURAL,_T,FEMALE,0
2006,Kazakhstan,LOWSEC,URBAN,_T,BOTHSEX,0.9911
2006,Kazakhstan,PRIMAR,URBAN,_T,BOTHSEX,1.00615
2006,Kazakhstan,LOWSEC,URBAN,_T,FEMALE,0.97571
2006,Kazakhstan,PRIMAR,RURAL,_T,BOTHSEX,0
2006,Kazakhstan,LOWSEC,ALLAREA,_T,BOTHSEX,0.99521
2006,Kazakhstan,PRIMAR,RURAL,_T,MALE,0
2006,Kazakhstan,LOWSEC,ALLAREA,_T,MALE,0.99853
2006,Kazakhstan,UPPSEC,RURAL,_T,BOTHSEX,0
2018,Georgia,UPPSEC,ALLAREA,_T,FEMALE,0.54721
2018,Georgia,PRIMAR,ALLAREA,_T,BOTHSEX,1.00214
2018,Georgia,PRIMAR,URBAN,_T,BOTHSEX,1.00214
2018,Georgia,LOWSEC,URBAN,_T,MALE,0
2018,Georgia,LOWSEC,URBAN,_T,FEMALE,0
2018,Georgia,LOWSEC,URBAN,_T,BOTHSEX,0.95754
2018,Georgia,PRIMAR,ALLAREA,_T,FEMALE,1
2018,Georgia,PRIMAR,ALLAREA,_T,MALE,1.00411
2011,Serbia,PRIMAR,RURAL,_T,MALE,0
2011,Serbia,UPPSEC,RURAL,_T,FEMALE,0
2011,Serbia,LOWSEC,ALLAREA,_T,MALE,0.94617
2011,Serbia,UPPSEC,ALLAREA,_T,BOTHSEX,0.23978
2011,Serbia,LOWSEC,URBAN,_T,MALE,0
2011,Serbia,LOWSEC,RURAL,_T,MALE,0
2011,Serbia,LOWSEC,URBAN,_T,BOTHSEX,0.84947
2011,Serbia,LOWSEC,ALLAREA,_T,BOTHSEX,0.91209
2006,Kazakhstan,UPPSEC,ALLAREA,_T,BOTHSEX,0.91315
2006,Kazakhstan,LOWSEC,ALLAREA,_T,FEMALE,0.9916
2006,Kazakhstan,PRIMAR,ALLAREA,_T,FEMALE,0.99902
2010,Kazakhstan,PRIMAR,ALLAREA,_T,BOTHSEX,0.9936
2010,Kazakhstan,UPPSEC,ALLAREA,_T,BOTHSEX,0.89741
2010,Kazakhstan,LOWSEC,ALLAREA,_T,BOTHSEX,0.98388
2011,Kazakhstan,LOWSEC,RURAL,_T,BOTHSEX,0
2011,Kazakhstan,LOWSEC,URBAN,_T,MALE,0.95051
2018,Georgia,UPPSEC,URBAN,_T,MALE,0
2019,Turkmenistan,LOWSEC,ALLAREA,_T,FEMALE,0.96958
2019,Turkmenistan,PRIMAR,ALLAREA,_T,BOTHSEX,0.99503
2019,Turkmenistan,LOWSEC,RURAL,_T,BOTHSEX,0
2005,Ukraine,LOWSEC,ALLAREA,_T,BOTHSEX,0.97787
2005,Ukraine,PRIMAR,ALLAREA,_T,BOTHSEX,0.9804
2005,Ukraine,UPPSEC,ALLAREA,_T,BOTHSEX,0.83302
2007,Ukraine,PRIMAR,ALLAREA,_T,BOTHSEX,0.99682
2006,Bosnia and Herzegovina,UPPSEC,ALLAREA,_T,BOTHSEX,0.40562
2011,Bosnia and Herzegovina,UPPSEC,ALLAREA,_T,BOTHSEX,0.84742
2011,Bosnia and Herzegovina,PRIMAR,ALLAREA,_T,BOTHSEX,0.9967
2011,Bosnia and Herzegovina,LOWSEC,ALLAREA,_T,BOTHSEX,0.9082
2012,Bosnia and Herzegovina,PRIMAR,ALLAREA,_T,BOTHSEX,0.99667
2012,Bosnia and Herzegovina,UPPSEC,ALLAREA,_T,MALE,0.85085
2012,Bosnia and Herzegovina,UPPSEC,RURAL,_T,FEMALE,0
2012,Bosnia and Herzegovina,UPPSEC,ALLAREA,_T,FEMALE,0.83858
2011,Kazakhstan,PRIMAR,URBAN,_T,MALE,0.95672
2011,Kazakhstan,UPPSEC,URBAN,_T,BOTHSEX,0.86821
2011,Kazakhstan,UPPSEC,ALLAREA,_T,BOTHSEX,0.89737
2011,Kazakhstan,UPPSEC,RURAL,_T,BOTHSEX,0
2011,Kazakhstan,PRIMAR,ALLAREA,_T,MALE,0.98754
2011,Kazakhstan,UPPSEC,URBAN,_T,MALE,0.85333
2011,Kazakhstan,PRIMAR,RURAL,_T,FEMALE,0
2011,Kazakhstan,LOWSEC,ALLAREA,_T,MALE,0.97814
2011,Serbia,PRIMAR,URBAN,_T,FEMALE,0
2011,Serbia,PRIMAR,RURAL,_T,BOTHSEX,0
2011,Serbia,UPPSEC,ALLAREA,_T,FEMALE,0.2669
2011,Serbia,UPPSEC,RURAL,_T,BOTHSEX,0
2011,Serbia,UPPSEC,RURAL,_T,MALE,0
2011,Serbia,UPPSEC,URBAN,_T,FEMALE,0
2011,Serbia,PRIMAR,ALLAREA,_T,FEMALE,0.9937
2007,Ukraine,UPPSEC,URBAN,_T,MALE,0
2007,Ukraine,LOWSEC,ALLAREA,_T,FEMALE,0.94383
2007,Ukraine,PRIMAR,ALLAREA,_T,MALE,1
2007,Ukraine,UPPSEC,URBAN,_T,BOTHSEX,0.73149
2007,Ukraine,LOWSEC,RURAL,_T,MALE,0
2007,Ukraine,PRIMAR,URBAN,_T,FEMALE,0
2007,Ukraine,PRIMAR,RURAL,_T,BOTHSEX,0
2007,Ukraine,UPPSEC,ALLAREA,_T,MALE,0.70948
2011,Serbia,UPPSEC,URBAN,_T,MALE,0
2011,Serbia,UPPSEC,URBAN,_T,BOTHSEX,0.43489
2011,Serbia,PRIMAR,ALLAREA,_T,BOTHSEX,0.99717
2011,Serbia,PRIMAR,ALLAREA,_T,MALE,1
2011,Serbia,LOWSEC,ALLAREA,_T,FEMALE,0.86945
2014,Serbia,LOWSEC,ALLAREA,_T,MALE,0.94394
2014,Serbia,PRIMAR,ALLAREA,_T,FEMALE,0.97094
2014,Serbia,UPPSEC,RURAL,_T,BOTHSEX,0
2011,Kazakhstan,PRIMAR,RURAL,_T,MALE,0
