Year,GeoAreaName,Quantile,Value
2011,Türkiye,Q1,48.06989
2012,Türkiye,_T,15.86075
2012,Türkiye,Q1,42.4554
2007,Bulgaria,Q1,57.58197
2007,Bulgaria,_T,39.53489
2008,Belarus,_T,59.94743
2008,Belarus,Q1,69.87466
2009,Belarus,_T,58.55187
2009,Belarus,Q1,71.10539
2010,Belarus,Q1,68.86802
2010,Belarus,_T,58.2791
2013,Türkiye,_T,16.69057
2013,Türkiye,Q1,44.48992
2014,Türkiye,_T,17.67576
2014,Türkiye,Q1,46.25669
2015,Türkiye,Q1,47.76452
2015,Türkiye,_T,17.10041
2016,Türkiye,_T,17.96038
2016,Türkiye,Q1,51.28705
2018,Türkiye,_T,15.52557
2018,Türkiye,Q1,40.27853
2019,Türkiye,_T,14.45786
2019,Türkiye,Q1,39.61016
2006,Ukraine,_T,47.44563
2006,Ukraine,Q1,53.49715
2011,Ukraine,_T,48.98668
2011,Ukraine,Q1,58.00682
2012,Belarus,_T,57.30478
2012,Belarus,Q1,66.19946
2013,Belarus,Q1,62.91737
2013,Belarus,_T,54.09911
2014,Belarus,Q1,66.39224
2014,Belarus,_T,55.23861
2015,Belarus,_T,52.7002
2015,Belarus,Q1,60.86168
2012,Ukraine,Q1,58.58967
2012,Ukraine,_T,49.51679
2013,Ukraine,_T,48.07396
2013,Ukraine,Q1,58.09023
2015,Ukraine,_T,36.62819
2015,Ukraine,Q1,46.96692
2016,Ukraine,_T,34.74451
2016,Ukraine,Q1,39.73668
2016,Belarus,_T,54.08126
2016,Belarus,Q1,64.8575
2017,Belarus,_T,53.52727
2017,Belarus,Q1,61.79156
2018,Belarus,_T,49.06598
2018,Belarus,Q1,55.08405
2019,Belarus,_T,47.07458
2019,Belarus,Q1,61.23793
2008,Croatia,Q1,46.32311
2008,Croatia,_T,23.31134
2010,Croatia,_T,24.56946
2010,Croatia,Q1,47.88995
2011,Croatia,_T,20.54094
2011,Croatia,Q1,44.72124
2014,Croatia,_T,27.49872
2014,Croatia,Q1,58.88799
2011,Georgia,Q1,77.7593
2011,Georgia,_T,64.63778
2016,Georgia,_T,64.26904
2016,Georgia,Q1,70.59166
2018,Georgia,Q1,75.75434
2018,Georgia,_T,63.5544
2007,Hungary,_T,59.53975
2007,Hungary,Q1,81.3064
2007,Kazakhstan,Q1,42.15873
2007,Kazakhstan,_T,29.09089
2010,Kazakhstan,_T,33.5863
2010,Kazakhstan,Q1,45.00007
2014,Kazakhstan,_T,66.09539
2014,Kazakhstan,Q1,74.33816
2015,Kazakhstan,_T,30.62083
2015,Kazakhstan,Q1,44.57739
2017,Kazakhstan,_T,24.71827
2017,Kazakhstan,Q1,36.18724
2006,Kosovo,_T,6.99167
2006,Kosovo,Q1,16.16807
2011,Kosovo,_T,12.47822
2011,Kosovo,Q1,31.37204
2012,Kosovo,Q1,29.56483
2012,Kosovo,_T,13.70136
2013,Kosovo,_T,14.05047
2013,Kosovo,Q1,35.42545
2006,Kyrgyzstan,_T,8.11491
2006,Kyrgyzstan,Q1,15.73379
2011,Kyrgyzstan,_T,8.47452
2011,Kyrgyzstan,Q1,15.64788
2012,Kyrgyzstan,Q1,11.41397
2012,Kyrgyzstan,_T,7.29997
2013,Kyrgyzstan,Q1,13.29337
2013,Kyrgyzstan,_T,7.17786
2008,Latvia,_T,38.96896
2008,Latvia,Q1,39.73672
2009,Latvia,_T,50.81146
2009,Latvia,Q1,67.16637
2008,Lithuania,_T,58.67134
2008,Lithuania,Q1,68.09415
2018,Ukraine,_T,30.1669
2018,Ukraine,Q1,41.55535
2018,Uzbekistan,_T,6.69206
2018,Uzbekistan,Q1,10.34976
2018,Uzbekistan,Q1,10.34976
