Year,GeoAreaName,Location,Nature,Reporting Type,Units,Value
2008,Azerbaijan,ALLAREA,E,G,PERCENT,73
2008,Azerbaijan,RURAL,E,G,PERCENT,53
2008,Azerbaijan,URBAN,E,G,PERCENT,90
2009,Azerbaijan,ALLAREA,E,G,PERCENT,75
2009,Azerbaijan,RURAL,E,G,PERCENT,55
2010,Netherlands,ALLAREA,E,G,PERCENT,100
2011,Netherlands,ALLAREA,E,G,PERCENT,100
2012,Netherlands,ALLAREA,E,G,PERCENT,100
2013,Netherlands,ALLAREA,E,G,PERCENT,100
2014,Netherlands,ALLAREA,E,G,PERCENT,100
2015,Netherlands,ALLAREA,E,G,PERCENT,100
2016,Netherlands,ALLAREA,E,G,PERCENT,100
2017,Netherlands,ALLAREA,E,G,PERCENT,100
2018,Netherlands,ALLAREA,E,G,PERCENT,100
2019,Netherlands,ALLAREA,E,G,PERCENT,100
2009,Azerbaijan,URBAN,E,G,PERCENT,92
2010,Azerbaijan,ALLAREA,E,G,PERCENT,77
2010,Azerbaijan,RURAL,E,G,PERCENT,58
2010,Azerbaijan,URBAN,E,G,PERCENT,93
2011,Azerbaijan,ALLAREA,E,G,PERCENT,79
2011,Azerbaijan,RURAL,E,G,PERCENT,61
2011,Azerbaijan,URBAN,E,G,PERCENT,94
2012,Azerbaijan,ALLAREA,E,G,PERCENT,80
2012,Azerbaijan,URBAN,E,G,PERCENT,95
2012,Azerbaijan,RURAL,E,G,PERCENT,63
2013,Azerbaijan,RURAL,E,G,PERCENT,66
2013,Azerbaijan,ALLAREA,E,G,PERCENT,82
2013,Azerbaijan,URBAN,E,G,PERCENT,95
2014,Azerbaijan,ALLAREA,E,G,PERCENT,83
2014,Azerbaijan,RURAL,E,G,PERCENT,69
2014,Azerbaijan,URBAN,E,G,PERCENT,95
2015,Azerbaijan,ALLAREA,E,G,PERCENT,85
2015,Azerbaijan,RURAL,E,G,PERCENT,72
2015,Azerbaijan,URBAN,E,G,PERCENT,96
2016,Azerbaijan,ALLAREA,E,G,PERCENT,86
2016,Azerbaijan,RURAL,E,G,PERCENT,73
2016,Azerbaijan,URBAN,E,G,PERCENT,96
2017,Azerbaijan,ALLAREA,E,G,PERCENT,86
2017,Azerbaijan,RURAL,E,G,PERCENT,75
2017,Azerbaijan,URBAN,E,G,PERCENT,96
2018,Azerbaijan,ALLAREA,E,G,PERCENT,87
2018,Azerbaijan,RURAL,E,G,PERCENT,76
2018,Azerbaijan,URBAN,E,G,PERCENT,96
2019,Azerbaijan,ALLAREA,E,G,PERCENT,88
2019,Azerbaijan,RURAL,E,G,PERCENT,77
2020,Denmark,ALLAREA,E,G,PERCENT,97
2000,Estonia,ALLAREA,E,G,PERCENT,94
2001,Estonia,ALLAREA,E,G,PERCENT,94
2002,Estonia,ALLAREA,E,G,PERCENT,94
2003,Estonia,ALLAREA,E,G,PERCENT,94
2004,Estonia,ALLAREA,E,G,PERCENT,94
2005,Estonia,ALLAREA,E,G,PERCENT,94
2006,Estonia,ALLAREA,E,G,PERCENT,95
2007,Estonia,ALLAREA,E,G,PERCENT,95
2008,Estonia,ALLAREA,E,G,PERCENT,95
2020,Netherlands,ALLAREA,E,G,PERCENT,100
2000,Norway,ALLAREA,E,G,PERCENT,100
2001,Norway,ALLAREA,E,G,PERCENT,100
2002,Norway,ALLAREA,E,G,PERCENT,100
2003,Norway,ALLAREA,E,G,PERCENT,100
2004,Norway,ALLAREA,E,G,PERCENT,100
2005,Norway,ALLAREA,E,G,PERCENT,100
2006,Norway,ALLAREA,E,G,PERCENT,100
2007,Norway,ALLAREA,E,G,PERCENT,100
2008,Norway,ALLAREA,E,G,PERCENT,100
2009,Norway,ALLAREA,E,G,PERCENT,99
2010,Norway,ALLAREA,E,G,PERCENT,99
2011,Norway,ALLAREA,E,G,PERCENT,99
2012,Norway,ALLAREA,E,G,PERCENT,99
2013,Norway,ALLAREA,E,G,PERCENT,99
2014,Norway,ALLAREA,E,G,PERCENT,99
2015,Norway,ALLAREA,E,G,PERCENT,99
2016,Norway,ALLAREA,E,G,PERCENT,99
2017,Norway,ALLAREA,E,G,PERCENT,99
2018,Norway,ALLAREA,E,G,PERCENT,99
2019,Azerbaijan,URBAN,E,G,PERCENT,96
2020,Azerbaijan,ALLAREA,E,G,PERCENT,88
2020,Azerbaijan,RURAL,E,G,PERCENT,78
2020,Azerbaijan,URBAN,E,G,PERCENT,96
2000,Austria,ALLAREA,E,G,PERCENT,96
2001,Austria,ALLAREA,E,G,PERCENT,97
2002,Austria,ALLAREA,E,G,PERCENT,97
2003,Austria,ALLAREA,E,G,PERCENT,97
2004,Austria,ALLAREA,E,G,PERCENT,97
2005,Austria,ALLAREA,E,G,PERCENT,97
2009,Estonia,ALLAREA,E,G,PERCENT,96
2010,Estonia,ALLAREA,E,G,PERCENT,96
2011,Estonia,ALLAREA,E,G,PERCENT,96
2012,Estonia,ALLAREA,E,G,PERCENT,96
2013,Estonia,ALLAREA,E,G,PERCENT,96
2014,Estonia,ALLAREA,E,G,PERCENT,96
2015,Estonia,ALLAREA,E,G,PERCENT,96
2016,Estonia,ALLAREA,E,G,PERCENT,96
2017,Estonia,ALLAREA,E,G,PERCENT,96
2018,Estonia,ALLAREA,E,G,PERCENT,96
2006,Austria,ALLAREA,E,G,PERCENT,98
2007,Austria,ALLAREA,E,G,PERCENT,98
2008,Austria,ALLAREA,E,G,PERCENT,98
2009,Austria,ALLAREA,E,G,PERCENT,98
2010,Austria,ALLAREA,E,G,PERCENT,99
2011,Austria,ALLAREA,E,G,PERCENT,99
2012,Austria,ALLAREA,E,G,PERCENT,99
2013,Austria,ALLAREA,E,G,PERCENT,99
2014,Austria,ALLAREA,E,G,PERCENT,99
2015,Austria,ALLAREA,E,G,PERCENT,99
2019,Estonia,ALLAREA,E,G,PERCENT,96
2020,Estonia,ALLAREA,E,G,PERCENT,96
2000,Finland,ALLAREA,E,G,PERCENT,93
2001,Finland,ALLAREA,E,G,PERCENT,94
2002,Finland,ALLAREA,E,G,PERCENT,94
2003,Finland,ALLAREA,E,G,PERCENT,95
2004,Finland,ALLAREA,E,G,PERCENT,95
2005,Finland,ALLAREA,E,G,PERCENT,96
2006,Finland,ALLAREA,E,G,PERCENT,96
2007,Finland,ALLAREA,E,G,PERCENT,97
2016,Austria,ALLAREA,E,G,PERCENT,99
2017,Austria,ALLAREA,E,G,PERCENT,99
2018,Austria,ALLAREA,E,G,PERCENT,99
2019,Austria,ALLAREA,E,G,PERCENT,99
2020,Austria,ALLAREA,E,G,PERCENT,99
2000,Armenia,ALLAREA,E,G,PERCENT,80
2001,Armenia,ALLAREA,E,G,PERCENT,80
2002,Armenia,ALLAREA,E,G,PERCENT,80
2003,Armenia,ALLAREA,E,G,PERCENT,80
2004,Armenia,ALLAREA,E,G,PERCENT,80
2019,Norway,ALLAREA,E,G,PERCENT,99
2020,Norway,ALLAREA,E,G,PERCENT,99
2005,Poland,ALLAREA,E,G,PERCENT,91
2006,Poland,ALLAREA,E,G,PERCENT,91
2007,Poland,ALLAREA,E,G,PERCENT,92
2008,Poland,ALLAREA,E,G,PERCENT,92
2009,Poland,ALLAREA,E,G,PERCENT,93
2010,Poland,ALLAREA,E,G,PERCENT,93
2011,Poland,ALLAREA,E,G,PERCENT,94
2012,Poland,ALLAREA,E,G,PERCENT,94
2013,Poland,ALLAREA,E,G,PERCENT,95
2014,Poland,ALLAREA,E,G,PERCENT,95
2015,Poland,ALLAREA,E,G,PERCENT,96
2016,Poland,ALLAREA,E,G,PERCENT,97
2017,Poland,ALLAREA,E,G,PERCENT,97
2018,Poland,ALLAREA,E,G,PERCENT,98
2019,Poland,ALLAREA,E,G,PERCENT,98
2020,Poland,ALLAREA,E,G,PERCENT,98
2000,Portugal,RURAL,E,G,PERCENT,89
2000,Portugal,ALLAREA,E,G,PERCENT,93
2005,Armenia,ALLAREA,E,G,PERCENT,81
2006,Armenia,ALLAREA,E,G,PERCENT,81
2007,Armenia,ALLAREA,E,G,PERCENT,81
2008,Armenia,ALLAREA,E,G,PERCENT,81
2009,Armenia,ALLAREA,E,G,PERCENT,81
2010,Armenia,ALLAREA,E,G,PERCENT,81
2011,Armenia,ALLAREA,E,G,PERCENT,82
2012,Armenia,ALLAREA,E,G,PERCENT,82
2013,Armenia,ALLAREA,E,G,PERCENT,83
2014,Armenia,ALLAREA,E,G,PERCENT,84
2008,Finland,ALLAREA,E,G,PERCENT,97
2009,Finland,ALLAREA,E,G,PERCENT,97
2010,Finland,ALLAREA,E,G,PERCENT,98
2011,Finland,ALLAREA,E,G,PERCENT,98
2012,Finland,ALLAREA,E,G,PERCENT,99
2013,Finland,ALLAREA,E,G,PERCENT,99
2014,Finland,ALLAREA,E,G,PERCENT,100
2015,Finland,ALLAREA,E,G,PERCENT,100
2016,Finland,ALLAREA,E,G,PERCENT,100
2017,Finland,ALLAREA,E,G,PERCENT,100
2015,Armenia,ALLAREA,E,G,PERCENT,84
2016,Armenia,ALLAREA,E,G,PERCENT,85
2017,Armenia,ALLAREA,E,G,PERCENT,85
2018,Armenia,ALLAREA,E,G,PERCENT,86
2019,Armenia,ALLAREA,E,G,PERCENT,86
2020,Armenia,ALLAREA,E,G,PERCENT,87
2000,Belgium,ALLAREA,E,G,PERCENT,99
2001,Belgium,ALLAREA,E,G,PERCENT,99
2002,Belgium,ALLAREA,E,G,PERCENT,99
2003,Belgium,ALLAREA,E,G,PERCENT,99
2004,Belgium,ALLAREA,E,G,PERCENT,99
2005,Belgium,ALLAREA,E,G,PERCENT,99
2006,Belgium,ALLAREA,E,G,PERCENT,99
2007,Belgium,ALLAREA,E,G,PERCENT,99
2008,Belgium,ALLAREA,E,G,PERCENT,99
2009,Belgium,ALLAREA,E,G,PERCENT,99
2010,Belgium,ALLAREA,E,G,PERCENT,99
2011,Belgium,ALLAREA,E,G,PERCENT,100
2012,Belgium,ALLAREA,E,G,PERCENT,100
2013,Belgium,ALLAREA,E,G,PERCENT,100
2000,Portugal,URBAN,E,G,PERCENT,97
2001,Portugal,ALLAREA,E,G,PERCENT,93
2001,Portugal,URBAN,E,G,PERCENT,97
2001,Portugal,RURAL,E,G,PERCENT,89
2002,Portugal,ALLAREA,E,G,PERCENT,94
2002,Portugal,RURAL,E,G,PERCENT,89
2002,Portugal,URBAN,E,G,PERCENT,97
2003,Portugal,RURAL,E,G,PERCENT,89
2003,Portugal,ALLAREA,E,G,PERCENT,94
2003,Portugal,URBAN,E,G,PERCENT,97
2004,Portugal,RURAL,E,G,PERCENT,90
2004,Portugal,ALLAREA,E,G,PERCENT,94
2004,Portugal,URBAN,E,G,PERCENT,97
2005,Portugal,ALLAREA,E,G,PERCENT,94
2005,Portugal,URBAN,E,G,PERCENT,97
2005,Portugal,RURAL,E,G,PERCENT,90
2006,Portugal,ALLAREA,E,G,PERCENT,94
2006,Portugal,URBAN,E,G,PERCENT,97
2006,Portugal,RURAL,E,G,PERCENT,90
2007,Portugal,ALLAREA,E,G,PERCENT,94
2014,Belgium,ALLAREA,E,G,PERCENT,100
2015,Belgium,ALLAREA,E,G,PERCENT,100
2016,Belgium,ALLAREA,E,G,PERCENT,100
2017,Belgium,ALLAREA,E,G,PERCENT,100
2018,Belgium,ALLAREA,E,G,PERCENT,100
2019,Belgium,ALLAREA,E,G,PERCENT,100
2020,Belgium,ALLAREA,E,G,PERCENT,100
2000,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,87
2001,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,87
2002,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,88
2007,Portugal,URBAN,E,G,PERCENT,97
2007,Portugal,RURAL,E,G,PERCENT,90
2008,Portugal,URBAN,E,G,PERCENT,97
2008,Portugal,RURAL,E,G,PERCENT,90
2008,Portugal,ALLAREA,E,G,PERCENT,94
2009,Portugal,ALLAREA,E,G,PERCENT,95
2009,Portugal,URBAN,E,G,PERCENT,98
2009,Portugal,RURAL,E,G,PERCENT,90
2010,Portugal,ALLAREA,E,G,PERCENT,95
2010,Portugal,URBAN,E,G,PERCENT,98
2003,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,88
2004,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,88
2005,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,88
2006,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,88
2007,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,88
2008,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,88
2009,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,88
2010,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2011,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2012,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2010,Portugal,RURAL,E,G,PERCENT,90
2011,Portugal,URBAN,E,G,PERCENT,98
2011,Portugal,RURAL,E,G,PERCENT,90
2011,Portugal,ALLAREA,E,G,PERCENT,95
2012,Portugal,URBAN,E,G,PERCENT,98
2012,Portugal,RURAL,E,G,PERCENT,91
2012,Portugal,ALLAREA,E,G,PERCENT,95
2013,Portugal,ALLAREA,E,G,PERCENT,95
2013,Portugal,URBAN,E,G,PERCENT,98
2013,Portugal,RURAL,E,G,PERCENT,91
2014,Portugal,ALLAREA,E,G,PERCENT,95
2014,Portugal,URBAN,E,G,PERCENT,98
2014,Portugal,RURAL,E,G,PERCENT,91
2015,Portugal,ALLAREA,E,G,PERCENT,95
2015,Portugal,URBAN,E,G,PERCENT,98
2015,Portugal,RURAL,E,G,PERCENT,92
2016,Portugal,RURAL,E,G,PERCENT,92
2016,Portugal,ALLAREA,E,G,PERCENT,95
2016,Portugal,URBAN,E,G,PERCENT,97
2017,Portugal,ALLAREA,E,G,PERCENT,95
2013,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2014,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2015,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2016,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2017,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2018,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2019,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2020,Bosnia and Herzegovina,ALLAREA,E,G,PERCENT,89
2000,Bulgaria,ALLAREA,E,G,PERCENT,90
2001,Bulgaria,ALLAREA,E,G,PERCENT,90
2017,Portugal,URBAN,E,G,PERCENT,97
2017,Portugal,RURAL,E,G,PERCENT,92
2018,Portugal,ALLAREA,E,G,PERCENT,95
2018,Portugal,RURAL,E,G,PERCENT,92
2018,Portugal,URBAN,E,G,PERCENT,97
2019,Portugal,ALLAREA,E,G,PERCENT,95
2019,Portugal,URBAN,E,G,PERCENT,97
2019,Portugal,RURAL,E,G,PERCENT,92
2020,Portugal,URBAN,E,G,PERCENT,97
2020,Portugal,RURAL,E,G,PERCENT,93
2002,Bulgaria,ALLAREA,E,G,PERCENT,91
2003,Bulgaria,ALLAREA,E,G,PERCENT,91
2004,Bulgaria,ALLAREA,E,G,PERCENT,92
2005,Bulgaria,ALLAREA,E,G,PERCENT,92
2006,Bulgaria,ALLAREA,E,G,PERCENT,93
2007,Bulgaria,ALLAREA,E,G,PERCENT,93
2008,Bulgaria,ALLAREA,E,G,PERCENT,94
2009,Bulgaria,ALLAREA,E,G,PERCENT,94
2010,Bulgaria,ALLAREA,E,G,PERCENT,95
2011,Bulgaria,ALLAREA,E,G,PERCENT,95
2020,Portugal,ALLAREA,E,G,PERCENT,95
2000,Romania,RURAL,E,G,PERCENT,67
2000,Romania,ALLAREA,E,G,PERCENT,82
2000,Romania,URBAN,E,G,PERCENT,95
2001,Romania,RURAL,E,G,PERCENT,67
2001,Romania,URBAN,E,G,PERCENT,95
2001,Romania,ALLAREA,E,G,PERCENT,82
2002,Romania,URBAN,E,G,PERCENT,95
2002,Romania,RURAL,E,G,PERCENT,67
2002,Romania,ALLAREA,E,G,PERCENT,82
2012,Bulgaria,ALLAREA,E,G,PERCENT,96
2013,Bulgaria,ALLAREA,E,G,PERCENT,96
2014,Bulgaria,ALLAREA,E,G,PERCENT,97
2015,Bulgaria,ALLAREA,E,G,PERCENT,97
2016,Bulgaria,ALLAREA,E,G,PERCENT,97
2017,Bulgaria,ALLAREA,E,G,PERCENT,97
2018,Bulgaria,ALLAREA,E,G,PERCENT,97
2019,Bulgaria,ALLAREA,E,G,PERCENT,98
2020,Bulgaria,ALLAREA,E,G,PERCENT,98
2000,Belarus,ALLAREA,E,G,PERCENT,81
2003,Romania,URBAN,E,G,PERCENT,95
2003,Romania,RURAL,E,G,PERCENT,67
2003,Romania,ALLAREA,E,G,PERCENT,82
2004,Romania,RURAL,E,G,PERCENT,67
2004,Romania,ALLAREA,E,G,PERCENT,82
2004,Romania,URBAN,E,G,PERCENT,95
2005,Romania,RURAL,E,G,PERCENT,67
2005,Romania,ALLAREA,E,G,PERCENT,82
2005,Romania,URBAN,E,G,PERCENT,95
2006,Romania,ALLAREA,E,G,PERCENT,82
2001,Belarus,ALLAREA,E,G,PERCENT,81
2002,Belarus,ALLAREA,E,G,PERCENT,81
2003,Belarus,ALLAREA,E,G,PERCENT,81
2004,Belarus,ALLAREA,E,G,PERCENT,83
2005,Belarus,ALLAREA,E,G,PERCENT,84
2006,Belarus,ALLAREA,E,G,PERCENT,85
2007,Belarus,ALLAREA,E,G,PERCENT,86
2008,Belarus,ALLAREA,E,G,PERCENT,88
2009,Belarus,ALLAREA,E,G,PERCENT,89
2010,Belarus,ALLAREA,E,G,PERCENT,90
2011,Belarus,ALLAREA,E,G,PERCENT,91
2012,Belarus,ALLAREA,E,G,PERCENT,92
2013,Belarus,ALLAREA,E,G,PERCENT,93
2014,Belarus,ALLAREA,E,G,PERCENT,94
2015,Belarus,ALLAREA,E,G,PERCENT,94
2016,Belarus,ALLAREA,E,G,PERCENT,95
2017,Belarus,ALLAREA,E,G,PERCENT,95
2018,Belarus,ALLAREA,E,G,PERCENT,95
2019,Belarus,ALLAREA,E,G,PERCENT,95
2020,Belarus,ALLAREA,E,G,PERCENT,95
2006,Romania,URBAN,E,G,PERCENT,95
2006,Romania,RURAL,E,G,PERCENT,67
2007,Romania,ALLAREA,E,G,PERCENT,82
2007,Romania,URBAN,E,G,PERCENT,95
2007,Romania,RURAL,E,G,PERCENT,67
2008,Romania,RURAL,E,G,PERCENT,67
2008,Romania,ALLAREA,E,G,PERCENT,82
2008,Romania,URBAN,E,G,PERCENT,95
2009,Romania,ALLAREA,E,G,PERCENT,82
2009,Romania,URBAN,E,G,PERCENT,95
2009,Romania,RURAL,E,G,PERCENT,67
2010,Romania,URBAN,E,G,PERCENT,95
2010,Romania,RURAL,E,G,PERCENT,67
2010,Romania,ALLAREA,E,G,PERCENT,82
2011,Romania,RURAL,E,G,PERCENT,67
2011,Romania,ALLAREA,E,G,PERCENT,82
2011,Romania,URBAN,E,G,PERCENT,95
2012,Romania,RURAL,E,G,PERCENT,67
2012,Romania,ALLAREA,E,G,PERCENT,82
2012,Romania,URBAN,E,G,PERCENT,95
2018,Finland,ALLAREA,E,G,PERCENT,100
2019,Finland,ALLAREA,E,G,PERCENT,100
2020,Finland,ALLAREA,E,G,PERCENT,100
2000,France,ALLAREA,E,G,PERCENT,96
2000,France,URBAN,E,G,PERCENT,98
2001,France,ALLAREA,E,G,PERCENT,96
2001,France,URBAN,E,G,PERCENT,98
2002,France,ALLAREA,E,G,PERCENT,96
2002,France,URBAN,E,G,PERCENT,98
2003,France,ALLAREA,E,G,PERCENT,96
2013,Romania,RURAL,E,G,PERCENT,67
2013,Romania,ALLAREA,E,G,PERCENT,82
2013,Romania,URBAN,E,G,PERCENT,95
2014,Romania,ALLAREA,E,G,PERCENT,82
2014,Romania,URBAN,E,G,PERCENT,95
2014,Romania,RURAL,E,G,PERCENT,67
2015,Romania,ALLAREA,E,G,PERCENT,82
2015,Romania,URBAN,E,G,PERCENT,95
2015,Romania,RURAL,E,G,PERCENT,67
2016,Romania,RURAL,E,G,PERCENT,67
2016,Romania,ALLAREA,E,G,PERCENT,82
2016,Romania,URBAN,E,G,PERCENT,95
2017,Romania,ALLAREA,E,G,PERCENT,82
2017,Romania,RURAL,E,G,PERCENT,67
2017,Romania,URBAN,E,G,PERCENT,95
2018,Romania,URBAN,E,G,PERCENT,95
2018,Romania,RURAL,E,G,PERCENT,67
2018,Romania,ALLAREA,E,G,PERCENT,82
2019,Romania,URBAN,E,G,PERCENT,95
2019,Romania,RURAL,E,G,PERCENT,67
2003,France,URBAN,E,G,PERCENT,98
2004,France,ALLAREA,E,G,PERCENT,97
2004,France,URBAN,E,G,PERCENT,98
2005,France,ALLAREA,E,G,PERCENT,97
2005,France,URBAN,E,G,PERCENT,98
2006,France,ALLAREA,E,G,PERCENT,97
2006,France,URBAN,E,G,PERCENT,99
2007,France,ALLAREA,E,G,PERCENT,97
2007,France,URBAN,E,G,PERCENT,99
2008,France,ALLAREA,E,G,PERCENT,97
2000,Croatia,RURAL,E,G,PERCENT,68
2000,Croatia,ALLAREA,E,G,PERCENT,82
2000,Croatia,URBAN,E,G,PERCENT,94
2001,Croatia,ALLAREA,E,G,PERCENT,82
2001,Croatia,RURAL,E,G,PERCENT,68
2001,Croatia,URBAN,E,G,PERCENT,94
2002,Croatia,ALLAREA,E,G,PERCENT,82
2002,Croatia,RURAL,E,G,PERCENT,68
2002,Croatia,URBAN,E,G,PERCENT,94
2003,Croatia,ALLAREA,E,G,PERCENT,82
2008,France,URBAN,E,G,PERCENT,99
2009,France,ALLAREA,E,G,PERCENT,98
2009,France,URBAN,E,G,PERCENT,99
2010,France,ALLAREA,E,G,PERCENT,98
2010,France,URBAN,E,G,PERCENT,99
2011,France,ALLAREA,E,G,PERCENT,98
2011,France,URBAN,E,G,PERCENT,99
2012,France,ALLAREA,E,G,PERCENT,98
2012,France,URBAN,E,G,PERCENT,99
2013,France,ALLAREA,E,G,PERCENT,98
2003,Croatia,RURAL,E,G,PERCENT,68
2003,Croatia,URBAN,E,G,PERCENT,94
2004,Croatia,ALLAREA,E,G,PERCENT,82
2004,Croatia,RURAL,E,G,PERCENT,68
2004,Croatia,URBAN,E,G,PERCENT,94
2005,Croatia,ALLAREA,E,G,PERCENT,82
2005,Croatia,RURAL,E,G,PERCENT,68
2005,Croatia,URBAN,E,G,PERCENT,94
2006,Croatia,ALLAREA,E,G,PERCENT,82
2006,Croatia,URBAN,E,G,PERCENT,94
2006,Croatia,RURAL,E,G,PERCENT,68
2007,Croatia,URBAN,E,G,PERCENT,94
2007,Croatia,ALLAREA,E,G,PERCENT,82
2007,Croatia,RURAL,E,G,PERCENT,68
2008,Croatia,URBAN,E,G,PERCENT,94
2009,Croatia,URBAN,E,G,PERCENT,94
2010,Croatia,URBAN,E,G,PERCENT,94
2011,Croatia,URBAN,E,G,PERCENT,94
2012,Croatia,URBAN,E,G,PERCENT,94
2013,Croatia,URBAN,E,G,PERCENT,94
2019,Romania,ALLAREA,E,G,PERCENT,82
2020,Romania,ALLAREA,E,G,PERCENT,82
2020,Romania,RURAL,E,G,PERCENT,67
2020,Romania,URBAN,E,G,PERCENT,95
2000,Serbia,ALLAREA,E,G,PERCENT,74
2000,Serbia,URBAN,E,G,PERCENT,81
2000,Serbia,RURAL,E,G,PERCENT,66
2001,Serbia,ALLAREA,E,G,PERCENT,74
2001,Serbia,URBAN,E,G,PERCENT,81
2001,Serbia,RURAL,E,G,PERCENT,66
2014,Croatia,URBAN,E,G,PERCENT,94
2015,Croatia,URBAN,E,G,PERCENT,94
