Year,GeoAreaName,Name of international institution,Value
2018,Czechia,WTO,0.6098
2018,Czechia,ECOSOC,1.8519
2018,Czechia,UNGA,0.5181
2018,Czechia,IBRD,0.3609
2018,Czechia,IMF,0.4624
2019,Czechia,IMF,0.46242
2019,Czechia,IBRD,0.3547
2019,Czechia,WTO,0.6098
2018,Austria,AFDB,0.4578
2018,Austria,IMF,0.8106
2018,Austria,IBRD,0.6353
2019,Austria,IMF,0.81057
2019,Austria,IBRD,0.624
2019,Austria,AFDB,0.45711
2019,Austria,IFC,0.7516
2019,Austria,WTO,0.6098
2019,Austria,ADB,0.56572
2019,Austria,IADB,0.161
2019,Austria,UNGA,0.5181
2019,Czechia,UNGA,0.5181
2019,Czechia,IFC,0.3557
2020,Czechia,IFC,0.358
2020,Czechia,WTO,0.60976
2020,Czechia,UNGA,0.5181
2020,Czechia,IMF,0.46219
2020,Czechia,IBRD,0.35721
2021,Czechia,IBRD,0.36748
2021,Czechia,IMF,0.46153
2021,Czechia,UNGA,0.51813
2021,Czechia,WTO,0.60976
2021,Iceland,IBRD,0.10019
2021,Iceland,WTO,0.60976
2021,Iceland,IFC,0.03664
2000,Ireland,IMF,0.4033
2000,Ireland,IFC,0.0641
2000,Ireland,UNGA,0.5291
2000,Ireland,IBRD,0.343
2000,Ireland,WTO,0.7143
2005,Ireland,IBRD,0.3411
2005,Ireland,IFC,0.0639
2005,Ireland,UNGA,0.5236
2005,Ireland,IMF,0.3969
2005,Ireland,ECOSOC,1.8519
2005,Ireland,WTO,0.6711
2010,Ireland,ADB,0.402
2010,Ireland,WTO,0.6536
2010,Ireland,IFC,0.0638
2010,Ireland,IMF,0.3899
2010,Ireland,IBRD,0.3405
2010,Ireland,UNGA,0.5208
2015,Ireland,IBRD,0.3436
2015,Ireland,UNGA,0.5181
2021,Czechia,IFC,0.38727
2000,Denmark,IBRD,0.8512
2000,Denmark,IFC,0.7832
2000,Denmark,UNGA,0.5291
2000,Denmark,IMF,0.7791
2000,Denmark,ADB,0.616
2000,Denmark,AFDB,1.218
2000,Denmark,ECOSOC,1.8519
2000,Denmark,IADB,0.171
2000,Denmark,WTO,0.7143
2005,Denmark,ADB,0.587
2015,Ireland,IFC,0.07766
2015,Ireland,IMF,0.5282
2015,Ireland,ADB,0.571
2015,Ireland,WTO,0.625
2016,Ireland,WTO,0.6173
2016,Ireland,ADB,0.571
2016,Ireland,IMF,0.721
2016,Ireland,IFC,0.07766
2016,Ireland,IBRD,0.35
2016,Ireland,UNGA,0.5181
2016,Ireland,ECOSOC,1.8519
2005,Denmark,WTO,0.6711
2005,Denmark,ECOSOC,1.8519
2005,Denmark,UNGA,0.5236
2005,Denmark,IMF,0.7667
2005,Denmark,IFC,0.7808
2005,Denmark,UNSC,6.6667
2005,Denmark,AFDB,1.167
2005,Denmark,IADB,0.171
2005,Denmark,IBRD,0.8464
2010,Denmark,AFDB,1.144
2010,Denmark,IFC,0.7787
2017,Ireland,ECOSOC,1.85185185185185
2017,Ireland,UNGA,0.5181
2017,Ireland,IFC,0.07766
2017,Ireland,IMF,0.7149
2017,Ireland,ADB,0.571
2017,Ireland,WTO,0.6098
2017,Ireland,IBRD,0.3593
2018,Ireland,IBRD,0.3523
2018,Ireland,IMF,0.7148
2018,Ireland,WTO,0.6098
2018,Ireland,ADB,0.5701
2020,Austria,ADB,0.566
2020,Austria,UNGA,0.5181
2020,Austria,IFC,0.75648
2020,Austria,WTO,0.60976
2020,Austria,IMF,0.81016
2020,Austria,IBRD,0.74714
2021,Austria,IBRD,0.72105
2021,Austria,UNGA,0.51813
2021,Austria,IMF,0.80912
2021,Austria,IFC,0.75828
2021,Austria,ECOSOC,1.85185
2021,Austria,WTO,0.60976
2000,Armenia,IBRD,0.0863
2000,Armenia,IFC,0.0517
2000,Armenia,UNGA,0.5291
2000,Armenia,IMF,0.0547
2005,Armenia,UNGA,0.5236
2005,Armenia,IMF,0.0538
2005,Armenia,IFC,0.0516
2005,Armenia,ADB,0.553
2005,Armenia,ECOSOC,1.8519
2005,Armenia,WTO,0.6711
2010,Denmark,UNGA,0.5208
2010,Denmark,IADB,0.171
2010,Denmark,IMF,0.7531
2010,Denmark,IBRD,0.8451
2010,Denmark,WTO,0.6536
2010,Denmark,ADB,0.608
2014,Denmark,AFDB,1.188
2015,Denmark,AFDB,1.18
2015,Denmark,IMF,0.7797
2015,Denmark,IFC,0.71305
2015,Denmark,ADB,0.571
2015,Denmark,WTO,0.625
2015,Denmark,UNGA,0.5181
2015,Denmark,IADB,0.171
2015,Denmark,IBRD,0.8315
2016,Denmark,UNGA,0.5181
2016,Denmark,IADB,0.171
2016,Denmark,IBRD,0.8
2016,Denmark,IMF,0.719
2016,Denmark,IFC,0.71305
2016,Denmark,ADB,0.571
2016,Denmark,AFDB,1.1847
2018,Ireland,IFC,0.0777
2018,Ireland,UNGA,0.5181
2018,Ireland,ECOSOC,1.8519
2019,Ireland,ECOSOC,1.85185
2019,Ireland,ADB,0.56572
2019,Ireland,UNGA,0.5181
2019,Ireland,IFC,0.077
2019,Ireland,WTO,0.6098
2019,Ireland,IMF,0.71476
2019,Ireland,IBRD,0.3463
2020,Ireland,IMF,0.7144
2005,Armenia,IBRD,0.0858
2010,Armenia,WTO,0.6536
2010,Armenia,IFC,0.0514
2010,Armenia,IMF,0.0528
2010,Armenia,ADB,0.57
2010,Armenia,IBRD,0.0857
2010,Armenia,UNGA,0.5208
2015,Armenia,IBRD,0.0809
2015,Armenia,ADB,0.537
2015,Armenia,WTO,0.625
2015,Armenia,IFC,0.06669
2015,Armenia,IMF,0.0658
2015,Armenia,UNGA,0.5181
2016,Armenia,IBRD,0.08
2016,Armenia,IFC,0.06669
2016,Armenia,IMF,0.055
2016,Armenia,WTO,0.6173
2016,Armenia,ADB,0.537
2016,Armenia,UNGA,0.5181
2017,Armenia,IBRD,0.0991
2017,Armenia,UNGA,0.5181
2016,Denmark,WTO,0.6173
2017,Denmark,WTO,0.6098
2017,Denmark,UNGA,0.5181
2017,Denmark,ADB,0.571
2017,Denmark,AFDB,1.1847
2017,Denmark,IMF,0.7128
2017,Denmark,IFC,0.71305
2017,Denmark,IBRD,0.7833
2017,Denmark,IADB,0.171
2017,Denmark,ECOSOC,1.85185185185185
2018,Denmark,ECOSOC,1.8519
2018,Denmark,IADB,0.171
2018,Denmark,UNGA,0.5181
2018,Denmark,ADB,0.5701
2018,Denmark,IFC,0.7131
2018,Denmark,AFDB,1.1853
2018,Denmark,WTO,0.6098
2018,Denmark,IBRD,0.7674
2018,Denmark,IMF,0.7127
2019,Denmark,IMF,0.71267
2019,Denmark,IBRD,0.7537
2019,Denmark,AFDB,1.18367
2020,Ireland,IBRD,0.35029
2020,Ireland,WTO,0.60976
2020,Ireland,IFC,0.07747
2020,Ireland,ADB,0.566
2020,Ireland,ECOSOC,1.85185
2020,Ireland,UNGA,0.5181
2021,Ireland,UNGA,0.51813
2021,Ireland,IFC,0.10303
2021,Ireland,WTO,0.60976
2021,Ireland,IBRD,0.36344
2017,Armenia,ADB,0.537
2017,Armenia,WTO,0.6098
2017,Armenia,IMF,0.0547
2017,Armenia,IFC,0.06669
2018,Armenia,IMF,0.0547
2018,Armenia,IFC,0.0667
2018,Armenia,WTO,0.6098
2018,Armenia,UNGA,0.5181
2018,Armenia,ADB,0.5367
2018,Armenia,IBRD,0.0976
2019,Armenia,IMF,0.05471
2019,Denmark,IFC,0.7082
2019,Denmark,WTO,0.6098
2019,Denmark,IADB,0.171
2019,Denmark,ADB,0.56572
2019,Denmark,UNGA,0.5181
2019,Denmark,ECOSOC,1.85185
2020,Denmark,UNGA,0.5181
2020,Denmark,ADB,0.566
2020,Denmark,IFC,0.7128
2020,Denmark,WTO,0.60976
2020,Denmark,IMF,0.71231
2021,Ireland,IMF,0.71346
2000,Italy,AFDB,2.508
2000,Italy,ADB,1.811
2000,Italy,ECOSOC,1.8519
2000,Italy,IFC,3.3982
2000,Italy,IMF,3.3075
2000,Italy,UNGA,0.5291
2000,Italy,IADB,1.896
2000,Italy,WTO,0.7143
2000,Italy,IBRD,2.7986
2005,Italy,IBRD,2.7829
2020,Denmark,IBRD,0.73342
2021,Denmark,IBRD,0.77828
2021,Denmark,IMF,0.71138
2021,Denmark,WTO,0.60976
2021,Denmark,IFC,0.79928
2021,Denmark,UNGA,0.51813
2000,Estonia,IFC,0.0701
2000,Estonia,UNGA,0.5291
2000,Estonia,IMF,0.0421
2000,Estonia,WTO,0.7143
2000,Estonia,IBRD,0.0729
2005,Italy,IADB,1.896
2005,Italy,IMF,3.2549
2005,Italy,UNGA,0.5236
2005,Italy,IFC,3.3878
2005,Italy,WTO,0.6711
2005,Italy,ECOSOC,1.8519
2005,Italy,AFDB,2.402
2005,Italy,ADB,1.77
2010,Italy,ADB,1.94
2010,Italy,WTO,0.6536
2010,Italy,AFDB,2.362
2005,Estonia,IBRD,0.0725
2005,Estonia,UNGA,0.5236
2005,Estonia,IFC,0.0699
2005,Estonia,IMF,0.0415
2005,Estonia,WTO,0.6711
2010,Estonia,ECOSOC,1.8519
2010,Estonia,WTO,0.6536
2010,Estonia,IMF,0.0407
2010,Estonia,IFC,0.0697
2010,Estonia,UNGA,0.5208
2010,Estonia,IBRD,0.0724
2015,Estonia,IBRD,0.0781
2015,Estonia,IMF,0.0665
2015,Estonia,WTO,0.625
2015,Estonia,IFC,0.08296
2015,Estonia,UNGA,0.5181
2015,Estonia,ECOSOC,1.8519
2016,Estonia,ECOSOC,1.8519
2016,Estonia,UNGA,0.5181
2016,Estonia,IBRD,0.08
2016,Estonia,IFC,0.08296
2010,Italy,IFC,3.3787
2010,Italy,IMF,3.1972
2010,Italy,IBRD,2.7784
2010,Italy,UNGA,0.5208
2010,Italy,IADB,1.896
2010,Italy,ECOSOC,1.8519
2010,Italy,FSB,5.7692
2014,Italy,AFDB,2.428
2015,Italy,IMF,3.1565
2015,Italy,AFDB,2.42
2015,Italy,WTO,0.625
2016,Estonia,IMF,0.078
2016,Estonia,WTO,0.6173
2017,Estonia,WTO,0.6098
2017,Estonia,IMF,0.0775
2017,Estonia,IFC,0.08296
2017,Estonia,IBRD,0.0789
2017,Estonia,ECOSOC,1.85185185185185
2017,Estonia,UNGA,0.5181
2018,Estonia,UNGA,0.5181
2018,Estonia,IFC,0.083
2018,Estonia,WTO,0.6098
2015,Italy,ADB,1.746
2015,Italy,IFC,3.02391
2015,Italy,IBRD,2.4734
2015,Italy,UNGA,0.5181
2015,Italy,FSB,5.2632
2015,Italy,ECOSOC,1.8519
2015,Italy,IADB,1.956
2016,Italy,FSB,5.2632
2016,Italy,IMF,3.05
2016,Italy,IBRD,2.53
2016,Italy,IFC,3.02391
2016,Italy,ADB,1.744
2016,Italy,AFDB,2.4243
2016,Italy,WTO,0.6173
2016,Italy,UNGA,0.5181
2016,Italy,IADB,1.956
2016,Italy,ECOSOC,1.8519
2017,Italy,UNSC,6.6667
2017,Italy,IADB,1.956
2017,Italy,UNGA,0.5181
2017,Italy,WTO,0.6098
2017,Italy,AFDB,2.4243
2019,Armenia,IBRD,0.0964
2019,Armenia,WTO,0.6098
2019,Armenia,ADB,0.53226
2019,Armenia,UNGA,0.5181
2019,Armenia,ECOSOC,1.85185
2019,Armenia,IFC,0.0661
2020,Armenia,IMF,0.0547
2020,Armenia,IFC,0.06651
2020,Armenia,WTO,0.60976
2020,Armenia,ECOSOC,1.85185
2020,Armenia,UNGA,0.5181
2018,Estonia,IMF,0.0775
2018,Estonia,IBRD,0.0779
2019,Estonia,IMF,0.07753
2019,Estonia,IBRD,0.077
2019,Estonia,IFC,0.0822
2019,Estonia,WTO,0.6098
2019,Estonia,UNGA,0.5181
2020,Estonia,UNSC,6.667
2020,Estonia,UNGA,0.5181
2020,Estonia,IFC,0.08277
2020,Estonia,WTO,0.60976
2020,Estonia,IMF,0.07751
2020,Estonia,IBRD,0.07564
2021,Estonia,IMF,0.07728
2021,Estonia,IBRD,0.07785
2021,Estonia,WTO,0.60976
2021,Estonia,IFC,0.08221
2021,Estonia,UNGA,0.51813
2000,Finland,IFC,0.6642
2000,Finland,IMF,0.602
2000,Finland,UNGA,0.5291
2000,Finland,ADB,0.616
2017,Italy,ADB,1.744
2017,Italy,IFC,3.02391
2017,Italy,IMF,3.0248
2017,Italy,IBRD,2.7143
2017,Italy,FSB,5.2632
2017,Italy,ECOSOC,1.85185185185185
2018,Italy,IBRD,2.6576
2018,Italy,IMF,3.0242
2018,Italy,IFC,3.0239
2018,Italy,AFDB,2.4456
2018,Italy,WTO,0.6098
2018,Italy,ADB,1.7411
2018,Italy,UNGA,0.5181
2018,Italy,IADB,1.965
2018,Italy,ECOSOC,1.8519
2018,Italy,FSB,5.2632
2019,Italy,IFC,3.0037
2019,Italy,IMF,3.02418
2019,Italy,IBRD,2.6085
2019,Italy,FSB,5.2632
2019,Italy,ADB,1.73672
2019,Italy,UNGA,0.5181
2000,Finland,AFDB,0.532
2000,Finland,IADB,0.161
2000,Finland,IBRD,0.5474
2000,Finland,WTO,0.7143
2005,Finland,IADB,0.161
2005,Finland,IBRD,0.5443
2005,Finland,AFDB,0.509
2005,Finland,ADB,0.587
2005,Finland,WTO,0.6711
