Year,GeoAreaName,Age,Value
2019,Turkmenistan,<5Y,26.0
2020,Turkmenistan,<5Y,25.2
2000,Ukraine,<5Y,498.5
2001,Ukraine,<5Y,512.2
2002,Ukraine,<5Y,524.2
2003,Ukraine,<5Y,536.1
2004,Ukraine,<5Y,550.9
2005,Ukraine,<5Y,570.0
2006,Ukraine,<5Y,589.0
2007,Ukraine,<5Y,614.8
2008,Ukraine,<5Y,641.9
2009,Ukraine,<5Y,658.6
2002,Azerbaijan,<5Y,54.7
2003,Azerbaijan,<5Y,57.7
2004,Azerbaijan,<5Y,60.8
2005,Azerbaijan,<5Y,63.9
2006,Azerbaijan,<5Y,68.2
2007,Azerbaijan,<5Y,71.7
2008,Azerbaijan,<5Y,74.1
2009,Azerbaijan,<5Y,76.3
2010,Ukraine,<5Y,663.3
2011,Ukraine,<5Y,672.3
2012,Ukraine,<5Y,654.6
2013,Ukraine,<5Y,618.4
2014,Ukraine,<5Y,574.9
2015,Ukraine,<5Y,531.4
2016,Ukraine,<5Y,483.9
2017,Ukraine,<5Y,444.4
2010,Azerbaijan,<5Y,79.1
2011,Azerbaijan,<5Y,82.4
2012,Azerbaijan,<5Y,85.3
2013,Azerbaijan,<5Y,87.5
2014,Azerbaijan,<5Y,88.4
2015,Azerbaijan,<5Y,87.9
2016,Azerbaijan,<5Y,88.1
2017,Azerbaijan,<5Y,86.4
2018,Ukraine,<5Y,412.4
2019,Ukraine,<5Y,384.9
2020,Ukraine,<5Y,358.8
2000,North Macedonia,<5Y,15.4
2001,North Macedonia,<5Y,15.9
2002,North Macedonia,<5Y,16.6
2003,North Macedonia,<5Y,17.3
2004,North Macedonia,<5Y,17.9
2005,North Macedonia,<5Y,18.1
2006,North Macedonia,<5Y,18.3
2007,North Macedonia,<5Y,18.1
2008,North Macedonia,<5Y,17.5
2009,North Macedonia,<5Y,16.8
2010,North Macedonia,<5Y,16.2
2011,North Macedonia,<5Y,15.4
2012,North Macedonia,<5Y,14.9
2013,North Macedonia,<5Y,14.4
2014,North Macedonia,<5Y,13.9
2015,North Macedonia,<5Y,13.3
2016,North Macedonia,<5Y,13.0
2017,North Macedonia,<5Y,12.5
2018,North Macedonia,<5Y,12.0
2019,North Macedonia,<5Y,11.6
2020,North Macedonia,<5Y,11.2
2000,Uzbekistan,<5Y,346.4
2001,Uzbekistan,<5Y,343.0
2002,Uzbekistan,<5Y,340.4
2003,Uzbekistan,<5Y,337.8
2004,Uzbekistan,<5Y,334.6
2005,Uzbekistan,<5Y,330.1
2018,Azerbaijan,<5Y,83.6
2019,Azerbaijan,<5Y,80.6
2020,Azerbaijan,<5Y,77.9
2000,Armenia,<5Y,24.2
2001,Armenia,<5Y,24.4
2002,Armenia,<5Y,25.4
2003,Armenia,<5Y,26.9
2006,Uzbekistan,<5Y,324.4
2007,Uzbekistan,<5Y,319.8
2008,Uzbekistan,<5Y,314.7
2009,Uzbekistan,<5Y,307.2
2010,Uzbekistan,<5Y,296.6
2011,Uzbekistan,<5Y,288.0
2012,Uzbekistan,<5Y,272.0
2013,Uzbekistan,<5Y,252.0
2014,Uzbekistan,<5Y,232.3
2015,Uzbekistan,<5Y,217.2
2016,Uzbekistan,<5Y,202.3
2017,Uzbekistan,<5Y,191.7
2018,Uzbekistan,<5Y,184.2
2019,Uzbekistan,<5Y,178.1
2020,Uzbekistan,<5Y,172.1
2004,Armenia,<5Y,28.5
2005,Armenia,<5Y,29.8
2006,Armenia,<5Y,31.6
2007,Armenia,<5Y,32.6
2008,Armenia,<5Y,32.7
2009,Armenia,<5Y,32.3
2010,Armenia,<5Y,32.0
2011,Armenia,<5Y,31.7
2012,Armenia,<5Y,30.9
2013,Armenia,<5Y,29.7
2014,Armenia,<5Y,28.4
2015,Armenia,<5Y,27.0
2016,Armenia,<5Y,25.8
2017,Armenia,<5Y,24.7
2018,Armenia,<5Y,23.8
2019,Armenia,<5Y,23.0
2020,Armenia,<5Y,22.2
2000,Belgium,<5Y,22.6
2001,Belgium,<5Y,22.3
2002,Belgium,<5Y,22.4
2003,Belgium,<5Y,22.6
2004,Belgium,<5Y,23.1
2005,Belgium,<5Y,23.6
2006,Belgium,<5Y,24.3
2007,Belgium,<5Y,25.0
2008,Belgium,<5Y,25.7
2009,Belgium,<5Y,26.4
2010,Belgium,<5Y,27.2
2011,Belgium,<5Y,28.2
2012,Belgium,<5Y,28.9
2013,Belgium,<5Y,29.5
2002,Kazakhstan,<5Y,103.2
2003,Kazakhstan,<5Y,114.0
2004,Kazakhstan,<5Y,126.5
2005,Kazakhstan,<5Y,139.0
2006,Kazakhstan,<5Y,152.3
2007,Kazakhstan,<5Y,164.5
2008,Kazakhstan,<5Y,175.0
2009,Kazakhstan,<5Y,183.5
2014,Belgium,<5Y,29.9
2015,Belgium,<5Y,30.3
2016,Belgium,<5Y,30.6
2017,Belgium,<5Y,31.0
2018,Belgium,<5Y,31.5
2019,Belgium,<5Y,32.0
2020,Belgium,<5Y,32.4
2010,Kazakhstan,<5Y,191.2
2011,Kazakhstan,<5Y,200.1
2012,Kazakhstan,<5Y,204.0
2013,Kazakhstan,<5Y,204.2
2014,Kazakhstan,<5Y,201.6
2015,Kazakhstan,<5Y,197.2
2016,Kazakhstan,<5Y,191.5
2017,Kazakhstan,<5Y,185.5
2000,Bosnia and Herzegovina,<5Y,38.5
2001,Bosnia and Herzegovina,<5Y,40.8
2002,Bosnia and Herzegovina,<5Y,41.4
2003,Bosnia and Herzegovina,<5Y,40.5
2004,Bosnia and Herzegovina,<5Y,39.0
2005,Bosnia and Herzegovina,<5Y,37.9
2006,Bosnia and Herzegovina,<5Y,35.8
2007,Bosnia and Herzegovina,<5Y,35.4
2008,Bosnia and Herzegovina,<5Y,36.1
2009,Bosnia and Herzegovina,<5Y,36.4
2010,Bosnia and Herzegovina,<5Y,35.7
2011,Bosnia and Herzegovina,<5Y,36.2
2012,Bosnia and Herzegovina,<5Y,34.6
2013,Bosnia and Herzegovina,<5Y,31.7
2014,Bosnia and Herzegovina,<5Y,28.7
2015,Bosnia and Herzegovina,<5Y,26.2
2016,Bosnia and Herzegovina,<5Y,22.9
2017,Bosnia and Herzegovina,<5Y,20.7
2018,Bosnia and Herzegovina,<5Y,19.3
2019,Bosnia and Herzegovina,<5Y,18.1
2020,Bosnia and Herzegovina,<5Y,17.0
2000,Bulgaria,<5Y,27.7
2001,Bulgaria,<5Y,28.4
2018,Kazakhstan,<5Y,180.1
2019,Kazakhstan,<5Y,174.8
2020,Kazakhstan,<5Y,168.6
2000,Kyrgyzstan,<5Y,42.7
2001,Kyrgyzstan,<5Y,43.4
2002,Kyrgyzstan,<5Y,43.8
2003,Kyrgyzstan,<5Y,43.9
2004,Kyrgyzstan,<5Y,44.0
2005,Kyrgyzstan,<5Y,44.4
2006,Kyrgyzstan,<5Y,45.5
2007,Kyrgyzstan,<5Y,46.7
2008,Kyrgyzstan,<5Y,48.2
2009,Kyrgyzstan,<5Y,49.6
2010,Kyrgyzstan,<5Y,50.7
2011,Kyrgyzstan,<5Y,51.8
2002,Bulgaria,<5Y,29.6
2003,Bulgaria,<5Y,30.9
2004,Bulgaria,<5Y,32.3
2005,Bulgaria,<5Y,33.4
2006,Bulgaria,<5Y,35.1
2007,Bulgaria,<5Y,35.9
2008,Bulgaria,<5Y,35.6
2009,Bulgaria,<5Y,35.0
2012,Kyrgyzstan,<5Y,52.2
2013,Kyrgyzstan,<5Y,52.0
2014,Kyrgyzstan,<5Y,51.2
2015,Kyrgyzstan,<5Y,50.0
2016,Kyrgyzstan,<5Y,49.4
2017,Kyrgyzstan,<5Y,48.1
2018,Kyrgyzstan,<5Y,46.4
2019,Kyrgyzstan,<5Y,44.9
2010,Bulgaria,<5Y,34.1
2011,Bulgaria,<5Y,32.8
2012,Bulgaria,<5Y,30.4
2013,Bulgaria,<5Y,27.5
2014,Bulgaria,<5Y,24.8
2015,Bulgaria,<5Y,22.6
2016,Bulgaria,<5Y,20.2
2017,Bulgaria,<5Y,18.9
2018,Bulgaria,<5Y,18.4
2019,Bulgaria,<5Y,18.1
2020,Bulgaria,<5Y,17.7
2000,Belarus,<5Y,38.3
2001,Belarus,<5Y,40.2
2002,Belarus,<5Y,42.0
2003,Belarus,<5Y,43.4
2004,Belarus,<5Y,44.8
2005,Belarus,<5Y,46.2
2006,Belarus,<5Y,48.0
2007,Belarus,<5Y,49.2
2008,Belarus,<5Y,50.1
2009,Belarus,<5Y,50.8
2010,Belarus,<5Y,51.2
2011,Belarus,<5Y,51.2
2020,Kyrgyzstan,<5Y,43.8
2000,Republic of Moldova,<5Y,16.4
2001,Republic of Moldova,<5Y,16.4
2002,Republic of Moldova,<5Y,16.4
2003,Republic of Moldova,<5Y,16.2
2004,Republic of Moldova,<5Y,16.0
2005,Republic of Moldova,<5Y,15.8
2012,Belarus,<5Y,50.4
2013,Belarus,<5Y,49.1
2014,Belarus,<5Y,47.3
2015,Belarus,<5Y,45.3
2016,Belarus,<5Y,43.3
2017,Belarus,<5Y,41.3
2018,Belarus,<5Y,39.6
2019,Belarus,<5Y,38.2
2006,Republic of Moldova,<5Y,15.9
2007,Republic of Moldova,<5Y,15.9
2008,Republic of Moldova,<5Y,15.8
2009,Republic of Moldova,<5Y,15.5
2010,Republic of Moldova,<5Y,15.1
2011,Republic of Moldova,<5Y,14.7
2012,Republic of Moldova,<5Y,13.9
2013,Republic of Moldova,<5Y,13.1
2014,Republic of Moldova,<5Y,12.2
2015,Republic of Moldova,<5Y,11.3
2016,Republic of Moldova,<5Y,10.5
2017,Republic of Moldova,<5Y,9.9
2018,Republic of Moldova,<5Y,9.4
2019,Republic of Moldova,<5Y,9.0
2020,Republic of Moldova,<5Y,8.7
2020,Belarus,<5Y,37.1
2000,Czechia,<5Y,22.0
2001,Czechia,<5Y,20.7
2002,Czechia,<5Y,20.7
2003,Czechia,<5Y,21.7
2004,Czechia,<5Y,23.1
2005,Czechia,<5Y,24.5
2000,Montenegro,<5Y,5.7
2001,Montenegro,<5Y,6.0
2002,Montenegro,<5Y,6.3
2003,Montenegro,<5Y,6.6
2004,Montenegro,<5Y,6.8
2005,Montenegro,<5Y,7.0
2006,Montenegro,<5Y,7.1
2007,Montenegro,<5Y,7.1
2006,Czechia,<5Y,26.7
2007,Czechia,<5Y,28.5
2008,Czechia,<5Y,30.0
2009,Czechia,<5Y,31.2
2010,Czechia,<5Y,32.4
2011,Czechia,<5Y,33.7
2012,Czechia,<5Y,34.1
2013,Czechia,<5Y,34.1
2014,Czechia,<5Y,33.9
2015,Czechia,<5Y,34.0
2016,Czechia,<5Y,33.3
2017,Czechia,<5Y,33.8
2018,Czechia,<5Y,34.9
2019,Czechia,<5Y,36.1
2020,Czechia,<5Y,36.7
2000,Estonia,<5Y,2.5
2001,Estonia,<5Y,2.5
2002,Estonia,<5Y,2.5
2003,Estonia,<5Y,2.6
2004,Estonia,<5Y,2.7
2005,Estonia,<5Y,2.9
2006,Estonia,<5Y,3.1
2007,Estonia,<5Y,3.3
2008,Estonia,<5Y,3.5
2009,Estonia,<5Y,3.7
2010,Estonia,<5Y,3.8
2011,Estonia,<5Y,3.9
2012,Estonia,<5Y,3.9
2013,Estonia,<5Y,3.9
2014,Estonia,<5Y,3.8
2015,Estonia,<5Y,3.7
2016,Estonia,<5Y,3.6
2017,Estonia,<5Y,3.7
2018,Estonia,<5Y,3.8
2019,Estonia,<5Y,3.9
2020,Estonia,<5Y,3.9
2000,Georgia,<5Y,43.2
2001,Georgia,<5Y,44.6
2002,Georgia,<5Y,45.1
2003,Georgia,<5Y,45.2
2004,Georgia,<5Y,44.9
2005,Georgia,<5Y,44.9
2006,Georgia,<5Y,44.8
2007,Georgia,<5Y,44.7
2008,Georgia,<5Y,44.2
2009,Georgia,<5Y,43.3
2008,Montenegro,<5Y,7.1
2009,Montenegro,<5Y,6.9
2010,Montenegro,<5Y,6.6
2011,Montenegro,<5Y,6.4
2012,Montenegro,<5Y,6.0
2013,Montenegro,<5Y,5.5
2014,Montenegro,<5Y,5.1
2015,Montenegro,<5Y,4.7
2010,Georgia,<5Y,41.8
2011,Georgia,<5Y,40.7
2012,Georgia,<5Y,38.6
2013,Georgia,<5Y,35.8
2014,Georgia,<5Y,32.8
2015,Georgia,<5Y,30.1
2016,Georgia,<5Y,27.9
2017,Georgia,<5Y,25.6
2018,Georgia,<5Y,23.6
2019,Georgia,<5Y,21.8
2020,Georgia,<5Y,20.3
2000,Germany,<5Y,140.5
2001,Germany,<5Y,141.1
2002,Germany,<5Y,138.4
2003,Germany,<5Y,134.4
2004,Germany,<5Y,130.4
2005,Germany,<5Y,127.6
2006,Germany,<5Y,124.4
2007,Germany,<5Y,122.8
2008,Germany,<5Y,122.7
2009,Germany,<5Y,122.9
2010,Germany,<5Y,123.5
2011,Germany,<5Y,125.0
2016,Montenegro,<5Y,4.3
2017,Montenegro,<5Y,4.1
2018,Montenegro,<5Y,4.0
2019,Montenegro,<5Y,3.9
2020,Montenegro,<5Y,3.8
2000,Netherlands,<5Y,30.7
2001,Netherlands,<5Y,30.8
2012,Germany,<5Y,126.4
2013,Germany,<5Y,128.0
2014,Germany,<5Y,130.4
2015,Germany,<5Y,134.2
2016,Germany,<5Y,140.3
2017,Germany,<5Y,147.3
2018,Germany,<5Y,155.0
2019,Germany,<5Y,162.4
2002,Netherlands,<5Y,31.5
2003,Netherlands,<5Y,32.4
2004,Netherlands,<5Y,33.3
2005,Netherlands,<5Y,34.1
2006,Netherlands,<5Y,35.0
2007,Netherlands,<5Y,35.3
2008,Netherlands,<5Y,35.4
2009,Netherlands,<5Y,35.4
2010,Netherlands,<5Y,35.6
2011,Netherlands,<5Y,35.7
2012,Netherlands,<5Y,36.3
2013,Netherlands,<5Y,37.3
2014,Netherlands,<5Y,38.4
2015,Netherlands,<5Y,39.3
2016,Netherlands,<5Y,40.3
2017,Netherlands,<5Y,41.1
2018,Netherlands,<5Y,41.7
2019,Netherlands,<5Y,42.3
2020,Netherlands,<5Y,43.0
2000,Poland,<5Y,92.9
2001,Poland,<5Y,89.6
2002,Poland,<5Y,87.8
2003,Poland,<5Y,87.3
2004,Poland,<5Y,88.0
2005,Poland,<5Y,89.4
2006,Poland,<5Y,92.0
2007,Poland,<5Y,96.2
2008,Poland,<5Y,101.7
2009,Poland,<5Y,107.2
2010,Poland,<5Y,111.8
2011,Poland,<5Y,118.1
2012,Poland,<5Y,120.1
2013,Poland,<5Y,119.0
2014,Poland,<5Y,117.4
2015,Poland,<5Y,117.2
2016,Poland,<5Y,114.3
2017,Poland,<5Y,115.7
2018,Poland,<5Y,119.7
2019,Poland,<5Y,123.9
2020,Poland,<5Y,125.7
2000,Portugal,<5Y,29.6
2001,Portugal,<5Y,30.6
2002,Portugal,<5Y,31.7
2003,Portugal,<5Y,33.0
2004,Portugal,<5Y,34.3
2005,Portugal,<5Y,35.2
2006,Portugal,<5Y,36.2
2007,Portugal,<5Y,36.6
2008,Portugal,<5Y,36.4
2009,Portugal,<5Y,36.1
2010,Portugal,<5Y,35.8
2011,Portugal,<5Y,36.1
2012,Portugal,<5Y,36.1
2013,Portugal,<5Y,36.0
2014,Portugal,<5Y,35.9
2015,Portugal,<5Y,35.6
2016,Portugal,<5Y,35.3
2017,Portugal,<5Y,35.0
2018,Portugal,<5Y,34.7
2019,Portugal,<5Y,34.5
2020,Portugal,<5Y,34.2
2000,Romania,<5Y,97.8
2001,Romania,<5Y,108.8
2002,Romania,<5Y,114.1
2003,Romania,<5Y,114.0
2004,Romania,<5Y,113.4
2005,Romania,<5Y,113.7
2006,Romania,<5Y,113.1
2007,Romania,<5Y,114.1
2008,Romania,<5Y,115.7
2009,Romania,<5Y,116.4
2010,Romania,<5Y,114.7
2011,Romania,<5Y,111.1
2012,Romania,<5Y,104.2
2013,Romania,<5Y,95.1
2014,Romania,<5Y,85.2
2015,Romania,<5Y,77.9
2016,Romania,<5Y,70.3
2017,Romania,<5Y,66.4
2018,Romania,<5Y,65.0
2019,Romania,<5Y,64.3
2020,Romania,<5Y,63.1
2000,Serbia,<5Y,81.9
2001,Serbia,<5Y,84.8
2002,Serbia,<5Y,87.8
2003,Serbia,<5Y,90.0
2004,Serbia,<5Y,91.8
2005,Serbia,<5Y,92.8
2006,Serbia,<5Y,93.1
2007,Serbia,<5Y,91.7
2008,Serbia,<5Y,89.4
2009,Serbia,<5Y,86.2
2010,Serbia,<5Y,82.4
2011,Serbia,<5Y,77.4
2012,Serbia,<5Y,72.0
2013,Serbia,<5Y,66.4
2014,Serbia,<5Y,61.1
2015,Serbia,<5Y,56.6
2016,Serbia,<5Y,52.3
2017,Serbia,<5Y,49.6
2018,Serbia,<5Y,47.9
2019,Serbia,<5Y,46.6
2020,Serbia,<5Y,45.2
2000,Tajikistan,<5Y,59.1
2001,Tajikistan,<5Y,61.0
2002,Tajikistan,<5Y,62.3
2003,Tajikistan,<5Y,63.1
2004,Tajikistan,<5Y,63.5
2005,Tajikistan,<5Y,63.9
2006,Tajikistan,<5Y,64.1
2007,Tajikistan,<5Y,64.1
2008,Tajikistan,<5Y,64.0
2009,Tajikistan,<5Y,63.5
2010,Tajikistan,<5Y,62.8
2011,Tajikistan,<5Y,62.7
2012,Tajikistan,<5Y,61.3
2013,Tajikistan,<5Y,59.0
2014,Tajikistan,<5Y,56.5
2015,Tajikistan,<5Y,54.0
2016,Tajikistan,<5Y,52.2
2017,Tajikistan,<5Y,50.7
2018,Tajikistan,<5Y,49.4
2019,Tajikistan,<5Y,48.4
2020,Germany,<5Y,167.7
2020,Tajikistan,<5Y,47.4
2020,Tajikistan,<5Y,47.4
