Year,GeoAreaName,Location,Value
2008,Bulgaria,RURAL,0
2009,Bulgaria,RURAL,0
2009,Bulgaria,ALLAREA,0
2009,Bulgaria,URBAN,0
2010,Bulgaria,ALLAREA,0
2010,Bulgaria,URBAN,0
2010,Bulgaria,RURAL,0
2011,Bulgaria,URBAN,0
2011,Bulgaria,RURAL,0
2011,Bulgaria,ALLAREA,0
2012,Bulgaria,RURAL,0
2012,Bulgaria,ALLAREA,0
2012,Bulgaria,URBAN,0
2013,Bulgaria,URBAN,0
2013,Bulgaria,RURAL,0
2013,Bulgaria,ALLAREA,0
2014,Bulgaria,URBAN,0
2014,Bulgaria,RURAL,0
2014,Bulgaria,ALLAREA,0
2015,Bulgaria,ALLAREA,0
2015,Bulgaria,URBAN,0
2015,Bulgaria,RURAL,0
2016,Bulgaria,ALLAREA,0
2016,Bulgaria,URBAN,0
2016,Bulgaria,RURAL,0
2017,Bulgaria,URBAN,0
2017,Bulgaria,RURAL,0
2017,Bulgaria,ALLAREA,0
2018,Bulgaria,URBAN,0
2018,Bulgaria,RURAL,0
2018,Bulgaria,ALLAREA,0
2019,Bulgaria,URBAN,0
2003,Finland,RURAL,0
2004,Finland,URBAN,0
2004,Finland,ALLAREA,0
2004,Finland,RURAL,0
2005,Finland,RURAL,0
2005,Finland,ALLAREA,0
2005,Finland,URBAN,0
2006,Finland,ALLAREA,0
2006,Finland,RURAL,0
2006,Finland,URBAN,0
2007,Finland,ALLAREA,0
2019,Bulgaria,RURAL,0
2019,Bulgaria,ALLAREA,0
2020,Bulgaria,ALLAREA,0
2020,Bulgaria,URBAN,0
2020,Bulgaria,RURAL,0
2000,Belarus,URBAN,0
2000,Belarus,RURAL,0
2000,Belarus,ALLAREA,0
2001,Belarus,ALLAREA,0
2001,Belarus,URBAN,0
2001,Belarus,RURAL,0
2018,Albania,ALLAREA,0
2018,Albania,URBAN,0
2019,Albania,URBAN,0
2019,Albania,RURAL,0
2019,Albania,ALLAREA,0
2020,Albania,URBAN,0
2020,Albania,RURAL,0
2020,Albania,ALLAREA,0
2000,Azerbaijan,RURAL,0
2000,Azerbaijan,ALLAREA,0
2000,Azerbaijan,URBAN,0
2000,Liechtenstein,ALLAREA,0
2001,Liechtenstein,ALLAREA,0
2002,Liechtenstein,ALLAREA,0
2003,Liechtenstein,ALLAREA,0
2004,Liechtenstein,ALLAREA,0
2005,Liechtenstein,ALLAREA,0
2006,Liechtenstein,ALLAREA,0
2007,Liechtenstein,ALLAREA,0
2008,Liechtenstein,ALLAREA,0
2009,Liechtenstein,ALLAREA,0
2010,Liechtenstein,ALLAREA,0
2007,Finland,URBAN,0
2007,Finland,RURAL,0
2008,Finland,URBAN,0
2008,Finland,RURAL,0
2008,Finland,ALLAREA,0
2009,Finland,URBAN,0
2009,Finland,ALLAREA,0
2009,Finland,RURAL,0
2010,Finland,URBAN,0
2010,Finland,RURAL,0
2010,Finland,ALLAREA,0
2011,Finland,ALLAREA,0
2011,Finland,RURAL,0
2011,Finland,URBAN,0
2012,Finland,ALLAREA,0
2012,Finland,RURAL,0
2012,Finland,URBAN,0
2013,Finland,ALLAREA,0
2013,Finland,RURAL,0
2013,Finland,URBAN,0
2014,Finland,RURAL,0
2014,Finland,URBAN,0
2002,Belarus,RURAL,0
2002,Belarus,ALLAREA,0
2002,Belarus,URBAN,0
2003,Belarus,RURAL,0
2003,Belarus,ALLAREA,0
2003,Belarus,URBAN,0
2004,Belarus,URBAN,0
2004,Belarus,RURAL,0
2004,Belarus,ALLAREA,0
2005,Belarus,ALLAREA,0
2005,Belarus,URBAN,0
2005,Belarus,RURAL,0
2006,Belarus,ALLAREA,0
2006,Belarus,RURAL,0
2006,Belarus,URBAN,0
2007,Belarus,URBAN,0
2007,Belarus,RURAL,0
2007,Belarus,ALLAREA,0
2008,Belarus,RURAL,0
2008,Belarus,ALLAREA,0
2008,Belarus,URBAN,0
2009,Belarus,ALLAREA,0
2001,Azerbaijan,RURAL,0
2001,Azerbaijan,ALLAREA,0
2001,Azerbaijan,URBAN,0
2002,Azerbaijan,ALLAREA,0
2002,Azerbaijan,URBAN,0
2002,Azerbaijan,RURAL,0
2003,Azerbaijan,RURAL,0
2003,Azerbaijan,ALLAREA,0
2003,Azerbaijan,URBAN,0
2004,Azerbaijan,ALLAREA,0
2004,Azerbaijan,URBAN,0
2009,Belarus,URBAN,0
2009,Belarus,RURAL,0
2010,Belarus,RURAL,0
2010,Belarus,ALLAREA,0
2010,Belarus,URBAN,0
2011,Belarus,ALLAREA,0
2011,Belarus,RURAL,0
2011,Belarus,URBAN,0
2012,Belarus,URBAN,0
2012,Belarus,RURAL,0
2012,Belarus,ALLAREA,0
2013,Belarus,ALLAREA,0
2013,Belarus,RURAL,0
2013,Belarus,URBAN,0
2014,Belarus,URBAN,0
2014,Belarus,RURAL,0
2014,Belarus,ALLAREA,0
2015,Belarus,ALLAREA,0
2015,Belarus,URBAN,0
2015,Belarus,RURAL,0
2016,Belarus,ALLAREA,0
2016,Belarus,RURAL,0
2014,Finland,ALLAREA,0
2015,Finland,RURAL,0
2015,Finland,URBAN,0
2015,Finland,ALLAREA,0
2016,Finland,ALLAREA,0
2016,Finland,RURAL,0
2016,Finland,URBAN,0
2017,Finland,ALLAREA,0
2017,Finland,RURAL,0
2017,Finland,URBAN,0
2018,Finland,RURAL,0
2018,Finland,ALLAREA,0
2018,Finland,URBAN,0
2019,Finland,RURAL,0
2019,Finland,ALLAREA,0
2019,Finland,URBAN,0
2020,Finland,RURAL,0
2020,Finland,ALLAREA,0
2020,Finland,URBAN,0
2000,France,ALLAREA,0
2000,France,URBAN,0
2000,France,RURAL,0
2004,Azerbaijan,RURAL,0
2005,Azerbaijan,RURAL,0
2005,Azerbaijan,URBAN,0
2005,Azerbaijan,ALLAREA,0
2006,Azerbaijan,ALLAREA,0
2006,Azerbaijan,URBAN,0
2006,Azerbaijan,RURAL,0
2007,Azerbaijan,ALLAREA,0
2007,Azerbaijan,RURAL,0
2007,Azerbaijan,URBAN,0
2008,Azerbaijan,URBAN,0
2001,France,ALLAREA,0
2001,France,RURAL,0
2001,France,URBAN,0
2002,France,ALLAREA,0
2002,France,URBAN,0
2002,France,RURAL,0
2003,France,URBAN,0
2003,France,RURAL,0
2003,France,ALLAREA,0
2004,France,ALLAREA,0
2004,France,URBAN,0
2008,Azerbaijan,RURAL,0
2008,Azerbaijan,ALLAREA,0
2009,Azerbaijan,ALLAREA,0
2009,Azerbaijan,RURAL,0
2009,Azerbaijan,URBAN,0
2010,Azerbaijan,RURAL,0
2010,Azerbaijan,ALLAREA,0
2010,Azerbaijan,URBAN,0
2011,Azerbaijan,URBAN,0
2011,Azerbaijan,RURAL,0
2011,Azerbaijan,ALLAREA,0
2004,France,RURAL,0
2005,France,ALLAREA,0
2005,France,RURAL,0
2005,France,URBAN,0
2006,France,ALLAREA,0
2006,France,RURAL,0
2006,France,URBAN,0
2007,France,ALLAREA,0
2007,France,URBAN,0
2007,France,RURAL,0
2008,France,RURAL,0
2008,France,ALLAREA,0
2008,France,URBAN,0
2009,France,ALLAREA,0
2009,France,RURAL,0
2009,France,URBAN,0
2010,France,ALLAREA,0
2010,France,URBAN,0
2010,France,RURAL,0
2011,France,ALLAREA,0
2011,France,RURAL,0
2011,France,URBAN,0
2016,Belarus,URBAN,0
2017,Belarus,ALLAREA,0
2017,Belarus,RURAL,0
2017,Belarus,URBAN,0
2018,Belarus,RURAL,0
2018,Belarus,ALLAREA,0
2018,Belarus,URBAN,0
2019,Belarus,URBAN,0
2019,Belarus,RURAL,0
2019,Belarus,ALLAREA,0
2020,Belarus,ALLAREA,0
2012,Azerbaijan,ALLAREA,0
2012,Azerbaijan,URBAN,0
2012,Azerbaijan,RURAL,0
2013,Azerbaijan,URBAN,0
2013,Azerbaijan,RURAL,0
2013,Azerbaijan,ALLAREA,0
2014,Azerbaijan,ALLAREA,0
2014,Azerbaijan,RURAL,0
2014,Azerbaijan,URBAN,0
2015,Azerbaijan,RURAL,0
2015,Azerbaijan,ALLAREA,0
2015,Azerbaijan,URBAN,0
2016,Azerbaijan,ALLAREA,0
2016,Azerbaijan,URBAN,0
2016,Azerbaijan,RURAL,0
2017,Azerbaijan,ALLAREA,0
2017,Azerbaijan,RURAL,0
2017,Azerbaijan,URBAN,0
2018,Azerbaijan,URBAN,0
2018,Azerbaijan,RURAL,0
2018,Azerbaijan,ALLAREA,0
2019,Azerbaijan,URBAN,0
2012,France,URBAN,0
2012,France,ALLAREA,0
2012,France,RURAL,0
2013,France,RURAL,0
2013,France,URBAN,0
2013,France,ALLAREA,0
2014,France,ALLAREA,0
2014,France,RURAL,0
2014,France,URBAN,0
2015,France,ALLAREA,0
2015,France,URBAN,0
2015,France,RURAL,0
2016,France,URBAN,0
2016,France,ALLAREA,0
2016,France,RURAL,0
2017,France,RURAL,0
2017,France,URBAN,0
2017,France,ALLAREA,0
2018,France,ALLAREA,0
2018,France,URBAN,0
2018,France,RURAL,0
2019,France,ALLAREA,0
2019,Azerbaijan,RURAL,0
2019,Azerbaijan,ALLAREA,0
2020,Azerbaijan,URBAN,0
2000,Austria,ALLAREA,0
2000,Austria,RURAL,0
2000,Austria,URBAN,0
2001,Austria,URBAN,0
2001,Austria,RURAL,0
2001,Austria,ALLAREA,0
2002,Austria,ALLAREA,0
2002,Austria,RURAL,0
2019,France,RURAL,0
2019,France,URBAN,0
2020,France,ALLAREA,0
2020,France,RURAL,0
2020,France,URBAN,0
2000,Georgia,ALLAREA,1
2000,Georgia,RURAL,2
2000,Georgia,URBAN,0
2001,Georgia,RURAL,2
2001,Georgia,URBAN,0
2001,Georgia,ALLAREA,1
2002,Austria,URBAN,0
2003,Austria,URBAN,0
2003,Austria,RURAL,0
2003,Austria,ALLAREA,0
2004,Austria,RURAL,0
2004,Austria,ALLAREA,0
2004,Austria,URBAN,0
2005,Austria,ALLAREA,0
2005,Austria,RURAL,0
2005,Austria,URBAN,0
2006,Austria,URBAN,0
2006,Austria,RURAL,0
2006,Austria,ALLAREA,0
2007,Austria,URBAN,0
2007,Austria,ALLAREA,0
2007,Austria,RURAL,0
2008,Austria,URBAN,0
2008,Austria,RURAL,0
2008,Austria,ALLAREA,0
2009,Austria,ALLAREA,0
2009,Austria,URBAN,0
2009,Austria,RURAL,0
2010,Austria,ALLAREA,0
2010,Austria,RURAL,0
2010,Austria,URBAN,0
2011,Austria,URBAN,0
2011,Austria,RURAL,0
2011,Austria,ALLAREA,0
2012,Austria,URBAN,0
2012,Austria,RURAL,0
2012,Austria,ALLAREA,0
2013,Austria,ALLAREA,0
2013,Austria,URBAN,0
2013,Austria,RURAL,0
2014,Austria,URBAN,0
2014,Austria,RURAL,0
2014,Austria,ALLAREA,0
2015,Austria,RURAL,0
2015,Austria,URBAN,0
2015,Austria,ALLAREA,0
2016,Austria,RURAL,0
2016,Austria,ALLAREA,0
2016,Austria,URBAN,0
2017,Austria,ALLAREA,0
2002,Georgia,URBAN,0
2002,Georgia,RURAL,2
2002,Georgia,ALLAREA,1
2003,Georgia,URBAN,0
2003,Georgia,RURAL,2
2003,Georgia,ALLAREA,1
2004,Georgia,URBAN,0
2004,Georgia,RURAL,2
2004,Georgia,ALLAREA,1
2005,Georgia,RURAL,2
2005,Georgia,ALLAREA,1
2020,Belarus,URBAN,0
2020,Belarus,RURAL,0
2000,Croatia,RURAL,0
2000,Croatia,ALLAREA,0
2000,Croatia,URBAN,0
2001,Croatia,ALLAREA,0
2001,Croatia,RURAL,0
2001,Croatia,URBAN,0
2002,Croatia,RURAL,0
2002,Croatia,ALLAREA,0
2002,Croatia,URBAN,0
2017,Austria,URBAN,0
2017,Austria,RURAL,0
2018,Austria,ALLAREA,0
2018,Austria,URBAN,0
2018,Austria,RURAL,0
2019,Austria,RURAL,0
2019,Austria,ALLAREA,0
2019,Austria,URBAN,0
2020,Austria,ALLAREA,0
2020,Austria,RURAL,0
2020,Austria,URBAN,0
2003,Croatia,URBAN,0
2003,Croatia,RURAL,0
2003,Croatia,ALLAREA,0
2004,Croatia,ALLAREA,0
2004,Croatia,URBAN,0
2004,Croatia,RURAL,0
2005,Croatia,ALLAREA,0
2005,Croatia,RURAL,0
2005,Croatia,URBAN,0
2006,Croatia,ALLAREA,0
2006,Croatia,URBAN,0
2005,Georgia,URBAN,0
2006,Georgia,ALLAREA,1
2006,Georgia,URBAN,0
2006,Georgia,RURAL,1
2007,Georgia,ALLAREA,1
2007,Georgia,URBAN,0
2007,Georgia,RURAL,1
2008,Georgia,ALLAREA,1
2008,Georgia,URBAN,0
2008,Georgia,RURAL,1
2009,Georgia,ALLAREA,0
2006,Croatia,RURAL,0
2007,Croatia,ALLAREA,0
2007,Croatia,URBAN,0
2007,Croatia,RURAL,0
2008,Croatia,ALLAREA,0
2008,Croatia,RURAL,0
2008,Croatia,URBAN,0
2009,Croatia,RURAL,0
2009,Croatia,ALLAREA,0
2009,Croatia,URBAN,0
2010,Croatia,RURAL,0
2000,Armenia,URBAN,0
2000,Armenia,RURAL,0
2000,Armenia,ALLAREA,0
2001,Armenia,ALLAREA,0
2001,Armenia,URBAN,0
2001,Armenia,RURAL,0
2002,Armenia,ALLAREA,0
2002,Armenia,RURAL,0
2002,Armenia,URBAN,0
2003,Armenia,URBAN,0
2003,Armenia,RURAL,0
2010,Croatia,ALLAREA,0
2010,Croatia,URBAN,0
2011,Croatia,RURAL,0
2011,Croatia,ALLAREA,0
2011,Croatia,URBAN,0
2012,Croatia,RURAL,0
2012,Croatia,ALLAREA,0
2012,Croatia,URBAN,0
2013,Croatia,ALLAREA,0
2013,Croatia,RURAL,0
2013,Croatia,URBAN,0
2014,Croatia,RURAL,0
2014,Croatia,ALLAREA,0
2014,Croatia,URBAN,0
2015,Croatia,ALLAREA,0
2015,Croatia,URBAN,0
2015,Croatia,RURAL,0
2016,Croatia,ALLAREA,0
2016,Croatia,RURAL,0
2016,Croatia,URBAN,0
2017,Croatia,ALLAREA,0
2017,Croatia,RURAL,0
2009,Georgia,URBAN,0
2009,Georgia,RURAL,1
2010,Georgia,ALLAREA,0
2010,Georgia,RURAL,1
2010,Georgia,URBAN,0
2011,Georgia,ALLAREA,0
2011,Georgia,URBAN,0
2011,Georgia,RURAL,1
2012,Georgia,URBAN,0
2012,Georgia,RURAL,1
2012,Georgia,ALLAREA,0
2003,Armenia,ALLAREA,0
2004,Armenia,URBAN,0
2004,Armenia,RURAL,0
2004,Armenia,ALLAREA,0
2005,Armenia,ALLAREA,0
2005,Armenia,URBAN,0
2005,Armenia,RURAL,0
2006,Armenia,RURAL,0
2006,Armenia,URBAN,0
2006,Armenia,ALLAREA,0
2007,Armenia,RURAL,0
2013,Georgia,ALLAREA,0
2013,Georgia,URBAN,0
2013,Georgia,RURAL,0
2014,Georgia,ALLAREA,0
2014,Georgia,URBAN,0
2014,Georgia,RURAL,0
2015,Georgia,RURAL,0
2015,Georgia,ALLAREA,0
2015,Georgia,URBAN,0
2016,Georgia,RURAL,0
2016,Georgia,ALLAREA,0
2007,Armenia,ALLAREA,0
2007,Armenia,URBAN,0
2008,Armenia,URBAN,0
2008,Armenia,ALLAREA,0
2008,Armenia,RURAL,0
2009,Armenia,URBAN,0
2009,Armenia,RURAL,0
2009,Armenia,ALLAREA,0
2010,Armenia,ALLAREA,0
2010,Armenia,URBAN,0
2010,Armenia,RURAL,0
2017,Croatia,URBAN,0
2018,Croatia,ALLAREA,0
2018,Croatia,RURAL,0
2018,Croatia,URBAN,0
2019,Croatia,ALLAREA,0
2019,Croatia,URBAN,0
2019,Croatia,RURAL,0
2020,Croatia,URBAN,0
2020,Croatia,RURAL,0
2020,Croatia,ALLAREA,0
2000,Cyprus,URBAN,0
2016,Georgia,URBAN,0
2017,Georgia,URBAN,0
2017,Georgia,ALLAREA,0
2017,Georgia,RURAL,0
2018,Georgia,ALLAREA,0
2018,Georgia,URBAN,0
2018,Georgia,RURAL,0
2019,Georgia,ALLAREA,0
2019,Georgia,URBAN,0
2019,Georgia,RURAL,0
2020,Georgia,RURAL,0
2011,Armenia,ALLAREA,0
2011,Armenia,RURAL,0
2011,Armenia,URBAN,0
2012,Armenia,RURAL,0
2012,Armenia,ALLAREA,0
2012,Armenia,URBAN,0
2013,Armenia,URBAN,0
2013,Armenia,ALLAREA,0
2013,Armenia,RURAL,0
2014,Armenia,URBAN,0
2014,Armenia,RURAL,0
2000,Cyprus,RURAL,0
2000,Cyprus,ALLAREA,0
2001,Cyprus,ALLAREA,0
2001,Cyprus,URBAN,0
2001,Cyprus,RURAL,0
2002,Cyprus,ALLAREA,0
2002,Cyprus,URBAN,0
2002,Cyprus,RURAL,0
2003,Cyprus,URBAN,0
2003,Cyprus,ALLAREA,0
2003,Cyprus,RURAL,0
2014,Armenia,ALLAREA,0
2015,Armenia,URBAN,0
2015,Armenia,RURAL,0
2015,Armenia,ALLAREA,0
2016,Armenia,ALLAREA,0
2016,Armenia,RURAL,0
2016,Armenia,URBAN,0
2017,Armenia,URBAN,0
2017,Armenia,RURAL,0
2017,Armenia,ALLAREA,0
2018,Armenia,URBAN,0
2020,Georgia,ALLAREA,0
2020,Georgia,URBAN,0
2000,Germany,URBAN,0
2000,Germany,ALLAREA,0
2000,Germany,RURAL,0
2001,Germany,URBAN,0
2001,Germany,RURAL,0
2001,Germany,ALLAREA,0
2002,Germany,ALLAREA,0
2002,Germany,URBAN,0
2002,Germany,RURAL,0
2004,Cyprus,URBAN,0
2004,Cyprus,RURAL,0
2004,Cyprus,ALLAREA,0
2005,Cyprus,ALLAREA,0
2005,Cyprus,RURAL,0
2005,Cyprus,URBAN,0
2006,Cyprus,ALLAREA,0
2006,Cyprus,RURAL,0
2006,Cyprus,URBAN,0
2007,Cyprus,URBAN,0
2007,Cyprus,RURAL,0
2007,Cyprus,ALLAREA,0
2008,Cyprus,URBAN,0
2008,Cyprus,RURAL,0
2008,Cyprus,ALLAREA,0
2009,Cyprus,RURAL,0
2009,Cyprus,URBAN,0
2009,Cyprus,ALLAREA,0
2010,Cyprus,URBAN,0
2010,Cyprus,RURAL,0
2010,Cyprus,ALLAREA,0
2011,Cyprus,RURAL,0
2018,Armenia,RURAL,0
2018,Armenia,ALLAREA,0
2019,Armenia,RURAL,0
2019,Armenia,ALLAREA,0
2019,Armenia,URBAN,0
2020,Armenia,URBAN,0
2020,Armenia,RURAL,0
2020,Armenia,ALLAREA,0
2000,Belgium,ALLAREA,0
2000,Belgium,URBAN,0
2000,Belgium,RURAL,0
2011,Cyprus,URBAN,0
2011,Cyprus,ALLAREA,0
2012,Cyprus,URBAN,0
2012,Cyprus,RURAL,0
2012,Cyprus,ALLAREA,0
2013,Cyprus,ALLAREA,0
2013,Cyprus,RURAL,0
2013,Cyprus,URBAN,0
2014,Cyprus,URBAN,0
2014,Cyprus,ALLAREA,0
2014,Cyprus,RURAL,0
2015,Cyprus,ALLAREA,0
2015,Cyprus,URBAN,0
2015,Cyprus,RURAL,0
2016,Cyprus,RURAL,0
2016,Cyprus,URBAN,0
2016,Cyprus,ALLAREA,0
2017,Cyprus,URBAN,0
2017,Cyprus,RURAL,0
2017,Cyprus,ALLAREA,0
2018,Cyprus,RURAL,0
2018,Cyprus,ALLAREA,0
2003,Germany,ALLAREA,0
2003,Germany,URBAN,0
2003,Germany,RURAL,0
2004,Germany,RURAL,0
2004,Germany,ALLAREA,0
2004,Germany,URBAN,0
2005,Germany,URBAN,0
2005,Germany,RURAL,0
2005,Germany,ALLAREA,0
2006,Germany,URBAN,0
2006,Germany,RURAL,0
2001,Belgium,RURAL,0
2001,Belgium,ALLAREA,0
2001,Belgium,URBAN,0
2002,Belgium,URBAN,0
2002,Belgium,RURAL,0
2002,Belgium,ALLAREA,0
2003,Belgium,ALLAREA,0
2003,Belgium,URBAN,0
2003,Belgium,RURAL,0
2004,Belgium,URBAN,0
2004,Belgium,RURAL,0
2006,Germany,ALLAREA,0
2007,Germany,ALLAREA,0
2007,Germany,RURAL,0
2007,Germany,URBAN,0
2008,Germany,RURAL,0
2008,Germany,ALLAREA,0
2008,Germany,URBAN,0
2009,Germany,URBAN,0
2009,Germany,RURAL,0
2009,Germany,ALLAREA,0
2010,Germany,RURAL,0
2010,Germany,ALLAREA,0
2010,Germany,URBAN,0
2011,Germany,URBAN,0
2011,Germany,ALLAREA,0
2011,Germany,RURAL,0
2012,Germany,ALLAREA,0
2012,Germany,URBAN,0
2012,Germany,RURAL,0
2013,Germany,RURAL,0
2013,Germany,URBAN,0
2013,Germany,ALLAREA,0
2004,Belgium,ALLAREA,0
2005,Belgium,URBAN,0
2005,Belgium,ALLAREA,0
2005,Belgium,RURAL,0
2006,Belgium,URBAN,0
2006,Belgium,RURAL,0
2006,Belgium,ALLAREA,0
2007,Belgium,URBAN,0
2007,Belgium,RURAL,0
2007,Belgium,ALLAREA,0
2008,Belgium,ALLAREA,0
2008,Belgium,URBAN,0
2008,Belgium,RURAL,0
2009,Belgium,RURAL,0
2009,Belgium,URBAN,0
2009,Belgium,ALLAREA,0
2010,Belgium,URBAN,0
2010,Belgium,ALLAREA,0
2010,Belgium,RURAL,0
2011,Belgium,URBAN,0
2011,Belgium,RURAL,0
2011,Belgium,ALLAREA,0
2014,Germany,URBAN,0
2014,Germany,ALLAREA,0
2014,Germany,RURAL,0
2015,Germany,ALLAREA,0
2015,Germany,URBAN,0
2015,Germany,RURAL,0
2016,Germany,URBAN,0
2016,Germany,RURAL,0
2016,Germany,ALLAREA,0
2017,Germany,ALLAREA,0
2017,Germany,URBAN,0
2018,Cyprus,URBAN,0
2019,Cyprus,ALLAREA,0
2019,Cyprus,RURAL,0
2019,Cyprus,URBAN,0
2020,Cyprus,RURAL,0
2020,Cyprus,ALLAREA,0
2020,Cyprus,URBAN,0
2000,Denmark,URBAN,0
2000,Denmark,RURAL,0
2000,Denmark,ALLAREA,0
2001,Denmark,ALLAREA,0
2012,Belgium,ALLAREA,0
2012,Belgium,URBAN,0
2012,Belgium,RURAL,0
2013,Belgium,ALLAREA,0
2013,Belgium,URBAN,0
2013,Belgium,RURAL,0
2014,Belgium,URBAN,0
2014,Belgium,RURAL,0
2014,Belgium,ALLAREA,0
2015,Belgium,RURAL,0
2015,Belgium,URBAN,0
2015,Belgium,ALLAREA,0
2016,Belgium,RURAL,0
2016,Belgium,ALLAREA,0
2016,Belgium,URBAN,0
2017,Belgium,RURAL,0
2017,Belgium,ALLAREA,0
2017,Belgium,URBAN,0
2018,Belgium,ALLAREA,0
2018,Belgium,URBAN,0
2018,Belgium,RURAL,0
2019,Belgium,URBAN,0
2001,Denmark,RURAL,0
2001,Denmark,URBAN,0
2002,Denmark,RURAL,0
2002,Denmark,ALLAREA,0
2002,Denmark,URBAN,0
2003,Denmark,RURAL,0
2003,Denmark,ALLAREA,0
2003,Denmark,URBAN,0
2004,Denmark,ALLAREA,0
2004,Denmark,RURAL,0
2004,Denmark,URBAN,0
2011,Liechtenstein,ALLAREA,0
2012,Liechtenstein,ALLAREA,0
2013,Liechtenstein,ALLAREA,0
2014,Liechtenstein,ALLAREA,0
2015,Liechtenstein,ALLAREA,0
2016,Liechtenstein,ALLAREA,0
2017,Liechtenstein,ALLAREA,0
2018,Liechtenstein,ALLAREA,0
2019,Liechtenstein,ALLAREA,0
2020,Liechtenstein,ALLAREA,0
2000,Lithuania,RURAL,0
2017,Germany,RURAL,0
2018,Germany,ALLAREA,0
2018,Germany,RURAL,0
2018,Germany,URBAN,0
2019,Germany,ALLAREA,0
2019,Germany,RURAL,0
2019,Germany,URBAN,0
2020,Germany,ALLAREA,0
2020,Germany,URBAN,0
2020,Germany,RURAL,0
2000,Greece,ALLAREA,1
2005,Denmark,RURAL,0
2005,Denmark,ALLAREA,0
2005,Denmark,URBAN,0
2006,Denmark,URBAN,0
2006,Denmark,RURAL,0
2006,Denmark,ALLAREA,0
2007,Denmark,URBAN,0
2007,Denmark,RURAL,0
2007,Denmark,ALLAREA,0
2008,Denmark,ALLAREA,0
2008,Denmark,RURAL,0
2019,Belgium,RURAL,0
2019,Belgium,ALLAREA,0
2020,Belgium,RURAL,0
2020,Belgium,ALLAREA,0
2020,Belgium,URBAN,0
2000,Bosnia and Herzegovina,ALLAREA,1
2000,Bosnia and Herzegovina,URBAN,0
2000,Bosnia and Herzegovina,RURAL,1
2001,Bosnia and Herzegovina,ALLAREA,1
2001,Bosnia and Herzegovina,URBAN,0
2001,Bosnia and Herzegovina,RURAL,1
2002,Bosnia and Herzegovina,URBAN,0
2002,Bosnia and Herzegovina,ALLAREA,1
2002,Bosnia and Herzegovina,RURAL,1
2003,Bosnia and Herzegovina,URBAN,0
2003,Bosnia and Herzegovina,RURAL,1
2003,Bosnia and Herzegovina,ALLAREA,0
2004,Bosnia and Herzegovina,URBAN,0
2004,Bosnia and Herzegovina,RURAL,1
2004,Bosnia and Herzegovina,ALLAREA,0
2005,Bosnia and Herzegovina,URBAN,0
2000,Greece,URBAN,0
2000,Greece,RURAL,2
2001,Greece,ALLAREA,1
