Year,GeoAreaName,Location,Value
2015,Tajikistan,RURAL,67
2015,Tajikistan,ALLAREA,73
2016,Tajikistan,ALLAREA,73
2016,Tajikistan,URBAN,87
2016,Tajikistan,RURAL,67
2017,Tajikistan,RURAL,67
2017,Tajikistan,ALLAREA,73
2017,Tajikistan,URBAN,87
2018,Tajikistan,ALLAREA,73
2018,Tajikistan,RURAL,67
2018,Tajikistan,URBAN,87
2019,Tajikistan,URBAN,87
2019,Tajikistan,RURAL,68
2019,Tajikistan,ALLAREA,73
2020,Tajikistan,URBAN,87
2020,Tajikistan,RURAL,68
2020,Tajikistan,ALLAREA,73
2011,Bosnia and Herzegovina,RURAL,96
2011,Bosnia and Herzegovina,URBAN,99
2012,Bosnia and Herzegovina,ALLAREA,97
2012,Bosnia and Herzegovina,RURAL,96
2012,Bosnia and Herzegovina,URBAN,99
2013,Bosnia and Herzegovina,RURAL,96
2013,Bosnia and Herzegovina,URBAN,99
2013,Bosnia and Herzegovina,ALLAREA,97
2014,Bosnia and Herzegovina,ALLAREA,97
2014,Bosnia and Herzegovina,RURAL,96
2000,Turkmenistan,URBAN,83
2000,Turkmenistan,RURAL,61
2000,Turkmenistan,ALLAREA,71
2001,Turkmenistan,ALLAREA,73
2001,Turkmenistan,URBAN,84
2001,Turkmenistan,RURAL,63
2002,Turkmenistan,URBAN,85
2002,Turkmenistan,RURAL,65
2002,Turkmenistan,ALLAREA,74
2003,Turkmenistan,ALLAREA,76
2003,Turkmenistan,URBAN,86
2003,Turkmenistan,RURAL,68
2004,Turkmenistan,URBAN,87
2004,Turkmenistan,RURAL,70
2004,Turkmenistan,ALLAREA,78
2005,Turkmenistan,RURAL,73
2005,Turkmenistan,URBAN,88
2005,Turkmenistan,ALLAREA,80
2006,Turkmenistan,URBAN,89
2006,Turkmenistan,RURAL,75
2006,Turkmenistan,ALLAREA,82
2007,Turkmenistan,URBAN,90
2007,Turkmenistan,RURAL,77
2007,Turkmenistan,ALLAREA,83
2008,Turkmenistan,URBAN,91
2008,Turkmenistan,RURAL,80
2008,Turkmenistan,ALLAREA,85
2009,Turkmenistan,URBAN,92
2009,Turkmenistan,RURAL,82
2009,Turkmenistan,ALLAREA,87
2010,Turkmenistan,URBAN,93
2010,Turkmenistan,RURAL,85
2010,Turkmenistan,ALLAREA,89
2011,Turkmenistan,RURAL,87
2011,Turkmenistan,ALLAREA,91
2011,Turkmenistan,URBAN,94
2012,Turkmenistan,URBAN,95
2012,Turkmenistan,RURAL,89
2012,Turkmenistan,ALLAREA,92
2013,Turkmenistan,ALLAREA,94
2014,Bosnia and Herzegovina,URBAN,99
2015,Bosnia and Herzegovina,ALLAREA,97
2015,Bosnia and Herzegovina,URBAN,99
2015,Bosnia and Herzegovina,RURAL,96
2016,Bosnia and Herzegovina,ALLAREA,97
2016,Bosnia and Herzegovina,RURAL,96
2016,Bosnia and Herzegovina,URBAN,99
2014,Georgia,URBAN,95
2014,Georgia,RURAL,87
2014,Georgia,ALLAREA,92
2013,Turkmenistan,RURAL,92
2013,Turkmenistan,URBAN,96
2014,Turkmenistan,URBAN,98
2014,Turkmenistan,RURAL,94
2014,Turkmenistan,ALLAREA,96
2015,Turkmenistan,RURAL,97
2015,Turkmenistan,URBAN,99
2015,Turkmenistan,ALLAREA,98
2016,Turkmenistan,URBAN,100
2016,Turkmenistan,RURAL,99
2015,Georgia,URBAN,95
2015,Georgia,RURAL,87
2015,Georgia,ALLAREA,92
2016,Georgia,URBAN,95
2016,Georgia,RURAL,87
2016,Georgia,ALLAREA,92
2017,Georgia,ALLAREA,92
2017,Georgia,URBAN,95
2017,Georgia,RURAL,87
2018,Georgia,URBAN,95
2016,Turkmenistan,ALLAREA,99
2017,Turkmenistan,RURAL,100
2017,Turkmenistan,ALLAREA,100
2017,Turkmenistan,URBAN,100
2018,Turkmenistan,RURAL,100
2018,Turkmenistan,ALLAREA,100
2018,Turkmenistan,URBAN,100
2019,Turkmenistan,RURAL,100
2019,Turkmenistan,ALLAREA,100
2019,Turkmenistan,URBAN,100
2020,Turkmenistan,URBAN,100
2020,Turkmenistan,RURAL,100
2020,Turkmenistan,ALLAREA,100
2000,North Macedonia,URBAN,100
2000,North Macedonia,RURAL,100
2000,North Macedonia,ALLAREA,100
2001,North Macedonia,RURAL,100
2001,North Macedonia,ALLAREA,100
2001,North Macedonia,URBAN,100
2002,North Macedonia,RURAL,100
2018,Georgia,RURAL,87
2018,Georgia,ALLAREA,92
2019,Georgia,URBAN,95
2019,Georgia,RURAL,87
2019,Georgia,ALLAREA,92
2020,Georgia,URBAN,95
2020,Georgia,RURAL,87
2020,Georgia,ALLAREA,92
2011,Kazakhstan,URBAN,99
2011,Kazakhstan,RURAL,99
2002,North Macedonia,URBAN,100
2002,North Macedonia,ALLAREA,100
2003,North Macedonia,URBAN,100
2003,North Macedonia,RURAL,100
2003,North Macedonia,ALLAREA,100
2004,North Macedonia,ALLAREA,100
2004,North Macedonia,URBAN,100
2004,North Macedonia,RURAL,100
2005,North Macedonia,ALLAREA,100
2005,North Macedonia,URBAN,100
2005,North Macedonia,RURAL,100
2006,North Macedonia,ALLAREA,100
2006,North Macedonia,URBAN,100
2006,North Macedonia,RURAL,100
2007,North Macedonia,URBAN,100
2007,North Macedonia,RURAL,100
2007,North Macedonia,ALLAREA,100
2008,North Macedonia,URBAN,100
2008,North Macedonia,RURAL,100
2008,North Macedonia,ALLAREA,100
2011,Kazakhstan,ALLAREA,99
2012,Kazakhstan,URBAN,99
2012,Kazakhstan,RURAL,99
2012,Kazakhstan,ALLAREA,99
2013,Kazakhstan,RURAL,99
2013,Kazakhstan,ALLAREA,99
2013,Kazakhstan,URBAN,99
2014,Kazakhstan,ALLAREA,99
2014,Kazakhstan,URBAN,99
2014,Kazakhstan,RURAL,99
2009,North Macedonia,ALLAREA,100
2009,North Macedonia,URBAN,100
2009,North Macedonia,RURAL,100
2010,North Macedonia,ALLAREA,100
2010,North Macedonia,URBAN,100
2010,North Macedonia,RURAL,100
2011,North Macedonia,URBAN,100
2011,North Macedonia,RURAL,100
2011,North Macedonia,ALLAREA,100
2012,North Macedonia,URBAN,100
2015,Kazakhstan,URBAN,99
2015,Kazakhstan,RURAL,99
2015,Kazakhstan,ALLAREA,99
2016,Kazakhstan,URBAN,99
2016,Kazakhstan,RURAL,99
2016,Kazakhstan,ALLAREA,99
2017,Kazakhstan,URBAN,99
2017,Kazakhstan,RURAL,99
2017,Kazakhstan,ALLAREA,99
2018,Kazakhstan,ALLAREA,99
2012,North Macedonia,RURAL,100
2012,North Macedonia,ALLAREA,100
2013,North Macedonia,URBAN,100
2013,North Macedonia,RURAL,100
2013,North Macedonia,ALLAREA,100
2014,North Macedonia,URBAN,100
2014,North Macedonia,RURAL,100
2014,North Macedonia,ALLAREA,100
2015,North Macedonia,ALLAREA,100
2015,North Macedonia,URBAN,100
2015,North Macedonia,RURAL,100
2016,North Macedonia,ALLAREA,100
2016,North Macedonia,RURAL,100
2016,North Macedonia,URBAN,100
2017,North Macedonia,URBAN,100
2017,North Macedonia,RURAL,100
2017,North Macedonia,ALLAREA,100
2018,North Macedonia,URBAN,100
2018,North Macedonia,ALLAREA,100
2018,North Macedonia,RURAL,100
2018,Kazakhstan,URBAN,99
2018,Kazakhstan,RURAL,99
2019,Kazakhstan,URBAN,99
2019,Kazakhstan,RURAL,99
2019,Kazakhstan,ALLAREA,99
2006,Kyrgyzstan,URBAN,90
2006,Kyrgyzstan,RURAL,80
2006,Kyrgyzstan,ALLAREA,84
2007,Kyrgyzstan,URBAN,90
2007,Kyrgyzstan,RURAL,80
2007,Kyrgyzstan,ALLAREA,84
2008,Kyrgyzstan,URBAN,90
2008,Kyrgyzstan,RURAL,80
2008,Kyrgyzstan,ALLAREA,84
2009,Kyrgyzstan,RURAL,80
2009,Kyrgyzstan,ALLAREA,84
2009,Kyrgyzstan,URBAN,90
2010,Kyrgyzstan,URBAN,90
2010,Kyrgyzstan,RURAL,80
2010,Kyrgyzstan,ALLAREA,84
2011,Kyrgyzstan,URBAN,91
2011,Kyrgyzstan,RURAL,82
2011,Kyrgyzstan,ALLAREA,85
2012,Kyrgyzstan,URBAN,92
2012,Kyrgyzstan,RURAL,84
2012,Kyrgyzstan,ALLAREA,87
2013,Kyrgyzstan,RURAL,86
2013,Kyrgyzstan,ALLAREA,89
2013,Kyrgyzstan,URBAN,93
2014,Kyrgyzstan,URBAN,94
2014,Kyrgyzstan,RURAL,88
2014,Kyrgyzstan,ALLAREA,90
2015,Kyrgyzstan,URBAN,95
2015,Kyrgyzstan,RURAL,90
2015,Kyrgyzstan,ALLAREA,92
2016,Kyrgyzstan,URBAN,96
2016,Kyrgyzstan,RURAL,92
2016,Kyrgyzstan,ALLAREA,93
2017,Kyrgyzstan,RURAL,94
2017,Kyrgyzstan,ALLAREA,95
2017,Kyrgyzstan,URBAN,97
2018,Kyrgyzstan,URBAN,98
2018,Kyrgyzstan,RURAL,96
2018,Kyrgyzstan,ALLAREA,97
2019,Kyrgyzstan,URBAN,99
2019,Kyrgyzstan,RURAL,98
2019,Kyrgyzstan,ALLAREA,98
2020,Kyrgyzstan,URBAN,100
2020,Kyrgyzstan,RURAL,100
2020,Kyrgyzstan,ALLAREA,100
2019,North Macedonia,URBAN,100
2019,North Macedonia,RURAL,100
2019,North Macedonia,ALLAREA,100
2020,North Macedonia,URBAN,100
2020,North Macedonia,RURAL,100
2020,North Macedonia,ALLAREA,100
2020,North Macedonia,ALLAREA,100
