Year,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,Kazakhstan,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.67
2021,Kazakhstan,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.21
2021,Kazakhstan,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.1
2022,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.45
2022,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.06
2022,Kazakhstan,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.4
2022,Kazakhstan,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.74
2020,Latvia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.34
2020,Latvia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.44
2020,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.9
2020,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.63
2021,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.92
2021,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.61
2021,Latvia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.44
2021,Latvia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.4
2020,Liechtenstein,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.59
2020,Lithuania,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.07
2020,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.18
2020,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.29
2020,Lithuania,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.61
2021,Lithuania,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.58
2021,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.31
2021,Lithuania,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.01
2021,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.33
2020,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.14
2020,Malta,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.29
2021,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.11
2021,Malta,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.24
2019,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,2.03
2019,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.17
2019,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.61
2019,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.99
2019,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.03
2019,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.04
2021,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.08
2021,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.96
2021,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.04
2021,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,2.01
2021,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.03
2021,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.62
2020,Norway,ALLAGE,_T,POP_A,BOTHSEX,REGISTRARS,1.13
2020,Norway,ALLAGE,_T,POP_A,BOTHSEX,JUDGES,1.11
2020,Norway,ALLAGE,_T,POP_B,BOTHSEX,JUDGES,0.54
2020,Norway,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.22
2020,Norway,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.12
2020,Norway,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.94
2020,Norway,ALLAGE,_T,POP_B,BOTHSEX,REGISTRARS,0.46
2020,Norway,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.67
2021,Norway,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.96
2021,Norway,ALLAGE,_T,POP_B,BOTHSEX,JUDGES,0.53
2021,Norway,ALLAGE,_T,POP_A,BOTHSEX,JUDGES,1.11
2021,Norway,ALLAGE,_T,POP_B,BOTHSEX,REGISTRARS,0.61
2021,Norway,ALLAGE,_T,POP_A,BOTHSEX,REGISTRARS,1.1
2021,Norway,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.98
2021,Norway,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.64
2021,Norway,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.19
2018,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.68
2018,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.24
2018,Poland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.7
2018,Poland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.05
2020,Poland,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.41
2020,Poland,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.1
2020,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.68
2020,Poland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.78
2020,Poland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.47
2020,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.23
2020,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.96
2020,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.37
2020,Slovakia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.91
2020,Slovakia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.67
2021,Slovakia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.63
2021,Slovakia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.9
2021,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.96
2021,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.37
2020,Spain,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.34
2020,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.14
2022,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.13
2022,Spain,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.38
2019,Sweden,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.8
2019,Sweden,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.39
2019,Sweden,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.1
2019,Sweden,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.15
2020,Sweden,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.78
2020,Sweden,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.38
2020,Sweden,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.14
2020,Sweden,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.11
2019,Switzerland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.24
2019,Switzerland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.85
2019,Switzerland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.03
2019,Switzerland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.56
2020,Switzerland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.44
2020,Switzerland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.99
2020,Switzerland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.25
2020,Switzerland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.22
2021,Austria,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.25
2021,Austria,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.1
2021,Austria,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.76
2021,Austria,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.52
2022,Austria,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.28
2022,Austria,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.13
2022,Austria,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.76
2022,Austria,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.53
2022,Austria,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.53
