Year,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.86
2020,Liechtenstein,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.82
2020,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.0
2020,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.92
2021,Lithuania,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.97
2021,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.21
2021,Lithuania,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.25
2021,Lithuania,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.37
2020,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.57
2021,Malta,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.84
2021,Malta,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.08
2019,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.4
2019,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.89
2021,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.84
2021,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.4
2021,Republic of Moldova,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.05
2021,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.7
2021,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,2.05
2018,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.08
2018,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.54
2020,Poland,ALLAGE,PD,TOTAL,BOTHSEX,JUDGES,0.11
2020,Poland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.02
2020,Poland,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.4
2020,Poland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.51
2020,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.06
2020,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.52
2020,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.99
2020,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.67
2021,Slovakia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.2
2021,Slovakia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.77
2021,Slovakia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.06
2021,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.98
2022,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.1
2022,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.1
