Year,GeoAreaName,Sex,Type of occupation,Value
2014,Armenia,MALE,PHYS,30.4
2014,Armenia,FEMALE,PHYS,69.6
2015,Armenia,FEMALE,PHYS,69.5
2015,Armenia,MALE,PHYS,30.5
2016,Belgium,FEMALE,NURS,86.3
2016,Belgium,MALE,NURS,13.7
2003,Bosnia and Herzegovina,FEMALE,PHYS,90.5
2016,Portugal,FEMALE,NURS,77.9
2004,Romania,FEMALE,PHYS,66.7
2004,Romania,MALE,PHYS,33.3
2005,Romania,MALE,PHYS,31.3
2005,Romania,FEMALE,PHYS,68.7
2006,Romania,FEMALE,PHYS,67.7
2006,Romania,MALE,PHYS,32.3
2007,Romania,FEMALE,PHYS,69.1
2007,Romania,MALE,PHYS,30.9
2003,Bosnia and Herzegovina,MALE,PHYS,9.5
2004,Bosnia and Herzegovina,FEMALE,PHYS,91.5
2004,Bosnia and Herzegovina,MALE,PHYS,8.5
2005,Bosnia and Herzegovina,FEMALE,PHYS,91.5
2005,Bosnia and Herzegovina,MALE,PHYS,8.5
2006,Bosnia and Herzegovina,MALE,PHYS,9.6
2006,Bosnia and Herzegovina,FEMALE,PHYS,90.4
2007,Bosnia and Herzegovina,MALE,PHYS,10.8
2008,Romania,FEMALE,PHYS,69.4
2008,Romania,MALE,PHYS,30.6
2009,Romania,MALE,PHYS,30.6
2009,Romania,FEMALE,PHYS,69.4
2010,Romania,MALE,PHYS,30.9
2010,Romania,FEMALE,PHYS,69.1
2011,Romania,FEMALE,PHYS,69.1
2011,Romania,MALE,PHYS,30.9
2011,Romania,MALE,NURS,8.6
2007,Bosnia and Herzegovina,FEMALE,PHYS,89.2
2008,Bosnia and Herzegovina,FEMALE,PHYS,89.5
2008,Bosnia and Herzegovina,MALE,PHYS,10.5
2009,Bosnia and Herzegovina,MALE,PHYS,11.7
2009,Bosnia and Herzegovina,FEMALE,PHYS,88.3
2010,Bosnia and Herzegovina,FEMALE,PHYS,88.8
2010,Bosnia and Herzegovina,MALE,PHYS,11.2
2011,Bosnia and Herzegovina,FEMALE,PHYS,88.2
2011,Romania,FEMALE,NURS,91.4
2012,Romania,MALE,PHYS,31.3
2012,Romania,FEMALE,PHYS,68.7
2013,Romania,MALE,PHYS,31.2
2013,Romania,FEMALE,PHYS,68.8
2016,Romania,MALE,PHYS,33.1
2016,Romania,MALE,NURS,10.6
2016,Romania,FEMALE,NURS,89.4
2016,Romania,FEMALE,PHYS,66.9
2011,Bosnia and Herzegovina,MALE,PHYS,11.8
2012,Bosnia and Herzegovina,FEMALE,PHYS,87.9
2012,Bosnia and Herzegovina,MALE,PHYS,12.1
2013,Bosnia and Herzegovina,FEMALE,PHYS,87.7
2013,Bosnia and Herzegovina,MALE,PHYS,12.3
2013,Bosnia and Herzegovina,MALE,NURS,20.5
2013,Bosnia and Herzegovina,FEMALE,NURS,79.5
2014,Bosnia and Herzegovina,MALE,NURS,21.8
2014,Bosnia and Herzegovina,FEMALE,NURS,78.2
2015,Bosnia and Herzegovina,MALE,NURS,21.4
2015,Bosnia and Herzegovina,FEMALE,NURS,78.6
2015,Bosnia and Herzegovina,MALE,PHYS,12.3
2015,Bosnia and Herzegovina,FEMALE,PHYS,87.7
2016,Bosnia and Herzegovina,MALE,NURS,21.8
2016,Bosnia and Herzegovina,FEMALE,NURS,78.2
2017,Bosnia and Herzegovina,MALE,NURS,22.3
2003,Serbia,FEMALE,PHYS,61.9
2003,Serbia,MALE,PHYS,38.1
2004,Serbia,MALE,PHYS,37.0
2004,Serbia,FEMALE,PHYS,63.0
2005,Serbia,MALE,PHYS,36.5
2005,Serbia,FEMALE,PHYS,63.5
2006,Serbia,MALE,PHYS,36.3
2006,Serbia,FEMALE,PHYS,63.7
2007,Serbia,FEMALE,PHYS,63.8
2007,Serbia,MALE,PHYS,36.2
2008,Serbia,MALE,PHYS,36.0
2008,Serbia,FEMALE,PHYS,64.0
2009,Serbia,MALE,PHYS,35.9
2009,Serbia,FEMALE,PHYS,64.1
2010,Serbia,MALE,PHYS,35.8
2010,Serbia,FEMALE,PHYS,64.2
2011,Serbia,FEMALE,PHYS,64.5
2011,Serbia,MALE,PHYS,35.5
2017,Bosnia and Herzegovina,FEMALE,NURS,77.7
2018,Bosnia and Herzegovina,FEMALE,NURS,77.5
2018,Bosnia and Herzegovina,MALE,NURS,22.5
2014,Bulgaria,MALE,PHYS,44.4
2014,Bulgaria,FEMALE,PHYS,55.6
2015,Bulgaria,MALE,PHYS,44.9
2015,Bulgaria,MALE,NURS,0.4
2015,Bulgaria,FEMALE,NURS,99.6
2015,Bulgaria,FEMALE,PHYS,55.1
2012,Serbia,MALE,PHYS,35.4
2012,Serbia,FEMALE,PHYS,64.6
2013,Serbia,FEMALE,PHYS,64.8
2013,Serbia,MALE,PHYS,35.2
2014,Serbia,FEMALE,PHYS,64.9
2014,Serbia,MALE,PHYS,35.1
2015,Serbia,MALE,PHYS,34.8
2015,Serbia,FEMALE,PHYS,65.2
2016,Serbia,FEMALE,PHYS,65.8
2016,Bulgaria,FEMALE,NURS,99.6
2016,Bulgaria,MALE,NURS,0.4
2017,Bulgaria,MALE,NURS,0.6
2017,Bulgaria,FEMALE,NURS,99.4
2018,Bulgaria,FEMALE,NURS,99.4
2018,Bulgaria,MALE,NURS,0.6
2009,Belarus,FEMALE,NURS,99.4
2009,Belarus,MALE,NURS,0.6
2011,Belarus,FEMALE,PHYS,70.2
2011,Belarus,MALE,PHYS,29.8
2012,Belarus,FEMALE,PHYS,70.7
2012,Belarus,MALE,PHYS,29.3
2013,Belarus,MALE,PHYS,28.9
2013,Belarus,FEMALE,PHYS,71.1
2014,Belarus,FEMALE,PHYS,71.6
2014,Belarus,MALE,PHYS,28.4
2015,Belarus,MALE,PHYS,27.5
2015,Belarus,FEMALE,PHYS,72.5
2016,Serbia,MALE,PHYS,34.2
2016,Slovakia,MALE,NURS,14.7
2016,Slovakia,FEMALE,NURS,85.3
2018,Slovenia,MALE,NURS,14.6
2018,Slovenia,FEMALE,NURS,85.4
2016,Spain,FEMALE,NURS,83.6
2016,Spain,MALE,NURS,16.4
2016,Sweden,MALE,NURS,11.5
2016,Sweden,FEMALE,NURS,88.5
2017,Sweden,MALE,NURS,11.6
2017,Sweden,FEMALE,NURS,88.4
2016,Switzerland,MALE,NURS,1.4
2016,Switzerland,FEMALE,NURS,98.6
2014,Tajikistan,MALE,PHYS,60.8
2014,Tajikistan,FEMALE,PHYS,39.2
2018,Tajikistan,FEMALE,NURS,84.0
2018,Tajikistan,MALE,NURS,16.0
2017,Türkiye,MALE,NURS,15.6
2017,Türkiye,FEMALE,NURS,84.4
2018,Türkiye,FEMALE,NURS,85.2
2018,Türkiye,MALE,NURS,14.8
2018,Türkiye,MALE,PHYS,64.2
2018,Türkiye,FEMALE,PHYS,35.8
2019,Türkiye,MALE,PHYS,61.7
2019,Türkiye,MALE,NURS,15.7
2019,Türkiye,FEMALE,NURS,84.3
2019,Türkiye,FEMALE,PHYS,38.3
2008,Turkmenistan,FEMALE,PHYS,56.2
2008,Turkmenistan,MALE,PHYS,43.8
2009,Turkmenistan,MALE,PHYS,43.6
2009,Turkmenistan,FEMALE,PHYS,56.4
2010,Turkmenistan,MALE,PHYS,43.8
2010,Turkmenistan,FEMALE,PHYS,56.2
2011,Turkmenistan,MALE,PHYS,43.5
2011,Turkmenistan,FEMALE,PHYS,56.5
2012,Turkmenistan,MALE,PHYS,43.7
2000,Croatia,FEMALE,PHYS,55.5
2000,Croatia,MALE,PHYS,44.5
2001,Croatia,MALE,PHYS,44.0
2001,Croatia,FEMALE,PHYS,56.0
2002,Croatia,FEMALE,PHYS,56.4
2002,Croatia,MALE,PHYS,43.6
2003,Croatia,MALE,PHYS,43.1
2003,Croatia,FEMALE,PHYS,56.9
2004,Croatia,FEMALE,PHYS,57.5
2012,Turkmenistan,FEMALE,PHYS,56.3
2013,Turkmenistan,FEMALE,PHYS,57.7
2013,Turkmenistan,MALE,PHYS,42.3
2014,Turkmenistan,FEMALE,PHYS,57.3
2014,Turkmenistan,MALE,PHYS,42.7
2000,Ukraine,FEMALE,PHYS,61.0
2000,Ukraine,MALE,PHYS,39.0
2001,Ukraine,FEMALE,PHYS,60.8
2001,Ukraine,MALE,PHYS,39.2
2004,Croatia,MALE,PHYS,42.5
2005,Croatia,MALE,PHYS,42.4
2005,Croatia,FEMALE,PHYS,57.6
2006,Croatia,FEMALE,PHYS,58.2
2006,Croatia,MALE,PHYS,41.8
2007,Croatia,MALE,PHYS,41.3
2007,Croatia,FEMALE,PHYS,58.7
2008,Croatia,FEMALE,PHYS,59.1
2008,Croatia,MALE,PHYS,40.9
2002,Ukraine,FEMALE,PHYS,60.8
2002,Ukraine,MALE,PHYS,39.2
2003,Ukraine,MALE,PHYS,38.9
2003,Ukraine,FEMALE,PHYS,61.1
2004,Ukraine,FEMALE,PHYS,60.9
2004,Ukraine,MALE,PHYS,39.1
2005,Ukraine,MALE,PHYS,39.0
2005,Ukraine,FEMALE,PHYS,61.0
2006,Ukraine,FEMALE,PHYS,61.1
2006,Ukraine,MALE,PHYS,38.9
2007,Ukraine,MALE,PHYS,38.9
2007,Ukraine,FEMALE,PHYS,61.1
2008,Ukraine,FEMALE,PHYS,60.6
2008,Ukraine,MALE,PHYS,39.4
2009,Ukraine,FEMALE,PHYS,60.4
2009,Ukraine,MALE,PHYS,39.6
2010,Ukraine,FEMALE,PHYS,60.6
2010,Ukraine,MALE,PHYS,39.4
2011,Ukraine,MALE,PHYS,39.2
2011,Ukraine,FEMALE,PHYS,60.8
2012,Ukraine,FEMALE,PHYS,60.9
2012,Ukraine,MALE,PHYS,39.1
2013,Ukraine,MALE,PHYS,38.7
2013,Ukraine,FEMALE,PHYS,61.3
2014,Ukraine,FEMALE,PHYS,61.1
2014,Ukraine,MALE,PHYS,38.9
2000,North Macedonia,FEMALE,PHYS,56.1
2009,Croatia,MALE,PHYS,40.4
2009,Croatia,FEMALE,PHYS,59.6
2010,Croatia,FEMALE,PHYS,60.2
2010,Croatia,MALE,PHYS,39.8
2011,Croatia,MALE,PHYS,39.2
2011,Croatia,FEMALE,PHYS,60.8
2012,Croatia,MALE,PHYS,38.9
2012,Croatia,FEMALE,PHYS,61.1
2013,Croatia,FEMALE,PHYS,61.6
2000,North Macedonia,MALE,PHYS,43.9
2001,North Macedonia,MALE,PHYS,42.5
2001,North Macedonia,FEMALE,PHYS,57.5
2002,North Macedonia,MALE,PHYS,41.7
2002,North Macedonia,FEMALE,PHYS,58.3
2003,North Macedonia,FEMALE,PHYS,58.6
2003,North Macedonia,MALE,PHYS,41.4
2004,North Macedonia,FEMALE,PHYS,58.4
2004,North Macedonia,MALE,PHYS,41.6
2013,Croatia,MALE,PHYS,38.4
2014,Croatia,MALE,PHYS,38.0
2014,Croatia,FEMALE,PHYS,62.0
2015,Croatia,FEMALE,PHYS,62.4
2015,Croatia,MALE,PHYS,37.6
2016,Croatia,MALE,PHYS,32.5
2016,Croatia,FEMALE,PHYS,67.5
2016,Croatia,FEMALE,NURS,92.8
2016,Croatia,MALE,NURS,7.2
2005,North Macedonia,FEMALE,PHYS,58.4
2005,North Macedonia,MALE,PHYS,41.6
2006,North Macedonia,MALE,PHYS,52.0
2006,North Macedonia,FEMALE,PHYS,48.0
2007,North Macedonia,FEMALE,PHYS,59.5
2007,North Macedonia,MALE,PHYS,40.5
2008,North Macedonia,MALE,PHYS,40.2
2008,North Macedonia,FEMALE,PHYS,59.8
2009,North Macedonia,MALE,PHYS,40.6
2000,Cyprus,MALE,PHYS,67.2
2000,Cyprus,FEMALE,PHYS,32.8
2014,Cyprus,MALE,PHYS,62.8
2014,Cyprus,FEMALE,PHYS,37.2
2015,Cyprus,FEMALE,PHYS,37.6
2015,Cyprus,MALE,PHYS,62.4
2016,Cyprus,MALE,PHYS,55.3
2016,Cyprus,FEMALE,NURS,80.3
2016,Cyprus,MALE,NURS,19.7
2009,North Macedonia,FEMALE,PHYS,59.4
2010,North Macedonia,MALE,PHYS,40.7
2010,North Macedonia,FEMALE,PHYS,59.3
2011,North Macedonia,MALE,PHYS,41.0
2011,North Macedonia,FEMALE,PHYS,59.0
2012,North Macedonia,MALE,PHYS,40.2
2012,North Macedonia,FEMALE,PHYS,59.8
2013,North Macedonia,FEMALE,PHYS,60.3
2013,North Macedonia,MALE,PHYS,39.7
2016,Cyprus,FEMALE,PHYS,44.7
2016,Czechia,MALE,NURS,1.5
2016,Czechia,MALE,PHYS,46.4
2016,Czechia,FEMALE,PHYS,53.6
2016,Czechia,FEMALE,NURS,98.5
2017,Czechia,FEMALE,NURS,98.0
2017,Czechia,MALE,NURS,2.0
2019,Czechia,FEMALE,NURS,97.9
2019,Czechia,FEMALE,PHYS,56.3
2019,Czechia,MALE,PHYS,43.7
2019,Czechia,MALE,NURS,2.1
2020,Czechia,MALE,PHYS,43.0
2020,Czechia,FEMALE,NURS,98.0
2020,Czechia,FEMALE,PHYS,57.0
2020,Czechia,MALE,NURS,2.0
2016,Denmark,FEMALE,NURS,94.7
2016,Denmark,MALE,NURS,5.3
2017,Denmark,MALE,NURS,4.3
2017,Denmark,FEMALE,NURS,95.7
2016,Estonia,MALE,NURS,1.7
2016,Estonia,FEMALE,NURS,98.3
2018,Estonia,MALE,NURS,2.8
2018,Estonia,FEMALE,NURS,97.2
2020,Estonia,FEMALE,NURS,96.2
2020,Estonia,MALE,NURS,3.8
2020,Estonia,MALE,PHYS,27.5
2020,Estonia,FEMALE,PHYS,72.5
2013,Finland,MALE,NURS,6.9
2013,Finland,FEMALE,NURS,93.1
2014,Finland,FEMALE,PHYS,64.7
2014,Finland,MALE,NURS,7.2
2014,Finland,FEMALE,NURS,92.8
2014,Finland,MALE,PHYS,35.3
2015,Finland,MALE,NURS,7.4
2015,Finland,FEMALE,NURS,92.6
2016,Finland,FEMALE,NURS,92.4
2008,Uzbekistan,MALE,PHYS,45.8
2008,Uzbekistan,FEMALE,PHYS,54.2
2009,Uzbekistan,MALE,PHYS,45.9
2009,Uzbekistan,FEMALE,PHYS,54.1
2010,Uzbekistan,FEMALE,PHYS,54.1
2010,Uzbekistan,MALE,PHYS,45.9
2011,Uzbekistan,MALE,PHYS,46.3
2011,Uzbekistan,FEMALE,PHYS,53.7
2012,Uzbekistan,MALE,PHYS,47.0
2016,Finland,MALE,NURS,7.6
2016,Finland,MALE,PHYS,43.4
2016,Finland,FEMALE,PHYS,56.6
2017,Finland,FEMALE,NURS,92.3
2017,Finland,MALE,NURS,7.7
2006,France,FEMALE,NURS,86.1
2006,France,FEMALE,PHYS,48.3
2006,France,MALE,NURS,13.9
2006,France,MALE,PHYS,51.7
2011,France,MALE,NURS,12.9
2011,France,FEMALE,NURS,87.1
2011,France,FEMALE,PHYS,40.7
2011,France,MALE,PHYS,59.3
2014,France,FEMALE,PHYS,47.0
2014,France,MALE,PHYS,53.0
2014,France,MALE,NURS,13.4
2014,France,FEMALE,NURS,86.6
2016,France,MALE,NURS,12.4
2016,France,FEMALE,NURS,87.6
2021,Georgia,FEMALE,PHYS,73.9
2021,Georgia,MALE,PHYS,26.1
2021,Georgia,MALE,NURS,0.0
2021,Georgia,FEMALE,NURS,100.0
2014,Germany,MALE,NURS,14.2
2014,Germany,FEMALE,NURS,85.8
2015,Germany,MALE,NURS,14.5
2015,Germany,FEMALE,NURS,85.5
2016,Germany,FEMALE,NURS,85.5
2016,Germany,MALE,NURS,14.5
2017,Germany,MALE,NURS,15.0
2017,Germany,FEMALE,NURS,85.0
2018,Germany,MALE,NURS,15.5
2018,Germany,FEMALE,NURS,84.5
2019,Germany,FEMALE,NURS,84.1
2019,Germany,MALE,NURS,15.9
2020,Germany,MALE,NURS,65.8
2020,Germany,FEMALE,NURS,34.2
2020,Germany,FEMALE,PHYS,48.1
2020,Germany,MALE,PHYS,51.9
2011,Greece,FEMALE,PHYS,38.8
2011,Greece,FEMALE,NURS,86.5
2011,Greece,MALE,PHYS,61.2
2011,Greece,MALE,NURS,13.5
2016,Greece,FEMALE,NURS,82.3
2016,Greece,MALE,NURS,17.7
2016,Hungary,FEMALE,NURS,97.6
2016,Hungary,MALE,NURS,2.4
2019,Hungary,FEMALE,NURS,91.0
2019,Hungary,MALE,NURS,9.0
2016,Iceland,FEMALE,NURS,98.2
2016,Iceland,MALE,NURS,1.8
2018,Iceland,MALE,NURS,2.5
2018,Iceland,FEMALE,NURS,97.5
2019,Iceland,FEMALE,NURS,97.1
2019,Iceland,MALE,NURS,2.9
2006,Ireland,FEMALE,NURS,88.5
2006,Ireland,MALE,NURS,11.5
2011,Ireland,FEMALE,NURS,92.4
2011,Ireland,MALE,NURS,7.6
2016,Ireland,FEMALE,NURS,91.0
2016,Ireland,MALE,NURS,9.0
2018,Ireland,FEMALE,NURS,90.6
2018,Ireland,MALE,NURS,9.4
2000,Kyrgyzstan,FEMALE,PHYS,62.8
2000,Kyrgyzstan,MALE,PHYS,37.2
2001,Kyrgyzstan,MALE,PHYS,36.7
2001,Kyrgyzstan,FEMALE,PHYS,63.3
2002,Kyrgyzstan,FEMALE,PHYS,63.9
2002,Kyrgyzstan,MALE,PHYS,36.1
2003,Kyrgyzstan,MALE,PHYS,35.6
2003,Kyrgyzstan,FEMALE,PHYS,64.4
2004,Kyrgyzstan,FEMALE,PHYS,64.0
2004,Kyrgyzstan,MALE,PHYS,36.0
2005,Kyrgyzstan,MALE,PHYS,35.7
2005,Kyrgyzstan,FEMALE,PHYS,64.3
2006,Kyrgyzstan,MALE,PHYS,35.7
2006,Kyrgyzstan,FEMALE,PHYS,64.3
2007,Kyrgyzstan,MALE,PHYS,35.9
2007,Kyrgyzstan,FEMALE,PHYS,64.1
2008,Kyrgyzstan,MALE,PHYS,35.9
2008,Kyrgyzstan,FEMALE,PHYS,64.1
2009,Kyrgyzstan,MALE,PHYS,35.7
2009,Kyrgyzstan,FEMALE,PHYS,64.3
2010,Kyrgyzstan,FEMALE,PHYS,64.2
2010,Kyrgyzstan,MALE,PHYS,35.8
2011,Kyrgyzstan,FEMALE,PHYS,65.3
2011,Kyrgyzstan,MALE,PHYS,34.7
2012,Kyrgyzstan,MALE,PHYS,34.9
2012,Kyrgyzstan,FEMALE,PHYS,65.1
2013,Kyrgyzstan,MALE,PHYS,35.5
2013,Kyrgyzstan,FEMALE,PHYS,64.5
2016,Latvia,MALE,NURS,0.0
2016,Latvia,FEMALE,NURS,100.0
2018,Latvia,MALE,NURS,0.4
2018,Latvia,FEMALE,NURS,99.6
2016,Lithuania,MALE,NURS,0.2
2016,Lithuania,FEMALE,NURS,99.8
2016,Luxembourg,MALE,NURS,28.5
2016,Luxembourg,FEMALE,NURS,71.5
2002,Malta,FEMALE,PHYS,21.7
2002,Malta,MALE,PHYS,78.3
2003,Malta,MALE,PHYS,78.4
2003,Malta,FEMALE,PHYS,21.6
2008,Malta,MALE,PHYS,71.7
2008,Malta,FEMALE,PHYS,28.3
2009,Malta,FEMALE,PHYS,32.5
2009,Malta,MALE,PHYS,67.5
2010,Malta,MALE,PHYS,64.6
2010,Malta,FEMALE,PHYS,35.4
2011,Malta,MALE,PHYS,63.4
2011,Malta,FEMALE,PHYS,36.6
2012,Malta,MALE,PHYS,63.5
2012,Malta,FEMALE,PHYS,36.5
2013,Malta,MALE,PHYS,62.5
2013,Malta,FEMALE,PHYS,37.5
2014,Malta,FEMALE,PHYS,38.6
2014,Malta,MALE,PHYS,61.4
2015,Malta,MALE,PHYS,60.0
2015,Malta,FEMALE,PHYS,40.0
2000,Montenegro,FEMALE,PHYS,56.4
2000,Montenegro,MALE,PHYS,43.6
2001,Montenegro,MALE,PHYS,43.4
2001,Montenegro,FEMALE,PHYS,56.6
2002,Montenegro,FEMALE,PHYS,57.6
2002,Montenegro,MALE,PHYS,42.4
2003,Montenegro,MALE,PHYS,41.3
2003,Montenegro,FEMALE,PHYS,58.7
2004,Montenegro,MALE,PHYS,41.4
2004,Montenegro,FEMALE,PHYS,58.6
2005,Montenegro,MALE,PHYS,42.1
2005,Montenegro,FEMALE,PHYS,57.9
2006,Montenegro,FEMALE,PHYS,58.4
2006,Montenegro,MALE,PHYS,41.6
2007,Montenegro,FEMALE,PHYS,59.4
2007,Montenegro,MALE,PHYS,40.6
2008,Montenegro,MALE,PHYS,40.2
2008,Montenegro,FEMALE,PHYS,59.8
2009,Montenegro,MALE,PHYS,39.3
2009,Montenegro,FEMALE,PHYS,60.7
2010,Montenegro,FEMALE,PHYS,61.6
2010,Montenegro,MALE,PHYS,38.4
2011,Montenegro,MALE,PHYS,38.1
2011,Montenegro,FEMALE,PHYS,61.9
2012,Montenegro,FEMALE,PHYS,61.8
2012,Montenegro,MALE,PHYS,38.2
2013,Montenegro,MALE,PHYS,38.1
2013,Montenegro,FEMALE,PHYS,61.9
2014,Montenegro,MALE,PHYS,38.0
2014,Montenegro,FEMALE,PHYS,62.0
2015,Montenegro,MALE,PHYS,36.7
2015,Montenegro,FEMALE,PHYS,63.3
2018,Montenegro,MALE,NURS,15.0
2018,Montenegro,FEMALE,PHYS,64.2
2018,Montenegro,MALE,PHYS,35.8
2018,Montenegro,FEMALE,NURS,85.0
2019,Montenegro,FEMALE,NURS,84.3
2019,Montenegro,MALE,NURS,15.7
2019,Montenegro,FEMALE,PHYS,64.1
2019,Montenegro,MALE,PHYS,35.9
2020,Montenegro,FEMALE,NURS,83.7
2020,Montenegro,MALE,NURS,16.3
2020,Montenegro,MALE,PHYS,36.4
2020,Montenegro,FEMALE,PHYS,63.6
2021,Montenegro,MALE,NURS,16.8
2021,Montenegro,FEMALE,PHYS,61.6
2021,Montenegro,FEMALE,NURS,83.2
2021,Montenegro,MALE,PHYS,38.4
2016,Netherlands,FEMALE,NURS,84.6
2016,Netherlands,MALE,NURS,15.4
2012,Uzbekistan,FEMALE,PHYS,53.0
2013,Uzbekistan,MALE,PHYS,46.9
2013,Uzbekistan,FEMALE,PHYS,53.1
2014,Uzbekistan,FEMALE,PHYS,52.7
2014,Uzbekistan,MALE,PHYS,47.3
2014,Uzbekistan,MALE,PHYS,47.3
