Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-5-2_VC_DSR_AGLH,notstarted,,,,custom.central_asia,,line
#1-5-2_VC_DSR_CHLN,notstarted,,,,custom.central_asia,,line
#1-5-2_VC_DSR_CILN,notstarted,,,,custom.central_asia,,line
#1-5-2_VC_DSR_DDPA,notstarted,,,,custom.central_asia,,line
#1-5-2_VC_DSR_GDPLS,notstarted,,,,custom.central_asia,,line
#1-5-2_VC_DSR_HOLH,notstarted,,,,custom.central_asia,,line
#1-5-2_VC_DSR_LSGP,notstarted,,,,custom.central_asia,,line
#1-5-3,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#1-5-3_SG_DSR_LGRGSR,notstarted,,,,custom.central_asia,,line
#1-5-4,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#1-5-4_SG_DSR_SILN,notstarted,,,,custom.central_asia,,line
#1-5-4_SG_DSR_SILS,notstarted,,,,custom.central_asia,,line
#1-5-4_SG_GOV_LOGV,notstarted,,,,custom.central_asia,,line
#1-a-1,notstarted,OECD,True,,,,line
#1-a-1_DC_ODA_POVDLG,notstarted,,,,custom.central_asia,,line
#1-a-1_DC_ODA_POVLG,notstarted,,,,custom.central_asia,,line
#1-a-2,notstarted,UNESCO Institute for Statistics (UNESCO-UIS),True,,,,line
#1-a-2_SD_XPD_ESED,notstarted,,,,custom.central_asia,,line
#10-1-1,notstarted,World Bank (WB),True,,,,line
#10-1-1_SI_HEI_TOTL,notstarted,,,,custom.central_asia,,line
#10-2-1,notstarted,World Bank (WB),True,,,,line
#10-2-1_SI_POV_50MI,notstarted,,,,custom.central_asia,,line
#10-3-1,notstarted,Office of the United Nations High Commissioner for Human Rights (OHCHR),True,,,,line
#10-3-1_VC_VOV_GDSD,notstarted,,,,custom.central_asia,,line
#10-4-1,notstarted,International Labour Organization (ILO),True,,,,line
#10-4-1_SL_EMP_GTOTL,notstarted,,,,custom.central_asia,,line
#10-4-2,notstarted,"Institutional information: The World Bank Group is the official custodian for this indicator. This metadata documentation was developed and agreed by the three institutional data providers, CEQ Institute, OECD and The World Bank.",True,,,,line
#10-4-2_SI_DST_FISP,notstarted,,,,custom.central_asia,,line
#10-5-1,notstarted,International Monetary Fund,True,,,,line
#10-5-1_FI_FSI_FSANL,notstarted,,,,custom.central_asia,,line
#10-5-1_FI_FSI_FSERA,notstarted,,,,custom.central_asia,,line
#10-5-1_FI_FSI_FSKA,notstarted,,,,custom.central_asia,,line
#10-5-1_FI_FSI_FSKNL,notstarted,,,,custom.central_asia,,line
#10-5-1_FI_FSI_FSKRTC,notstarted,,,,custom.central_asia,,line
#10-5-1_FI_FSI_FSLS,notstarted,,,,custom.central_asia,,line
#10-5-1_FI_FSI_FSSNO,notstarted,,,,custom.central_asia,,line
#10-6-1,notstarted,"Financing for Sustainable Development Office (FSDO), United Nations Department of Economic and Social Affairs (UN-DESA)
",True,,,,line
#10-6-1_SG_INT_MBRDEV,notstarted,,,,custom.central_asia,,line
#10-6-1_SG_INT_VRTDEV,notstarted,,,,custom.central_asia,,line
#10-7-1,notstarted,International Labour Organization (ILO) and World Bank (WB),True,,,,line
#10-7-2,notstarted,International Organization for Migration (IOM) and United Nations Department of Economic and Social Affairs (DESA) as custodian agencies,True,,,,line
#10-7-2_SG_CPA_MIGRS,notstarted,,,,custom.central_asia,,line
#10-7-3,notstarted,International Organization for Migration,True,,,,line
#10-7-3_SM_DTH_MIGR,notstarted,,,,custom.central_asia,,line
#10-7-4,notstarted,United Nations High Commissioner for Refugees (UNHCR),True,,,,line
#10-7-4_SM_POP_REFG_OR,notstarted,,,,custom.central_asia,,line
#10-a-1,notstarted,"International Trade Centre (ITC)
United Nations Conference on Trade and Development (UNCTAD)
The World Trade Organization (WTO)",True,,,,line
#10-a-1_TM_TRF_ZERO,notstarted,,,,custom.central_asia,,line
#10-b-1,notstarted,Organisation for Economic Co-operation and Development (OECD),True,,,,line
#10-b-1_DC_TRF_TOTDL,notstarted,,,,custom.central_asia,,line
#10-b-1_DC_TRF_TOTL,notstarted,,,,custom.central_asia,,line
#10-c-1,notstarted,World Bank,True,,,,line
#10-c-1_SI_RMT_COST,notstarted,,,,custom.central_asia,,line
#10-c-1_SI_RMT_COST_BC,notstarted,,,,custom.central_asia,,line
#10-c-1_SI_RMT_COST_SC,notstarted,,,,custom.central_asia,,line
#10-c-1_SI_RMT_COST_SND,notstarted,,,,custom.central_asia,,line
#11-1-1,notstarted,United Nations Human Settlements Programme (UN-Habitat) ,True,,,,line
#11-1-1_EN_LND_SLUM,notstarted,,,,custom.central_asia,,line
#11-2-1,notstarted,United Nations Human Settlements Programme (UN-Habitat),True,,,,line
#11-2-1_SP_TRN_PUBL,notstarted,,,,custom.central_asia,,line
#11-3-1,notstarted,United Nations Human Settlements Programme (UN-Habitat),True,,,,line
#11-3-2,notstarted,UN-Habitat,True,,,,line
#11-4-1,notstarted,UNESCO Institute for Statistics (UIS),True,,,,line
#11-4-1_GB_XPD_CULNAT_PB,notstarted,,,,custom.central_asia,,line
#11-4-1_GB_XPD_CULNAT_PBPV,notstarted,,,,custom.central_asia,,line
#11-4-1_GB_XPD_CULNAT_PV,notstarted,,,,custom.central_asia,,line
#11-4-1_GB_XPD_CUL_PBPV,notstarted,,,,custom.central_asia,,line
#11-4-1_GB_XPD_NAT_PBPV,notstarted,,,,custom.central_asia,,line
#11-5-1,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#11-5-1_VC_DSR_AFFCT,notstarted,,,,custom.central_asia,,line
#11-5-1_VC_DSR_DAFF,notstarted,,,,custom.central_asia,,line
#11-5-1_VC_DSR_IJILN,notstarted,,,,custom.central_asia,,line
#11-5-1_VC_DSR_MISS,notstarted,,,,custom.central_asia,,line
#11-5-1_VC_DSR_MMHN,notstarted,,,,custom.central_asia,,line
#11-5-1_VC_DSR_MORT,notstarted,,,,custom.central_asia,,line
#11-5-1_VC_DSR_MTMP,notstarted,,,,custom.central_asia,,line
#11-5-1_VC_DSR_PDAN,notstarted,,,,custom.central_asia,,line
#11-5-1_VC_DSR_PDLN,notstarted,,,,custom.central_asia,,line
#11-5-1_VC_DSR_PDYN,notstarted,,,,custom.central_asia,,line
#11-5-2,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#11-5-2_VC_DSR_AGLH,notstarted,,,,custom.central_asia,,line
#11-5-2_VC_DSR_CHLN,notstarted,,,,custom.central_asia,,line
#11-5-2_VC_DSR_CILN,notstarted,,,,custom.central_asia,,line
#11-5-2_VC_DSR_DDPA,notstarted,,,,custom.central_asia,,line
#11-5-2_VC_DSR_GDPLS,notstarted,,,,custom.central_asia,,line
#11-5-2_VC_DSR_HOLH,notstarted,,,,custom.central_asia,,line
#11-5-2_VC_DSR_LSGP,notstarted,,,,custom.central_asia,,line
#11-5-3,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#11-5-3_VC_DSR_BSDN,notstarted,,,,custom.central_asia,,line
#11-5-3_VC_DSR_CDAN,notstarted,,,,custom.central_asia,,line
#11-5-3_VC_DSR_CDYN,notstarted,,,,custom.central_asia,,line
#11-5-3_VC_DSR_EFDN,notstarted,,,,custom.central_asia,,line
#11-5-3_VC_DSR_ESDN,notstarted,,,,custom.central_asia,,line
#11-5-3_VC_DSR_HFDN,notstarted,,,,custom.central_asia,,line
#11-5-3_VC_DSR_HSDN,notstarted,,,,custom.central_asia,,line
#11-5-3_VC_DSR_OBDN,notstarted,,,,custom.central_asia,,line
#11-6-1,notstarted,"UN-Habitat, UNSD",True,,,,line
#11-6-1_EN_REF_WASCOL,notstarted,,,,custom.central_asia,,line
#11-6-2,notstarted,World Health Organization (WHO),True,,,,line
#11-6-2_EN_ATM_PM25,notstarted,,,,custom.central_asia,,line
#11-7-1,notstarted,UN-HABITAT,True,,,,line
#11-7-1_EN_URB_OPENSP,notstarted,,,,custom.central_asia,,line
#11-7-2,notstarted,Custodian Agency: United Nations on Drugs and Crime (UNODC),True,,,,line
#11-7-2_VC_VOH_SXPH,notstarted,,,,custom.central_asia,,line
#11-a-1,notstarted,"UN-Habitat
UNFPA",True,,,,line
#11-a-1_SD_CPA_UPRDP,notstarted,,,,custom.central_asia,,line
#11-b-1,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#11-b-1_SG_DSR_LGRGSR,notstarted,,,,custom.central_asia,,line
#11-b-2,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#11-b-2_SG_DSR_SILN,notstarted,,,,custom.central_asia,,line
#11-b-2_SG_DSR_SILS,notstarted,,,,custom.central_asia,,line
#11-b-2_SG_GOV_LOGV,notstarted,,,,custom.central_asia,,line
#12-1-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-1-1_SG_SCP_CNTRY,notstarted,,,,custom.central_asia,,line
#12-1-1_SG_SCP_POLINS,notstarted,,,,custom.central_asia,,line
#12-1-1_SG_SCP_TOTLN,notstarted,,,,custom.central_asia,,line
#12-2-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-2-2,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-2-2_EN_MAT_DOMCMPC,notstarted,,,,custom.central_asia,,line
#12-2-2_EN_MAT_DOMCMPG,notstarted,,,,custom.central_asia,,line
#12-2-2_EN_MAT_DOMCMPT,notstarted,,,,custom.central_asia,,line
#12-3-1,notstarted,United Nations Environment Programme (UNEP) ,True,,,,line
#12-3-1_AG_FOOD_WST,notstarted,,,,custom.central_asia,,line
#12-3-1_AG_FOOD_WST_PC,notstarted,,,,custom.central_asia,,line
#12-4-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-4-1_SG_HAZ_CMRBASEL,notstarted,,,,custom.central_asia,,line
#12-4-1_SG_HAZ_CMRMNMT,notstarted,,,,custom.central_asia,,line
#12-4-1_SG_HAZ_CMRMNTRL,notstarted,,,,custom.central_asia,,line
#12-4-1_SG_HAZ_CMRROTDAM,notstarted,,,,custom.central_asia,,line
#12-4-1_SG_HAZ_CMRSTHOLM,notstarted,,,,custom.central_asia,,line
#12-4-2,notstarted,"United Nations Environment Programme (UNEP), United Nations Statistics Division (UNSD), United Nations Institute for Training and Research (UNITAR)",True,,,,line
#12-4-2_EN_EWT_COLLPCAP,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_EWT_COLLR,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_EWT_COLLV,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_EWT_GENPCAP,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_EWT_GENV,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_HAZ_EXP,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_HAZ_GENGDP,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_HAZ_GENV,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_HAZ_IMP,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_HAZ_PCAP,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_HAZ_TREATV,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_HAZ_TRTDISR,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_HAZ_TRTDISV,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_MWT_COLLV,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_MWT_EXP,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_MWT_GENV,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_MWT_IMP,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_MWT_TREATR,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_MWT_TREATV,notstarted,,,,custom.central_asia,,line
#12-4-2_EN_TWT_GENV,notstarted,,,,custom.central_asia,,line
#12-5-1,notstarted,"United Nations Environment Programme (UNEP), United Nations Statistics Division (UNSD), United Nations Institute for Training and Research (UNITAR)",True,,,,line
#12-5-1_EN_EWT_RCYPCAP,notstarted,,,,custom.central_asia,,line
#12-5-1_EN_EWT_RCYR,notstarted,,,,custom.central_asia,,line
#12-5-1_EN_EWT_RCYV,notstarted,,,,custom.central_asia,,line
#12-5-1_EN_MWT_RCYR,notstarted,,,,custom.central_asia,,line
#12-5-1_EN_MWT_RCYV,notstarted,,,,custom.central_asia,,line
#12-6-1,notstarted,"United Nations Conference on Trade and Development (UNCTAD)
United Nations Environment Programme (UNEP)",True,,,,line
#12-6-1_EN_SCP_FRMN,notstarted,,,,custom.central_asia,,line
#12-7-1,notstarted,UNEP United Nations Environment Programme,True,,,,line
#12-7-1_SG_SCP_PROCN,notstarted,,,,custom.central_asia,,line
#12-7-1_SG_SCP_PROCN_HS,notstarted,,,,custom.central_asia,,line
#12-7-1_SG_SCP_PROCN_LS,notstarted,,,,custom.central_asia,,line
#12-8-1,notstarted,"UNESCO Education Sector, Division for Peace and Sustainable Development, Section of Education for Sustainable Development (UNESCO-ED/PSD/ESD)
UNESCO Institute for Statistics (UNESCO-UIS)",True,,,,line
#12-8-1_SE_GCEDESD_CUR,notstarted,,,,custom.central_asia,,line
#12-8-1_SE_GCEDESD_NEP,notstarted,,,,custom.central_asia,,line
#12-8-1_SE_GCEDESD_SAS,notstarted,,,,custom.central_asia,,line
#12-8-1_SE_GCEDESD_TED,notstarted,,,,custom.central_asia,,line
#12-a-1,notstarted,International Renewable Energy Agency (IRENA),True,,,,line
#12-a-1_EG_EGY_RNEW,notstarted,,,,custom.central_asia,,line
#12-b-1,notstarted,World Tourism Organization (UNWTO),True,,,,line
#12-b-1_ST_EEV_ACCSEEA,notstarted,,,,custom.central_asia,,line
#12-b-1_ST_EEV_ACCTSA,notstarted,,,,custom.central_asia,,line
#12-b-1_ST_EEV_STDACCT,notstarted,,,,custom.central_asia,,line
#12-c-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-c-1_ER_FFS_CMPT_CD,notstarted,,,,custom.central_asia,,line
#12-c-1_ER_FFS_CMPT_GDP,notstarted,,,,custom.central_asia,,line
#12-c-1_ER_FFS_CMPT_PC_CD,notstarted,,,,custom.central_asia,,line
#13-1-1,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#13-1-1_VC_DSR_AFFCT,notstarted,,,,custom.central_asia,,line
#13-1-1_VC_DSR_DAFF,notstarted,,,,custom.central_asia,,line
#13-1-1_VC_DSR_IJILN,notstarted,,,,custom.central_asia,,line
#13-1-1_VC_DSR_MISS,notstarted,,,,custom.central_asia,,line
#13-1-1_VC_DSR_MMHN,notstarted,,,,custom.central_asia,,line
#13-1-1_VC_DSR_MORT,notstarted,,,,custom.central_asia,,line
#13-1-1_VC_DSR_MTMP,notstarted,,,,custom.central_asia,,line
#13-1-1_VC_DSR_PDAN,notstarted,,,,custom.central_asia,,line
#13-1-1_VC_DSR_PDLN,notstarted,,,,custom.central_asia,,line
#13-1-1_VC_DSR_PDYN,notstarted,,,,custom.central_asia,,line
#13-1-2,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#13-1-2_SG_DSR_LGRGSR,notstarted,,,,custom.central_asia,,line
#13-1-3,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#13-1-3_SG_DSR_SILN,notstarted,,,,custom.central_asia,,line
#13-1-3_SG_DSR_SILS,notstarted,,,,custom.central_asia,,line
#13-1-3_SG_GOV_LOGV,notstarted,,,,custom.central_asia,,line
#13-2-1,notstarted,UN Climate Change (UNFCCC Secretariat),True,,,,line
#13-2-2,notstarted,UN Climate Change (UNFCCC Secretariat),True,,,,line
#13-2-2_EN_ATM_GHGT_AIP,notstarted,,,,custom.central_asia,,line
#13-2-2_EN_ATM_GHGT_NAIP,notstarted,,,,custom.central_asia,,line
#13-3-1,notstarted,"UNESCO Education Sector, Division for Peace and Sustainable Development, Section of Education for Sustainable Development (UNESCO-ED/PSD/ESD)
UNESCO Institute for Statistics (UNESCO-UIS)",True,,,,line
#13-3-1_SE_GCEDESD_CUR,notstarted,,,,custom.central_asia,,line
#13-3-1_SE_GCEDESD_NEP,notstarted,,,,custom.central_asia,,line
#13-3-1_SE_GCEDESD_SAS,notstarted,,,,custom.central_asia,,line
#13-3-1_SE_GCEDESD_TED,notstarted,,,,custom.central_asia,,line
#13-a-1,notstarted,UN Climate Change (UNFCCC Secretariat),True,,,,line
#13-b-1,notstarted,UN Climate Change (UNFCCC Secretariat),True,,,,line
#14-1-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#14-1-1_EN_MAR_BEALITSQ,notstarted,,,,custom.central_asia,,line
#14-1-1_EN_MAR_BEALIT_BP,notstarted,,,,custom.central_asia,,line
#14-1-1_EN_MAR_BEALIT_BV,notstarted,,,,custom.central_asia,,line
#14-1-1_EN_MAR_BEALIT_EXP,notstarted,,,,custom.central_asia,,line
#14-1-1_EN_MAR_BEALIT_OP,notstarted,,,,custom.central_asia,,line
#14-1-1_EN_MAR_BEALIT_OV,notstarted,,,,custom.central_asia,,line
#14-1-1_EN_MAR_CHLANM,notstarted,,,,custom.central_asia,,line
#14-1-1_EN_MAR_CHLDEV,notstarted,,,,custom.central_asia,,line
#14-2-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#14-2-1_EN_SCP_ECSYBA,notstarted,,,,custom.central_asia,,line
#14-3-1,notstarted,Intergovernmental Oceanographic Commission (IOC) of UNESCO,True,,,,line
#14-3-1_ER_OAW_MNACD,notstarted,,,,custom.central_asia,,line
#14-4-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#14-4-1_ER_H2O_FWTL,notstarted,,,,custom.central_asia,,line
#14-5-1,notstarted,"BirdLife International (BLI)
International Union for Conservation of Nature (IUCN)
UN Environment World Conservation Monitoring Centre (UNEP-WCMC)
UN Environment",True,,,,line
#14-6-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#14-7-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#14-7-1_EN_SCP_FSHGDP,notstarted,,,,custom.central_asia,,line
#14-a-1,notstarted,Intergovernmental Oceanographic Commission of UNESCO,True,,,,line
#14-a-1_ER_RDE_OSEX,notstarted,,,,custom.central_asia,,line
#14-b-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#14-c-1,notstarted,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",True,,,,line
#14-c-1_ER_UNCLOS_IMPLE,notstarted,,,,custom.central_asia,,line
#14-c-1_ER_UNCLOS_RATACC,notstarted,,,,custom.central_asia,,line
#15-1-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#15-1-1_AG_LND_FRST,notstarted,,,,custom.central_asia,,line
#15-1-1_AG_LND_FRSTN,notstarted,,,,custom.central_asia,,line
#15-1-1_AG_LND_TOTL,notstarted,,,,custom.central_asia,,line
#15-1-2,notstarted,"BirdLife International (BLI)
International Union for Conservation of Nature (IUCN)
UN Environment World Conservation Monitoring Centre (UNEP-WCMC)
UN Environment",True,,,,line
#15-1-2_ER_PTD_TERR,notstarted,,,,custom.central_asia,,line
#15-2-1,notstarted,Food and Agriculture Organization of the United Nations (FAO) ,True,,,,line
#15-2-1_AG_LND_FRSTBIOPHA,notstarted,,,,custom.central_asia,,line
#15-2-1_AG_LND_FRSTCERT,notstarted,,,,custom.central_asia,,line
#15-2-1_AG_LND_FRSTCHG,notstarted,,,,custom.central_asia,,line
#15-2-1_AG_LND_FRSTMGT,notstarted,,,,custom.central_asia,,line
#15-2-1_AG_LND_FRSTPRCT,notstarted,,,,custom.central_asia,,line
#15-3-1,notstarted,"United Nations Convention to Combat Desertification (UNCCD) and partners, including: Conservation International (CI), European Space Agency (ESA), Food and Agriculture Organization of the United Nations (FAO), Group on Earth Observation Land Degradation Neutrality Initiative (GEO-LDN), International Soil Reference and Information Centre (ISRIC), International Union for Conservation of Nature (IUCN), Joint Research Centre of the European Commission (JRC), United Nations Statistics Division (UNSD), United Nations Development Programme (UNDP), United Nations Environment (UNEP), World Resources Institute (WRI), United Nations Framework Convention on Climate Change (UNFCCC) and Convention on Biological Diversity (CBD).",True,,,,line
#15-3-1_AG_LND_DGRD,notstarted,,,,custom.central_asia,,line
#15-4-1,notstarted,"BirdLife International (BLI)
International Union for Conservation of Nature (IUCN)
UN Environment World Conservation Monitoring Centre (UNEP-WCMC)
UN Environment",True,,,,line
#15-4-2,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#15-4-2_ER_MTN_DGRDA,notstarted,,,,custom.central_asia,,line
#15-4-2_ER_MTN_DGRDP,notstarted,,,,custom.central_asia,,line
#15-4-2_ER_MTN_GRNCOV,notstarted,,,,custom.central_asia,,line
#15-4-2_ER_MTN_GRNCVI,notstarted,,,,custom.central_asia,,line
#15-4-2_ER_MTN_TOTL,notstarted,,,,custom.central_asia,,line
#15-5-1,notstarted,International Union for Conservation of Nature (IUCN),True,,,,line
#15-5-1_ER_RSK_LST,notstarted,,,,custom.central_asia,,line
#15-6-1,notstarted,Secretariat of the Convention on Biological Diversity (CBD),True,,,,line
#15-6-1_ER_CBD_ABSCLRHS,notstarted,,,,custom.central_asia,,line
#15-6-1_ER_CBD_NAGOYA,notstarted,,,,custom.central_asia,,line
#15-6-1_ER_CBD_ORSPGRFA,notstarted,,,,custom.central_asia,,line
#15-6-1_ER_CBD_PTYPGRFA,notstarted,,,,custom.central_asia,,line
#15-6-1_ER_CBD_SMTA,notstarted,,,,custom.central_asia,,line
#15-7-1,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#15-8-1,notstarted,International Union for Conservation of Nature (IUCN),True,,,,line
#15-8-1_ER_IAS_GLOFUN,notstarted,,,,custom.central_asia,,line
#15-8-1_ER_IAS_LEGIS,notstarted,,,,custom.central_asia,,line
#15-8-1_ER_IAS_NATBUD,notstarted,,,,custom.central_asia,,line
#15-8-1_ER_IAS_NBSAP,notstarted,,,,custom.central_asia,,line
#15-9-1,notstarted,"United Nations Environment Programme (UNEP), Convention on Biological Diversity (CBD), United Nations Statistics Division (UNSD) ",True,,,,line
#15-9-1_ER_BDY_ABT2NP,notstarted,,,,custom.central_asia,,line
#15-9-1_ER_BDY_SEEA,notstarted,,,,custom.central_asia,,line
#15-a-1,notstarted,Organisation for Economic Cooperation and Development (OECD),True,,,,line
#15-a-1_DC_ODA_BDVDL,notstarted,,,,custom.central_asia,,line
#15-a-1_DC_ODA_BDVL,notstarted,,,,custom.central_asia,,line
#15-b-1,notstarted,Organisation for Economic Cooperation and Development (OECD),True,,,,line
#15-b-1_DC_ODA_BDVDL,notstarted,,,,custom.central_asia,,line
#15-b-1_DC_ODA_BDVL,notstarted,,,,custom.central_asia,,line
#15-c-1,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-1-1,notstarted,"United Nations Office on Drugs and Crime (UNODC), World Health Organization (WHO)",True,,,,line
#16-1-1_VC_IHR_PSRC,notstarted,,,,custom.central_asia,,line
#16-1-1_VC_IHR_PSRCN,notstarted,,,,custom.central_asia,,line
#16-1-2,notstarted,Office of the United Nations High Commissioner for Human Rights (OHCHR),True,,,,line
#16-1-3,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-1-3_VC_VOV_PHYL,notstarted,,,,custom.central_asia,,line
#16-1-3_VC_VOV_ROBB,notstarted,,,,custom.central_asia,,line
#16-1-3_VC_VOV_SEXL,notstarted,,,,custom.central_asia,,line
#16-1-4,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-1-4_VC_SNS_WALN_DRK,notstarted,,,,custom.central_asia,,line
#16-10-1,notstarted,"Office of the United Nations High Commissioner for Human Rights (OHCHR) United Nations Educational, Scientific and Cultural Organization (UNESCO) International Labour Organization (ILO)",True,,,,line
#16-10-2,notstarted,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",True,,,,line
#16-10-2_SG_INF_ACCSS,notstarted,,,,custom.central_asia,,line
#16-2-1,notstarted,United Nations Children&apos;s Fund (UNICEF),True,,,,line
#16-2-1_VC_VAW_PHYPYV,notstarted,,,,custom.central_asia,,line
#16-2-2,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-2-2_VC_HTF_DETV,notstarted,,,,custom.central_asia,,line
#16-2-2_VC_HTF_DETVFL,notstarted,,,,custom.central_asia,,line
#16-2-2_VC_HTF_DETVFLR,notstarted,,,,custom.central_asia,,line
#16-2-2_VC_HTF_DETVOG,notstarted,,,,custom.central_asia,,line
