Year,GeoAreaName,Sampling Stations,Value
2010,France,OISO-18,8.078
2011,France,SURATLANT,8.042
2011,France,OISO-19,8.074
2012,France,OISO-21,8.079
2012,France,SURATLANT,8.072
2012,France,OVIDE-2012,8.085
2013,France,OISO-22,8.073
2013,France,SURATLANT,8.063
2014,France,SURATLANT,8.06
2014,France,OVIDE-2014,8.137
2015,France,SURATLANT,8.074
2015,France,OISO-24,8.068
2016,France,OISO-26,8.07
2016,France,SURATLANT,8.087
2017,France,OISO-27,8.254
2017,France,SURATLANT,8.094
2018,France,OISO-28,8.069
2019,France,CLIM-EPARSES,8.023
2010,Iceland,FX9,8.049
2010,Iceland,LN6,8.096
2011,Iceland,LN6,8.081
2011,Iceland,FX9,8.064
2012,Iceland,LN6,8.078
2014,Iceland,ST5,8.062
2014,Iceland,LN6,8.105
2015,Iceland,LN6,8.041
2015,Iceland,ST5,8.031
2016,Iceland,LN6,8.107
2016,Iceland,ST5,8.01
2017,Iceland,ST5,8.034
2017,Iceland,LN6,8.146
2018,Iceland,LN6,8.08
2018,Iceland,ST5,8.055
2019,Iceland,LN6,8.088
2019,Iceland,ST5,8.053
2020,Iceland,FX9,8.054
2020,Iceland,ST5,8.063
2020,Iceland,LN6,8.061
2011,Italy,MEDSEA,8.039
2012,Italy,MEDSEA,8.002
2013,Italy,MEDSEA,7.924
2018,Netherlands,NOORDWK70,7.912
2018,Netherlands,GOERE2,7.903
2018,Netherlands,TERSLG100,7.864
2018,Netherlands,TERSLG135,7.875
2018,Netherlands,TERSLG175,7.864
2018,Netherlands,TERSLG235,7.872
2018,Netherlands,GOERE6,7.875
2018,Netherlands,NOORDWK10,7.932
2018,Netherlands,WALCRN2,7.904
2018,Netherlands,WALCRN20,7.92
2018,Netherlands,NOORDWK2,7.924
2018,Netherlands,SCHOUWN10,7.957
2018,Netherlands,NOORDWK20,7.931
2018,Netherlands,TERSLG10,7.929
2018,Netherlands,WALCRN70,7.902
2018,Netherlands,TERSLG50,7.912
2019,Netherlands,ROTTMPT70,7.9
2019,Netherlands,NOORDWK2,7.969
2019,Netherlands,NOORDWK10,7.972
2019,Netherlands,GOERE6,7.884
2019,Netherlands,GOERE2,7.879
2019,Netherlands,TERSLG50,7.921
2019,Netherlands,SCHOUWN10,7.916
2019,Netherlands,TERSLG10,7.96
2019,Netherlands,WALCRN70,7.894
2019,Netherlands,WALCRN20,7.889
2019,Netherlands,WALCRN2,7.878
2019,Netherlands,ROTTMPT50,7.949
2019,Netherlands,TERSLG235,7.849
2019,Netherlands,TERSLG100,7.861
2019,Netherlands,TERSLG175,7.837
2019,Netherlands,NOORDWK20,7.963
2019,Netherlands,NOORDWK70,7.894
2019,Netherlands,TERSLG135,7.858
2007,Norway,WESTCOAST,8.176
2008,Norway,WESTCOAST,8.119
2009,Norway,WESTCOAST,8.136
2010,Norway,WESTCOAST,8.096
2011,Norway,IMR_NORWEGIAN_SEA,8.077
2012,Norway,IMR_NORWEGIAN_SEA,8.056
2012,Norway,MOSJ,8.295
2013,Norway,IMR_NORWEGIAN_SEA,8.059
2013,Norway,MOSJ,8.227
2014,Norway,MOSJ,8.479
2014,Norway,CARBONBRIDGE,8.175
2014,Norway,IMR_NORWEGIAN_SEA,8.052
2015,Norway,IMR_NORWEGIAN_SEA,8.061
2015,Norway,WESTCOAST,8.075
2016,Norway,WESTCOAST,8.051
2016,Norway,IMR_NORWEGIAN_SEA,8.058
2017,Norway,ARENDAL,8.054
2017,Norway,WESTCOAST,8.068
2017,Norway,IMR_NORWEGIAN_SEA,8.066
2018,Norway,WESTCOAST,8.076
2018,Norway,ARENDAL,8.073
2019,Norway,VT71,8.071
2019,Norway,WESTCOAST,8.058
2019,Norway,VT3,8.086
2019,Norway,VR54,8.089
2019,Norway,ARENDAL,8.048
2019,Norway,VT29,8.035
2020,Norway,WESTCOAST,8.061
2020,Norway,VT5,8.05
2020,Norway,VT29,8.105
2020,Norway,OSLO-KIEL,8.057
2020,Norway,TROMSO-LONGYEARBYEN,8.053
2020,Norway,HAV,8.034
2020,Norway,B_K,8.235
2020,Norway,B_H,8.185
2021,Norway,B_K,8.254
2021,Norway,B_H,8.26
2018,Romania,CONSTANTA,8.498
2019,Romania,CONSTANTA,8.528
2020,Romania,CONSTANTA,8.348
2008,Spain,ESTOC,8.012
2009,Spain,ESTOC,8.014
2010,Spain,ESTOC,8.011
2011,Spain,ESTOC,8.019
2012,Spain,ESTOC,8.004
2013,Spain,ESTOC,8.009
2014,Spain,ESTOC,8.006
2015,Spain,ESTOC,7.999
2016,Spain,ESTOC,7.996
2017,Spain,ESTOC,7.991
2018,Spain,ESTOC,7.987
2019,Spain,RADIALVIGO,8.036
2005,Sweden,BO3/A3,7.926
2005,Sweden,ANHOLTE,8.172
2005,Sweden,BY15GOTLANDSDJUPET,8.281
2005,Sweden,BY5BORNHOLMSDJUPET,8.207
2005,Sweden,SE-SR5,8.012
2006,Sweden,ANHOLTE,8.189
2006,Sweden,BY15GOTLANDSDJUPET,8.289
2006,Sweden,SE-US5B,8.03
2006,Sweden,BY5BORNHOLMSDJUPET,8.262
2006,Sweden,EFUSHANHAI,8.156
2006,Sweden,F9,7.888
2006,Sweden,SE-F16,7.97
2007,Sweden,N14FALKENBERG,8.168
2007,Sweden,SE-US5B,8.059
2007,Sweden,SE-F16,8.07
2007,Sweden,REFM1V1,8.088
2007,Sweden,BY15GOTLANDSDJUPET,8.244
2007,Sweden,A17,8.212
2007,Sweden,F9,7.89
2007,Sweden,BY5BORNHOLMSDJUPET,8.205
2007,Sweden,ANHOLTE,8.189
2008,Sweden,SE-F16,7.974
2008,Sweden,REFM1V1,8.159
2008,Sweden,F9,7.862
2008,Sweden,N14FALKENBERG,8.182
2008,Sweden,BY31LANDSORTSDJUPET,8.083
2008,Sweden,BY5BORNHOLMSDJUPET,8.238
2008,Sweden,ANHOLTE,8.198
2008,Sweden,SLAGGO,8.24
2008,Sweden,SE-US5B,8.012
2008,Sweden,A17,8.199
2008,Sweden,BY15GOTLANDSDJUPET,8.271
2009,Sweden,ANHOLTE,8.222
2009,Sweden,SE-US5B,8.074
2009,Sweden,N14FALKENBERG,8.217
2009,Sweden,REFM1V1,8.119
2009,Sweden,BY5BORNHOLMSDJUPET,8.239
2009,Sweden,F9,7.938
2009,Sweden,A17,8.232
2009,Sweden,SE-F16,7.996
2009,Sweden,BY15GOTLANDSDJUPET,8.31
2009,Sweden,BY31LANDSORTSDJUPET,8.087
2010,Sweden,SE-F16,7.948
2010,Sweden,A17,8.259
2010,Sweden,BY15GOTLANDSDJUPET,8.312
2010,Sweden,N14FALKENBERG,8.243
2010,Sweden,BY31LANDSORTSDJUPET,8.124
2010,Sweden,WLANDSKRONA,8.07
2010,Sweden,SLAGGO,8.212
2010,Sweden,ANHOLTE,8.231
2010,Sweden,REFM1V1,8.167
2010,Sweden,F9,7.9
2010,Sweden,SE-US5B,8.015
2010,Sweden,BCSIII-10,8.36
2010,Sweden,BY5BORNHOLMSDJUPET,8.239
2011,Sweden,N14FALKENBERG,8.198
2011,Sweden,BY5BORNHOLMSDJUPET,8.224
2011,Sweden,SE-US5B,8.046
2011,Sweden,BY31LANDSORTSDJUPET,8.073
2011,Sweden,REFM1V1,8.117
2011,Sweden,BY15GOTLANDSDJUPET,8.233
2011,Sweden,ANHOLTE,8.181
2011,Sweden,A17,8.198
2012,Sweden,BY15GOTLANDSDJUPET,8.335
2012,Sweden,REFM1V1,8.155
2012,Sweden,A17,8.195
2012,Sweden,ANHOLTE,8.197
2012,Sweden,BY31LANDSORTSDJUPET,8.097
2012,Sweden,BY15W,8.285
2012,Sweden,SE-US5B,8.008
2012,Sweden,SE-F16,7.98
2012,Sweden,BY5BORNHOLMSDJUPET,8.217
2012,Sweden,F9,7.906
2013,Sweden,BY15GOTLANDSDJUPET,8.301
2013,Sweden,SE-F13,7.984
2013,Sweden,REFM1V1,8.062
2013,Sweden,A17,8.172
2013,Sweden,BY5BORNHOLMSDJUPET,8.286
2013,Sweden,ANHOLTE,8.168
2013,Sweden,N14FALKENBERG,8.177
2013,Sweden,F9,7.946
2013,Sweden,SE-US5B,8.014
2013,Sweden,BY31LANDSORTSDJUPET,8.083
2014,Sweden,F64SOLOVJEVA,8.072
2014,Sweden,BY15GOTLANDSDJUPET,8.276
2014,Sweden,BY1,8.096
2014,Sweden,BY31LANDSORTSDJUPET,8.068
2014,Sweden,A17,8.182
2014,Sweden,SE-US5B,8.068
2014,Sweden,REFM1V1,8.172
2014,Sweden,SE-F2,7.94
2014,Sweden,BY5BORNHOLMSDJUPET,8.235
2014,Sweden,N14FALKENBERG,8.228
2014,Sweden,ANHOLTE,8.226
2014,Sweden,HANOBUKTEN,8.068
2015,Sweden,SLAGGO,8.161
2015,Sweden,BY15W,8.143
2015,Sweden,REFM1V1,8.082
2015,Sweden,BY5BORNHOLMSDJUPET,8.176
2015,Sweden,N14FALKENBERG,8.143
2015,Sweden,HANOBUKTEN,8.137
2015,Sweden,BY31LANDSORTSDJUPET,8.004
2015,Sweden,BY15GOTLANDSDJUPET,8.168
2015,Sweden,ANHOLTE,8.158
2015,Sweden,A15,8.2
2015,Sweden,A17,8.159
2016,Sweden,REFM1V1,8.162
2016,Sweden,N14FALKENBERG,8.151
2016,Sweden,BCSIII-10,8.305
2016,Sweden,BY15GOTLANDSDJUPET,8.209
2016,Sweden,A17,8.159
2016,Sweden,BY5BORNHOLMSDJUPET,8.166
2016,Sweden,BY31LANDSORTSDJUPET,8.053
2016,Sweden,ANHOLTE,8.169
2017,Sweden,BY31LANDSORTSDJUPET,8.051
2017,Sweden,BY32NORRKOPINGSDJUPET,8.035
2017,Sweden,BY4CHRISTIANSO,8.09
2017,Sweden,BY15GOTLANDSDJUPET,8.25
2017,Sweden,BY38KARLSODJUPET,8.031
2017,Sweden,BY20FARODJUPET,8.363
2017,Sweden,N14FALKENBERG,8.13
2017,Sweden,REFM1V1,8.113
2017,Sweden,A17,8.137
2017,Sweden,ANHOLTE,8.137
2017,Sweden,BY5BORNHOLMSDJUPET,8.158
2017,Sweden,HANOBUKTEN,8.124
2018,Sweden,BY20FARODJUPET,8.058
2018,Sweden,BY15GOTLANDSDJUPET,8.191
2018,Sweden,A17,8.163
2018,Sweden,REFM1V1,8.13
2018,Sweden,BY32NORRKOPINGSDJUPET,8.067
2018,Sweden,HANOBUKTEN,8.289
2018,Sweden,N14FALKENBERG,8.141
2018,Sweden,BY31LANDSORTSDJUPET,8.061
2018,Sweden,ANHOLTE,8.141
2018,Sweden,BY10,8.283
2018,Sweden,FLADEN,8.17
2018,Sweden,BY5BORNHOLMSDJUPET,8.167
2019,Sweden,FLADEN,8.133
2019,Sweden,HANOBUKTEN,8.175
2019,Sweden,BY4CHRISTIANSO,8.11
2019,Sweden,MS4/C14,8.023
2019,Sweden,BY38KARLSODJUPET,8.017
2019,Sweden,REFM1V1,8.106
2019,Sweden,BY5BORNHOLMSDJUPET,8.159
2019,Sweden,A17,8.14
2019,Sweden,SE-US5B,7.973
2019,Sweden,BY15GOTLANDSDJUPET,8.213
2019,Sweden,BY20FARODJUPET,8.153
2019,Sweden,BY19,8.097
2019,Sweden,SR3/C24,7.98
2019,Sweden,N14FALKENBERG,8.129
2019,Sweden,BY10,8.073
2019,Sweden,BY32NORRKOPINGSDJUPET,8.086
2019,Sweden,ANHOLTE,8.138
2019,Sweden,BY31LANDSORTSDJUPET,8.035
2019,Sweden,BCSIII-10,8.157
2019,Sweden,SE-F16,7.886
2019,Sweden,F3,8.074
2019,Sweden,BY2ARKONA,8.152
2019,Sweden,F9,7.883
2020,Sweden,BY15GOTLANDSDJUPET,8.2
2020,Sweden,BY9KLAIPEDA,8.027
2020,Sweden,BY4CHRISTIANSO,8.107
2020,Sweden,HANOBUKTEN,8.147
2020,Sweden,SE-F16,7.902
2020,Sweden,ANHOLTE,8.162
2020,Sweden,BY10,8.151
2020,Sweden,REFM1V1,8.126
2020,Sweden,A17,8.147
2020,Sweden,BY31LANDSORTSDJUPET,8.129
2020,Sweden,BY5BORNHOLMSDJUPET,8.162
2020,Sweden,N14FALKENBERG,8.146
2020,Sweden,N14FALKENBERG,8.146
